"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5qCZTDYRqMENitupuEaILd","Right now","spotify:artist:4tuJ0bMpJh08umKkEXKUI5","Gracie Abrams","spotify:album:78YYcghEDz2dHRx0EcDGXZ","Good Riddance (Deluxe)","spotify:artist:4tuJ0bMpJh08umKkEXKUI5","Gracie Abrams","2023-06-16","https://i.scdn.co/image/ab67616d0000b2730500294bb235c45c0a964d69","1","12","350836","https://p.scdn.co/mp3-preview/5c3a4573ee70fff130115a18ba5fa129b64f2192?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","USUG12202357","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-12-05T08:16:09Z"
"spotify:track:5GEt4ZyWwWnTifowMvs5Ms","Villain","spotify:artist:0nugNBwdWaptgIAsEtx1It","Searows","spotify:album:4Y7xxhWtydlfjYiaGolr58","Guard Dog","spotify:artist:0nugNBwdWaptgIAsEtx1It","Searows","2022-09-30","https://i.scdn.co/image/ab67616d0000b273a621f9c7728040fd47c7809d","1","8","289324","https://p.scdn.co/mp3-preview/ab59cb94beebd29c80768e021716965f91f47fe5?cid=9950ac751e34487dbbe027c4fd7f8e99","true","45","CAENV2205852","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-12-05T08:16:09Z"
"spotify:track:09DR0sHnQUhHOiSNttc1mv","Not Strong Enough","spotify:artist:1hLiboQ98IQWhpKeP9vRFw, spotify:artist:12zbUHbPHL5DGuJtiUfsip, spotify:artist:1r1uxoy19fzMxunt3ONAkG, spotify:artist:07D1Bjaof0NFlU32KXiqUP","boygenius, Julien Baker, Phoebe Bridgers, Lucy Dacus","spotify:album:0e9GjrztzBw8oMC6n2CDeI","the record","spotify:artist:1hLiboQ98IQWhpKeP9vRFw","boygenius","2023-03-31","https://i.scdn.co/image/ab67616d0000b27343fc02bcfa7cd4e6bb66aa22","1","6","234933","https://p.scdn.co/mp3-preview/9d97929323164caf0e18bed34e4d8bb2cec0c4f4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USUG12209242","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-12-05T08:16:09Z"
"spotify:track:4dEUEEbO25gBn2s9dASnYi","I Burned LA Down","spotify:artist:55fhWPvDiMpLnE4ZzNXZyW","Noah Cyrus","spotify:album:4frBxYchAwQD5z8Z6VTrF3","The Hardest Part","spotify:artist:55fhWPvDiMpLnE4ZzNXZyW","Noah Cyrus","2022-09-16","https://i.scdn.co/image/ab67616d0000b273116f184b2510ff64c96c6baa","1","9","195252","https://p.scdn.co/mp3-preview/8a288b1e6c4c259a195b280ae292b5feb58343da?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","USQX92105689","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-12-05T08:16:09Z"
"spotify:track:5w52BJAqGkV1ewaCVLmjhi","Smoke Signals","spotify:artist:1r1uxoy19fzMxunt3ONAkG","Phoebe Bridgers","spotify:album:0qWcLfCZ8wtcoOdX14oGNI","Stranger in the Alps","spotify:artist:1r1uxoy19fzMxunt3ONAkG","Phoebe Bridgers","2017-09-22","https://i.scdn.co/image/ab67616d0000b27368b90c3b34c3ac22856ddab8","1","1","324773","https://p.scdn.co/mp3-preview/adc4fa7d3a4afe8a9a408d5f11af8d744105f275?cid=9950ac751e34487dbbe027c4fd7f8e99","true","65","TCACW1749848","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-12-05T08:16:09Z"
"spotify:track:5SnMKAJBo7X4rUyaSMseun","Amelie","spotify:artist:4tuJ0bMpJh08umKkEXKUI5","Gracie Abrams","spotify:album:78YYcghEDz2dHRx0EcDGXZ","Good Riddance (Deluxe)","spotify:artist:4tuJ0bMpJh08umKkEXKUI5","Gracie Abrams","2023-06-16","https://i.scdn.co/image/ab67616d0000b2730500294bb235c45c0a964d69","1","7","259592","https://p.scdn.co/mp3-preview/bffc1f40c861a76a1e115676867bbc711a4be966?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","USUG12202353","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-12-05T08:16:09Z"
"spotify:track:0sJVCxGQEgAkBg42JUfiLz","Televangelist","spotify:artist:12zbUHbPHL5DGuJtiUfsip","Julien Baker","spotify:album:3AV0YFhIzY0LDeaJPU5x3O","Turn Out the Lights","spotify:artist:12zbUHbPHL5DGuJtiUfsip","Julien Baker","2017-10-27","https://i.scdn.co/image/ab67616d0000b27355e6251f6f6ffa24f092daac","1","6","292293","https://p.scdn.co/mp3-preview/0846215ecd36053e4e4e08291987d7ca8fa5afb4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","USMTD1709992","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-12-05T08:16:09Z"
"spotify:track:7G7czV2zDj9A5wDnNa0uYU","Coming Clean","spotify:artist:0nugNBwdWaptgIAsEtx1It","Searows","spotify:album:4Y7xxhWtydlfjYiaGolr58","Guard Dog","spotify:artist:0nugNBwdWaptgIAsEtx1It","Searows","2022-09-30","https://i.scdn.co/image/ab67616d0000b273a621f9c7728040fd47c7809d","1","10","378531","https://p.scdn.co/mp3-preview/3ad16c954efb87f4191083c23fd40d61f00fde3d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","CAENV2205874","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-12-05T08:16:09Z"
"spotify:track:5YTJXAM6j8jEQ5vC8Q67GL","Georgia","spotify:artist:1r1uxoy19fzMxunt3ONAkG","Phoebe Bridgers","spotify:album:0qWcLfCZ8wtcoOdX14oGNI","Stranger in the Alps","spotify:artist:1r1uxoy19fzMxunt3ONAkG","Phoebe Bridgers","2017-09-22","https://i.scdn.co/image/ab67616d0000b27368b90c3b34c3ac22856ddab8","1","7","247306","https://p.scdn.co/mp3-preview/66a8ff51128a178ba38275118efb986c96dbb068?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","USJ5G1714207","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-12-05T08:16:09Z"
"spotify:track:1zU8j1x3yi9xalMF96pzKp","Dear John (Taylor's Version)","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:5AEDGbliTTfjOB8TSm1sxt","Speak Now (Taylor's Version)","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2023-07-07","https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481","1","5","405906","https://p.scdn.co/mp3-preview/76b19f3c089bad85ec044b30c82bd581136e0b56?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USUG12302077","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-12-05T08:16:09Z"
