"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0qeR3o0iha1DHRgNOJgkKp","Ukulele Swing","spotify:artist:2Y5F7YnM8WtYuFgedTtrXW","Christian Lisi","spotify:album:1hTU1sjuwKpL6IGpZ2sUXF","Songs for Ukulele","spotify:artist:2Y5F7YnM8WtYuFgedTtrXW","Christian Lisi","2013-05-13","https://i.scdn.co/image/ab67616d0000b27342fb620f1d0bda4e9ab891b6","1","2","169794","https://p.scdn.co/mp3-preview/24a980cd808c24aedaf256e57f1ddf1a37b22041?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","ITI021300173","spotify:user:sachropathy","2021-01-09T10:24:36Z"
"spotify:track:3tlkmfnEvrEyL35tWnqHYl","Ó Valhalla","spotify:artist:3uliAYf4KyTkBpVf3BiWVv","SKÁLD","spotify:album:3yapZbvOcHcqs4vH0VPfgF","Vikings Chant (Alfar Fagrahvél Edition)","spotify:artist:3uliAYf4KyTkBpVf3BiWVv","SKÁLD","2019-09-20","https://i.scdn.co/image/ab67616d0000b273bd9a18472cc6b2fab5b5a8fd","1","8","214933","https://p.scdn.co/mp3-preview/1493153159dbbaf420eb45204c773384efffec23?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","FRUM71801365","spotify:user:sachropathy","2021-02-13T15:36:15Z"
"spotify:track:5xq2Ucj8Pl9jcPcmzO7UAD","Berserkir","spotify:artist:1J1DiyVfll4d0cos64VSZb","Danheim","spotify:album:5y4GkHb8vuQfelSiVZmqFC","Herja","spotify:artist:1J1DiyVfll4d0cos64VSZb","Danheim","2018-04-01","https://i.scdn.co/image/ab67616d0000b2734a75c6554b828131eaeb8ee1","1","2","235462","https://p.scdn.co/mp3-preview/2d109a89a7b33167603b830481d3b5100bbad3ac?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","TCADN1874007","spotify:user:sachropathy","2021-02-13T15:59:06Z"
"spotify:track:2RzmkTh54vC1izUOBZ9VnZ","Räven","spotify:artist:0Y5ldP4uHArYLgHdljfmAu","Hedningarna","spotify:album:58G4EiN7jSDi3hHSKqFAU7","TRÄ","spotify:artist:0Y5ldP4uHArYLgHdljfmAu","Hedningarna","1994","https://i.scdn.co/image/ab67616d0000b273d293b468fa859bd82bad9903","1","7","292773","","false","0","SELFA9406070","spotify:user:sachropathy","2021-02-13T15:59:29Z"
"spotify:track:5Z0GKdBhTmCsrIkM41DtRW","Floki Appears to Kill Athelstan","spotify:artist:5ikWl4mjoiFlLPvkFRZETq","Trevor Morris","spotify:album:75Xg8NYCUQd131qcp1Q8Cd","The Vikings III (Music from the TV Series)","spotify:artist:5ikWl4mjoiFlLPvkFRZETq","Trevor Morris","2015-05-08","https://i.scdn.co/image/ab67616d0000b273e7eb40017bdb66e422875eb7","1","18","191066","https://p.scdn.co/mp3-preview/43e96f003d8baad4041b85e0cbf18024a2fb1d86?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","USSM11503799","spotify:user:sachropathy","2021-02-13T16:01:47Z"
"spotify:track:4gMx3t3Pajc0kY4jGcGfXI","Per Aspera Ad Astra","spotify:artist:7wHPtfK57nbFkg3k16BV5O","Haggard","spotify:album:1FlW28rep06Q9JFqp32eUW","Eppur si muove","spotify:artist:7wHPtfK57nbFkg3k16BV5O","Haggard","2004","https://i.scdn.co/image/ab67616d0000b273f326cac36eb70d0de16680d1","1","3","400320","https://p.scdn.co/mp3-preview/1b39e77300fb5578ee135e13c27902596eb4c5ee?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","DES370400222","spotify:user:sachropathy","2021-02-28T09:26:07Z"
"spotify:track:202FjRMm8kfDiV5LYAlfWK","Eppur si muove","spotify:artist:7wHPtfK57nbFkg3k16BV5O","Haggard","spotify:album:1FlW28rep06Q9JFqp32eUW","Eppur si muove","spotify:artist:7wHPtfK57nbFkg3k16BV5O","Haggard","2004","https://i.scdn.co/image/ab67616d0000b273f326cac36eb70d0de16680d1","1","8","499026","https://p.scdn.co/mp3-preview/0793e508c9335bc3dafb53f09569a84ce4ab4ecb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","DES370400227","spotify:user:sachropathy","2021-02-28T09:34:31Z"
"spotify:track:56Zxa1NxrWUMr4DVzVEG0P","El Elevao","spotify:artist:3AxVllGtE7wlIXF27v0VLh","Los Golden Boys","spotify:album:0EJRlYjvVcym9K4wrww9vB","Narcos, Vol. 2 (More Music from the Netflix Original Series)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2016-09-02","https://i.scdn.co/image/ab67616d0000b2733ff5449cbea83c1343bb3c63","1","7","145973","https://p.scdn.co/mp3-preview/5b7cde43581775ae83529b365d6b55f678901cf2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","USLS51685807","spotify:user:sachropathy","2021-03-25T18:07:35Z"
"spotify:track:5P1vcUYy4BxJA1jWpSXPia","Caliventura","spotify:artist:0i4Qda0k4nf7jnNHmSNpYv","Afrosound","spotify:album:0EJRlYjvVcym9K4wrww9vB","Narcos, Vol. 2 (More Music from the Netflix Original Series)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2016-09-02","https://i.scdn.co/image/ab67616d0000b2733ff5449cbea83c1343bb3c63","1","10","218400","https://p.scdn.co/mp3-preview/2598edb032543b7fa8758b198bc278d3e39f7317?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","USLS51685810","spotify:user:sachropathy","2021-03-25T18:13:42Z"
"spotify:track:2ovD5JwItQasZDVBJgarfK","Herr Mannelig","spotify:artist:7ED7dE68y0YZGpyXcuiRsI","Garmarna","spotify:album:6B6OuHLGUMUhxXuXQqko97","Guds Spelemän","spotify:artist:7ED7dE68y0YZGpyXcuiRsI","Garmarna","1996-02-14","https://i.scdn.co/image/ab67616d0000b273415a64151436828591a968f2","1","1","382426","","false","0","SELIA9601010","spotify:user:sachropathy","2021-04-10T16:49:54Z"
