"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3ueoTboomKEQpI3r9z47Kg","F**kin' Perfect - Radio Edit","spotify:artist:1KCSPY1glIKqW2TotWuXOR","P!nk","spotify:album:1UNuojXYCvRMjOxSS5c5O0","F**kin' Perfect (Radio Edit)","spotify:artist:1KCSPY1glIKqW2TotWuXOR","P!nk","2010-12-15","https://i.scdn.co/image/ab67616d0000b273c94b80ee6fa38d75665ffd4b","1","1","213720","https://p.scdn.co/mp3-preview/12a70bbbb82608f2cba55c10f45d6bc8a1774503?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","USLF21000103","spotify:user:sachropathy","2023-11-24T21:26:17Z"
"spotify:track:7yq4Qj7cqayVTp3FF9CWbm","Riptide","spotify:artist:10exVja0key0uqUkk6LJRT","Vance Joy","spotify:album:6rIbiUMmZJfqJRnXhVxFvg","Dream Your Life Away","spotify:artist:10exVja0key0uqUkk6LJRT","Vance Joy","2014-09-08","https://i.scdn.co/image/ab67616d0000b273d3ce97395ff522b0d70c1094","1","4","204280","https://p.scdn.co/mp3-preview/74698d907d114f4ba0b2c129bbf260724be80b64?cid=9950ac751e34487dbbe027c4fd7f8e99","false","86","AULI01385760","spotify:user:sachropathy","2023-11-24T21:32:01Z"
"spotify:track:0puf9yIluy9W0vpMEUoAnN","Bang Bang","spotify:artist:2gsggkzM5R49q6jpPvazou, spotify:artist:66CXWjxzNUsdJxJ2JdwvnR, spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Jessie J, Ariana Grande, Nicki Minaj","spotify:album:2rDIivxBafNKpgRqlzIRSb","Sweet Talker (Deluxe Version)","spotify:artist:2gsggkzM5R49q6jpPvazou","Jessie J","2014-10-14","https://i.scdn.co/image/ab67616d0000b273930f686fe89425c7b6bf9a7d","1","4","199386","https://p.scdn.co/mp3-preview/e6f9a45cb4bf45d8d041d999f5904ed1d248cc15?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","USUM71409737","spotify:user:sachropathy","2023-11-24T21:32:12Z"
"spotify:track:49FYlytm3dAAraYgpoJZux","Umbrella","spotify:artist:5pKCCKE2ajJHZ9KAiaK11H, spotify:artist:3nFkdlSjzX9mRTtwJOzDYB","Rihanna, JAY-Z","spotify:album:3JSWZWeTHF4HDGt5Eozdy7","Good Girl Gone Bad: Reloaded","spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Rihanna","2008-06-02","https://i.scdn.co/image/ab67616d0000b273f9f27162ab1ed45b8d7a7e98","1","1","275986","https://p.scdn.co/mp3-preview/e58475d2391025fe032cba6b5282c71a6141223e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","86","USUM70736771","spotify:user:sachropathy","2023-11-24T21:33:30Z"
"spotify:track:2igwFfvr1OAGX9SKDCPBwO","Empire State Of Mind","spotify:artist:3nFkdlSjzX9mRTtwJOzDYB, spotify:artist:3DiDSECUqqY1AuBP8qtaIa","JAY-Z, Alicia Keys","spotify:album:2CUT0104gySOIvqwtXeFsX","The Blueprint 3","spotify:artist:3nFkdlSjzX9mRTtwJOzDYB","JAY-Z","2009-09-08","https://i.scdn.co/image/ab67616d0000b273fec1b815bb3c50a64a90fd10","1","5","276920","https://p.scdn.co/mp3-preview/cfa4fdeeb114b731f020502ac19361de282cbbae?cid=9950ac751e34487dbbe027c4fd7f8e99","true","85","USJZ10900031","spotify:user:sachropathy","2023-11-24T21:33:41Z"
"spotify:track:6cpk00i5TxCqSeqNi2HuIe","One More Night","spotify:artist:04gDigrS5kc9YWfZHwBETP","Maroon 5","spotify:album:6ijGiBcBfUwkoyHn5VUHU2","Overexposed Track By Track","spotify:artist:04gDigrS5kc9YWfZHwBETP","Maroon 5","2012-01-01","https://i.scdn.co/image/ab67616d0000b273fc8633e22a7dba6aab817bff","1","2","219546","https://p.scdn.co/mp3-preview/c8080e7c61e8a83df8cee7a59cc77f8b75d24cd5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","USUM71203514","spotify:user:sachropathy","2023-11-24T21:34:48Z"
"spotify:track:4VrWlk8IQxevMvERoX08iC","Chandelier","spotify:artist:5WUlDfRSoLAfcVSX1WnrxN","Sia","spotify:album:3xFSl9lIRaYXIYkIn3OIl9","1000 Forms Of Fear","spotify:artist:5WUlDfRSoLAfcVSX1WnrxN","Sia","2014-07-04","https://i.scdn.co/image/ab67616d0000b2735d199c9f6e6562aafa5aa357","1","1","216120","https://p.scdn.co/mp3-preview/fa13db3d66f6daf051e9a3996090f7740532b9e8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","USRC11400498","spotify:user:sachropathy","2023-11-24T21:35:03Z"
"spotify:track:4jbmgIyjGoXjY01XxatOx6","Dark Horse","spotify:artist:6jJ0s89eD6GaHleKKya26X, spotify:artist:5gCRApTajqwbnHHPbr2Fpi","Katy Perry, Juicy J","spotify:album:3jB9yFDwRe3KhtGnHXJntk","PRISM","spotify:artist:6jJ0s89eD6GaHleKKya26X","Katy Perry","2013-01-01","https://i.scdn.co/image/ab67616d0000b2731e9a057052d59004caf47e22","1","6","215672","https://p.scdn.co/mp3-preview/7251bb524fb32b7f4feae106ade846f568b7177e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","USUM71311296","spotify:user:sachropathy","2023-11-24T21:35:17Z"
"spotify:track:15JINEqzVMv3SvJTAXAKED","Love The Way You Lie","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR, spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Eminem, Rihanna","spotify:album:47BiFcV59TQi2s9SkBo2pb","Recovery","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR","Eminem","2010-06-18","https://i.scdn.co/image/ab67616d0000b273c08d5fa5c0f1a834acef5100","1","15","263373","https://p.scdn.co/mp3-preview/3824afd426e7ebbba4e107f811f7506ea3416db0?cid=9950ac751e34487dbbe027c4fd7f8e99","true","88","USUM71015397","spotify:user:sachropathy","2023-11-24T21:35:29Z"
"spotify:track:2fTsFCKRFQ5M0igJgabnLA","Price Tag","spotify:artist:2gsggkzM5R49q6jpPvazou, spotify:artist:5ndkK3dpZLKtBklKjxNQwT","Jessie J, B.o.B","spotify:album:0BZbTNqpXFg6lxNv78X7Lp","Who You Are (Platinum Edition)","spotify:artist:2gsggkzM5R49q6jpPvazou","Jessie J","2011-01-01","https://i.scdn.co/image/ab67616d0000b2737805aebd5a39023d553ada3a","1","1","223053","https://p.scdn.co/mp3-preview/6ce2212361fb83fa80477efae1ec1df94c26e179?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USUM71029357","spotify:user:sachropathy","2023-11-24T21:36:08Z"
