"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:12KUFSHFgT0XCoiSlvdQi4","Break Free","spotify:artist:66CXWjxzNUsdJxJ2JdwvnR, spotify:artist:2qxJFvFYMEDqd7ui6kSAcq","Ariana Grande, Zedd","spotify:album:6EVYTRG1drKdO8OnIQBeEj","My Everything (Deluxe)","spotify:artist:66CXWjxzNUsdJxJ2JdwvnR","Ariana Grande","2014-08-25","https://i.scdn.co/image/ab67616d0000b273deec12a28d1e336c5052e9aa","1","5","214840","https://p.scdn.co/mp3-preview/86e074aa8cf7cb9930b5c28415dc7b3a56e5d3ce?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USUM71409719","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2023-03-03T21:59:42Z"
"spotify:track:5WQQIDU3HRaMyPkob8mpFb","Where Have You Been","spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Rihanna","spotify:album:2g1EakEaW7fPTZC6vBmBCn","Talk That Talk","spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Rihanna","2011-11-18","https://i.scdn.co/image/ab67616d0000b273bef074de9ca825bddaeb9f46","1","2","242680","https://p.scdn.co/mp3-preview/71c35cb0c63e46f1a8c62135283cb2723c675ecf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","USUM71118074","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2023-03-03T21:59:49Z"
"spotify:track:6rmtT7Y8cH7NpvovoPiV6k","Rude - Zedd Remix","spotify:artist:0DxeaLnv6SyYk2DOqkLO8c, spotify:artist:2qxJFvFYMEDqd7ui6kSAcq","MAGIC!, Zedd","spotify:album:4QLBuRlKOxUPE9BqIdHQyf","Rude (Zedd Remix)","spotify:artist:0DxeaLnv6SyYk2DOqkLO8c","MAGIC!","2014-09-02","https://i.scdn.co/image/ab67616d0000b27363421db5c43c2515271ea2b6","1","1","273230","https://p.scdn.co/mp3-preview/f09b5e43b630acebe33415a2246711ad0c32fffc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","CAV161400034","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2023-03-04T16:42:57Z"
"spotify:track:60wwxj6Dd9NJlirf84wr2c","Clarity","spotify:artist:2qxJFvFYMEDqd7ui6kSAcq, spotify:artist:7qRll6DYV06u2VuRPAVqug","Zedd, Foxes","spotify:album:7juWTdmjo0vYywWu8HiQxs","Clarity","spotify:artist:2qxJFvFYMEDqd7ui6kSAcq","Zedd","2012-01-01","https://i.scdn.co/image/ab67616d0000b273941dd3b3343d9cb9329d37bf","1","5","271426","https://p.scdn.co/mp3-preview/b2fd1208b83b14121c261cfc1e74ec4439a16c8f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","USUM71210662","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2023-03-04T19:30:10Z"
"spotify:track:0lHAMNU8RGiIObScrsRgmP","Titanium (feat. Sia)","spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai, spotify:artist:5WUlDfRSoLAfcVSX1WnrxN","David Guetta, Sia","spotify:album:5aprcHwM1KJhaY9Kbxkfkn","Nothing but the Beat 2.0","spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai","David Guetta","2011-08-24","https://i.scdn.co/image/ab67616d0000b273a197a2ef3ad6704d1f44aa4e","1","1","245040","https://p.scdn.co/mp3-preview/4d3537bf2416e04dc90887c896adcd1c8da4c76e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","GB28K1100036","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2023-03-04T19:30:20Z"
"spotify:track:0azC730Exh71aQlOt9Zj3y","This Is What You Came For","spotify:artist:7CajNmpbOovFoOoasH2HaY, spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Calvin Harris, Rihanna","spotify:album:3pEgGUv379EDinvg1TN7Kt","This Is What You Came For","spotify:artist:7CajNmpbOovFoOoasH2HaY, spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Calvin Harris, Rihanna","2016-04-29","https://i.scdn.co/image/ab67616d0000b273d9aa52355e062f5de060adbf","1","1","222160","https://p.scdn.co/mp3-preview/14138fec09bb5940b1ee11c3207663906970cf9b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","85","GBARL1600460","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2023-03-04T19:30:25Z"
"spotify:track:2QtJA4gbwe1AcanB2p21aP","Stay The Night - Featuring Hayley Williams Of Paramore","spotify:artist:2qxJFvFYMEDqd7ui6kSAcq, spotify:artist:6Rx1JKzBrSzoKQtmbVmBnM","Zedd, Hayley Williams","spotify:album:4xak0izXQHOMV9Wu1mDAAy","Clarity (Deluxe)","spotify:artist:2qxJFvFYMEDqd7ui6kSAcq","Zedd","2012","https://i.scdn.co/image/ab67616d0000b2734354ea20731fa90da93e12c7","1","11","217346","https://p.scdn.co/mp3-preview/a00d28f38102e5ab39bcfa66d4a912ad9808701a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","USUM71311478","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2023-03-05T03:36:10Z"
"spotify:track:7FjZU7XFs7P9jHI9Z0yRhK","So Close","spotify:artist:5jAMCwdNHWr7JThxtMuEyy, spotify:artist:4bL2B6hmLlMWnUEZnorEtG, spotify:artist:0rlKkLkpsCnJbZethGBfAk, spotify:artist:5mYakBbBzPMQTfkVMIgiDM","NOTD, Felix Jaehn, Captain Cuts, Georgia Ku","spotify:album:4ZIaWbFnkMozASM1CA59K6","So Close (feat. Georgia Ku)","spotify:artist:5jAMCwdNHWr7JThxtMuEyy, spotify:artist:4bL2B6hmLlMWnUEZnorEtG, spotify:artist:0rlKkLkpsCnJbZethGBfAk","NOTD, Felix Jaehn, Captain Cuts","2018-11-02","https://i.scdn.co/image/ab67616d0000b273e1f3e850068761db3477a24a","1","1","190302","https://p.scdn.co/mp3-preview/25ef04a385ba57c0dcea90a980c4e2db0b7f05f9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","SEUM71800604","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2023-03-05T04:32:41Z"
"spotify:track:1dFkD1JfRMzwO6hwUsE8aS","Spectrum","spotify:artist:2qxJFvFYMEDqd7ui6kSAcq, spotify:artist:1mU61l2mcjEFraXZLpvVMo","Zedd, Matthew Koma","spotify:album:7juWTdmjo0vYywWu8HiQxs","Clarity","spotify:artist:2qxJFvFYMEDqd7ui6kSAcq","Zedd","2012-01-01","https://i.scdn.co/image/ab67616d0000b273941dd3b3343d9cb9329d37bf","1","3","243413","https://p.scdn.co/mp3-preview/2e54103eff2a2e62fc9c956b06a216abebf98fbb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","USUM71205604","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2023-03-05T04:33:47Z"
"spotify:track:2ISSQPb9LHHiV6ng2NXosL","Beautiful Now","spotify:artist:2qxJFvFYMEDqd7ui6kSAcq, spotify:artist:50JJSqHUf2RQ9xsHs0KMHg","Zedd, Jon Bellion","spotify:album:4jKdXIJckKh7la6xHuKwRT","True Colors","spotify:artist:2qxJFvFYMEDqd7ui6kSAcq","Zedd","2015-05-18","https://i.scdn.co/image/ab67616d0000b273d040bc5b46915b49a64d7b1d","1","3","218293","https://p.scdn.co/mp3-preview/90d16f22bbaffff322aaec07ead1d6de76390b45?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","USUM71505090","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2023-03-05T04:33:51Z"
"spotify:track:7g2uEIBiSXUNkLmEUCv5nq","Cry Dancing","spotify:artist:5jAMCwdNHWr7JThxtMuEyy, spotify:artist:7AzjETXRUKNRSJHMW9GIqd","NOTD, Nina Nesbitt","spotify:album:6PLgk4A3mMtYCuYSwiQ4pl","Cry Dancing","spotify:artist:5jAMCwdNHWr7JThxtMuEyy, spotify:artist:7AzjETXRUKNRSJHMW9GIqd","NOTD, Nina Nesbitt","2020-07-17","https://i.scdn.co/image/ab67616d0000b273d0fd23dbfabf77a4cbca1f5b","1","1","179396","https://p.scdn.co/mp3-preview/91013f2954bfeb5b05af02642235ea3ddc52b77d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","SEUM72000789","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2023-03-05T04:34:01Z"
