"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0kfNu4qJOo7vgRWDCnMiBa","Little Planets - Remix","spotify:artist:0QkgnHpxSCOYdTnhUR9S5k, spotify:artist:6jxGLrn1I14RIeRYodOpLN","RIZ LA VIE, Łaszewo","spotify:album:1jyr9byDQASsa5aR5oQbqg","Little Planets - Remix","spotify:artist:0QkgnHpxSCOYdTnhUR9S5k, spotify:artist:6jxGLrn1I14RIeRYodOpLN","RIZ LA VIE, Łaszewo","2023-04-07","https://i.scdn.co/image/ab67616d0000b273d196a2c8e906ee0cec1a253d","1","1","240000","https://p.scdn.co/mp3-preview/4a728329726afa796c2354481500b2e01a7c856c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","57","QM24S2302267","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2023-06-02T19:49:57Z"
"spotify:track:4qDpLaFGf5ampf2DXD2TMA","Where You Are","spotify:artist:7kNqXtgeIwFtelmRjWv205, spotify:artist:4yX6mpMyBGf9UfvBB8JJrc","John Summit, Hayla","spotify:album:4bIEy1wDeaEklS1BanbsmR","Where You Are","spotify:artist:7kNqXtgeIwFtelmRjWv205, spotify:artist:4yX6mpMyBGf9UfvBB8JJrc","John Summit, Hayla","2023-03-03","https://i.scdn.co/image/ab67616d0000b2731744223e31fd75e05a0f5f02","1","1","236000","https://p.scdn.co/mp3-preview/610a27b72692e501048d620e29168973e827cf28?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USUG12301338","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2023-06-02T19:51:13Z"
"spotify:track:5HGxLtYxTriF7mMiriSpaz","You Were Right","spotify:artist:5Pb27ujIyYb33zBqVysBkj","RÜFÜS DU SOL","spotify:album:4EAehCii5lZgeewct1LA5p","Bloom","spotify:artist:5Pb27ujIyYb33zBqVysBkj","RÜFÜS DU SOL","2016-01-22","https://i.scdn.co/image/ab67616d0000b27360e5059dcab339142d7642bb","1","4","239417","https://p.scdn.co/mp3-preview/345302a05bee2c1e83ce328a365e130e74666a31?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","AUDCB1500501","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2023-06-02T19:51:23Z"
"spotify:track:44xO8889yUQHn70P73NILS","Believe Me","spotify:artist:6YCM9JwkqdEFQSzztmh4Kb","Navos","spotify:album:7GJVQX2wiktNMP4QV20Y3E","Believe Me","spotify:artist:6YCM9JwkqdEFQSzztmh4Kb","Navos","2021-01-22","https://i.scdn.co/image/ab67616d0000b273ddc685f76ffabc0e9aea6aab","1","1","188260","https://p.scdn.co/mp3-preview/aa523c6a4c3d6bc8a8e8a627c7bb23c155b24581?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","GBUM72100423","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2023-06-02T19:51:35Z"
"spotify:track:6ho0GyrWZN3mhi9zVRW7xi","Losing It","spotify:artist:1VJ0briNOlXRtJUAzoUJdt","FISHER","spotify:album:143cxYCazoiNfviHRmxkdv","Losing It","spotify:artist:1VJ0briNOlXRtJUAzoUJdt","FISHER","2018-07-13","https://i.scdn.co/image/ab67616d0000b2739367c1ee2eec0bf3a04b4868","1","1","248035","https://p.scdn.co/mp3-preview/32b2d8fe7295f497de941cc2a780d287975f723f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","CA5KR1821202","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2023-06-02T19:51:45Z"
"spotify:track:2cSdAkzAf2T4j4aLvx4LLz","Baby Girl","spotify:artist:5Kmr0b3ip8g9P2i0dLTC3Z","Disco Lines","spotify:album:06SuoEMTpd5PGRVwuIpETC","Baby Girl","spotify:artist:5Kmr0b3ip8g9P2i0dLTC3Z","Disco Lines","2022-06-15","https://i.scdn.co/image/ab67616d0000b27345e61dc802ecd73217eb5cfc","1","1","111074","https://p.scdn.co/mp3-preview/4a22b4616e39db215d486cad76339861da696658?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","QZHN42278148","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2023-06-02T19:52:11Z"
"spotify:track:0w7JPlp7eEQI2EKW3ayXrv","Drugs From Amsterdam","spotify:artist:0w1sbtZVQoK6GzV4A4OkCv","Mau P","spotify:album:060SvgMzLKrNzpvVLK5gSo","Drugs From Amsterdam","spotify:artist:0w1sbtZVQoK6GzV4A4OkCv","Mau P","2022-09-16","https://i.scdn.co/image/ab67616d0000b273a8270fb7bd24767babe59423","1","1","235785","https://p.scdn.co/mp3-preview/b33fdcfd377aed11a46ac76241e9f8febfd7c49f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","GBK6Y2251421","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2023-06-02T19:52:28Z"
"spotify:track:4FEcEwbE2vsqhxbTPtiNTL","Summer 91 (Looking Back)","spotify:artist:3VRyybsQu0MDG0F2LBxnv7","Noizu","spotify:album:4QCh5emLRWuIg8CUzprNXm","Summer 91 (Looking Back)","spotify:artist:3VRyybsQu0MDG0F2LBxnv7","Noizu","2021-01-15","https://i.scdn.co/image/ab67616d0000b2733c0c35544b3c51b9b8896f87","1","1","180000","https://p.scdn.co/mp3-preview/6f592db3222615d54296e36aa7a3c31f9608e37b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","GBARL2001582","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2023-06-02T19:52:36Z"
"spotify:track:5w9upngVRHNjdZcRC7Xxr2","Delilah (pull me out of this)","spotify:artist:4oLeXFyACqeem2VImYeBFe, spotify:artist:3WtrH1zNpzoPSz6XpwCh6y","Fred again.., Delilah Montagu","spotify:album:5q2iMctlDvEMYVIawF6Vop","Actual Life 3 (January 1 - September 9 2022)","spotify:artist:4oLeXFyACqeem2VImYeBFe","Fred again..","2022-10-28","https://i.scdn.co/image/ab67616d0000b2737622b889949b07f15c6b57e2","1","3","250702","https://p.scdn.co/mp3-preview/46daffb983df603a433183d664ffca99680a5be1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","GBAHS2201419","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2023-06-02T19:52:44Z"
"spotify:track:780be5fB7823aHG06mwTat","Baianá","spotify:artist:3MyFDtqB80WZvbtCZRsekM","Bakermat","spotify:album:5pmFI5q0ob82elppBCel0W","The Ringmaster","spotify:artist:3MyFDtqB80WZvbtCZRsekM","Bakermat","2020-10-09","https://i.scdn.co/image/ab67616d0000b273fc7ce3acfa2e8c2479bcf621","1","4","180842","https://p.scdn.co/mp3-preview/b27af037e83b336a4f4ced48947a370ce7adef17?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","NLE801900440","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2023-06-02T19:52:52Z"
"spotify:track:1gRQxbfL4ULWyTosgXSbWT","You Little Beauty","spotify:artist:1VJ0briNOlXRtJUAzoUJdt","FISHER","spotify:album:1voOnpa4pILlDPVsrIFl8b","You Little Beauty","spotify:artist:1VJ0briNOlXRtJUAzoUJdt","FISHER","2019-05-10","https://i.scdn.co/image/ab67616d0000b273c9103bcebb6bf4ca93c7ad3d","1","1","206587","https://p.scdn.co/mp3-preview/1a566fe628d8cd7af7be86d53fe88168c0dc500e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","CA5KR1923939","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2023-06-02T19:53:13Z"
"spotify:track:1sZQtFwMz89Gqn4Lp5RN6V","Ooh I Like It","spotify:artist:4JTkIfeEbQaE8B56tZ9zhR","Discochic","spotify:album:0JSZ7cWjpJ8APxWb6MYKj7","Histoire","spotify:artist:4JTkIfeEbQaE8B56tZ9zhR","Discochic","2019-02-05","https://i.scdn.co/image/ab67616d0000b273d0e7af2337d1f68705a52d2c","1","1","134883","https://p.scdn.co/mp3-preview/ad3f4a91600e33c4703fa628b03839d5f66fc549?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","QZDA51965586","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2023-06-02T19:53:23Z"
"spotify:track:0rkVQ8MzzfX40xtNkC6hjA","Losing My Mind - Mandal & Forbes Remix","spotify:artist:0Q9slhIaEgg190iG8udYIV, spotify:artist:1eIoJGCu3rShrRm2wfOhN8, spotify:artist:2IsGmtnhtOaU6EZeRwfxJv","Philip George, Saint Raymond, Mandal & Forbes","spotify:album:5SUJGeUQD32tzJRfgikYHR","Losing My Mind (Mandal & Forbes Remix)","spotify:artist:0Q9slhIaEgg190iG8udYIV","Philip George","2018-05-04","https://i.scdn.co/image/ab67616d0000b273a03fd4a15d3418b66ce2e859","1","1","268524","https://p.scdn.co/mp3-preview/cdb3e55f57200e9daf92452e23a9040598171402?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","GBSXS1700219","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2023-06-02T19:53:37Z"
"spotify:track:5auepChUKwbHO1NWBwqGBN","One Last Night On Earth - Speaker Of The House Remix","spotify:artist:00sAT5YX8W3xNd1EuqyHw9","Dada Life","spotify:album:6EAROQtS16YckG2Iw0g4I9","One Last Night On Earth (Remixes)","spotify:artist:00sAT5YX8W3xNd1EuqyHw9","Dada Life","2015-01-01","https://i.scdn.co/image/ab67616d0000b273e6fcee62cbf8611bb741b51e","1","1","219520","https://p.scdn.co/mp3-preview/df0cb92c32b68ed7497cdf2c48d47157e6ff7905?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","SE22J1500031","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2023-06-02T19:54:02Z"
