"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2L9N0zZnd37dwF0clgxMGI","ceilings","spotify:artist:1GmsPCcpKgF9OhlNXjOsbS","Lizzy McAlpine","spotify:album:68L5xVV9wydotfDXEik7eD","five seconds flat","spotify:artist:1GmsPCcpKgF9OhlNXjOsbS","Lizzy McAlpine","2022-04-08","https://i.scdn.co/image/ab67616d0000b273d370fdc4dbc47778b9b667c3","1","8","182887","https://p.scdn.co/mp3-preview/580782ffb17d468fe5d000bdf86cc07926ff9a5a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","87","GBKPL2280163","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2023-12-11T08:07:52Z"
"spotify:track:43iIQbw5hx986dUEZbr3eN","From The Start","spotify:artist:7gW0r5CkdEUMm42w9XpyZO","Laufey","spotify:album:1rpCHilZQkw84A3Y9czvMO","Bewitched","spotify:artist:7gW0r5CkdEUMm42w9XpyZO","Laufey","2023-09-08","https://i.scdn.co/image/ab67616d0000b27374c732f8aa0e0ccbb3d17d96","1","10","169573","https://p.scdn.co/mp3-preview/3cdcd256d89b8634adc47aebbcf6db256e3b9978?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","QMDA62312093","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2023-12-11T08:07:52Z"
"spotify:track:3nKVSMr4v08gDL7k6mtLom","Flowers","spotify:artist:2praUrFAMThqstqmD6faQn, spotify:artist:7K5Lm5dxoEwEpOS0Fc3l3s, spotify:artist:3brvz8iY9RVIbbM8KDb3hH","Eva Noblezada, Anaïs Mitchell, Hadestown Original Broadway Company","spotify:album:0qPmikXriNJRxOyIo2w2px","Flowers","spotify:artist:2praUrFAMThqstqmD6faQn, spotify:artist:7K5Lm5dxoEwEpOS0Fc3l3s, spotify:artist:3brvz8iY9RVIbbM8KDb3hH","Eva Noblezada, Anaïs Mitchell, Hadestown Original Broadway Company","2019-06-07","https://i.scdn.co/image/ab67616d0000b273d7746a3f0dd299298ab8c083","1","1","211038","https://p.scdn.co/mp3-preview/c23321d6afcfbdda9b6f2fae468cf11f88026c18?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","USWB11901378","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2023-12-11T08:07:52Z"
"spotify:track:3NtTKjbIK879ragqZCq3gC","When Will My Life Begin? - From ""Tangled"" / Soundtrack Version","spotify:artist:2LJxr7Pt3JnP60eLxwbDOu","Mandy Moore","spotify:album:6qykGE5x584duyLVYcnojE","Disney Summer Songs","spotify:artist:3xvaSlT4xsyk6lY1ESOspO","Disney","2021-05-28","https://i.scdn.co/image/ab67616d0000b27388062d440672c745e09b464e","1","7","152213","https://p.scdn.co/mp3-preview/fc4e72bd3ba3f7a17776edba3eb86b7a2b1a1a47?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","USWD11054836","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2023-12-11T08:07:52Z"
"spotify:track:3ZiuxcBeRanTjfHzVBuuQe","Would You Be So Kind","spotify:artist:21TinSsF5ytwsfdyz5VSVS","dodie","spotify:album:6xeFX3yRvaEV7ny5WKZ4cA","You - EP","spotify:artist:21TinSsF5ytwsfdyz5VSVS","dodie","2017-08-11","https://i.scdn.co/image/ab67616d0000b27309815974458b8b0535b23a7d","1","6","180952","https://p.scdn.co/mp3-preview/8aa1ae5ea499df4cb3cfcbd192febefc43322b92?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","GBLFP1744741","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2023-12-11T08:07:52Z"
"spotify:track:4KGGeE7RJsgLNZmnxGFlOj","Falling Behind","spotify:artist:7gW0r5CkdEUMm42w9XpyZO","Laufey","spotify:album:0Ydm84ftyiWRGOIFkdl30L","Everything I Know About Love","spotify:artist:7gW0r5CkdEUMm42w9XpyZO","Laufey","2022-08-26","https://i.scdn.co/image/ab67616d0000b27348341e864d4b4881f56f01b4","1","10","173640","https://p.scdn.co/mp3-preview/85ba231413741bc408465f23bdf1d1ea5b2c4dac?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","GBKPL2298396","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2023-12-11T08:07:52Z"
"spotify:track:5GpEHUNI0T7L7H3DnAaBXh","reckless driving","spotify:artist:1GmsPCcpKgF9OhlNXjOsbS, spotify:artist:6Lx82nbEVfeTfEa4yT01Jo","Lizzy McAlpine, Ben Kessler","spotify:album:68L5xVV9wydotfDXEik7eD","five seconds flat","spotify:artist:1GmsPCcpKgF9OhlNXjOsbS","Lizzy McAlpine","2022-04-08","https://i.scdn.co/image/ab67616d0000b273d370fdc4dbc47778b9b667c3","1","6","189247","https://p.scdn.co/mp3-preview/7faf002a608ed8b5c0290f53e75ebf57dcf5307b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","GBKPL2280161","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2023-12-11T08:07:52Z"
"spotify:track:5odlY52u43F5BjByhxg7wg","golden hour","spotify:artist:164Uj4eKjl6zTBKfJLFKKK","JVKE","spotify:album:69AaAkdktFGnk9POmHENkT","this is what ____ feels like (Vol. 1-4)","spotify:artist:164Uj4eKjl6zTBKfJLFKKK","JVKE","2022-09-23","https://i.scdn.co/image/ab67616d0000b273c2504e80ba2f258697ab2954","1","3","209259","https://p.scdn.co/mp3-preview/bcc17f30841d6fbf3cd7954c3e3cf669f11b6a21?cid=9950ac751e34487dbbe027c4fd7f8e99","false","86","GBKPL2204171","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2023-12-11T08:07:52Z"
"spotify:track:6nkcPGa0sr24NFCc5l5UjE","If I Could Tell Her","spotify:artist:6qGkLCMQkNGOJ079iEcC5k, spotify:artist:5hqM93qFRmwRv3QGrLO0jK","Ben Platt, Laura Dreyfuss","spotify:album:0LhDyJXelg31FKLW5GDcKi","Dear Evan Hansen (Original Broadway Cast Recording)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2017-02-03","https://i.scdn.co/image/ab67616d0000b273eefa3ed06dec22db89d0e793","1","6","248653","https://p.scdn.co/mp3-preview/c50721a458fb804fd01a824e7dda14d843238637?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","USAT21603425","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2023-12-11T08:07:52Z"
"spotify:track:5a6FpH6vRxYdQeCZBcIUb7","Flesh & Bone","spotify:artist:3lFDsTyYNPQc8WzJExnQWn","Sammy Rae & The Friends","spotify:album:4s1igjt5YJe7s7BdCeX3DX","The Good Life","spotify:artist:3lFDsTyYNPQc8WzJExnQWn","Sammy Rae & The Friends","2018-07-10","https://i.scdn.co/image/ab67616d0000b2733378545422c5257483f6230e","1","3","267677","https://p.scdn.co/mp3-preview/f0f7b0da23ead99e6c93db53ca5948f1bb803aa8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","TCADR1880701","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2023-12-11T08:07:52Z"
