"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0nqymb0zd4FETcgehqEhhb","Frenergy","spotify:artist:4lRtOIhZ2JYNmnFLwUBFkl, spotify:artist:0Uw4uoOs9QyHP6YdR8uTCr, spotify:artist:3igzfkiNlpKlJyD9la8vhf","John Estacio, Edmonton Symphony Orchestra, Mario Bernardi","spotify:album:4pV2JWvLiqyPbzUo8UOKSN","Estacio: Frenergy - The Music of John Esacio","spotify:artist:4lRtOIhZ2JYNmnFLwUBFkl, spotify:artist:3igzfkiNlpKlJyD9la8vhf","John Estacio, Mario Bernardi","2000-01-01","https://i.scdn.co/image/ab67616d0000b273fe92c02314e7d9c62c86e02a","1","1","308626","https://p.scdn.co/mp3-preview/90e6d4dcfc52585466a15ab1198034766e39f140?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","CACA30400091","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2020-07-23T17:21:27Z"
"spotify:track:39Z9ykUp9MBDMP1QZTj809","Piano Quintet in A Major, Op. 81, B. 155: I. Allegro ma non tanto","spotify:artist:6n7nd5iceYpXVwcx8VPpxF, spotify:artist:4J806QjdyKrK4guMFMRzKc, spotify:artist:5wGjBfNr8d9ML0S2EpOVcU, spotify:artist:3Okrd3zPE1XfWijLusrya0, spotify:artist:4FTHhVZSu5VryaDvlN0sxf, spotify:artist:6mxKqEHPXH9qUGaFLFnkfR","Antonín Dvořák, Salvatore Accardo, Margaret Batjer, Toby Hoffman, Peter Wiley, Bruno Canino","spotify:album:3X7WO8Aa3drcdlaHlKqr7n","Dvorak: Piano Quintet in A Major / 4 Romantic Pieces","spotify:artist:6n7nd5iceYpXVwcx8VPpxF, spotify:artist:4J806QjdyKrK4guMFMRzKc","Antonín Dvořák, Salvatore Accardo","1994-01-01","https://i.scdn.co/image/ab67616d0000b2730e6f08a1241b4d1c0dc6e5c7","1","1","902000","https://p.scdn.co/mp3-preview/329d0f18226aecad42d285d53a1805623a8f6e18?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","ITN320900443","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2020-07-23T17:22:36Z"
"spotify:track:4E1Rquqd8ZAnOy3BYK0K1Z","Un sospiro","spotify:artist:1385hLNbrnbCJGokfH2ac2, spotify:artist:1RMjtNqKOM6V36EngDqEBw","Franz Liszt, Van Cliburn","spotify:album:2mF0zRI9PTEUDvjDAZ8Mbi","My Favorite Liszt","spotify:artist:1385hLNbrnbCJGokfH2ac2, spotify:artist:1RMjtNqKOM6V36EngDqEBw","Franz Liszt, Van Cliburn","2000-05-16","https://i.scdn.co/image/ab67616d0000b27321d1c2ac4f407f47e7a1d03a","1","2","341000","https://p.scdn.co/mp3-preview/e4a5ced990e9752ff7e8297f5043319721c7fa2c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","USBC19901736","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2020-07-23T17:23:10Z"
"spotify:track:2QRfG2uFwJ6rW1lUOgWCGX","Mallorca","spotify:artist:4sbcjbyksdT4dJ5Lh0SvZp, spotify:artist:7pkWVQUfPqRoHxf6qkJdh9","Isaac Albéniz, Machiko Kikuchi","spotify:album:0YQMKwJ9cW1DGSPSg7mgsF","The Ultimate Most Relaxing Classical Guitar Music In the Universe","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2009-01-01","https://i.scdn.co/image/ab67616d0000b273daa0676306c2e2650fa02d4a","1","10","400226","https://p.scdn.co/mp3-preview/b91fce8d341c120fb7dc1343fdf82eec81af3d70?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","USSJ10700094","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2020-07-23T17:23:20Z"
"spotify:track:2KT1FURZwQ2yfqyBUtNN7k","Colas Breugnon, Op. 24: Overture","spotify:artist:46wMXZ6bEoXUlToxUglEtY, spotify:artist:1z9u3vLr7gw6IBS8CP8c2X, spotify:artist:5ieRNtQmVhIhCkQA4ZkK6L","Dmitry Kabalevsky, BBC Philharmonic, Vassily Sinaisky","spotify:album:1WOwSVOem7cWMQwzhunILH","Kabalevsky: Colas Breugnon: Overture / Piano Concerto Nos. 2 and 3 / The Comedians","spotify:artist:46wMXZ6bEoXUlToxUglEtY, spotify:artist:7JmDqds7Y1LRSWZVM8e0Og","Dmitry Kabalevsky, Kathryn Stott","2003-03-01","https://i.scdn.co/image/ab67616d0000b27388c544c3a866aa68e985454a","1","1","284040","","false","0","GBLWD0303801","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2020-07-23T17:25:18Z"
"spotify:track:3MRQn2RYo2VLYMoStnLRxu","Ravel: Pavane pour une infante défunte, M. 19","spotify:artist:17hR0sYHpx7VYTMRfFUOmY, spotify:artist:28Bn2PxtmXD8UbBSM968Fp","Maurice Ravel, Bertrand Chamayou","spotify:album:5Ui8Uj9oHn2yT7Duo0welM","Ravel: Complete Works for Solo Piano","spotify:artist:17hR0sYHpx7VYTMRfFUOmY, spotify:artist:28Bn2PxtmXD8UbBSM968Fp","Maurice Ravel, Bertrand Chamayou","2016-01-15","https://i.scdn.co/image/ab67616d0000b273717e9f36e9548b4e112a0860","1","2","346586","https://p.scdn.co/mp3-preview/759005c6c03aa4ebaec877f61df7f36d011cdfb3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","GBAYC1503749","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2020-07-23T17:25:54Z"
"spotify:track:5zhuWncJsBKrQ1HhmAKNAg","Peer Gynt, Op. 23: IV. In the Hall of the Mountain King","spotify:artist:5ihY290YPGc3aY2xTyx7Gy, spotify:artist:1Q9HCWdqbiui9pOsDtYkXW, spotify:artist:09KZU0NsS7jRa5p0SflmGY","Edvard Grieg, Andrew Davis, Philharmonia Orchestra","spotify:album:2Lqna5CKbzGVWIdVI3Yext","Fright Night: Music That Goes Bump in the Night","spotify:artist:6cyfDgIHHkK574rJUHLc9f","The Philadelphia Orchestra\, The Cleveland Orchestra","1961","https://i.scdn.co/image/ab67616d0000b27317ffb3ff099075bacdf3abb3","1","3","144733","https://p.scdn.co/mp3-preview/c26fee8fed94c884713dd7d318e5b567570c99f9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","USSM19913397","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2020-07-23T17:26:29Z"
"spotify:track:0nF5aQoLs2YtbWwClXvumL","Flight of the Bumblebee","spotify:artist:2kXJ68O899XvWOBdpzlXgs, spotify:artist:3HYV4ZdJ1LSOhPo5ehlEqF, spotify:artist:2JT5ZWU42A5WIjBh3Y9DKU, spotify:artist:1iNPygduJOu0JnzasoDVLE","Nikolai Rimsky-Korsakov, Isaac Stern, Milton Katims, Columbia Symphony Orchestra","spotify:album:1ZTqvi3LMBOSURVkNi5WNq","Humoresque - Favorite Violin Encores [Expanded Edition]","spotify:artist:3HYV4ZdJ1LSOhPo5ehlEqF","Isaac Stern","1963","https://i.scdn.co/image/ab67616d0000b2733d207c7490d0a080991efc40","1","1","77093","https://p.scdn.co/mp3-preview/ac36ed80c50833b7b6efd817efb4a732db40376c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","USSM16301354","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2020-07-23T17:26:44Z"
"spotify:track:04eShjKTWijeJJqGnhxpYK","Scheherazade: The Tale of the Kalendar Prince","spotify:artist:2kXJ68O899XvWOBdpzlXgs, spotify:artist:0k5uXmuyASwY2Cwi5TQki4","Nikolai Rimsky-Korsakov, Lars Hjalmar Joakim","spotify:album:3QXtNXmOyrOfZ2mWG4rw9v","Rimsky-Korsakov: Scheherezade","spotify:artist:2kXJ68O899XvWOBdpzlXgs, spotify:artist:6JigcebfXFm692mmnDVDFO","Nikolai Rimsky-Korsakov, Alexander Lazarev","1999-02-01","https://i.scdn.co/image/ab67616d0000b273734ead825eec82e0d13a7378","1","4","200360","https://p.scdn.co/mp3-preview/1f342f2479f0fe6ae2c084540d1b9e5a6ae76348?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","GBARU9900154","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2020-07-23T17:26:57Z"
"spotify:track:4CZq7M6hBTg77Qhp3TJHdN","Fauré: Pavane, Op. 50","spotify:artist:2gClsBep1tt1rv1CN210SO, spotify:artist:1qHStDLIc8uV7hvTG6FGRJ, spotify:artist:2v1lHgfpG4joXW7kDdDI78","Gabriel Fauré, San Francisco Symphony, Michael Tilson Thomas","spotify:album:05Eck7k66jfjQEs0NGVPHj","Masterpieces in Miniature","spotify:artist:1qHStDLIc8uV7hvTG6FGRJ, spotify:artist:2v1lHgfpG4joXW7kDdDI78","San Francisco Symphony, Michael Tilson Thomas","2014-11-11","https://i.scdn.co/image/ab67616d0000b27382bb0d8973f79e4fd5719465","1","3","385857","https://p.scdn.co/mp3-preview/0d661fa8e5ad0f15d043eac6e1e4e0bcff416d56?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","USEXZ1401034","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2020-07-23T17:27:12Z"
