"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0xuz9pSNwyWljXUgEGEhjp","Every Little Thing She Does Is Magic","spotify:artist:0QWrMNukfcVOmgEU0FEDyD, spotify:artist:7JYdpWAsiqzrmMB3qxkEbI, spotify:artist:5gGbAKDXhDoBXIJe8SuBvX","Jacob Collier, Metropole Orkest, Jules Buckley","spotify:album:47bMDS4CMLbqcIVjEMWUjK","Djesse Vol. 1","spotify:artist:0QWrMNukfcVOmgEU0FEDyD, spotify:artist:7JYdpWAsiqzrmMB3qxkEbI, spotify:artist:5gGbAKDXhDoBXIJe8SuBvX","Jacob Collier, Metropole Orkest, Jules Buckley","2018-12-07","https://i.scdn.co/image/ab67616d0000b273743022e9c8fb580e3dabc397","1","7","278750","https://p.scdn.co/mp3-preview/4d786509dac637039832284cb58963763f337931?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","GBUM71807061","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2022-10-21T04:44:35Z"
"spotify:track:1zNXF2svmdlNxfS5XeNUgr","Don't Know Why","spotify:artist:2Kx7MNY7cI1ENniW7vT30N","Norah Jones","spotify:album:3ArSFkv4OQOosOvYTrZNIl","Come Away With Me (Super Deluxe Edition)","spotify:artist:2Kx7MNY7cI1ENniW7vT30N","Norah Jones","2002-02-26","https://i.scdn.co/image/ab67616d0000b273c648a42b5dad72c8aafceeec","1","1","186251","https://p.scdn.co/mp3-preview/5397a9e2a0a8d818ba82f1f6b19acfc7f52ed001?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USBN20100529","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2022-10-21T04:44:55Z"
"spotify:track:07GvNcU1WdyZJq3XxP0kZa","Go Your Own Way - 2004 Remaster","spotify:artist:08GQAI4eElDnROBrJRGE0X","Fleetwood Mac","spotify:album:1bt6q2SruMsBtcerNVtpZB","Rumours","spotify:artist:08GQAI4eElDnROBrJRGE0X","Fleetwood Mac","1977-02-04","https://i.scdn.co/image/ab67616d0000b27357df7ce0eac715cf70e519a7","1","5","223613","https://p.scdn.co/mp3-preview/26ba8ef966c08f5116fd5ab94efc7a8671e640f5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","USWB10400050","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2022-10-21T04:45:10Z"
"spotify:track:4h9wh7iOZ0GGn8QVp4RAOB","I Ain't Worried","spotify:artist:5Pwc4xIPtQLFEnJriah9YJ","OneRepublic","spotify:album:04PEOM6kIEeq9lRp1asNP2","I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")","spotify:artist:5Pwc4xIPtQLFEnJriah9YJ","OneRepublic","2022-05-13","https://i.scdn.co/image/ab67616d0000b273ec96e006b8bdfc582610ec13","1","1","148485","https://p.scdn.co/mp3-preview/20d702edf937db0248603243a310404923d5bffb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","91","USUM72206227","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2022-10-21T04:45:33Z"
"spotify:track:1xOXXYh6lTW8laxlW7JP2J","Only the Good Die Young","spotify:artist:6zFYqv1mOsgBRQbae3JJ9e","Billy Joel","spotify:album:1Mhn9VosyjtWn4dMPFlna6","The Stranger (Legacy Edition)","spotify:artist:6zFYqv1mOsgBRQbae3JJ9e","Billy Joel","1977","https://i.scdn.co/image/ab67616d0000b2736ce61113662ecf693b605ee5","1","6","235560","https://p.scdn.co/mp3-preview/9e6acbbe97f8a6c71fd21fe606987e1b8840dc8f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","USSM17700374","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2022-10-21T04:45:43Z"
"spotify:track:4IoWCVRIFPESSRPFQh5Hqe","Amelia","spotify:artist:7ufoDy3DR2gEi68WTyUGcu","Katie Lynne Sharbaugh","spotify:album:5XEwZPzmHJYIyGVLA8UgnA","Amelia","spotify:artist:7ufoDy3DR2gEi68WTyUGcu","Katie Lynne Sharbaugh","2021-10-15","https://i.scdn.co/image/ab67616d0000b273d5b9e4ffb069c3276f7d88f9","1","1","155973","https://p.scdn.co/mp3-preview/6baff95f0ee5209932addd1903199ba16bfbb495?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","QZNWR2116088","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2022-10-21T04:46:12Z"
"spotify:track:1WThEmIxSyaqG6fVsyCmcL","Pancakes for Dinner","spotify:artist:1GmsPCcpKgF9OhlNXjOsbS","Lizzy McAlpine","spotify:album:63ButSDtUefzCmdE3AXdor","Give Me A Minute","spotify:artist:1GmsPCcpKgF9OhlNXjOsbS","Lizzy McAlpine","2020-08-13","https://i.scdn.co/image/ab67616d0000b2736c1ff9424f275a8af7c72551","1","10","235035","https://p.scdn.co/mp3-preview/8ea0a6e9b78967ce5f9c59cda10c337a31cc4d77?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","GBKPL2001719","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2022-10-21T04:47:01Z"
"spotify:track:2DnJjbjNTV9Nd5NOa1KGba","You're So Vain","spotify:artist:4FtSnMlCVxCswABUmdhwpm","Carly Simon","spotify:album:79x0PRGIZv33znrCkPkCZ5","No Secrets","spotify:artist:4FtSnMlCVxCswABUmdhwpm","Carly Simon","1972","https://i.scdn.co/image/ab67616d0000b273143aaf19ecc28c7b41d42d9d","1","3","258411","https://p.scdn.co/mp3-preview/64de489763e2f6f83f1ea86152f322656fc494b6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USEE19900883","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2022-10-21T04:51:34Z"
"spotify:track:1BWsOxeMx83OrKGCV4gxly","I Feel the Earth Move","spotify:artist:319yZVtYM9MBGqmSQnMyY6","Carole King","spotify:album:12n11cgnpjXKLeqrnIERoS","Tapestry","spotify:artist:319yZVtYM9MBGqmSQnMyY6","Carole King","1971","https://i.scdn.co/image/ab67616d0000b27323350feac07f56d8b96f33d5","1","1","178560","https://p.scdn.co/mp3-preview/839765848316774f6dc4398f32458a7f267e60b5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","USSM17100508","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2022-10-21T04:51:42Z"
"spotify:track:2eF8pWbiivYsYRpbntYsnc","Signed, Sealed, Delivered (I'm Yours)","spotify:artist:7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder","spotify:album:54ootLtDyMZFr9obtWQvvO","Signed, Sealed And Delivered","spotify:artist:7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder","1970-08-07","https://i.scdn.co/image/ab67616d0000b273c5e9e847ca9c0982b4c91d4b","1","3","161160","https://p.scdn.co/mp3-preview/587a1df7bfa9aa30be4633b36ff46736feb88f97?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","USMO17082643","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2022-10-21T04:52:10Z"
"spotify:track:7qVd0TKcUDUdVaUogsGm4H","Will You Love Me Tomorrow?","spotify:artist:319yZVtYM9MBGqmSQnMyY6","Carole King","spotify:album:12n11cgnpjXKLeqrnIERoS","Tapestry","spotify:artist:319yZVtYM9MBGqmSQnMyY6","Carole King","1971","https://i.scdn.co/image/ab67616d0000b27323350feac07f56d8b96f33d5","1","9","252440","https://p.scdn.co/mp3-preview/42486a8ba6db85fa5732f21304a6a26ce4d44835?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","USSM10800383","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2022-10-21T04:52:24Z"
"spotify:track:30FURVTCpbKyykjSEQzGkH","Back To Black","spotify:artist:6Q192DXotxtaysaqNPy5yR","Amy Winehouse","spotify:album:097eYvf9NKjFnv4xA9s2oV","Back To Black","spotify:artist:6Q192DXotxtaysaqNPy5yR","Amy Winehouse","2006-10-27","https://i.scdn.co/image/ab67616d0000b2738f52f321140e4a76ea720c52","1","5","240440","https://p.scdn.co/mp3-preview/1f2f90440c6a8c69937d1b6ed5d8703c15eff948?cid=9950ac751e34487dbbe027c4fd7f8e99","true","71","GBUM70604698","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2022-10-21T04:52:56Z"
"spotify:track:0sY6ZUTh4yoctD8VIXz339","champagne problems","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:2Xoteh7uEpea4TohMxjtaq","evermore","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2020-12-11","https://i.scdn.co/image/ab67616d0000b27333b8541201f1ef38941024be","1","2","244000","https://p.scdn.co/mp3-preview/033519b1930ef8cf19f2e42bfc31edc97f0bfa1f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","83","USUG12004700","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2022-10-21T04:54:10Z"
"spotify:track:4kOfxxnW1ukZdsNbCKY9br","What's Love Got to Do with It","spotify:artist:1zuJe6b1roixEKMOtyrEak","Tina Turner","spotify:album:5HmYiJnUkFuciiqRrAAv4o","What's Love Got to Do with It?","spotify:artist:1zuJe6b1roixEKMOtyrEak","Tina Turner","1993","https://i.scdn.co/image/ab67616d0000b273e9c361da971c6e81b51ef06b","1","12","226880","https://p.scdn.co/mp3-preview/765249201f9cb6cd6d5251c83929d56805821194?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","USCA28400002","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2022-10-21T04:54:39Z"
"spotify:track:2tjPtYQMmZyvjPTGthh8fS","A Case of You","spotify:artist:7d9zLQGDo0N0TC5aNGcmHW","Joni Mitchell Tribute by Strings Attached","spotify:album:7xjIOjIsQWO9cuWvOurIHM","Strings Attached Plays Joni Mitchell","spotify:artist:7d9zLQGDo0N0TC5aNGcmHW","Joni Mitchell Tribute by Strings Attached","2012-12-20","https://i.scdn.co/image/ab67616d0000b273d32a32bb7f13bfa42fe6aadb","1","1","351738","https://p.scdn.co/mp3-preview/9c3bd093e5c6a02500f87fdefde9ab35e6d0efab?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","GB-SMU-12-67286","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2022-10-21T04:55:22Z"
"spotify:track:4esOae7i4rqTbAu9o5Pxco","Girl on Fire","spotify:artist:3DiDSECUqqY1AuBP8qtaIa","Alicia Keys","spotify:album:3zZSz5VOYSu0jE4MkPCOvN","Girl on Fire (Remixes) - EP","spotify:artist:3DiDSECUqqY1AuBP8qtaIa","Alicia Keys","2012-11-18","https://i.scdn.co/image/ab67616d0000b273a4fe49eb27e8152710e7a590","1","1","224920","https://p.scdn.co/mp3-preview/916d773784dcfeaf0a3f47b0c6b58101615a5700?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","USRC11201015","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2022-10-21T05:03:48Z"
"spotify:track:6TvxPS4fj4LUdjw2es4g21","Slipping Through My Fingers","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","spotify:album:5GByGaws7Cw0t28kjvAOzV","The Visitors (Deluxe Edition)","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","1981","https://i.scdn.co/image/ab67616d0000b27342678f54dfd1d5afb3eea19a","1","8","233720","https://p.scdn.co/mp3-preview/4d7c468ef7ee4ff4951db64d726a507bec47ab14?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","SEAYD8102080","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2022-10-21T05:03:57Z"
"spotify:track:6dGnYIeXmHdcikdzNNDMm2","Here Comes The Sun - Remastered 2009","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","spotify:album:0ETFjACtuP2ADo6LFhL6HN","Abbey Road (Remastered)","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","1969-09-26","https://i.scdn.co/image/ab67616d0000b273dc30583ba717007b00cceb25","1","7","185733","https://p.scdn.co/mp3-preview/c92aa1522f4d342468892d77a4e55e27356aa295?cid=9950ac751e34487dbbe027c4fd7f8e99","false","85","GBAYE0601696","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2022-10-21T05:04:06Z"
"spotify:track:4cOtcRXI3a2v1gEsI1Meeo","Cold Cold Heart","spotify:artist:2Kx7MNY7cI1ENniW7vT30N","Norah Jones","spotify:album:3ArSFkv4OQOosOvYTrZNIl","Come Away With Me (Super Deluxe Edition)","spotify:artist:2Kx7MNY7cI1ENniW7vT30N","Norah Jones","2002-02-26","https://i.scdn.co/image/ab67616d0000b273c648a42b5dad72c8aafceeec","1","3","218600","https://p.scdn.co/mp3-preview/df80173d5955b1170b4866698760db06a3a78681?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","USBN20100878","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2022-10-21T05:04:32Z"
