"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:50tkS8vzXgeoZG6NgLsSBX","Güzel Bir Göz Beni Attı","spotify:artist:7qMU11EGOWoOFrHlrHpbLd","Müzeyyen Senar","spotify:album:1fxS6dfkflJSUxdxcUGVuk","Ayrildi Gönül","spotify:artist:7qMU11EGOWoOFrHlrHpbLd","Müzeyyen Senar","2004-08-20","https://i.scdn.co/image/ab67616d0000b273079863285bf80d10bc2d8686","1","3","231735","https://p.scdn.co/mp3-preview/650625a054554fe399d556eb5a3273a667de45f0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","TR0790600523","spotify:user:morukcan","2022-02-26T19:39:03Z"
"spotify:track:1pV8paCBscEnJWOw2kFSyb","Kimseye Etmem Şikayet","spotify:artist:7qMU11EGOWoOFrHlrHpbLd","Müzeyyen Senar","spotify:album:5J4QWWmohr3y08TRNwWc04","Atatürk'ün Sevdiği Şarkılar","spotify:artist:7qMU11EGOWoOFrHlrHpbLd, spotify:artist:0xsueYxjFxn3v5VAR9YkT9","Müzeyyen Senar, Safiye Ayla","2007-11-23","https://i.scdn.co/image/ab67616d0000b273bcb21c25b5c7aa9ee9ec1142","1","1","196164","https://p.scdn.co/mp3-preview/ef8c14eba06b7efc1d712acae7b1aa86a70ee9b0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","TR0790602208","spotify:user:morukcan","2022-02-26T19:39:32Z"
"spotify:track:43sBQNxRXKopdTZLvgm7yP","Bir Dalda İki Kiraz","spotify:artist:3vrYOJi3MpaaXzE7q4CKYy","Çağdaş Suseven","spotify:album:4TXP2FOJB9vJXtObmnwwGU","İstanbul Türküleri, Vol. 1 (Bir Şarkıdır Yaşamak)","spotify:artist:3vrYOJi3MpaaXzE7q4CKYy","Çağdaş Suseven","2010-07-07","https://i.scdn.co/image/ab67616d0000b273ab9a4ca1974338a59b56f073","1","13","132200","https://p.scdn.co/mp3-preview/4a18cd0eed1b684138788803d92ddbe0b89526d8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","TR8571000347","spotify:user:morukcan","2022-08-24T16:08:23Z"
"spotify:track:1Qk0zwA2ermeVWYfdYvzhZ","Ada Sahillerinde","spotify:artist:0ens3b20ssrugijXZSwXXV","Cemal Çınarlı","spotify:album:5fInRsvYVtkmx1KDmalJfS","Taş Plak Meyhaneleri, Vol. 1 (Agop'un Meyhanesi)","spotify:artist:0ens3b20ssrugijXZSwXXV","Cemal Çınarlı","2000-01-01","https://i.scdn.co/image/ab67616d0000b273474191df4cecd18d440c570f","1","12","115360","","false","0","TR0421300076","spotify:user:morukcan","2022-08-24T16:08:27Z"
"spotify:track:5WumaFZFiyJ70lUhtYFTOC","Elbet Bir Gün Buluşacağız","spotify:artist:7qMU11EGOWoOFrHlrHpbLd","Müzeyyen Senar","spotify:album:48Xi0V0pvsx4VbK0G1pJav","Son Aşkımı Canlandıran","spotify:artist:7qMU11EGOWoOFrHlrHpbLd","Müzeyyen Senar","1987","https://i.scdn.co/image/ab67616d0000b273776ec3740d2e40ea88a37ac5","1","11","356240","https://p.scdn.co/mp3-preview/617a18f4db5515cc2a9734ef4466f74e8c6e357b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","TR0790600067","spotify:user:morukcan","2022-02-26T19:39:50Z"
"spotify:track:3jUhC1S0gWYOdzoCR1WY0m","Neredesin Sen","spotify:artist:1afML5pJuVr3ye8TGyYcV2","Neşet Ertaş","spotify:album:3HKgl0kXmv1978YXP6quuM","Acem Kızı","spotify:artist:1afML5pJuVr3ye8TGyYcV2","Neşet Ertaş","2007-06-21","https://i.scdn.co/image/ab67616d0000b273f5d6165b2965969131294e9f","1","1","236800","","false","58","TRA161200136","spotify:user:morukcan","2022-02-26T19:40:38Z"
"spotify:track:2J4XNycVPilHfPOU6Lhh5I","Yıldızların Altında","spotify:artist:0ZZDIo31D35xGrXYTodWrL","Zeki Müren","spotify:album:72psRaJ9JNqucQloOlHtWs","Yeşilçam Şarkıları Vol. 3 - Yıldızların Altında","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2007-04-19","https://i.scdn.co/image/ab67616d0000b2736a124d78e3ff6240abb34eba","1","2","178979","https://p.scdn.co/mp3-preview/a639f829d6d39e7d91e6686bb4ecffd47591b8cf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","TR2200700312","spotify:user:morukcan","2022-08-24T16:08:41Z"
"spotify:track:1HoJHyOegc91iJuluWzm3p","Sevdim Seni Bir Kere","spotify:artist:0WkxC6x6tZhtSj8BT9ZWaU","Hümeyra","spotify:album:32ME3l8gAu1l52dZAqn1ZB","Bak Bir Varmış Bir Yokmuş","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2002-03-15","https://i.scdn.co/image/ab67616d0000b273f9deaa01d56e00febff94c92","1","14","209733","https://p.scdn.co/mp3-preview/b9476f25cb2afaa92998bd7caeb4dcf83a6d97d1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","TR0490600160","spotify:user:morukcan","2022-08-24T16:08:46Z"
"spotify:track:0rt3l4mqf4gHicTbkVR6bW","Merdo","spotify:artist:4kNfut5xtwFz4AraRDFarT","Aşık Mahzuni Şerif","spotify:album:3MyjypEmaoPl2FRa47Buql","Fırıldak Adam","spotify:artist:4kNfut5xtwFz4AraRDFarT","Aşık Mahzuni Şerif","2001-03-02","https://i.scdn.co/image/ab67616d0000b27300887218d15411ad8c240e87","1","4","304066","https://p.scdn.co/mp3-preview/bdaff370bb7f8b08222d1500e987829fd2ce878a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","TR0430601049","spotify:user:morukcan","2022-02-26T19:40:47Z"
"spotify:track:5ciOzU5DXo4gRHYVuDqsRu","Duydum Ki Unutmuşsun","spotify:artist:7KVIZplHlqnvESsbuFQOnM","Emel Sayın","spotify:album:4OVcV2rbJFdZuhtY6e3p12","Assolistler-Solistler Geçidi, Vol. 1","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2006","https://i.scdn.co/image/ab67616d0000b2737f8d218311aac8887eb1f791","1","11","221746","","false","0","TR2610600182","spotify:user:morukcan","2022-02-26T19:46:08Z"
