"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2UGSb1lHtL291OERBNJuCC","Fuse On","spotify:artist:6Mj20Zm7PRpGzoNN453mSq","Fahir Atakoğlu","spotify:album:7iYwvUo7Q6A6TzR0QGiDhc","Istanbul In Blue","spotify:artist:6Mj20Zm7PRpGzoNN453mSq","Fahir Atakoğlu","2008-01-01","https://i.scdn.co/image/ab67616d0000b273f4471226b5715c014db31b7b","1","1","230626","https://p.scdn.co/mp3-preview/f91274966dd249204a3a7fef62b6ebe72a69f978?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","usl4r0784458","spotify:user:morukcan","2022-11-11T18:27:52Z"
"spotify:track:0sCeNwt8xRCMR4NhKpMyBe","Cantaloupe Island - Remastered 1999/Rudy Van Gelder Edition","spotify:artist:2ZvrvbQNrHKwjT7qfGFFUW","Herbie Hancock","spotify:album:5HCi1WVOT9SGks2deeceFu","Empyrean Isles (Expanded Edition)","spotify:artist:2ZvrvbQNrHKwjT7qfGFFUW","Herbie Hancock","1964-06-17","https://i.scdn.co/image/ab67616d0000b273e9eb91ae8241234cb7aaaa4c","1","3","333946","https://p.scdn.co/mp3-preview/447995f010c2ddf3d3164a3345b89821a10f8fb9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","USBN29801005","spotify:user:morukcan","2022-11-15T19:49:02Z"
"spotify:track:2zQl59dZMzwhrmeSBEgiXY","Watermelon Man","spotify:artist:2ZvrvbQNrHKwjT7qfGFFUW","Herbie Hancock","spotify:album:5fmIolILp5NAtNYiRPjhzA","Head Hunters","spotify:artist:2ZvrvbQNrHKwjT7qfGFFUW","Herbie Hancock","1973-10-26","https://i.scdn.co/image/ab67616d0000b2736b75d57d2d070c0c4afb3f9a","1","2","388960","https://p.scdn.co/mp3-preview/96385abba3c0f2377d6286a849e5bb75e0d6cd7f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","USSM17300166","spotify:user:morukcan","2022-11-15T19:49:06Z"
"spotify:track:4Ce66JznW8QbeyTdSzdGwR","Chameleon","spotify:artist:2ZvrvbQNrHKwjT7qfGFFUW","Herbie Hancock","spotify:album:5fmIolILp5NAtNYiRPjhzA","Head Hunters","spotify:artist:2ZvrvbQNrHKwjT7qfGFFUW","Herbie Hancock","1973-10-26","https://i.scdn.co/image/ab67616d0000b2736b75d57d2d070c0c4afb3f9a","1","1","941360","https://p.scdn.co/mp3-preview/b377de79d3feccc6b10115659358cec4f0a70375?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","USSM17300165","spotify:user:morukcan","2022-11-15T19:49:13Z"
"spotify:track:0XMazZkzVyu1ak6X6qbHzF","Groovin' For Mr. G","spotify:artist:7izkpvBGc31hUccjdSNz8k","Richard ""Groove"" Holmes","spotify:album:1QjMn2U1p5LFMTJjaujZB0","Blue Break Beats Volume 1","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","1993","https://i.scdn.co/image/ab67616d0000b2739db512c51eb0c4cd8530b336","1","1","252960","","false","0","USBN29200332","spotify:user:morukcan","2022-11-15T19:50:01Z"
"spotify:track:1339zcu7kIJpbr1Y4EzNdj","Knucklehead","spotify:artist:05YVYeV4HxYp5rrWalvuE1","Grover Washington\, Jr.","spotify:album:0tWyb1GLIufU2aherYitsf","Cool Jazz Saxophone","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2014-08-30","https://i.scdn.co/image/ab67616d0000b2736eeee519b4a529a58d7efdc6","1","10","479466","","false","0","USUMG0000294","spotify:user:morukcan","2022-11-15T19:50:17Z"
"spotify:track:5xMg1CkLq9HU59eUAiYgdb","Inner City Blues (Make Me Wanna Holler)","spotify:artist:05YVYeV4HxYp5rrWalvuE1","Grover Washington\, Jr.","spotify:album:3J6p3dDXvwEYJRyGjQwrkq","The Best Of Grover Washington Junior: Anthology Series","spotify:artist:05YVYeV4HxYp5rrWalvuE1","Grover Washington\, Jr.","1996-01-01","https://i.scdn.co/image/ab67616d0000b273e97d8440fd383be6b92c270b","1","3","433026","","false","0","USMO17282658","spotify:user:morukcan","2022-11-15T19:51:44Z"
"spotify:track:2G3RPvpBg18b4tWOdZWCGG","Sync Op","spotify:artist:6Mj20Zm7PRpGzoNN453mSq","Fahir Atakoğlu","spotify:album:7iYwvUo7Q6A6TzR0QGiDhc","Istanbul In Blue","spotify:artist:6Mj20Zm7PRpGzoNN453mSq","Fahir Atakoğlu","2008-01-01","https://i.scdn.co/image/ab67616d0000b273f4471226b5715c014db31b7b","1","2","447653","https://p.scdn.co/mp3-preview/483b6776ae6524c348c18a3f5918ccb55307cc34?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","usl4r0784459","spotify:user:morukcan","2022-11-17T09:05:11Z"
"spotify:track:0T1EaGm6b9eM7xBf4F1hlc","Maiden Voyage - Remastered","spotify:artist:2ZvrvbQNrHKwjT7qfGFFUW","Herbie Hancock","spotify:album:7huPJTTsWVt854oZkr88mf","Maiden Voyage","spotify:artist:2ZvrvbQNrHKwjT7qfGFFUW","Herbie Hancock","1965-05-17","https://i.scdn.co/image/ab67616d0000b27344e77f19a8f35955870d4907","1","1","477093","https://p.scdn.co/mp3-preview/821c59d48410ccef07169cf89a365ce7a3dd2104?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","USBN29801061","spotify:user:morukcan","2022-11-29T19:11:51Z"
"spotify:track:5RrJCusmR1J54b5ivqdWIu","Spain","spotify:artist:5olDKSsFhhmwh8UCWwKtpq, spotify:artist:1txWOvvuItlRlkB4rM0cUK","Chick Corea, Return To Forever","spotify:album:2b53ZhXIiCGr3rPTYkpVeF","Light As A Feather","spotify:artist:5olDKSsFhhmwh8UCWwKtpq, spotify:artist:1txWOvvuItlRlkB4rM0cUK","Chick Corea, Return To Forever","1973-01-01","https://i.scdn.co/image/ab67616d0000b273c4f672078a1e58460b23e1ea","1","6","590866","https://p.scdn.co/mp3-preview/086d69f77ce5eddfd344f25a68b40d843be7a1f3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","USPR37200024","spotify:user:morukcan","2022-11-29T19:12:04Z"
"spotify:track:0PccCPDXV2C1QBgfJyLi9R","Gentle Thoughts","spotify:artist:2ZvrvbQNrHKwjT7qfGFFUW","Herbie Hancock","spotify:album:13rwtqLWF1jl1NEDhgbYsw","Secrets","spotify:artist:2ZvrvbQNrHKwjT7qfGFFUW","Herbie Hancock","1976-08","https://i.scdn.co/image/ab67616d0000b2731b9794b4afff82d30eb49e3d","1","5","422453","https://p.scdn.co/mp3-preview/4530b97064893222c382b814322e71ba19b9cbb0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","USSM17600315","spotify:user:morukcan","2022-12-05T06:06:48Z"
"spotify:track:0m8tSPLHhjhGToD6LW0RPp","Windows","spotify:artist:5olDKSsFhhmwh8UCWwKtpq","Chick Corea","spotify:album:42yiUOGntY4V5W3rf7Glus","The Best Of Chick Corea","spotify:artist:5olDKSsFhhmwh8UCWwKtpq","Chick Corea","1993-01-01","https://i.scdn.co/image/ab67616d0000b2732cb0f07e5cc1a5f558f4b434","1","5","191933","https://p.scdn.co/mp3-preview/85372b33292a2e82a802f2c7ff22cdc6a5785b61?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","USBN28800613","spotify:user:morukcan","2022-12-18T11:37:05Z"
"spotify:track:5nZnAVUt0w7UO8Wma9GabV","Tutu","spotify:artist:0kbYTNQb4Pb1rPbbaF0pT4","Miles Davis","spotify:album:0toDuabaPv8Pa2KGI88eB7","Tutu","spotify:artist:0kbYTNQb4Pb1rPbbaF0pT4","Miles Davis","1986-12","https://i.scdn.co/image/ab67616d0000b273599dfe976032830e5ec68945","1","1","316666","https://p.scdn.co/mp3-preview/2a1252b7a419fbad8b61d086e7c9c57d0644d9d3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","USWB19903070","spotify:user:morukcan","2022-12-18T11:37:13Z"
