"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2q4gGYNmNYNyqgpVmGJH0c","Cannons","spotify:artist:1Z2KInfSmPOzAIYyiaXeti","Youth Lagoon","spotify:album:0mcvDycoex7ANLZOmVVRoD","The Year of Hibernation","spotify:artist:1Z2KInfSmPOzAIYyiaXeti","Youth Lagoon","2011-09-27","https://i.scdn.co/image/ab67616d0000b27386e65a4f3c8f97c619488c40","1","2","224773","","false","0","USFP71125502","spotify:user:jeongshin","2017-02-01T05:57:25Z"
"spotify:track:6Nl5jjykRxa7salssZ0aER","Without You","spotify:artist:5cIc3SBFuBLVxJz58W2tU9","Oh Wonder","spotify:album:5GXrievxdXgabSPY9gVq5J","Oh Wonder","spotify:artist:5cIc3SBFuBLVxJz58W2tU9","Oh Wonder","2015-09-04","https://i.scdn.co/image/ab67616d0000b2735415d2c17cebb3899f039c37","1","8","224740","","false","0","GB9L31400025","spotify:user:jeongshin","2017-04-25T03:54:04Z"
"spotify:track:6tqzOYuE3lrNVPDgtF3MjM","Youth","spotify:artist:46CitWgnWrvF9t70C2p1Me","Daughter","spotify:album:6E76aabodIl5DW5BTEZPHG","If You Leave","spotify:artist:46CitWgnWrvF9t70C2p1Me","Daughter","2013-03-18","https://i.scdn.co/image/ab67616d0000b2734441fbfc0e9acd17edb29004","1","3","253013","","false","0","GBAFL1200314","spotify:user:jeongshin","2017-06-30T04:33:13Z"
"spotify:track:66olzBxCgKlpFRB1LKH5pO","Mushaboom","spotify:artist:6CWTBjOJK75cTE8Xv8u1kj","Feist","spotify:album:1dukVxiix2ckr6CMs1T1zI","Let It Die","spotify:artist:6CWTBjOJK75cTE8Xv8u1kj","Feist","2004-01-01","https://i.scdn.co/image/ab67616d0000b2737eed089be836e66ce2c2b65d","1","2","224506","https://p.scdn.co/mp3-preview/20e867f47838be2d826a8928271bd3c38da0fd41?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","FRZ020302530","spotify:user:jeongshin","2017-06-30T04:33:52Z"
"spotify:track:006AVH7fq061voGXkUiII4","Fingertips","spotify:artist:5xxkw4ElO0WX3v4i1W5kAQ","Ryan O'Shaughnessy","spotify:album:3MksslTJffj1jqxGkQt8Tm","Fingertips","spotify:artist:5xxkw4ElO0WX3v4i1W5kAQ","Ryan O'Shaughnessy","2015-09-27","https://i.scdn.co/image/ab67616d0000b27395ee4951ef604431913645d1","1","1","191572","https://p.scdn.co/mp3-preview/0814a6a122adf56c5a4162b025b6a469e1f3f347?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","IELWB1500001","spotify:user:jeongshin","2017-08-27T21:53:23Z"
"spotify:track:4UKCKdYiLN6IMA5ZESUTL7","the remedy for a broken heart (why am I so in love)","spotify:artist:15UsOTVnJzReFVN1VCnxy4","XXXTENTACION","spotify:album:2Ti79nwTsont5ZHfdxIzAm","?","spotify:artist:15UsOTVnJzReFVN1VCnxy4","XXXTENTACION","2018-03-16","https://i.scdn.co/image/ab67616d0000b273806c160566580d6335d1f16c","1","5","160184","https://p.scdn.co/mp3-preview/ccd184ff188ac979f496bf5dcc54afbf2f934db6?cid=9950ac751e34487dbbe027c4fd7f8e99","true","78","USUG11800488","spotify:user:jeongshin","2018-05-05T00:57:20Z"
"spotify:track:1jvweZLzDnuvOHMFA7J5oA","Anaesthetic","spotify:artist:0VQKssIfRKfSd7IfW3JIP1","Thomston","spotify:album:0gIM5JccfKC3XSVGoJxhgS","Argonaut - EP","spotify:artist:0VQKssIfRKfSd7IfW3JIP1","Thomston","2015-08-05","https://i.scdn.co/image/ab67616d0000b273d1024235581c251437fe7a36","1","2","261072","https://p.scdn.co/mp3-preview/bf4deadeaffd9892b73b4e5be2509bf3925a0dbc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","TCABY1425113","spotify:user:jeongshin","2018-09-17T01:56:11Z"
"spotify:track:1gOTLXloeEsw7cbARwnEvs","Always Gold","spotify:artist:5EM6xJN2QNk0cL7EEm9HR9","Radical Face","spotify:album:2TeF5pfiRiitOo3nhljb71","The Family Tree: The Roots","spotify:artist:5EM6xJN2QNk0cL7EEm9HR9","Radical Face","2011-10-04","https://i.scdn.co/image/ab67616d0000b27316986b07ca835295ef656956","1","10","355666","https://p.scdn.co/mp3-preview/a0300bf74dbbed4116a8eb9a6ff2ce2f7ee3e8a9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","QMW3D1100010","spotify:user:jeongshin","2018-09-22T20:43:55Z"
"spotify:track:451GvHwY99NKV4zdKPRWmv","Banana Pancakes","spotify:artist:3GBPw9NK25X1Wt2OUvOwY3","Jack Johnson","spotify:album:7tTc46dNdE6GGuiQsssWxo","In Between Dreams","spotify:artist:3GBPw9NK25X1Wt2OUvOwY3","Jack Johnson","2005-01-01","https://i.scdn.co/image/ab67616d0000b27306b42768ebe736eec21336ea","1","3","191906","https://p.scdn.co/mp3-preview/298793b9568b3a0ad115f70659d31a3d85395be1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","USMC60400032","spotify:user:jeongshin","2018-09-26T02:29:48Z"
"spotify:track:4d4OJTq2Yl7TyiuGMLxa1h","Olalla","spotify:artist:3ccVtqcqedranb7y8eywJ5","Blanco White","spotify:album:7ezEVlzMBGfVkGWuwcINqY","Olalla","spotify:artist:3ccVtqcqedranb7y8eywJ5","Blanco White","2018-06-22","https://i.scdn.co/image/ab67616d0000b273cfe2001d1d0e6475bc90dac6","1","1","247373","","false","0","UK4GH1800028","spotify:user:jeongshin","2019-05-16T02:22:32Z"
"spotify:track:5TuICc3rZeDaNP7mpRqlFj","Le vent nous portera","spotify:artist:3nOQJdlPEzFVhTEzxwcGax","Sophie Hunger","spotify:album:3SVpFHo6qHJe6jiiHllFfT","1983","spotify:artist:3nOQJdlPEzFVhTEzxwcGax","Sophie Hunger","2010-03-26","https://i.scdn.co/image/ab67616d0000b2735af46a6b742ea96a41f0fac0","1","7","226184","","false","0","CH4931000020","spotify:user:jeongshin","2019-06-04T00:27:50Z"
"spotify:track:21xRlfE6OjTAFQ4wd9u8IU","Girl - Acoustic","spotify:artist:6AyATGg7mDgBlZ4N5uNog0","SYML","spotify:album:7fdAAXgcc7E5F9XE0ZFDQs","Girl (Acoustic)","spotify:artist:6AyATGg7mDgBlZ4N5uNog0","SYML","2018-08-17","https://i.scdn.co/image/ab67616d0000b2735c8635710cdd7eb737d6b201","1","1","211881","","false","0","CAN111800227","spotify:user:jeongshin","2019-11-18T19:44:09Z"
"spotify:track:0xRLP2ZoNjBWh2GnUebqpG","August","spotify:artist:32zeX1IoVKAGWMyy1isKUq","No Vacation","spotify:album:04Yi3MVgftQcAqIqVdy9Wu","Amo XO","spotify:artist:32zeX1IoVKAGWMyy1isKUq","No Vacation","2015-04-06","https://i.scdn.co/image/ab67616d0000b273e1918cbed620f9f4b40a2a62","1","5","190080","","false","19","USHM81626725","spotify:user:jeongshin","2019-11-26T08:44:24Z"
"spotify:track:77Uo6nqkmG5eFLgTuQcZIV","Being in Love with U","spotify:artist:0Q2Tc5yZFJpumLMc7Yz4e4","Tomppabeats","spotify:album:217LLrb47lzGE3HANjBLnn","Harbor","spotify:artist:0Q2Tc5yZFJpumLMc7Yz4e4","Tomppabeats","2016-05-06","https://i.scdn.co/image/ab67616d0000b273d5800f8720e1714bce93cad7","1","30","49548","","false","0","DEQ121639514","spotify:user:jeongshin","2019-12-04T07:56:56Z"
"spotify:track:2CxLla7i6lur02aOVMHPMK","Someday - triple j Like A Version","spotify:artist:12fRkVfO2fUsz1QHgDAG3g","Julia Jacklin","spotify:album:0GdoJHiw5DpePwcIfPOPHz","Someday (triple j Like A Version)","spotify:artist:12fRkVfO2fUsz1QHgDAG3g","Julia Jacklin","2019-07-25","https://i.scdn.co/image/ab67616d0000b2738dd8e17232f70d45c83aa4cd","1","1","264908","","false","0","AUAB01700819","spotify:user:jeongshin","2020-01-12T22:12:44Z"
"spotify:track:3ClBKQkKoaUQ6UOhe2xlJK","Good News","spotify:artist:4LLpKhyESsyAXpc4laK94U","Mac Miller","spotify:album:4CCaoRnCugI6RsHHBKiMLs","Good News","spotify:artist:4LLpKhyESsyAXpc4laK94U","Mac Miller","2020-01-09","https://i.scdn.co/image/ab67616d0000b2735b8f30bc31faa93986a37d42","1","1","342040","https://p.scdn.co/mp3-preview/b469f44c8cbdf55c5d073e79fae274b9978b6505?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","USWB11801008","spotify:user:jeongshin","2020-01-15T23:01:42Z"
"spotify:track:0J1HfFtmbQVbXWFWYuTiPb","Casino","spotify:artist:60NNvDqsif0u40CXMV6jDQ","Ryan Beatty","spotify:album:0SXVfNysvX1XhXYRvXduwP","Casino","spotify:artist:60NNvDqsif0u40CXMV6jDQ","Ryan Beatty","2020-01-17","https://i.scdn.co/image/ab67616d0000b273a951aa583c220dca9b8a9547","1","1","259266","","false","0","USUM72000370","spotify:user:jeongshin","2020-01-21T03:08:28Z"
