"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6QU0C9Dxn1XIGuIkucT7qm","Late Morning Brekkie","spotify:artist:32zeX1IoVKAGWMyy1isKUq","No Vacation","spotify:album:04Yi3MVgftQcAqIqVdy9Wu","Amo XO","spotify:artist:32zeX1IoVKAGWMyy1isKUq","No Vacation","2015-04-06","https://i.scdn.co/image/ab67616d0000b273e1918cbed620f9f4b40a2a62","1","1","39000","","false","14","USHM81626721","spotify:user:jeongshin","2021-12-28T20:03:53Z"
"spotify:track:3YTCEinqOO7eR0qpb1h6Ig","Laundry Day","spotify:artist:32zeX1IoVKAGWMyy1isKUq","No Vacation","spotify:album:04Yi3MVgftQcAqIqVdy9Wu","Amo XO","spotify:artist:32zeX1IoVKAGWMyy1isKUq","No Vacation","2015-04-06","https://i.scdn.co/image/ab67616d0000b273e1918cbed620f9f4b40a2a62","1","2","119900","","false","16","USHM81626722","spotify:user:jeongshin","2021-12-28T20:03:53Z"
"spotify:track:4loxhrC7MqARWyHLofmhtW","Beach Bummer","spotify:artist:32zeX1IoVKAGWMyy1isKUq","No Vacation","spotify:album:04Yi3MVgftQcAqIqVdy9Wu","Amo XO","spotify:artist:32zeX1IoVKAGWMyy1isKUq","No Vacation","2015-04-06","https://i.scdn.co/image/ab67616d0000b273e1918cbed620f9f4b40a2a62","1","3","148192","","false","34","USHM81626723","spotify:user:jeongshin","2021-12-28T20:03:53Z"
"spotify:track:2OZCwLJYZJmayQrPH1PRqN","Café Beat","spotify:artist:32zeX1IoVKAGWMyy1isKUq","No Vacation","spotify:album:04Yi3MVgftQcAqIqVdy9Wu","Amo XO","spotify:artist:32zeX1IoVKAGWMyy1isKUq","No Vacation","2015-04-06","https://i.scdn.co/image/ab67616d0000b273e1918cbed620f9f4b40a2a62","1","4","68683","","false","13","USHM81626724","spotify:user:jeongshin","2021-12-28T20:03:53Z"
"spotify:track:0xRLP2ZoNjBWh2GnUebqpG","August","spotify:artist:32zeX1IoVKAGWMyy1isKUq","No Vacation","spotify:album:04Yi3MVgftQcAqIqVdy9Wu","Amo XO","spotify:artist:32zeX1IoVKAGWMyy1isKUq","No Vacation","2015-04-06","https://i.scdn.co/image/ab67616d0000b273e1918cbed620f9f4b40a2a62","1","5","190080","","false","19","USHM81626725","spotify:user:jeongshin","2021-12-28T20:03:53Z"
"spotify:track:3dmsgudsfeGdQ9NsZFOm0C","Lovefool","spotify:artist:32zeX1IoVKAGWMyy1isKUq","No Vacation","spotify:album:04Yi3MVgftQcAqIqVdy9Wu","Amo XO","spotify:artist:32zeX1IoVKAGWMyy1isKUq","No Vacation","2015-04-06","https://i.scdn.co/image/ab67616d0000b273e1918cbed620f9f4b40a2a62","1","6","130961","","false","39","USHM81626726","spotify:user:jeongshin","2021-12-28T20:03:53Z"
"spotify:track:5qW9ZBoEUiXB3p6bD2D0oq","Bedroom Melody","spotify:artist:32zeX1IoVKAGWMyy1isKUq","No Vacation","spotify:album:04Yi3MVgftQcAqIqVdy9Wu","Amo XO","spotify:artist:32zeX1IoVKAGWMyy1isKUq","No Vacation","2015-04-06","https://i.scdn.co/image/ab67616d0000b273e1918cbed620f9f4b40a2a62","1","7","90105","","false","9","USHM81626727","spotify:user:jeongshin","2021-12-28T20:03:53Z"
"spotify:track:5pnJQR89EtJjdLgNqBaWD1","Pillowcase","spotify:artist:32zeX1IoVKAGWMyy1isKUq","No Vacation","spotify:album:04Yi3MVgftQcAqIqVdy9Wu","Amo XO","spotify:artist:32zeX1IoVKAGWMyy1isKUq","No Vacation","2015-04-06","https://i.scdn.co/image/ab67616d0000b273e1918cbed620f9f4b40a2a62","1","8","41000","","false","10","USHM81626728","spotify:user:jeongshin","2021-12-28T20:03:53Z"
"spotify:track:716OZGLBg3vkNfMTpfbYm6","Days","spotify:artist:32zeX1IoVKAGWMyy1isKUq","No Vacation","spotify:album:1iKJd6McKWLpeWNotqfZDz","Days","spotify:artist:32zeX1IoVKAGWMyy1isKUq","No Vacation","2019-09-27","https://i.scdn.co/image/ab67616d0000b273266d101d08d3bc53c107ca0b","1","1","320328","","false","0","USEZ61920704","spotify:user:jeongshin","2022-08-04T16:52:39Z"
"spotify:track:1rEsbyBuQ0MqKF3dG7B0bf","Sad Valentine","spotify:artist:32zeX1IoVKAGWMyy1isKUq","No Vacation","spotify:album:3Ahz3KpKarLfZAb2bYEe65","Summer Break Mixtape","spotify:artist:32zeX1IoVKAGWMyy1isKUq","No Vacation","2015-07-15","https://i.scdn.co/image/ab67616d0000b273bfafb7f8948713e1c37c3ab4","1","2","220317","https://p.scdn.co/mp3-preview/08292941a82388f76a481f5dd7020a8808513195?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","ushm81626736","spotify:user:jeongshin","2022-08-04T16:52:52Z"
