"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4Z59a9hIn8EMsni3OiqGso","Think Fast (feat. Weezer)","spotify:artist:6USv9qhCn6zfxlBQIYJ9qs, spotify:artist:3jOstUTkEu2JkjvRdBA5Gu","Dominic Fike, Weezer","spotify:album:2T7LuxZRr6SQMgABLtoYTH","Sunburn","spotify:artist:6USv9qhCn6zfxlBQIYJ9qs","Dominic Fike","2023-07-07","https://i.scdn.co/image/ab67616d0000b2730fb08616c78d44ceb4c8d061","1","3","222839","https://p.scdn.co/mp3-preview/5396c0ca0f450b38f9c282b8d71682a22c5d3020?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","USQX92301811","spotify:user:jeongshin","2023-12-05T10:50:54Z"
"spotify:track:3h9T2wLTy4FEKulLDkUjlX","Storms - 2015 Remaster","spotify:artist:08GQAI4eElDnROBrJRGE0X","Fleetwood Mac","spotify:album:5FIN8pyPVx8ggNs5jQ86Re","Tusk (2015 Remaster)","spotify:artist:08GQAI4eElDnROBrJRGE0X","Fleetwood Mac","1979-10-12","https://i.scdn.co/image/ab67616d0000b2737a2a55eaab314c41d8f6e512","1","7","330746","https://p.scdn.co/mp3-preview/a547cc5cfc12b9bad6ea8703e3e2ce94bd6d535a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","USRH11507775","spotify:user:jeongshin","2023-12-05T10:50:54Z"
"spotify:track:5fX8WljoAFrmFrFqahjz4Y","Dancing In The Courthouse","spotify:artist:6USv9qhCn6zfxlBQIYJ9qs","Dominic Fike","spotify:album:2T7LuxZRr6SQMgABLtoYTH","Sunburn","spotify:artist:6USv9qhCn6zfxlBQIYJ9qs","Dominic Fike","2023-07-07","https://i.scdn.co/image/ab67616d0000b2730fb08616c78d44ceb4c8d061","1","6","157563","https://p.scdn.co/mp3-preview/6025c0a660c88e78e6a25cfd46e6a6dbb117aa60?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","USQX92301814","spotify:user:jeongshin","2023-12-05T10:50:54Z"
"spotify:track:4nlvKIIetOWGIMyhjQXgOZ","The Difference","spotify:artist:6nxWCVXbOlEVRexSbLsTer, spotify:artist:6O4EGCCb6DoIiR6B1QCQgp","Flume, Toro y Moi","spotify:album:3QgFzksD4J43TnGIJOOrRV","The Difference","spotify:artist:6nxWCVXbOlEVRexSbLsTer, spotify:artist:6O4EGCCb6DoIiR6B1QCQgp","Flume, Toro y Moi","2020-03-11","https://i.scdn.co/image/ab67616d0000b273a8d74e789b99484e0e169001","1","1","139662","https://p.scdn.co/mp3-preview/dd10663fee1c96f0f63f3f44fc7b8a0d94f7a913?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","AUFF02000008","spotify:user:jeongshin","2023-12-05T10:50:54Z"
"spotify:track:6OrCWnvAja4n5IYdzchJlH","Ant Pile","spotify:artist:6USv9qhCn6zfxlBQIYJ9qs","Dominic Fike","spotify:album:2T7LuxZRr6SQMgABLtoYTH","Sunburn","spotify:artist:6USv9qhCn6zfxlBQIYJ9qs","Dominic Fike","2023-07-07","https://i.scdn.co/image/ab67616d0000b2730fb08616c78d44ceb4c8d061","1","2","126232","https://p.scdn.co/mp3-preview/0c1c30985d768f6741629c82c65a45eba7529de2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","USQX92303291","spotify:user:jeongshin","2023-12-05T10:50:54Z"
"spotify:track:6Od2OWvoT4embWAgIGeFRd","Like Gold","spotify:artist:10exVja0key0uqUkk6LJRT","Vance Joy","spotify:album:5f6Eu9QtujgGggq5qbbycV","Nation of Two","spotify:artist:10exVja0key0uqUkk6LJRT","Vance Joy","2018-02-23","https://i.scdn.co/image/ab67616d0000b2739ac709b94022896013465886","1","7","224400","https://p.scdn.co/mp3-preview/dfd9e5ea551975b398e4fa0f338ab2725446ffaa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","USAT21704658","spotify:user:jeongshin","2023-12-05T10:50:54Z"
"spotify:track:70GeFg0Hy8uvIoujccyWgz","Poly","spotify:artist:4nhvb6x9ZhPiYCzrHDNia9","Daphni","spotify:album:2NF7kUOEaNYhCWLANV85Aj","Joli Mai","spotify:artist:4nhvb6x9ZhPiYCzrHDNia9","Daphni","2017-10-06","https://i.scdn.co/image/ab67616d0000b2730ed3b03e9025fbfde6150f31","1","1","138371","https://p.scdn.co/mp3-preview/967b546e2ccac38dfca047252f0d1dc10a00e13b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","GBAL71722001","spotify:user:jeongshin","2023-12-05T10:50:54Z"
"spotify:track:2z9iuAxKv4TTeCrPAxxKg9","Love Lost","spotify:artist:4LLpKhyESsyAXpc4laK94U, spotify:artist:4W48hZAnAHVOC2c8WH8pcq","Mac Miller, The Temper Trap","spotify:album:5LNX3esjvdBJ6hN4XDvCJn","I Love Life, Thank You","spotify:artist:4LLpKhyESsyAXpc4laK94U","Mac Miller","2022-07-22","https://i.scdn.co/image/ab67616d0000b273c8a77225ad852699c908ac4b","1","5","162875","https://p.scdn.co/mp3-preview/00be55b4568a2fe3985459db905d3e9ca2d845fd?cid=9950ac751e34487dbbe027c4fd7f8e99","true","79","USA2P2212493","spotify:user:jeongshin","2023-12-05T10:50:54Z"
"spotify:track:71DSaeKtXQaMAqnvMT7Uoc","Mona Lisa","spotify:artist:6USv9qhCn6zfxlBQIYJ9qs","Dominic Fike","spotify:album:2T7LuxZRr6SQMgABLtoYTH","Sunburn","spotify:artist:6USv9qhCn6zfxlBQIYJ9qs","Dominic Fike","2023-07-07","https://i.scdn.co/image/ab67616d0000b2730fb08616c78d44ceb4c8d061","1","7","186066","https://p.scdn.co/mp3-preview/cea8b314f8b3777c6b87a45187b7b522d3911fde?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","USQX92303644","spotify:user:jeongshin","2023-12-05T10:50:54Z"
"spotify:track:6jxrJ3pzf7cgCANePNrKcr","Better Times","spotify:artist:56ZTgzPBDge0OvCGgMO3OY","Beach House","spotify:album:7ejB3MHdDNcY3GzRsQRAHs","Teen Dream","spotify:artist:56ZTgzPBDge0OvCGgMO3OY","Beach House","2010-01-25","https://i.scdn.co/image/ab67616d0000b273a9a2f4dbb6ce31157d2e4783","1","7","263306","https://p.scdn.co/mp3-preview/cca22253fb44eb63575e45c2979bb90b32868be2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","GBBRP1022507","spotify:user:jeongshin","2023-12-05T10:50:54Z"
