"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0judK8TqYfvwUohBngUxrE","DOGTOOTH","spotify:artist:4V8LLVI7PbaPR0K2TGSxFF","Tyler\, The Creator","spotify:album:1pdqT6DBwIA0WElEspOA0v","DOGTOOTH","spotify:artist:4V8LLVI7PbaPR0K2TGSxFF","Tyler\, The Creator","2023-03-27","https://i.scdn.co/image/ab67616d0000b2732ee031f2335d35b2e6c7bc40","1","1","161041","","true","27","USQX92301932","spotify:user:jeongshin","2023-03-28T20:32:53Z"
"spotify:track:1BLoghXkY06sQvHdJ1vOWO","Clear Bones","spotify:artist:7vNNmjV14SKQzlQAEg0BXP","Jean Dawson","spotify:album:51umOKBluT7cy4wN07yNz2","Clear Bones","spotify:artist:7vNNmjV14SKQzlQAEg0BXP","Jean Dawson","2020-06-25","https://i.scdn.co/image/ab67616d0000b2732e6d0d9fbf01cd8fa7367dd9","1","1","166711","https://p.scdn.co/mp3-preview/9c907ca8e14624088329b8f7affa32424d586fc1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","QZ9H32000024","spotify:user:jeongshin","2023-03-29T01:06:09Z"
"spotify:track:2BuW69k9sSW3GTAf6M8gQE","Crime","spotify:artist:6lcwlkAjBPSKnFBZjjZFJs","Alex G","spotify:album:2kCDZ3gCr5hXFgbFsPMcxP","House of Sugar","spotify:artist:6lcwlkAjBPSKnFBZjjZFJs","Alex G","2019-09-13","https://i.scdn.co/image/ab67616d0000b273be5fb0d9169e28ac819cee1d","1","12","239029","https://p.scdn.co/mp3-preview/3fbc3118a7342fc1291197f292086b0d8dbfe447?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","GBCEL1900169","spotify:user:jeongshin","2023-03-29T01:06:17Z"
"spotify:track:0s7Z1RtnsmiYOfSIbB3btD","Valentina","spotify:artist:20wkVLutqVOYrc0kxFs7rA","Daniel Caesar","spotify:album:3Fqjb0gzWbJglEdf4HX5uw","Valentina","spotify:artist:20wkVLutqVOYrc0kxFs7rA","Daniel Caesar","2023-03-31","https://i.scdn.co/image/ab67616d0000b2738e626ebcf39380460f458f55","1","1","154531","https://p.scdn.co/mp3-preview/dc65bce06c7deed82219bb4250a37667e6a6cfbe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","USUG12209353","spotify:user:jeongshin","2023-03-31T06:45:04Z"
"spotify:track:693xmBAOD4xwkS4W71W1Jn","Emily I'm Sorry","spotify:artist:1hLiboQ98IQWhpKeP9vRFw, spotify:artist:12zbUHbPHL5DGuJtiUfsip, spotify:artist:1r1uxoy19fzMxunt3ONAkG, spotify:artist:07D1Bjaof0NFlU32KXiqUP","boygenius, Julien Baker, Phoebe Bridgers, Lucy Dacus","spotify:album:0e9GjrztzBw8oMC6n2CDeI","the record","spotify:artist:1hLiboQ98IQWhpKeP9vRFw","boygenius","2023-03-31","https://i.scdn.co/image/ab67616d0000b27343fc02bcfa7cd4e6bb66aa22","1","3","214866","https://p.scdn.co/mp3-preview/62addc90841c48070a2ac167d849caa366edb3d2?cid=9950ac751e34487dbbe027c4fd7f8e99","true","70","USUG12209239","spotify:user:jeongshin","2023-04-04T03:54:31Z"
"spotify:track:4LOg3dKvCAJiF9NYC7YqzG","Anti-Curse","spotify:artist:1hLiboQ98IQWhpKeP9vRFw, spotify:artist:12zbUHbPHL5DGuJtiUfsip, spotify:artist:1r1uxoy19fzMxunt3ONAkG, spotify:artist:07D1Bjaof0NFlU32KXiqUP","boygenius, Julien Baker, Phoebe Bridgers, Lucy Dacus","spotify:album:0e9GjrztzBw8oMC6n2CDeI","the record","spotify:artist:1hLiboQ98IQWhpKeP9vRFw","boygenius","2023-03-31","https://i.scdn.co/image/ab67616d0000b27343fc02bcfa7cd4e6bb66aa22","1","11","198546","https://p.scdn.co/mp3-preview/cc1222a60e35a1a97e0489a5595bd8cc58a11522?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","USUG12209247","spotify:user:jeongshin","2023-04-04T04:28:26Z"
"spotify:track:4Y273Gix47holXvTP9hGpj","Boyhood","spotify:artist:3IunaFjvNKj98JW89JYv9u","The Japanese House","spotify:album:0WeOawoUKtxcNqkdvmdN4n","Boyhood","spotify:artist:3IunaFjvNKj98JW89JYv9u","The Japanese House","2023-03-20","https://i.scdn.co/image/ab67616d0000b273242a6c563b5534da23fc7b1f","1","1","189624","https://p.scdn.co/mp3-preview/acda38f8bf2354974213915e88d336bf63580614?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","GBK3W2202477","spotify:user:jeongshin","2023-04-04T05:37:55Z"
"spotify:track:58HNyZisRT0WSPnfpXgoFQ","I Want It All","spotify:artist:0p5axeJsbtTCXBrRVoKjwu","The Drums","spotify:album:6P3k32E1WG3eJElUS17Dfo","I Want It All","spotify:artist:0p5axeJsbtTCXBrRVoKjwu","The Drums","2023-04-03","https://i.scdn.co/image/ab67616d0000b2733fd3c3ab9e1c696b74ee44f5","1","1","295560","https://p.scdn.co/mp3-preview/13660f294130e3d4ed0f9bc21df32e3e11e8f3d4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","USEP42313001","spotify:user:jeongshin","2023-04-04T19:25:57Z"
"spotify:track:5J8ojwDIVnf6ZPwT8f32sQ","Go Boy","spotify:artist:5aMIbwZQvP2MHPMVC5zCGj","ODIE","spotify:album:5MGppdhOf6M7mBsIWrg55E","Go Boy","spotify:artist:5aMIbwZQvP2MHPMVC5zCGj","ODIE","2023-04-07","https://i.scdn.co/image/ab67616d0000b27386f64c9fda73b74024fab847","1","1","176727","https://p.scdn.co/mp3-preview/efb4aeb2b51f10b3ea85551e1c2d44fdc6737a1e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","USUYG1474736","spotify:user:jeongshin","2023-04-07T04:35:11Z"
"spotify:track:7FbrGaHYVDmfr7KoLIZnQ7","Cupid - Twin Ver.","spotify:artist:4GJ6xDCF5jaUqD6avOuQT6","FIFTY FIFTY","spotify:album:5letLUZIFsQikJYShfGNs4","The Beginning: Cupid","spotify:artist:4GJ6xDCF5jaUqD6avOuQT6","FIFTY FIFTY","2023-02-24","https://i.scdn.co/image/ab67616d0000b27337c0b3670236c067c8e8bbcb","1","2","174253","https://p.scdn.co/mp3-preview/af5c16d4c69be9b3278e7079d5aab14aa425127b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","85","KSA012239181","spotify:user:jeongshin","2023-04-08T02:36:36Z"
