"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4NqkE7kRUvMDEdcqD96EDO","Used (feat. Don Toliver)","spotify:artist:7tYKF4w9nC0nq9CsPZTHyP, spotify:artist:4Gso3d4CscCijv0lmajZWs","SZA, Don Toliver","spotify:album:1nrVofqDRs7cpWXJ49qTnP","SOS","spotify:artist:7tYKF4w9nC0nq9CsPZTHyP","SZA","2022-12-08","https://i.scdn.co/image/ab67616d0000b2730c471c36970b9406233842a5","1","7","146946","https://p.scdn.co/mp3-preview/0c4af8402f1cdb87d67f63027f20951f7b5300f2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","USRC12204590","spotify:user:jeongshin","2023-09-15T01:38:54Z"
"spotify:track:5nWVm4yn8GACYSsLvTGT7L","Right Here, for Now","spotify:artist:3K2Srho6NCF3o9MswGR76H","Bakar","spotify:album:3c9nI13kCbfkFJqaPJRGcs","I'm Done","spotify:artist:3K2Srho6NCF3o9MswGR76H","Bakar","2023-09-06","https://i.scdn.co/image/ab67616d0000b273eb85bb6f977e015bf0abb73c","1","2","180933","https://p.scdn.co/mp3-preview/33779014306cba29a0f9a372a85d20da3d215949?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","GBARL2300711","spotify:user:jeongshin","2023-09-15T01:38:54Z"
"spotify:track:3r8RuvgbX9s7ammBn07D3W","Ditto","spotify:artist:6HvZYsbFfjnjFrWF950C9d","NewJeans","spotify:album:7bnqo1fdJU9nSfXQd3bSMe","Ditto","spotify:artist:6HvZYsbFfjnjFrWF950C9d","NewJeans","2022-12-19","https://i.scdn.co/image/ab67616d0000b273edf5b257be1d6593e81bb45f","1","1","185506","https://p.scdn.co/mp3-preview/4f048713ddfa434539dec7c3cb689f3393353edd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","85","USA2P2254487","spotify:user:jeongshin","2023-09-15T01:38:54Z"
"spotify:track:3CblJq8QQQ0bb7vwJu8c3v","4EVA (feat. Pharrell Williams)","spotify:artist:5oifjQw72WO7Jut07fVWMy, spotify:artist:3Gm5F95VdRxW3mqCn8RPBJ, spotify:artist:6qgnBH6iDM91ipVXv28OMu, spotify:artist:2RdwBSPQiwcmiDo9kixcl8","KAYTRAMINÉ, Aminé, KAYTRANADA, Pharrell Williams","spotify:album:3unS7dpXcZ0MmNBDkp5Hqx","4EVA (feat. Pharrell Williams)","spotify:artist:3Gm5F95VdRxW3mqCn8RPBJ, spotify:artist:6qgnBH6iDM91ipVXv28OMu, spotify:artist:2RdwBSPQiwcmiDo9kixcl8","Aminé, KAYTRANADA, Pharrell Williams","2023-04-07","https://i.scdn.co/image/ab67616d0000b273b0afb62b6cf63e92d42e818f","1","1","190373","https://p.scdn.co/mp3-preview/2e17a2745f1ad47169a079579d0f49b9a2b1afd1?cid=9950ac751e34487dbbe027c4fd7f8e99","true","62","QZLBC2306274","spotify:user:jeongshin","2023-09-15T01:38:54Z"
"spotify:track:2FDTHlrBguDzQkp7PVj16Q","Sprinter","spotify:artist:6Ip8FS7vWT1uKkJSweANQK, spotify:artist:5H4yInM5zmHqpKIoMNAx4r","Dave, Central Cee","spotify:album:5l0QlaI3wdZpE7ggoO5Rwg","Sprinter","spotify:artist:6Ip8FS7vWT1uKkJSweANQK, spotify:artist:5H4yInM5zmHqpKIoMNAx4r","Dave, Central Cee","2023-06-01","https://i.scdn.co/image/ab67616d0000b273e3a09a9ae3f1fa102c110e60","1","1","229133","https://p.scdn.co/mp3-preview/2e97b9631a29437339458578ad607eb22d23663a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","91","GBUM72305159","spotify:user:jeongshin","2023-09-15T01:38:54Z"
"spotify:track:4O9t8Qq941SAzdGlex4noA","What You Need","spotify:artist:6qgnBH6iDM91ipVXv28OMu, spotify:artist:3GQboECxDT1xqPPWC30p7v","KAYTRANADA, Charlotte Day Wilson","spotify:album:5FQ4sOGqRWUA5wO20AwPcO","BUBBA","spotify:artist:6qgnBH6iDM91ipVXv28OMu","KAYTRANADA","2019-12-13","https://i.scdn.co/image/ab67616d0000b2739b6375bad39943011986c247","1","10","183786","https://p.scdn.co/mp3-preview/012019615fcdf7c6e4a69ea9a74a8ee3d822cd9c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","USRC11903726","spotify:user:jeongshin","2023-09-15T01:38:54Z"
"spotify:track:34sOdxWu9FljH84UXdRwu1","all-american bitch","spotify:artist:1McMsnEElThX1knmY4oliG","Olivia Rodrigo","spotify:album:1xJHno7SmdVtZAtXbdbDZp","GUTS","spotify:artist:1McMsnEElThX1knmY4oliG","Olivia Rodrigo","2023-09-08","https://i.scdn.co/image/ab67616d0000b273e85259a1cae29a8d91f2093d","1","1","165833","https://p.scdn.co/mp3-preview/9e5cc35417bff1a304b3fe03c8e5769af6fb609d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","85","USUG12304093","spotify:user:jeongshin","2023-09-15T01:38:54Z"
"spotify:track:6vz3Fyhj6smbuYuaIZHksu","Too Fast (Pull Over) (with Anderson .Paak & Latto)","spotify:artist:28ExwzUQsvgJooOI0X1mr3, spotify:artist:3jK9MiCrA42lLAdMGUZpwa, spotify:artist:3MdXrJWsbVzdn6fe5JYkSQ","Jay Rock, Anderson .Paak, Latto","spotify:album:1KNyxPSXQoZJ2KMQySCUUo","Too Fast (Pull Over) (with Anderson .Paak & Latto)","spotify:artist:28ExwzUQsvgJooOI0X1mr3, spotify:artist:3jK9MiCrA42lLAdMGUZpwa","Jay Rock, Anderson .Paak","2023-07-21","https://i.scdn.co/image/ab67616d0000b2736f8e152cd19aec27191ecd9d","1","1","226542","https://p.scdn.co/mp3-preview/7b5aeede617052b818855603c4b29893a600090e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","57","USUG12305314","spotify:user:jeongshin","2023-09-15T01:38:54Z"
"spotify:track:6gGSSrKMiV2yec1DrqGhhy","Always Where I Need To Be","spotify:artist:1GLtl8uqKmnyCWxHmw9tL4","The Kooks","spotify:album:37he52Ye10gETvnot9bC2t","Konk","spotify:artist:1GLtl8uqKmnyCWxHmw9tL4","The Kooks","2008-01-01","https://i.scdn.co/image/ab67616d0000b2732d852918418f792e8dfceacd","1","2","161720","https://p.scdn.co/mp3-preview/518e567e42a0fb5c50c1a80e8a2d5e736eb26644?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","GBAAA0800033","spotify:user:jeongshin","2023-09-15T01:38:54Z"
"spotify:track:0J1kF6VdorvmLjmRJObiV1","Hummingbird","spotify:artist:0iEtIxbK0KxaSlF7G42ZOp, spotify:artist:53KwLdlmrlCelAZMaLVZqU","Metro Boomin, James Blake","spotify:album:4ocB97o3gdrIYyIwYSSwVy","METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE [SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE (METROVERSE INSTRUMENTAL EDITION)]","spotify:artist:0iEtIxbK0KxaSlF7G42ZOp","Metro Boomin","2023-08-04","https://i.scdn.co/image/ab67616d0000b273687ed0f52df9d126a72b334d","1","5","319493","https://p.scdn.co/mp3-preview/c4d77741f1225597df0179845f63cbd0d11d40fb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","USUM72307467","spotify:user:jeongshin","2023-09-15T01:38:54Z"
"spotify:track:2wueg8zb5SSaSxCyUpcKRJ","Loading","spotify:artist:53KwLdlmrlCelAZMaLVZqU","James Blake","spotify:album:5WMlWqo2YEO7g6e6TuNSC0","Loading","spotify:artist:53KwLdlmrlCelAZMaLVZqU","James Blake","2023-07-26","https://i.scdn.co/image/ab67616d0000b2730576263e0e48b53e69ddf9da","1","1","284551","https://p.scdn.co/mp3-preview/9f68f1187605b2c73436ea85633e329d2d183991?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","USUM72308062","spotify:user:jeongshin","2023-09-15T01:49:04Z"
