"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4SRYGZsbHrmH7E9xMVz4Wm","Nobody Compares","spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq","One Direction","spotify:album:2sWX3HYnZjPZ9MrH6MFsBt","Take Me Home (Expanded Edition)","spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq","One Direction","2012-11-12","https://i.scdn.co/image/ab67616d0000b2734e31e0d38b89b8fb239d4fbf","1","16","211626","https://p.scdn.co/mp3-preview/505310ebc35778b5cc37203e4f5b4ffdb03d4815?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","GBHMU1200365","spotify:user:jeongshin","2020-12-10T06:17:24Z"
"spotify:track:3JjnGLK8IxkNLvo8Lb3KOM","18","spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq","One Direction","spotify:album:4gCNyS7pidfK3rKWhB3JOY","FOUR (Deluxe)","spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq","One Direction","2014-11-17","https://i.scdn.co/image/ab67616d0000b273d304ba2d71de306812eebaf4","1","4","248360","https://p.scdn.co/mp3-preview/b64e83597557028b2802cba7799ba6fa365e9b14?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","GBHMU1400162","spotify:user:jeongshin","2020-12-10T06:17:31Z"
"spotify:track:0L5gFNrzHyh4OhMwEz6DGS","Fool's Gold","spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq","One Direction","spotify:album:4gCNyS7pidfK3rKWhB3JOY","FOUR (Deluxe)","spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq","One Direction","2014-11-17","https://i.scdn.co/image/ab67616d0000b273d304ba2d71de306812eebaf4","1","6","210893","https://p.scdn.co/mp3-preview/7145072037706a2c36ca3c66fc82a7f5ea009905?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","GBHMU1400164","spotify:user:jeongshin","2020-12-10T06:22:17Z"
"spotify:track:1ZycJRpLOazlLcoFGxGROO","Walking in the Wind","spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq","One Direction","spotify:album:1gMxiQQSg5zeu4htBosASY","Made In The A.M. (Deluxe Edition)","spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq","One Direction","2015-11-13","https://i.scdn.co/image/ab67616d0000b273241e4fe75732c9c4b49b94c3","1","15","202640","https://p.scdn.co/mp3-preview/72d2c3060bf13ecfc56b15990268902d24b4fa2d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","GBHMU1500116","spotify:user:jeongshin","2020-12-10T06:25:37Z"
"spotify:track:1fZvvlfjgoqjz7HQKEfzyp","Still The One","spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq","One Direction","spotify:album:2sWX3HYnZjPZ9MrH6MFsBt","Take Me Home (Expanded Edition)","spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq","One Direction","2012-11-12","https://i.scdn.co/image/ab67616d0000b2734e31e0d38b89b8fb239d4fbf","1","17","182133","https://p.scdn.co/mp3-preview/01d2ebc46682eb8a842213106c5f08c89ec948be?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","GBHMU1200374","spotify:user:jeongshin","2020-12-10T06:27:27Z"
"spotify:track:1I93YiKgu2P5pwprWmziPI","Up All Night","spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq","One Direction","spotify:album:6cunQQ7YZisYOoiFu2ywIq","Up All Night","spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq","One Direction","2012-05-25","https://i.scdn.co/image/ab67616d0000b2734a5584795dc73860653a9a3e","1","5","194693","https://p.scdn.co/mp3-preview/a91cdc240328d60fc7eaf22c2424ddf1027f097f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","GBHMU1100165","spotify:user:jeongshin","2020-12-10T06:33:10Z"
"spotify:track:5O2P9iiztwhomNh8xkR9lJ","Night Changes","spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq","One Direction","spotify:album:4gCNyS7pidfK3rKWhB3JOY","FOUR (Deluxe)","spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq","One Direction","2014-11-17","https://i.scdn.co/image/ab67616d0000b273d304ba2d71de306812eebaf4","1","7","226600","https://p.scdn.co/mp3-preview/359be833b46b250c696bbb64caa5dc91f2a38c6a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","89","GBHMU1400165","spotify:user:jeongshin","2020-12-10T06:44:11Z"
"spotify:track:6M31fPFCYB8Job3MCjjrDV","They Don't Know About Us","spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq","One Direction","spotify:album:2sWX3HYnZjPZ9MrH6MFsBt","Take Me Home (Expanded Edition)","spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq","One Direction","2012-11-12","https://i.scdn.co/image/ab67616d0000b2734e31e0d38b89b8fb239d4fbf","1","12","200400","https://p.scdn.co/mp3-preview/cadd5802c1669f398ff3a341047cefc671f126ce?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","GBHMU1200368","spotify:user:jeongshin","2020-12-10T06:47:52Z"
"spotify:track:4JaLkM90MJutDAl5jD9BZX","No Control","spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq","One Direction","spotify:album:4gCNyS7pidfK3rKWhB3JOY","FOUR (Deluxe)","spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq","One Direction","2014-11-17","https://i.scdn.co/image/ab67616d0000b273d304ba2d71de306812eebaf4","1","8","199720","https://p.scdn.co/mp3-preview/66375daee51a26fe1bd478ce4394741ddf96d216?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","GBHMU1400166","spotify:user:jeongshin","2020-12-10T06:52:58Z"
"spotify:track:2Bs4jQEGMycglOfWPBqrVG","Steal My Girl","spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq","One Direction","spotify:album:4gCNyS7pidfK3rKWhB3JOY","FOUR (Deluxe)","spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq","One Direction","2014-11-17","https://i.scdn.co/image/ab67616d0000b273d304ba2d71de306812eebaf4","1","1","228133","https://p.scdn.co/mp3-preview/737c88cb0f9b8ebfc09135343084e8dc59009200?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","GBHMU1400159","spotify:user:jeongshin","2020-12-10T06:54:42Z"
