"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6oPETbK4vuqX7hWradYLlg","Something Good Can Work","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","spotify:album:0EQegnHpv6tamxDVuCmoTr","Tourist History","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","2010-02-07","https://i.scdn.co/image/ab67616d0000b2730f6c930cb354c69bd63d0ad1","1","6","162906","","false","0","FRU700900101","spotify:user:jeongshin","2023-02-22T02:37:26Z"
"spotify:track:4AyoAGuhE8gydBPrczuhbl","Trojans","spotify:artist:42vg2T0Xg9yPaAgogJzoQH","Atlas Genius","spotify:album:5Ix8zXCxsX8YCGAThyBVE8","When It Was Now (Deluxe Edition)","spotify:artist:42vg2T0Xg9yPaAgogJzoQH","Atlas Genius","2013-02-19","https://i.scdn.co/image/ab67616d0000b273ef8c68f5e72ee8cbb0a8319a","1","4","217386","https://p.scdn.co/mp3-preview/559baa9247e773ff05e24f1381a72340f9a9a427?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","USWB11300017","spotify:user:jeongshin","2023-02-22T02:19:06Z"
"spotify:track:1mea3bSkSGXuIRvnydlB5b","Viva La Vida","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","spotify:album:1CEODgTmTwLyabvwd7HBty","Viva La Vida or Death and All His Friends","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","2008-05-26","https://i.scdn.co/image/ab67616d0000b273e21cc1db05580b6f2d2a3b6e","1","7","242373","https://p.scdn.co/mp3-preview/fb9f4a9b0887326776b4fb7c6d331acd167a7778?cid=9950ac751e34487dbbe027c4fd7f8e99","false","89","GBAYE0800265","spotify:user:jeongshin","2023-02-22T02:40:58Z"
"spotify:track:0FDzzruyVECATHXKHFs9eJ","A Sky Full of Stars","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","spotify:album:2G4AUqfwxcV1UdQjm2ouYr","Ghost Stories","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","2014-05-19","https://i.scdn.co/image/ab67616d0000b273f864bcdcc245f06831d17ae0","1","8","267866","https://p.scdn.co/mp3-preview/870ebba9927cd7c73467fc5772f398a8a8999344?cid=9950ac751e34487dbbe027c4fd7f8e99","false","88","GBAYE1400217","spotify:user:jeongshin","2023-02-22T02:41:03Z"
"spotify:track:6nek1Nin9q48AVZcWs9e9D","Paradise","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","spotify:album:2R7iJz5uaHjLEVnMkloO18","Mylo Xyloto","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","2011-10-24","https://i.scdn.co/image/ab67616d0000b273de0cd11d7b31c3bd1fd5983d","1","3","278719","https://p.scdn.co/mp3-preview/1039fd50eaca0a268a2378a6c9244bf85c8b961f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","86","GBAYE1101143","spotify:user:jeongshin","2023-02-22T02:41:06Z"
"spotify:track:3AJwUDP919kvQ9QcozQPxg","Yellow","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","spotify:album:6ZG5lRT77aJ3btmArcykra","Parachutes","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","2000-07-10","https://i.scdn.co/image/ab67616d0000b2733d92b2ad5af9fbc8637425f0","1","5","266773","https://p.scdn.co/mp3-preview/c0d9119dc69cae75baf6463e21e43f433fdf5ff4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","92","GBAYE0000267","spotify:user:jeongshin","2023-02-22T02:41:15Z"
"spotify:track:3HWDWyIqWuLsTHECx9DvXF","Birds","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","spotify:album:3cfAM8b8KqJRoIzt3zLKqw","A Head Full of Dreams","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","2015-12-04","https://i.scdn.co/image/ab67616d0000b2738ff7c3580d429c8212b9a3b6","1","2","229093","https://p.scdn.co/mp3-preview/19ee96467218db187f7bee68517081ecdf35e80b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","GBAYE1500978","spotify:user:jeongshin","2023-02-22T02:41:53Z"
"spotify:track:3RiPr603aXAoi4GHyXx0uy","Hymn for the Weekend","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","spotify:album:3cfAM8b8KqJRoIzt3zLKqw","A Head Full of Dreams","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","2015-12-04","https://i.scdn.co/image/ab67616d0000b2738ff7c3580d429c8212b9a3b6","1","3","258266","https://p.scdn.co/mp3-preview/cb0aa0a64ef56a161fbe2b298174cd69d8a71a9d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","85","GBAYE1500979","spotify:user:jeongshin","2023-02-22T02:41:56Z"
"spotify:track:6c6W25YoDGjTq3qSPOga5t","Ink","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","spotify:album:2G4AUqfwxcV1UdQjm2ouYr","Ghost Stories","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","2014-05-19","https://i.scdn.co/image/ab67616d0000b273f864bcdcc245f06831d17ae0","1","3","228373","https://p.scdn.co/mp3-preview/888a7bb715249e452ee7910f77f844ef8ea899d3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","GBAYE1400213","spotify:user:jeongshin","2023-02-22T02:42:06Z"
"spotify:track:3vCzHYgSjMuGjFMfJSCx4c","Mylo Xyloto","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","spotify:album:2R7iJz5uaHjLEVnMkloO18","Mylo Xyloto","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","2011-10-24","https://i.scdn.co/image/ab67616d0000b273de0cd11d7b31c3bd1fd5983d","1","1","42106","https://p.scdn.co/mp3-preview/202450e54b407181c470428874d6c7998d80b7a1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","GBAYE1101178","spotify:user:jeongshin","2023-02-22T02:42:20Z"
