"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:57BSFXytUc9trbqP9e3qrF","Baby Blu","spotify:artist:09kXLeOXRyfNQMXRaDO4qA","Nilüfer Yanya","spotify:album:4ghm3TST2NwYOIAd5QHjbU","Miss Universe","spotify:artist:09kXLeOXRyfNQMXRaDO4qA","Nilüfer Yanya","2019-03-22","https://i.scdn.co/image/ab67616d0000b273a59c1c25139409626a40fc37","1","7","281170","","false","0","USATO1800420","spotify:user:jeongshin","2020-11-25T06:29:39Z"
"spotify:track:0EZELV7AI8v4KF6DErAgge","Wedding Song","spotify:artist:3TNt4aUIxgfy9aoaft5Jj2","Yeah Yeah Yeahs","spotify:album:1LQZp37z82iTVxillq6K59","Mosquito (Deluxe)","spotify:artist:3TNt4aUIxgfy9aoaft5Jj2","Yeah Yeah Yeahs","2013-01-01","https://i.scdn.co/image/ab67616d0000b273882cb5cdd3ab10e2327988bf","1","11","294013","https://p.scdn.co/mp3-preview/22f3bef693f641e89e03e0d571404941904e5b62?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","USUM71301706","spotify:user:jeongshin","2020-11-30T18:15:14Z"
"spotify:track:1NIjx6oS7ECM5UtTpPUFIa","Become a Mountain","spotify:artist:5Z3IWpvwOvoaWodujHw7xh","Dan Deacon","spotify:album:10e9Nf6QFZMTEy5TQm8G85","Mystic Familiar","spotify:artist:5Z3IWpvwOvoaWodujHw7xh","Dan Deacon","2020-01-31","https://i.scdn.co/image/ab67616d0000b273df6f9e0ed734405af4ffc44a","1","1","245414","https://p.scdn.co/mp3-preview/7e07cdf7251a624a48ce406528a8b498566dc121?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","GBCEL1900374","spotify:user:jeongshin","2020-12-03T06:06:22Z"
"spotify:track:52ojopYMUzeNcudsoz7O9D","New Person, Same Old Mistakes","spotify:artist:5INjqkS1o8h1imAzPqGZBb","Tame Impala","spotify:album:79dL7FLiJFOO0EoehUHQBv","Currents","spotify:artist:5INjqkS1o8h1imAzPqGZBb","Tame Impala","2015-07-17","https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79","1","13","363240","https://p.scdn.co/mp3-preview/5a899c2e48f474ac5cc4cd4472596f328331170a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","AUUM71500302","spotify:user:jeongshin","2020-12-04T03:46:01Z"
"spotify:track:7oYHTyfe6jzw2AW0YxzTSg","Trash","spotify:artist:6deCiWT7ATcDWP2Cvlalvn","Oscar Lang","spotify:album:2R6cJKQJJh13mGJjcnUXKh","bops etc.","spotify:artist:6deCiWT7ATcDWP2Cvlalvn","Oscar Lang","2019-06-14","https://i.scdn.co/image/ab67616d0000b2734a8d63ba97728e964ecc811f","1","3","193864","https://p.scdn.co/mp3-preview/b3b976a066eecaf6f57b7d3a50f62ca942904fde?cid=9950ac751e34487dbbe027c4fd7f8e99","true","21","GBK3W1901035","spotify:user:jeongshin","2020-12-04T03:53:56Z"
"spotify:track:2RnPATK99oGOZygnD2GTO6","With A Little Help From My Friends - Remastered 2009","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","spotify:album:6QaVfG1pHYl1z15ZxkvVDW","Sgt. Pepper's Lonely Hearts Club Band (Remastered)","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","1967-06-01","https://i.scdn.co/image/ab67616d0000b27334ef8f7d06cf2fc2146f420a","1","2","164106","https://p.scdn.co/mp3-preview/f62f655b03be15851c3cea0fdb8530187f41dfce?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","GBAYE0601508","spotify:user:jeongshin","2020-12-04T03:57:30Z"
"spotify:track:1NjzNt18LlNTuJYErYGvbQ","She Needs Him","spotify:artist:77mJc3M7ZT5oOVM7gNdXim","Her's","spotify:album:3w5PWzbOdhuHd2oTynfBJw","Invitation to Her's","spotify:artist:77mJc3M7ZT5oOVM7gNdXim","Her's","2018-08-24","https://i.scdn.co/image/ab67616d0000b273280a001e43c93792dd1e27c7","1","8","314390","https://p.scdn.co/mp3-preview/9bc0a85dd37990eff915b482358de98c56c106fa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","GBYEJ1800010","spotify:user:jeongshin","2020-12-04T04:01:05Z"
"spotify:track:2oT0kNNDv94u44BC2NB97z","Hummer","spotify:artist:57vWImR43h4CaDao012Ofp","Steve Lacy","spotify:album:6m5qlaMzLtNsQDj3DQY5ji","The Lo-Fis","spotify:artist:57vWImR43h4CaDao012Ofp","Steve Lacy","2020-12-04","https://i.scdn.co/image/ab67616d0000b273c3545bbe806b845c2b52bc20","1","9","71518","https://p.scdn.co/mp3-preview/aeaf7615db2de16bf59b7398a2e811e3531c10f4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","TCAFF2074420","spotify:user:jeongshin","2020-12-04T05:25:24Z"
"spotify:track:7KZOW7vBKDUPqvqXiPwoeK","She's Gonna Leave You","spotify:artist:027TpXKGwdXP7iwbjUSpV8","The Walters","spotify:album:0PecAnEUSEp9vOUKh2h1HG","She's Gonna Leave You","spotify:artist:027TpXKGwdXP7iwbjUSpV8","The Walters","2017-01-12","https://i.scdn.co/image/ab67616d0000b273154c7518b8e2aa6b63ef20ba","1","1","220000","https://p.scdn.co/mp3-preview/63b0ca2b26064043e51967fb3ac28a4b59860d88?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","TCACW1735332","spotify:user:jeongshin","2020-12-10T00:34:33Z"
"spotify:track:30KctD1WsHKTIYczXjip5a","Tequila Shots","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:64nbgEEIcY4g1ElVLONJ0w","Man On The Moon III: The Chosen","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2020-12-11","https://i.scdn.co/image/ab67616d0000b2739bf7698a1737bc7c2e4a14f3","1","2","193293","https://p.scdn.co/mp3-preview/5a9cf979fbf70710b7b1b55148a06364ae85d031?cid=9950ac751e34487dbbe027c4fd7f8e99","true","72","USUM72023838","spotify:user:jeongshin","2020-12-13T06:14:39Z"
