"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5qb1dNUHihz56SEwu7Ll1z","Eny","spotify:artist:4wwxUu2jn1rFTphNxkSJ2A","Munfell Muzik","spotify:album:7pZ774zy63RRZx0CNtVRfa","Envy","spotify:artist:4wwxUu2jn1rFTphNxkSJ2A","Munfell Muzik","2016-05-21","https://i.scdn.co/image/ab67616d0000b273c0e029e62049f25e639e2df6","1","1","560650","https://p.scdn.co/mp3-preview/243846f8704ce68656f8a836445df6e03cfaba25?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","DEKB71546555","spotify:user:eqhp51ukyqay109x6bmq5qt77","2022-09-06T23:03:50Z"
"spotify:track:3faKP2mhQuBkOY30Lcb0Dw","Naughty Water - NightFunk Remix","spotify:artist:4Nl6PVYLwbCFfr3UqQlFtE, spotify:artist:1UgUBnYpGyrYfGIfkMp08O","VOLAC, NightFunk","spotify:album:7soZOjNn12xnYf6cNaq6yT","Naughty Water Remixes","spotify:artist:4Nl6PVYLwbCFfr3UqQlFtE, spotify:artist:5yPVuutf3WAXUt1VqDaN1t, spotify:artist:1UgUBnYpGyrYfGIfkMp08O","VOLAC, Chapter & Verse, NightFunk","2021-11-23","https://i.scdn.co/image/ab67616d0000b2738b91e81696959918e820888a","1","1","207182","","false","0","CA5KR0021480","spotify:user:eqhp51ukyqay109x6bmq5qt77","2022-09-06T23:04:11Z"
"spotify:track:4lFP7Q1M1NzMJekwakm5nJ","Bangarang","spotify:artist:02Xwu1VHleFBI3MZ73qyyz","Bastet","spotify:album:3blKyInslEkrtGsx42SNRh","Tektones #10 (Selected by T78)","spotify:artist:5FgLkieOqGXPn01dnbJp9Z","T78","2022-06-27","https://i.scdn.co/image/ab67616d0000b273046d824ace1ac1955f95431b","1","11","317647","https://p.scdn.co/mp3-preview/d53da6654b5a94e3804b72911ecdd6ae4bbed86d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","ITB842200241","spotify:user:eqhp51ukyqay109x6bmq5qt77","2022-09-06T23:05:43Z"
"spotify:track:0yuJtvXsapVOQfNDYxQ5mw","Singularity","spotify:artist:2nq2BeSbzExGAv3Y4HgUf7","Stephan Bodzin","spotify:album:5zj0qH4lKPQOotmWkE3ECb","Powers of Ten","spotify:artist:2nq2BeSbzExGAv3Y4HgUf7","Stephan Bodzin","2015-06-12","https://i.scdn.co/image/ab67616d0000b273faab5a4042d8bd545447a127","1","1","421306","https://p.scdn.co/mp3-preview/faabe2c0d6ba9d55ef0f437bd5f7781409417621?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","DET751400078","spotify:user:eqhp51ukyqay109x6bmq5qt77","2022-09-06T23:05:55Z"
"spotify:track:3MDEbfPekrI2EzxFTUzu5m","Zulu","spotify:artist:2nq2BeSbzExGAv3Y4HgUf7","Stephan Bodzin","spotify:album:5zj0qH4lKPQOotmWkE3ECb","Powers of Ten","spotify:artist:2nq2BeSbzExGAv3Y4HgUf7","Stephan Bodzin","2015-06-12","https://i.scdn.co/image/ab67616d0000b273faab5a4042d8bd545447a127","1","6","465224","https://p.scdn.co/mp3-preview/48b0b473d3450f34757387410745c0ef38001225?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","DET751400083","spotify:user:eqhp51ukyqay109x6bmq5qt77","2022-09-06T23:05:59Z"
"spotify:track:4umLzOBGXqKqNVAuYJqAGi","Diamant","spotify:artist:2nq2BeSbzExGAv3Y4HgUf7","Stephan Bodzin","spotify:album:0HrDrQPhOBR04RKmY7DCJj","Unity","spotify:artist:1UL813H5aj3e8ekE5RqWqc","Tale Of Us","2020-04-03","https://i.scdn.co/image/ab67616d0000b273e18f6613c8797619eaa07925","1","12","547914","https://p.scdn.co/mp3-preview/3897a006886bfaba9c5292c6b4ffe9546c44ce59?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","DEEC32000051","spotify:user:eqhp51ukyqay109x6bmq5qt77","2022-09-06T23:06:07Z"
"spotify:track:2oeEq7M17OE5rqcYYYHZet","The Sky Was Pink - Holden Remix","spotify:artist:5rZVjGkZZI4TnpMHQwrxfG","Nathan Fake","spotify:album:1jRI9jKp6UpnueO6hwzwmW","The Sky Was Pink","spotify:artist:5rZVjGkZZI4TnpMHQwrxfG","Nathan Fake","2004-08-23","https://i.scdn.co/image/ab67616d0000b273ce4111499da3f3e9d975ec6d","1","3","570586","https://p.scdn.co/mp3-preview/ab6657726f8b10c49f6f418fa1bbc6c4ed592cc7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","GBUZD0800603","spotify:user:eqhp51ukyqay109x6bmq5qt77","2022-09-06T23:13:19Z"
"spotify:track:1NnRhSfvmyJNSxtR9rGxlX","Talamanca - Vintage Culture Remix","spotify:artist:5eKqhPrKad0J9xGAtq3rW7, spotify:artist:28uJnu5EsrGml2tBd7y8ts","BURNS, Vintage Culture","spotify:album:2iu8M4FmwaiMoaMw8TNWpd","Talamanca (Vintage Culture Remix)","spotify:artist:5eKqhPrKad0J9xGAtq3rW7, spotify:artist:28uJnu5EsrGml2tBd7y8ts","BURNS, Vintage Culture","2021-10-29","https://i.scdn.co/image/ab67616d0000b2738d600035fd3a07c683833d20","1","1","190080","https://p.scdn.co/mp3-preview/2e64e2bb04ddccf8911edc7cc53a471ced1f0ed0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","GBAYE2101377","spotify:user:eqhp51ukyqay109x6bmq5qt77","2022-09-06T23:14:19Z"
"spotify:track:7d6tDI0467QRa60kfcoxLQ","Soul","spotify:artist:1eucLGnPT27tdEh6MU29wp","Marsh","spotify:album:0iu8znAFrPPicFINN2nqCt","Soul EP","spotify:artist:1eucLGnPT27tdEh6MU29wp","Marsh","2019-06-28","https://i.scdn.co/image/ab67616d0000b27328df92c2f4941a702d732322","1","1","203503","https://p.scdn.co/mp3-preview/81cec36a0cc47c0816796766a68851b59a142bf1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","GBEWA1901890","spotify:user:eqhp51ukyqay109x6bmq5qt77","2022-09-06T23:14:39Z"
"spotify:track:0Ngd6J65AnInuftsfqVwsk","The Fog - Sven Sossong Remix","spotify:artist:64rNol4JogGwpauzKVo8AO, spotify:artist:3WpuTVelsLpTeZPDddqWlT, spotify:artist:1VLSH7CZ281qSHuZua3T2s","Jorek, DIRCRONE, Sven Sossong","spotify:album:25jQ67aN1EeGoqy9ITlATW","The Fog","spotify:artist:64rNol4JogGwpauzKVo8AO, spotify:artist:3WpuTVelsLpTeZPDddqWlT","Jorek, DIRCRONE","2020-05-04","https://i.scdn.co/image/ab67616d0000b273045e2fb6cd185f2eec8f9512","1","2","414045","https://p.scdn.co/mp3-preview/37b2ed232903347bc2992f6b0aa99b5c85c59ad1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","DEH742007918","spotify:user:eqhp51ukyqay109x6bmq5qt77","2022-09-06T23:24:43Z"
