"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:7qEHsqek33rTcFNT9PFqLf","Someone You Loved","spotify:artist:4GNC7GD6oZMSxPGyXy4MNB","Lewis Capaldi","spotify:album:5658aM19fA3JVwTK6eQX70","Divinely Uninspired To A Hellish Extent","spotify:artist:4GNC7GD6oZMSxPGyXy4MNB","Lewis Capaldi","2019-05-17","https://i.scdn.co/image/ab67616d0000b273fc2101e6889d6ce9025f85f2","1","4","182160","https://p.scdn.co/mp3-preview/d0a8c5301bb8468037f613b2f5d3f9ab232f8923?cid=9950ac751e34487dbbe027c4fd7f8e99","false","90","DEUM71807062","spotify:user:eqhp51ukyqay109x6bmq5qt77","2021-02-06T23:08:15Z"
"spotify:track:0HZhYMZOcUzZKSFwPOti6m","Jar of Hearts","spotify:artist:7H55rcKCfwqkyDFH9wpKM6","Christina Perri","spotify:album:3XNK8vPk3O1rjhDZyOMJ6n","lovestrong.","spotify:artist:7H55rcKCfwqkyDFH9wpKM6","Christina Perri","2011-05-10","https://i.scdn.co/image/ab67616d0000b27326a2f5224465a369f8abbf88","1","5","246587","https://p.scdn.co/mp3-preview/c9c3a5b998035b9c85726857683c7cd1a37167d0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","USAT21001508","spotify:user:eqhp51ukyqay109x6bmq5qt77","2021-02-06T23:08:23Z"
"spotify:track:1VdZ0vKfR5jneCmWIUAMxK","The A Team","spotify:artist:6eUKZXaKkcviH0Ku9w2n3V","Ed Sheeran","spotify:album:0W5GGnapMz0VwemQvJDqa7","+","spotify:artist:6eUKZXaKkcviH0Ku9w2n3V","Ed Sheeran","2011-09-09","https://i.scdn.co/image/ab67616d0000b273e6d489d359c546fea254f440","1","1","258373","https://p.scdn.co/mp3-preview/1cab73cd0e33cec8fe9a0ffe7319170862f37f8a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","GBAHS1100095","spotify:user:eqhp51ukyqay109x6bmq5qt77","2021-02-06T23:08:39Z"
"spotify:track:7vRriwrloYVaoAe3a9wJHe","i hate u, i love u (feat. olivia o'brien)","spotify:artist:3iri9nBFs9e4wN7PLIetAw, spotify:artist:1QRj3hoop9Mv5VvHQkwPEp","gnash, Olivia O'Brien","spotify:album:3L0H4RjVXpEkwfDgi3XOdf","us","spotify:artist:3iri9nBFs9e4wN7PLIetAw","gnash","2016-03-25","https://i.scdn.co/image/ab67616d0000b27308862f843ea27f44f8e8cbd8","1","6","251033","https://p.scdn.co/mp3-preview/a93e5e2523f2107dd70eae49018fae0a7f88d24c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","80","USAT21601051","spotify:user:eqhp51ukyqay109x6bmq5qt77","2021-02-06T23:08:52Z"
"spotify:track:2b8fOow8UzyDFAE27YhOZM","Memories","spotify:artist:04gDigrS5kc9YWfZHwBETP","Maroon 5","spotify:album:3nR9B40hYLKLcR0Eph3Goc","Memories","spotify:artist:04gDigrS5kc9YWfZHwBETP","Maroon 5","2019-09-20","https://i.scdn.co/image/ab67616d0000b273b8c0135a218de2d10a8435f5","1","1","189486","https://p.scdn.co/mp3-preview/e0faeb5bd806d8c5673114e2aa9c57f72dd6330a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","USUM71913350","spotify:user:eqhp51ukyqay109x6bmq5qt77","2021-02-06T23:08:58Z"
"spotify:track:0VhgEqMTNZwYL1ARDLLNCX","Can I Be Him","spotify:artist:4IWBUUAFIplrNtaOHcJPRM","James Arthur","spotify:album:7oiJYvEJHsmYtrgviAVIBD","Back from the Edge","spotify:artist:4IWBUUAFIplrNtaOHcJPRM","James Arthur","2016-10-28","https://i.scdn.co/image/ab67616d0000b27320beb61f61fcbeb33b10a9ab","1","4","246880","https://p.scdn.co/mp3-preview/8cb528d849cff993297c9444e1b6a56dc43c801e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","DEE861600588","spotify:user:eqhp51ukyqay109x6bmq5qt77","2021-02-06T23:09:08Z"
"spotify:track:630sXRhIcfwr2e4RdNtjKN","Rewrite The Stars","spotify:artist:6U1dBXJhC8gXFjamvFTmHg, spotify:artist:6sCbFbEjbYepqswM1vWjjs","Zac Efron, Zendaya","spotify:album:0mRqi6mOvyVVVEIfFFfWXU","Rewrite The Stars","spotify:artist:6U1dBXJhC8gXFjamvFTmHg, spotify:artist:6sCbFbEjbYepqswM1vWjjs","Zac Efron, Zendaya","2017-11-17","https://i.scdn.co/image/ab67616d0000b273d44e723b677380dfbc899bcd","1","1","217440","https://p.scdn.co/mp3-preview/b59e1bd5efc1916ce39ce03f67dbbeb15ef62fc0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","USAT21704623","spotify:user:eqhp51ukyqay109x6bmq5qt77","2021-02-06T23:09:35Z"
"spotify:track:2BOqDYLOJBiMOXShCV1neZ","Dancing On My Own","spotify:artist:6ydoSd3N2mwgwBHtF6K7eX","Calum Scott","spotify:album:6Vip5A5NmEazvKuxj6GLYf","Only Human (Deluxe)","spotify:artist:6ydoSd3N2mwgwBHtF6K7eX","Calum Scott","2018-03-09","https://i.scdn.co/image/ab67616d0000b273f2d671c22b70e01b78a618a8","1","7","260285","https://p.scdn.co/mp3-preview/57dcf5872dc4e4a37f7a8761f09ae865728048cd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","UK6KW1500205","spotify:user:eqhp51ukyqay109x6bmq5qt77","2021-02-06T23:09:57Z"
"spotify:track:2rRJrJEo19S2J82BDsQ3F7","Falling","spotify:artist:7uaIm6Pw7xplS8Dy06V6pT","Trevor Daniel","spotify:album:1Hy76RlNvOHe6cpih1RxXq","Nicotine","spotify:artist:7uaIm6Pw7xplS8Dy06V6pT","Trevor Daniel","2020-03-26","https://i.scdn.co/image/ab67616d0000b273626fb1736f04466054ff7dd4","1","10","159381","","false","0","USUYG1221109","spotify:user:eqhp51ukyqay109x6bmq5qt77","2021-02-06T23:10:58Z"
"spotify:track:6Zc5f20q7sOe1IC1c1jQvZ","Without Me (with Juice WRLD)","spotify:artist:26VFTg2z8YR0cCuwLzESi2, spotify:artist:4MCBfE4596Uoi2O4DtmEMz","Halsey, Juice WRLD","spotify:album:6JFsisjpUarmCfG3lrfP4Q","Without Me (with Juice WRLD)","spotify:artist:26VFTg2z8YR0cCuwLzESi2, spotify:artist:4MCBfE4596Uoi2O4DtmEMz","Halsey, Juice WRLD","2019-01-09","https://i.scdn.co/image/ab67616d0000b27384a5651f3ab1604570ea0405","1","1","228816","https://p.scdn.co/mp3-preview/78349a616cbbba6d81d505e0312bb2cb878cada1?cid=9950ac751e34487dbbe027c4fd7f8e99","true","65","USUM71900157","spotify:user:eqhp51ukyqay109x6bmq5qt77","2021-02-06T23:11:21Z"
