"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0WebpqjAhluHB2WREW9x4R","Hold In, Hold On","spotify:artist:5CXdWANGwYYRPClH6hhC0P","Kid Bloom","spotify:album:3j7CpIcTP7jFEbQjIMcuud","Hold In, Hold On","spotify:artist:5CXdWANGwYYRPClH6hhC0P","Kid Bloom","2020-11-13","https://i.scdn.co/image/ab67616d0000b273d9a04ca1084b0cfa6d0f7308","1","1","159666","https://p.scdn.co/mp3-preview/bd9a3ba9fde8f1833b326c60c6d372d45078a052?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","USUM72020494","spotify:user:maliazenaida","2022-08-01T14:03:48Z"
"spotify:track:1REVvAphiSTJyKQ1fDpHa4","Purple Hearts","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg, spotify:artist:57LYzLEk2LcFghVwuWbcuS, spotify:artist:6FD0unjzGQhX3b6eMccMJe","Kendrick Lamar, Summer Walker, Ghostface Killah","spotify:album:79ONNoS4M9tfIA1mYLBYVX","Mr. Morale & The Big Steppers","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","2022-05-13","https://i.scdn.co/image/ab67616d0000b2732e02117d76426a08ac7c174f","1","9","329295","https://p.scdn.co/mp3-preview/e928b550d9209e3a5898c8c8c3b203ad5b8cb2e0?cid=9950ac751e34487dbbe027c4fd7f8e99","true","67","USUM72208975","spotify:user:maliazenaida","2022-08-01T23:40:57Z"
"spotify:track:213LtzTmFAm3LsyVnNyLGQ","The Scoop On Heaven","spotify:artist:4LLpKhyESsyAXpc4laK94U","Mac Miller","spotify:album:1XEycvgUklYgcYEUf7vbij","I Love Life, Thank You","spotify:artist:4LLpKhyESsyAXpc4laK94U","Mac Miller","2022-07-22","https://i.scdn.co/image/ab67616d0000b2732e8e9d480a55d914e1c5ff3b","1","4","163033","","true","1","USA2P2212492","spotify:user:maliazenaida","2022-08-01T19:27:27Z"
"spotify:track:79nkN1EmB1B03uZi9DcS4w","Sugar","spotify:artist:0NB5HROxc8dDBXpkIi1v3d","Remi Wolf","spotify:album:7dMtse1hCWqbfFGMLW2clA","Juno (Deluxe)","spotify:artist:0NB5HROxc8dDBXpkIi1v3d","Remi Wolf","2022-06-03","https://i.scdn.co/image/ab67616d0000b2736ae0631d36fc51b963780650","1","5","196720","https://p.scdn.co/mp3-preview/d7a6b2ddfbaaad7314af0ad4969cf8c5a14b58b7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","USUG12202622","spotify:user:maliazenaida","2022-08-02T16:24:40Z"
"spotify:track:3wTg6ZUnRgG8xhWiQWTifb","Will I See You Again?","spotify:artist:0oK5D6uPhGu4Jk2dbZfodU","Thee Sacred Souls","spotify:album:7yp4ZtP97mPJTdmRjHaiaH","Will I See You Again?","spotify:artist:0oK5D6uPhGu4Jk2dbZfodU","Thee Sacred Souls","2021-01-22","https://i.scdn.co/image/ab67616d0000b2734866e91800a8be70800229ed","1","1","240653","","false","0","USA2B2059944","spotify:user:maliazenaida","2022-08-11T02:20:46Z"
"spotify:track:2lDcCz0Rbi7x1wW6dEvluz","Best Friends","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd","spotify:album:0A8SNVB9aIWEW3rm2OgwOB","Dawn FM (Alternate World)","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd","2022-01-07","https://i.scdn.co/image/ab67616d0000b2737f3ca7138dab8817912430c9","1","9","163504","https://p.scdn.co/mp3-preview/c0a1c4d32e3a18fe69c3f61c08929682c9e0238b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","USUG12106691","spotify:user:maliazenaida","2022-08-12T03:22:56Z"
"spotify:track:2u3hKhl5ltq0gbFo8ivsbB","Pretty Girls","spotify:artist:08PvCOlef4xdOr20jFSTPd","Flo Milli","spotify:album:42C76ZnwdWqEu6zs6NFW1A","You Still Here, Ho ?","spotify:artist:08PvCOlef4xdOr20jFSTPd","Flo Milli","2022-07-20","https://i.scdn.co/image/ab67616d0000b27366a4bafe18cb6bdf4ecf3400","1","7","138240","https://p.scdn.co/mp3-preview/8ac2b4a840b80dfe30e446824e34b759adea34e0?cid=9950ac751e34487dbbe027c4fd7f8e99","true","45","USRC12200909","spotify:user:maliazenaida","2022-08-08T22:29:53Z"
"spotify:track:0lTH3Dt0GlBQhxFHSnaZ7g","ROCKSTAR P","spotify:artist:5SXuuuRpukkTvsLuUknva1","Baby Keem","spotify:album:7Cw4LObzgnVqSlkuIyywtI","DIE FOR MY BITCH","spotify:artist:5SXuuuRpukkTvsLuUknva1","Baby Keem","2019-07-19","https://i.scdn.co/image/ab67616d0000b273683757f1fd40a7f7ef64bec1","1","8","136654","https://p.scdn.co/mp3-preview/7849d41d1c34dd63b2479b7c390227424848bce3?cid=9950ac751e34487dbbe027c4fd7f8e99","true","54","QM6N21900326","spotify:user:maliazenaida","2022-08-08T20:52:56Z"
"spotify:track:11pEKMLmavDu8fxOB5QjbQ","Pipe Down","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","spotify:album:3SpBlxme9WbeQdI9kx7KAV","Certified Lover Boy","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","2021-09-03","https://i.scdn.co/image/ab67616d0000b273cd945b4e3de57edd28481a3f","1","10","205721","https://p.scdn.co/mp3-preview/d86daa73d763b3f6139133b9accb6f0ffbdf9ace?cid=9950ac751e34487dbbe027c4fd7f8e99","true","75","USUG12104406","spotify:user:maliazenaida","2022-08-30T16:14:06Z"
"spotify:track:2PoqubfYq2Cl0nUyrrTht6","Swimming In The Moonlight","spotify:artist:0YhUSm86okLWldQVwJkLlP","Bad Suns","spotify:album:2YXl7mV4d30fEbwpVQ7YBQ","Disappear Here","spotify:artist:0YhUSm86okLWldQVwJkLlP","Bad Suns","2016-09-16","https://i.scdn.co/image/ab67616d0000b273fffed5c0eb4428e53713ade4","1","7","221280","","false","39","QMRSZ1600417","spotify:user:maliazenaida","2022-08-01T14:04:31Z"
