"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4z0PnuB07fxtVZZRWsCfxb","100 Grandkids","spotify:artist:4LLpKhyESsyAXpc4laK94U","Mac Miller","spotify:album:2Tyx5dLhHYkx6zeAdVaTzN","GO:OD AM","spotify:artist:4LLpKhyESsyAXpc4laK94U","Mac Miller","2015-09-18","https://i.scdn.co/image/ab67616d0000b273ee0f38410382a255e4fb15f4","1","5","278506","https://p.scdn.co/mp3-preview/9cbd788c9aa78fa751fa9160e2d08e011154b15e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","64","USWB11508205","spotify:user:maliazenaida","2023-05-11T03:06:27Z"
"spotify:track:2XMAWynSTIst5KmLSv0Npf","AMERICA HAS A PROBLEM","spotify:artist:6vWDO969PvNqNYHIOW5v0m","Beyoncé","spotify:album:6FJxoadUE4JNVwWHghBwnb","RENAISSANCE","spotify:artist:6vWDO969PvNqNYHIOW5v0m","Beyoncé","2022-07-29","https://i.scdn.co/image/ab67616d0000b2730e58a0f8308c1ad403d105e7","1","14","198897","https://p.scdn.co/mp3-preview/5251e13693f98f53cad47b2ef2a3b9c0b188fb5f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","76","USSM12206242","spotify:user:maliazenaida","2023-05-30T23:54:31Z"
"spotify:track:7yvdp8dqmxExSJwT2fn6Xq","Binz","spotify:artist:2auiVi8sUZo17dLy1HwrTU","Solange","spotify:album:4WF4HvVT7VjGnVjxjoCR6w","When I Get Home","spotify:artist:2auiVi8sUZo17dLy1HwrTU","Solange","2019-03-01","https://i.scdn.co/image/ab67616d0000b273b1150f77ae2fbf0d5b4715fc","1","14","111226","https://p.scdn.co/mp3-preview/92e89b40848c7271f43fe0bc8621add9a019adf9?cid=9950ac751e34487dbbe027c4fd7f8e99","true","65","USSM11901232","spotify:user:maliazenaida","2023-04-01T17:05:38Z"
"spotify:track:46hkty784UBYP0kR3KcAUJ","Colors","spotify:artist:3Gm5F95VdRxW3mqCn8RPBJ","Aminé","spotify:album:0KkHzH0uia9zwPbrCbS6NY","TWOPOINTFIVE","spotify:artist:3Gm5F95VdRxW3mqCn8RPBJ","Aminé","2021-11-05","https://i.scdn.co/image/ab67616d0000b273ca74198e1f4ef261bf418029","1","2","166569","https://p.scdn.co/mp3-preview/e5bebc4b6f610d0aa96f41b7ceb1c25f9fa03df5?cid=9950ac751e34487dbbe027c4fd7f8e99","true","46","QZLBC2100485","spotify:user:maliazenaida","2023-04-07T16:42:30Z"
"spotify:track:4XfI7M5gLwEY84gYiH4RDD","Devil's Advocate","spotify:artist:77SW9BnxLY8rJ0RciFqkHh","The Neighbourhood","spotify:album:4uNgt1uQs6wZRm4giB3shX","Chip Chrome & The Mono-Tones","spotify:artist:77SW9BnxLY8rJ0RciFqkHh","The Neighbourhood","2020-09-25","https://i.scdn.co/image/ab67616d0000b2731a721f3757e5b67f87e1acd3","1","4","186306","https://p.scdn.co/mp3-preview/6b38ab26c40982a81369c0966a5408b2fdc655ef?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","USSM12003781","spotify:user:maliazenaida","2023-04-01T17:06:07Z"
"spotify:track:2R0zbd80CqwoB0ORDCqDoK","She's A Bad Mama Jama (She's Built, She's Stacked) - Single Version","spotify:artist:6gYjIUFuKIBVJfxXnmrd5P","Carl Carlton","spotify:album:47PRIVK9fSdMzABbJFbQes","Carl Carlton (Expanded Edition)","spotify:artist:6gYjIUFuKIBVJfxXnmrd5P","Carl Carlton","1981-01-01","https://i.scdn.co/image/ab67616d0000b273d33cf0f26efdf538bfd6864e","1","10","235933","https://p.scdn.co/mp3-preview/fa3495f90ccc58aa739267a66e100fdf7a718326?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","USDJ20110816","spotify:user:maliazenaida","2023-04-06T16:50:50Z"
"spotify:track:5tqZJUHEuqdN12RZVq2l9p","Hold On","spotify:artist:7GN9PivdemQRKjDt4z5Zv8","The Internet","spotify:album:27ThgFMUAx3MXLQ297DzWF","Hive Mind","spotify:artist:7GN9PivdemQRKjDt4z5Zv8","The Internet","2018-07-20","https://i.scdn.co/image/ab67616d0000b27360de86e634f2bd4d1364797e","1","13","406466","https://p.scdn.co/mp3-preview/c01bb7e77b63fcff40c659db3e1257e72a95f0c5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","USSM11804490","spotify:user:maliazenaida","2023-04-01T21:28:44Z"
"spotify:track:0vQffWKfl0JyRqtdoZINEM","Deserve Me (with Summer Walker)","spotify:artist:1U1el3k54VvEUzo3ybLPlM, spotify:artist:57LYzLEk2LcFghVwuWbcuS","Kali Uchis, Summer Walker","spotify:album:5OZ44LaqZbpP3m9B3oT8br","Red Moon In Venus","spotify:artist:1U1el3k54VvEUzo3ybLPlM","Kali Uchis","2023-03-03","https://i.scdn.co/image/ab67616d0000b27381fccd758776d16b87721b17","1","13","265888","https://p.scdn.co/mp3-preview/9043a7a791867159249baba018d335067c943089?cid=9950ac751e34487dbbe027c4fd7f8e99","true","63","USUM72219487","spotify:user:maliazenaida","2023-04-01T17:09:50Z"
"spotify:track:7tEoJKbYdIHBfn7tTIyjHW","Drug Ballad","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR","Eminem","spotify:album:6t7956yu5zYf5A829XRiHC","The Marshall Mathers LP","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR","Eminem","2000-05-23","https://i.scdn.co/image/ab67616d0000b273dbb3dd82da45b7d7f31b1b42","1","13","300266","https://p.scdn.co/mp3-preview/269c5bff0e49fab7e576c8e7b6af49d4ab294432?cid=9950ac751e34487dbbe027c4fd7f8e99","true","61","USIR10000587","spotify:user:maliazenaida","2023-04-06T16:17:38Z"
"spotify:track:5k44yc5bXO1XRedzjaugdQ","Cherry","spotify:artist:59oA5WbbQvomJz2BuRG071","Jungle","spotify:album:5gYCZgmXzzWXxOCb9fMfBm","For Ever","spotify:artist:59oA5WbbQvomJz2BuRG071","Jungle","2018-09-14","https://i.scdn.co/image/ab67616d0000b2733960505e249b30cac0ce8d82","1","4","196138","https://p.scdn.co/mp3-preview/477e1b37211b4ba914626875406d47913e30a8f2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","GBBKS1800100","spotify:user:maliazenaida","2023-04-01T17:10:07Z"
