"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2jZgzSxNSg1hTCq0ewWHGJ","Junk Of The Heart (Happy)","spotify:artist:1GLtl8uqKmnyCWxHmw9tL4","The Kooks","spotify:album:2HfdqVaLccOvzfsHej9A8g","Junk Of The Heart","spotify:artist:1GLtl8uqKmnyCWxHmw9tL4","The Kooks","2011-01-01","https://i.scdn.co/image/ab67616d0000b2739b8326ac45405124151f7726","1","1","187253","https://p.scdn.co/mp3-preview/f85001507dd0f4ae99de98ab5165b61a9a415879?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","GBAAA1100181","spotify:user:maliazenaida","2020-08-12T20:03:05Z"
"spotify:track:3HlM5CBcbCjbSupnIB42d4","Dream World","spotify:artist:2RhgnQNC74QoBlaUvT4MEe","The Growlers","spotify:album:0JNNqeHwFn7aJt29hu6oR8","Dream World","spotify:artist:2RhgnQNC74QoBlaUvT4MEe","The Growlers","2020-05-08","https://i.scdn.co/image/ab67616d0000b273222d3b6a7706afe5a995683e","1","1","198933","https://p.scdn.co/mp3-preview/732c290892d5d4d0def7a3e01a886c39e134c51d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","TCAEU2084283","spotify:user:maliazenaida","2020-08-12T19:41:30Z"
"spotify:track:7IDKIfRltN07TdsdTVtRHh","All Over","spotify:artist:1jNnM5dm7dzt16IocWCvJc","CRUISR","spotify:album:5Y4IZySK48REQg8jUcwq2g","All Over","spotify:artist:1jNnM5dm7dzt16IocWCvJc","CRUISR","2014","https://i.scdn.co/image/ab67616d0000b273dea62970703e5273247aebd9","1","1","182653","","false","36","USVR91425001","spotify:user:maliazenaida","2020-08-12T20:35:48Z"
"spotify:track:0SBariQWfKjoslW2XSIFOm","Seventeen","spotify:artist:6fC2AcsQtd9h4BWELbbire","Peach Pit","spotify:album:1lhF5c8Q9bzYNwGFwQgYnP","Sweet FA","spotify:artist:6fC2AcsQtd9h4BWELbbire","Peach Pit","2018-06-27","https://i.scdn.co/image/ab67616d0000b273241c6f0d19ffcda38f58c7f8","1","2","216426","https://p.scdn.co/mp3-preview/deb52f667c44feb10fc57bcb4ce3da5b8a0dfe26?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","USSM11805166","spotify:user:maliazenaida","2020-08-12T20:28:49Z"
"spotify:track:2iijuy8T2fbB3qJgptndFp","The Daisy Chain","spotify:artist:2RhgnQNC74QoBlaUvT4MEe","The Growlers","spotify:album:4LO26juP3UnGdO3mB2imxl","City Club","spotify:artist:2RhgnQNC74QoBlaUvT4MEe","The Growlers","2016-09-30","https://i.scdn.co/image/ab67616d0000b273bb09cba8a0ce270c134a59e9","1","8","225144","https://p.scdn.co/mp3-preview/459bc2051fbf4f41a3b1447c93276d930f6ad238?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","QMKBG1600051","spotify:user:maliazenaida","2020-08-12T20:39:11Z"
"spotify:track:7ACT6YaXbYvl7hRWEOOEHQ","Double Negative (Skeleton Milkshake)","spotify:artist:6USv9qhCn6zfxlBQIYJ9qs","Dominic Fike","spotify:album:1BubKJqf6Uc4fNae5kLJJ7","What Could Possibly Go Wrong","spotify:artist:6USv9qhCn6zfxlBQIYJ9qs","Dominic Fike","2020-07-31","https://i.scdn.co/image/ab67616d0000b273cfc824b65a3b1755d98a7e23","1","2","126465","https://p.scdn.co/mp3-preview/22be68b8edbd710ba2895972f39eefc743001921?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","USQX92003244","spotify:user:maliazenaida","2020-08-12T20:40:40Z"
"spotify:track:7e8utCy2JlSB8dRHKi49xM","Fluorescent Adolescent","spotify:artist:7Ln80lUS6He07XvHI8qqHH","Arctic Monkeys","spotify:album:6rsQnwaoJHxXJRCDBPkBRw","Favourite Worst Nightmare (Standard Version)","spotify:artist:7Ln80lUS6He07XvHI8qqHH","Arctic Monkeys","2007-04-24","https://i.scdn.co/image/ab67616d0000b2730c8ac83035e9588e8ad34b90","1","5","173493","https://p.scdn.co/mp3-preview/5d554321da6089f449862bf515d63fe3f80829f9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","GBCEL0700067","spotify:user:maliazenaida","2020-08-12T20:32:03Z"
"spotify:track:0vAb3U3NJhiuib2B7sJdeJ","Money","spotify:artist:0p5axeJsbtTCXBrRVoKjwu","The Drums","spotify:album:13F3zUhKQsEe4IG6DaMJCh","Portamento","spotify:artist:0p5axeJsbtTCXBrRVoKjwu","The Drums","2011-09-06","https://i.scdn.co/image/ab67616d0000b27328704b8e73877747d2c71659","1","4","233655","","false","0","GBUM71105426","spotify:user:maliazenaida","2020-08-12T20:31:24Z"
"spotify:track:0GDVDKFLPTGWTh77HoOf6T","Shake","spotify:artist:5BhFZpE8kUGZJiKOsYjLQM","Yeek","spotify:album:19MkXf6np5F4Kuln4bndwK","Sebastian","spotify:artist:5BhFZpE8kUGZJiKOsYjLQM","Yeek","2017-04-28","https://i.scdn.co/image/ab67616d0000b273831554aad928a368d5eff47f","1","1","188238","","false","0","QMPKX1718322","spotify:user:maliazenaida","2020-08-12T20:34:50Z"
"spotify:track:4sebUbjqbcgDSwG6PbSGI0","Come a Little Closer","spotify:artist:26T3LtbuGT1Fu9m0eRq5X3","Cage The Elephant","spotify:album:4EK8gtQfdVsmDTji7gBFlz","Melophobia","spotify:artist:26T3LtbuGT1Fu9m0eRq5X3","Cage The Elephant","2013-10-08","https://i.scdn.co/image/ab67616d0000b273fb1cb900d28642e668d77b12","1","2","229346","https://p.scdn.co/mp3-preview/a6287f8d65c0ba8be2e753799540c226cdb75a8d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","USRC11301144","spotify:user:maliazenaida","2020-08-12T20:21:07Z"
