"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6sASGGyFiHJVsoWZCHYOsa","Queen's Parade","spotify:artist:1nQj0M42wlxHPw999Pms69","Swimming Tapes","spotify:album:6UIJUT0FM2GI9CdSEgVDk5","Queen's Parade","spotify:artist:1nQj0M42wlxHPw999Pms69","Swimming Tapes","2017-05-10","https://i.scdn.co/image/ab67616d0000b27362c0f7b6345885124f27ac28","1","1","225316","","false","0","QM4TX1757760","spotify:user:maliazenaida","2019-06-10T20:07:02Z"
"spotify:track:4loxhrC7MqARWyHLofmhtW","Beach Bummer","spotify:artist:32zeX1IoVKAGWMyy1isKUq","No Vacation","spotify:album:04Yi3MVgftQcAqIqVdy9Wu","Amo XO","spotify:artist:32zeX1IoVKAGWMyy1isKUq","No Vacation","2015-04-06","https://i.scdn.co/image/ab67616d0000b273e1918cbed620f9f4b40a2a62","1","3","148192","","false","34","USHM81626723","spotify:user:maliazenaida","2019-06-10T01:07:38Z"
"spotify:track:6As34Fmjj7dtReKB51NOVc","Super Natural","spotify:artist:0gLjJuczGWhqKVMmVpIT52","Turnover","spotify:album:1KzvEewMA8NX0y3Rtx9vOz","Good Nature","spotify:artist:0gLjJuczGWhqKVMmVpIT52","Turnover","2017-08-25","https://i.scdn.co/image/ab67616d0000b2738dd818b352008814dbcc6994","1","1","257859","","false","0","QMCE71301446","spotify:user:maliazenaida","2019-06-10T02:07:21Z"
"spotify:track:3iFYY09Z5yoNy1QnJBt4AR","Candy Wrappers","spotify:artist:3MATPJ9tYbcMhw5VOZrRU6","Summer Salt","spotify:album:6dzxWdAnluek7QJ3EEj21O","So Polite","spotify:artist:3MATPJ9tYbcMhw5VOZrRU6","Summer Salt","2017-07-18","https://i.scdn.co/image/ab67616d0000b2730d2929efadb8b2a228421e44","1","1","194418","","false","0","QZ8LD1739331","spotify:user:maliazenaida","2019-06-10T20:11:39Z"
"spotify:track:1KPDAA9zyJXcEDvFW5inYi","Down the Line","spotify:artist:1bwUhKRmEkOZ1wuTnV9XjC","Beach Fossils","spotify:album:6Kkz3vJXJzemMSQkbsqWQR","Somersault","spotify:artist:1bwUhKRmEkOZ1wuTnV9XjC","Beach Fossils","2017-06-02","https://i.scdn.co/image/ab67616d0000b2734f5dd456ecd31eb5c17d0b07","1","9","158474","","false","0","QM6YT1701409","spotify:user:maliazenaida","2019-06-10T01:14:13Z"
"spotify:track:7yq4Qj7cqayVTp3FF9CWbm","Riptide","spotify:artist:10exVja0key0uqUkk6LJRT","Vance Joy","spotify:album:6rIbiUMmZJfqJRnXhVxFvg","Dream Your Life Away","spotify:artist:10exVja0key0uqUkk6LJRT","Vance Joy","2014-09-08","https://i.scdn.co/image/ab67616d0000b273d3ce97395ff522b0d70c1094","1","4","204280","https://p.scdn.co/mp3-preview/74698d907d114f4ba0b2c129bbf260724be80b64?cid=9950ac751e34487dbbe027c4fd7f8e99","false","86","AULI01385760","spotify:user:maliazenaida","2019-06-12T02:50:45Z"
"spotify:track:1TFjgmDNqtfw2R0ruYZkUI","This Year","spotify:artist:1bwUhKRmEkOZ1wuTnV9XjC","Beach Fossils","spotify:album:6Kkz3vJXJzemMSQkbsqWQR","Somersault","spotify:artist:1bwUhKRmEkOZ1wuTnV9XjC","Beach Fossils","2017-06-02","https://i.scdn.co/image/ab67616d0000b2734f5dd456ecd31eb5c17d0b07","1","1","168092","","false","0","QM6YT1701401","spotify:user:maliazenaida","2019-06-10T01:08:45Z"
"spotify:track:6y9FOsVA7S57Qcx58qip9h","Pure Devotion","spotify:artist:0gLjJuczGWhqKVMmVpIT52","Turnover","spotify:album:0nbn2dRfbtnpAZeQwG2wfh","Pure Devotion","spotify:artist:0gLjJuczGWhqKVMmVpIT52","Turnover","2018-02-14","https://i.scdn.co/image/ab67616d0000b273debfcce832d6d4d86b3ab117","1","1","231603","","false","0","QMCE71301451","spotify:user:maliazenaida","2019-06-08T22:04:06Z"
"spotify:track:3dmsgudsfeGdQ9NsZFOm0C","Lovefool","spotify:artist:32zeX1IoVKAGWMyy1isKUq","No Vacation","spotify:album:04Yi3MVgftQcAqIqVdy9Wu","Amo XO","spotify:artist:32zeX1IoVKAGWMyy1isKUq","No Vacation","2015-04-06","https://i.scdn.co/image/ab67616d0000b273e1918cbed620f9f4b40a2a62","1","6","130961","","false","39","USHM81626726","spotify:user:maliazenaida","2019-06-10T01:09:20Z"
"spotify:track:6qn2qn12aqeFfIjGodvxjw","Saint Ivy","spotify:artist:1bwUhKRmEkOZ1wuTnV9XjC","Beach Fossils","spotify:album:6Kkz3vJXJzemMSQkbsqWQR","Somersault","spotify:artist:1bwUhKRmEkOZ1wuTnV9XjC","Beach Fossils","2017-06-02","https://i.scdn.co/image/ab67616d0000b2734f5dd456ecd31eb5c17d0b07","1","3","224410","","false","0","QM6YT1701403","spotify:user:maliazenaida","2019-06-10T20:05:57Z"
