"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:7txPE73wHbuXYkM1h8zNrG","Mob Ties","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","spotify:album:2o9McLtDM7mbODV7yZF2mc","Scorpion","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","2018-06-29","https://i.scdn.co/image/ab67616d0000b273f9a9abe8ed9ffaba55412384","1","8","205146","","true","0","USCM51800211","spotify:user:rmal1103401","2018-07-01T18:11:00Z"
"spotify:track:0dSIrRkA4PadGll16TgbnV","PICK IT UP (feat. A$AP Rocky)","spotify:artist:0WOxhx4hikIsyF3CRPLC8W, spotify:artist:13ubrt8QOOCPljQ2FL1Kca","Famous Dex, A$AP Rocky","spotify:album:5wCuMMmsjXNZ9yU91sEjf7","Dex Meets Dexter","spotify:artist:0WOxhx4hikIsyF3CRPLC8W","Famous Dex","2018-04-06","https://i.scdn.co/image/ab67616d0000b27324ef7429ba82789623ae8b14","1","9","191251","https://p.scdn.co/mp3-preview/7dfa73f415f80d48d6e04f60e936c2f9a38912f1?cid=9950ac751e34487dbbe027c4fd7f8e99","true","68","QMCE31701365","spotify:user:rmal1103401","2018-08-15T14:42:02Z"
"spotify:track:794QVQtFNy7hvtjQP1keQd","1942 (feat. Yo Gotti & YBN Nahmir)","spotify:artist:02kJSzxNuaWGqwubyUba0Z, spotify:artist:6Ha4aES39QiVjR0L2lwuwq, spotify:artist:3gGUMEwIX6XodWsYEvKSal","G-Eazy, Yo Gotti, YBN Nahmir","spotify:album:2DD75QcOrA0GMAkTYfGWuG","1942 (feat. Yo Gotti & YBN Nahmir)","spotify:artist:02kJSzxNuaWGqwubyUba0Z","G-Eazy","2018-04-13","https://i.scdn.co/image/ab67616d0000b273766afc58fe58d6b40465478d","1","1","213080","https://p.scdn.co/mp3-preview/c55899c49b5be1d52c338ddff709a91df9cc773c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","60","USRC11703045","spotify:user:rmal1103401","2018-08-15T14:42:31Z"
"spotify:track:2Vx8E3K5icPZR7OCklWBXX","Nonstop","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","spotify:album:2o9McLtDM7mbODV7yZF2mc","Scorpion","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","2018-06-29","https://i.scdn.co/image/ab67616d0000b273f9a9abe8ed9ffaba55412384","1","2","238613","","true","0","USCM51800191","spotify:user:rmal1103401","2018-06-29T16:21:18Z"
"spotify:track:3DoBTwfr8yi2LN08SBpFkN","Watch (feat. Lil Uzi Vert & Kanye West)","spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY, spotify:artist:4O15NlyKLIASxsJ0PrXPfz, spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Travis Scott, Lil Uzi Vert, Kanye West","spotify:album:7hVFsGvQ1apmp4EAldMwID","Watch (feat. Lil Uzi Vert & Kanye West)","spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY, spotify:artist:4O15NlyKLIASxsJ0PrXPfz","Travis Scott, Lil Uzi Vert","2018-05-04","https://i.scdn.co/image/ab67616d0000b273ed71124ea2ab3ddc260eb1b6","1","1","217405","https://p.scdn.co/mp3-preview/d7a1d78c541d8750c4ba697cf87c12b52dee9f96?cid=9950ac751e34487dbbe027c4fd7f8e99","true","64","USSM11804504","spotify:user:rmal1103401","2018-05-04T23:42:09Z"
"spotify:track:6Q2FftbUG530lCtBI74bMH","Drowning (feat. Kodak Black)","spotify:artist:31W5EY0aAly4Qieq6OFu6I, spotify:artist:46SHBwWsqBkxI7EeeBEQG7","A Boogie Wit da Hoodie, Kodak Black","spotify:album:0Ot1WinfMpH1pyUpWXbmUB","Drowning (feat. Kodak Black)","spotify:artist:31W5EY0aAly4Qieq6OFu6I, spotify:artist:46SHBwWsqBkxI7EeeBEQG7","A Boogie Wit da Hoodie, Kodak Black","2017-03-09","https://i.scdn.co/image/ab67616d0000b27331d8918139b720e4141adeec","1","1","209269","","true","0","USAT21701817","spotify:user:rmal1103401","2017-09-21T13:21:14Z"
"spotify:track:1e1JKLEDKP7hEQzJfNAgPl","Magnolia","spotify:artist:699OTQXzgjhIYAHMy9RyPD","Playboi Carti","spotify:album:4rJgzzfFHAVFhCSt2P4I3j","Playboi Carti","spotify:artist:699OTQXzgjhIYAHMy9RyPD","Playboi Carti","2017-04-14","https://i.scdn.co/image/ab67616d0000b273e31a279d267f3b3d8912e6f1","1","2","181812","https://p.scdn.co/mp3-preview/e118fc0ca3c13f9d57e093afe6df2028aeabac24?cid=9950ac751e34487dbbe027c4fd7f8e99","true","82","USUM71703095","spotify:user:rmal1103401","2017-09-21T13:21:16Z"
"spotify:track:3B54sVLJ402zGa6Xm4YGNe","Unforgettable","spotify:artist:6vXTefBL93Dj5IqAWq6OTv, spotify:artist:1zNqQNIdeOUZHb8zbZRFMX","French Montana, Swae Lee","spotify:album:4c2p3TdN7NcQfCXyueCNnC","Jungle Rules","spotify:artist:6vXTefBL93Dj5IqAWq6OTv","French Montana","2017-07-14","https://i.scdn.co/image/ab67616d0000b2738a31195a371b2233456f6c07","1","2","233901","https://p.scdn.co/mp3-preview/f8d5e3c37feb980e60cac2df4256250d4b5cf5b5?cid=9950ac751e34487dbbe027c4fd7f8e99","true","86","USSM11703478","spotify:user:rmal1103401","2017-09-21T13:21:26Z"
"spotify:track:1OmcAT5Y8eg5bUPv9qJT4R","rockstar","spotify:artist:246dkjvS1zLTtiykXe5h60, spotify:artist:1URnnhqYAYcrqrcwql10ft","Post Malone, 21 Savage","spotify:album:1YCRXKLDRB0UnbrFUJ4F6e","rockstar","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","2017-09-15","https://i.scdn.co/image/ab67616d0000b273d3884f06c92d826ecd87a319","1","1","218320","","true","1","USUM71710087","spotify:user:rmal1103401","2017-09-21T13:21:36Z"
"spotify:track:2Xqd0wUttjueBfdcltADOv","No Limit","spotify:artist:02kJSzxNuaWGqwubyUba0Z, spotify:artist:13ubrt8QOOCPljQ2FL1Kca, spotify:artist:4kYSro6naA4h99UJvo89HB","G-Eazy, A$AP Rocky, Cardi B","spotify:album:1KvHCH7ZuC3cWrfi28Xq5w","No Limit","spotify:artist:02kJSzxNuaWGqwubyUba0Z","G-Eazy","2017-09-07","https://i.scdn.co/image/ab67616d0000b27330e1314399055d25579f7ae3","1","1","245386","","true","0","USRC11702117","spotify:user:rmal1103401","2017-12-13T06:30:59Z"
"spotify:track:6p8NuHm8uCGnn2Dtbtf7zE","Slippery (feat. Gucci Mane)","spotify:artist:6oMuImdp5ZcFhWP0ESe6mG, spotify:artist:13y7CgLHjMVRMDqxdx0Xdo","Migos, Gucci Mane","spotify:album:2AvupjUeMnSffKEV05x222","Culture","spotify:artist:6oMuImdp5ZcFhWP0ESe6mG","Migos","2017-04-07","https://i.scdn.co/image/ab67616d0000b273cf9b68115dcb2a222c252f00","1","6","304041","","true","4","QMCE31600876","spotify:user:rmal1103401","2017-09-21T13:21:10Z"
"spotify:track:6gBFPUFcJLzWGx4lenP6h2","goosebumps","spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY","Travis Scott","spotify:album:42WVQWuf1teDysXiOupIZt","Birds In The Trap Sing McKnight","spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY","Travis Scott","2016-09-16","https://i.scdn.co/image/ab67616d0000b273f54b99bf27cda88f4a7403ce","1","9","243836","https://p.scdn.co/mp3-preview/5c45fee2743d39984ed2c1e2493d04a42d626f81?cid=9950ac751e34487dbbe027c4fd7f8e99","true","86","USSM11607555","spotify:user:rmal1103401","2017-09-21T13:21:01Z"
"spotify:track:3a1lNhkSLSkpJE4MSHpDu9","Congratulations","spotify:artist:246dkjvS1zLTtiykXe5h60, spotify:artist:0VRj0yCOv2FXJNP47XQnx5","Post Malone, Quavo","spotify:album:5s0rmjP8XOPhP6HhqOhuyC","Stoney (Deluxe)","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","2016-12-09","https://i.scdn.co/image/ab67616d0000b27355404f712deb84d0650a4b41","1","12","220293","https://p.scdn.co/mp3-preview/41367bd297b91aa6c277d10ea06ca33d18f60e10?cid=9950ac751e34487dbbe027c4fd7f8e99","true","84","USUM71614484","spotify:user:rmal1103401","2017-09-21T13:21:03Z"
"spotify:track:0SGkqnVQo9KPytSri1H6cF","Bounce Back","spotify:artist:0c173mlxpT3dSFRgMO8XPh","Big Sean","spotify:album:0XAIjjN5qxViVS0Y5fYkar","I Decided.","spotify:artist:0c173mlxpT3dSFRgMO8XPh","Big Sean","2017-02-03","https://i.scdn.co/image/ab67616d0000b273e572359074e5da958a922987","1","3","222360","https://p.scdn.co/mp3-preview/0be5f48a05364d3c03d2231f27ced528959206b2?cid=9950ac751e34487dbbe027c4fd7f8e99","true","70","USUM71614503","spotify:user:rmal1103401","2017-09-21T13:21:02Z"
"spotify:track:2771LMNxwf62FTAdpJMQfM","Bodak Yellow","spotify:artist:4kYSro6naA4h99UJvo89HB","Cardi B","spotify:album:1wpgafbHuQfSUmCWvahFlq","Bodak Yellow","spotify:artist:4kYSro6naA4h99UJvo89HB","Cardi B","2017-06-16","https://i.scdn.co/image/ab67616d0000b27362a2dedc55a38a0fca0a17b0","1","1","223962","https://p.scdn.co/mp3-preview/44c4f56214e6ee44dfc30311e124dfd3ca39f499?cid=9950ac751e34487dbbe027c4fd7f8e99","true","58","USAT21701762","spotify:user:rmal1103401","2017-10-15T02:44:01Z"
"spotify:track:1yxgsra98r3qAtxqiGZPiX","BUTTERFLY EFFECT","spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY","Travis Scott","spotify:album:4fOw7xSDwqb58Z2Qia5j81","BUTTERFLY EFFECT","spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY","Travis Scott","2017-05-18","https://i.scdn.co/image/ab67616d0000b273b5e9358d0d07114609d9afab","1","1","190677","","false","4","USSM11704799","spotify:user:rmal1103401","2017-10-15T03:57:48Z"
"spotify:track:6eT7xZZlB2mwyzJ2sUKG6w","White Iverson","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","spotify:album:5s0rmjP8XOPhP6HhqOhuyC","Stoney (Deluxe)","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","2016-12-09","https://i.scdn.co/image/ab67616d0000b27355404f712deb84d0650a4b41","1","6","256532","https://p.scdn.co/mp3-preview/41e53886e926c6f76a2259927622a2d1112a2068?cid=9950ac751e34487dbbe027c4fd7f8e99","true","79","USUM71511528","spotify:user:rmal1103401","2017-10-30T02:26:20Z"
"spotify:track:4dVpf9jZjcORqGTLUaeYj9","Plain Jane","spotify:artist:5dHt1vcEm9qb8fCyLcB3HL","A$AP Ferg","spotify:album:0tQ7Iu6EicQTPyhYRNWjaT","Still Striving","spotify:artist:5dHt1vcEm9qb8fCyLcB3HL","A$AP Ferg","2017-08-18","https://i.scdn.co/image/ab67616d0000b273d79cfa3155b50beb5dbeeb9a","1","8","173600","https://p.scdn.co/mp3-preview/34934b16056fc0f696dfccfd48ec62b1202d5b18?cid=9950ac751e34487dbbe027c4fd7f8e99","true","75","USRC11701803","spotify:user:rmal1103401","2017-12-03T20:06:58Z"
"spotify:track:7sO5G9EABYOXQKNPNiE9NR","Ric Flair Drip (with Metro Boomin)","spotify:artist:4DdkRBBYG6Yk9Ka8tdJ9BW, spotify:artist:0iEtIxbK0KxaSlF7G42ZOp","Offset, Metro Boomin","spotify:album:0MV1yCXcNNQBfwApqAVkH0","Without Warning","spotify:artist:1URnnhqYAYcrqrcwql10ft, spotify:artist:4DdkRBBYG6Yk9Ka8tdJ9BW, spotify:artist:0iEtIxbK0KxaSlF7G42ZOp","21 Savage, Offset, Metro Boomin","2017-10-30","https://i.scdn.co/image/ab67616d0000b2730db43130a9aaa7bae56967ed","1","3","172800","https://p.scdn.co/mp3-preview/89cee86b4663ac093731d7a433491dd71e286f61?cid=9950ac751e34487dbbe027c4fd7f8e99","true","86","QZ45A1700064","spotify:user:rmal1103401","2017-12-13T06:22:58Z"
"spotify:track:1YZfcVLbbJwfizR5cDOp3q","MotorSport","spotify:artist:6oMuImdp5ZcFhWP0ESe6mG, spotify:artist:0hCNtLu0JehylgoiP8L4Gh, spotify:artist:4kYSro6naA4h99UJvo89HB","Migos, Nicki Minaj, Cardi B","spotify:album:55IoPTWDaFLWGhxR7E4YSH","MotorSport","spotify:artist:6oMuImdp5ZcFhWP0ESe6mG, spotify:artist:0hCNtLu0JehylgoiP8L4Gh, spotify:artist:4kYSro6naA4h99UJvo89HB","Migos, Nicki Minaj, Cardi B","2017-10-27","https://i.scdn.co/image/ab67616d0000b2730dee8dd1f81727cbe7f085a3","1","1","307660","","true","2","USUM71712002","spotify:user:rmal1103401","2017-12-13T06:31:53Z"
"spotify:track:2eAZfqOm4EnOF9VvN50Tyc","The Way Life Goes (feat. Oh Wonder)","spotify:artist:4O15NlyKLIASxsJ0PrXPfz, spotify:artist:5cIc3SBFuBLVxJz58W2tU9","Lil Uzi Vert, Oh Wonder","spotify:album:733e1ZfktLSwj96X5rsMeE","Luv Is Rage 2","spotify:artist:4O15NlyKLIASxsJ0PrXPfz","Lil Uzi Vert","2017-08-25","https://i.scdn.co/image/ab67616d0000b27341b41e6f7924e530a9b00f9c","1","5","221746","https://p.scdn.co/mp3-preview/80d5a005febd46fdf05e905fc18437bd7388075d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","82","USAT21703429","spotify:user:rmal1103401","2017-12-13T06:35:43Z"
"spotify:track:1XRgIKC5TPwo7nWGyKqgG0","I Get the Bag (feat. Migos)","spotify:artist:13y7CgLHjMVRMDqxdx0Xdo, spotify:artist:6oMuImdp5ZcFhWP0ESe6mG","Gucci Mane, Migos","spotify:album:2aTOwGU66ocsf8IQpOI0XZ","Mr. Davis","spotify:artist:13y7CgLHjMVRMDqxdx0Xdo","Gucci Mane","2017-10-13","https://i.scdn.co/image/ab67616d0000b273af7525e55333b110ff0f4e95","1","3","233087","https://p.scdn.co/mp3-preview/700bb411f240b0f7dad007ce522ca9b0dfe3b4ce?cid=9950ac751e34487dbbe027c4fd7f8e99","true","74","USAT21703179","spotify:user:rmal1103401","2017-12-13T06:36:53Z"
"spotify:track:7KOlJ92bu51cltsD9KU5I7","T-Shirt","spotify:artist:6oMuImdp5ZcFhWP0ESe6mG","Migos","spotify:album:2AvupjUeMnSffKEV05x222","Culture","spotify:artist:6oMuImdp5ZcFhWP0ESe6mG","Migos","2017-04-07","https://i.scdn.co/image/ab67616d0000b273cf9b68115dcb2a222c252f00","1","2","242407","","true","1","QMCE31600872","spotify:user:rmal1103401","2017-12-13T06:38:00Z"
