Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6jdTkoEaer7XNGSblczoSu,"3tVQdUvClmAT7URs9V3rsp,3zaDigUwjHvjOkSn0NDf9x","Mood (feat. BNXN)","Made In Lagos: Deluxe Edition","Wizkid,Bnxn",2021-08-27,209760,67,spotify:user:rmal1103401,2022-11-27T01:23:52Z,"afrobeats,afropop,azonto,nigerian hip hop,nigerian pop",0.897,0.7,1,-2.776,0,0.117,0.0193,0.009,0.12,0.755,101.944,4
1MZtr7IH5qtjIkqrXj8WOJ,"3tVQdUvClmAT7URs9V3rsp,1uNFoZAHBGtllmzznpCI3s,687cZJR45JO7jhk1LHIbgq","Essence (feat. Justin Bieber & Tems)","Made In Lagos: Deluxe Edition","Wizkid,Justin Bieber,Tems",2021-08-27,263293,62,spotify:user:rmal1103401,2022-12-04T22:27:27Z,"afrobeats,afropop,azonto,nigerian hip hop,nigerian pop,canadian pop,pop,afro r&b,alte",0.836,0.69,0,-5.816,1,0.123,0.0142,0.0000122,0.112,0.586,104.004,4
2mzM4Y0Rnx2BDZqRnhQ5Q6,"687cZJR45JO7jhk1LHIbgq","Free Mind","For Broken Ears","Tems",2020-09-25,247578,77,spotify:user:rmal1103401,2022-12-04T22:27:29Z,"afro r&b,alte,nigerian pop",0.562,0.463,6,-7.478,1,0.0787,0.442,0.000145,0.157,0.416,125.15,5
50XeBuSbhueY24KqJZcEAd,"4qXC0i02bSFstECuXP2ZpL","About You","Before You Go","Blxst",2022-04-22,170702,56,spotify:user:rmal1103401,2022-12-04T22:27:36Z,"pop rap,westcoast flow",0.644,0.615,7,-3.632,1,0.469,0.631,0,0.165,0.681,119.696,5
6mAdcIFP25eb37HjkzglSh,"3tVQdUvClmAT7URs9V3rsp","Steady","Made In Lagos: Deluxe Edition","Wizkid",2021-08-27,203026,54,spotify:user:rmal1103401,2022-12-04T22:27:46Z,"afrobeats,afropop,azonto,nigerian hip hop,nigerian pop",0.735,0.511,10,-5.734,0,0.109,0.392,0.0021,0.119,0.755,94.972,4
2dFqK2ZkYB9Xc47gr3xXWl,"687cZJR45JO7jhk1LHIbgq","Replay","If Orange Was A Place","Tems",2021-09-14,179999,70,spotify:user:rmal1103401,2022-12-04T22:28:04Z,"afro r&b,alte,nigerian pop",0.613,0.549,9,-8.187,1,0.231,0.097,0,0.116,0.78,123.879,5
7862flGk6U3tiWs2m2aUzH,"3wcj11K77LjEY1PkEazffa","Bank On It","Twice As Tall","Burna Boy",2020-08-12,276536,52,spotify:user:rmal1103401,2022-12-04T22:28:21Z,"afrobeats,azontobeats,dancehall,nigerian hip hop,nigerian pop",0.784,0.388,1,-8.931,1,0.207,0.29,0.00539,0.0971,0.472,93.011,4
0GGfGINoVYiSFXPOjg3RHj,"687cZJR45JO7jhk1LHIbgq,3tlXnStJ1fFhdScmQeLpuG","Found (feat. Brent Faiyaz)","Found (feat. Brent Faiyaz)","Tems,Brent Faiyaz",2021-09-09,209454,71,spotify:user:rmal1103401,2022-12-04T22:28:44Z,"afro r&b,alte,nigerian pop,r&b,rap",0.821,0.412,7,-7.795,1,0.0341,0.625,0.0000164,0.0985,0.333,109.977,4
1DA2ADZs6O28y2rmdmpekw,"3tVQdUvClmAT7URs9V3rsp,3ZpEKRjHaHANcpk10u6Ntq","2 Sugar (feat. Ayra Starr)","More Love, Less Ego","Wizkid,Ayra Starr",2022-11-11,187906,69,spotify:user:rmal1103401,2022-12-04T22:32:35Z,"afrobeats,afropop,azonto,nigerian hip hop,nigerian pop",0.914,0.643,6,-3.862,0,0.134,0.0498,0,0.0618,0.764,105.033,4
3IzBeYT0GyvpPMTlppy5qr,"048LktY5zMnakWq7PTtFrz","mmadu","Sad Romance","CKay",2022-09-23,196712,0,spotify:user:rmal1103401,2022-12-04T22:34:06Z,"afro r&b,afrobeats",0.616,0.529,1,-6.62,1,0.102,0.389,0.35,0.102,0.714,93.808,4
