"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4BsLwvaJOTOHDNg7xMpvrL","Habit","spotify:artist:4iMO20EPodreIaEl8qW66y","Still Woozy","spotify:album:2vIIWsslRiFHiHPWFTsdaE","Habit","spotify:artist:4iMO20EPodreIaEl8qW66y","Still Woozy","2019-12-12","https://i.scdn.co/image/ab67616d0000b27388a4a43acf0d1901da9d2975","1","1","153871","https://p.scdn.co/mp3-preview/668c41aad0b9b8f0b615ad9f18355f16d3d47911?cid=9950ac751e34487dbbe027c4fd7f8e99","true","68","QZES81849699","spotify:user:rmal1103401","2021-12-16T20:36:27Z"
"spotify:track:3YJJjQPAbDT7mGpX3WtQ9A","Good Days","spotify:artist:7tYKF4w9nC0nq9CsPZTHyP","SZA","spotify:album:781cKhbTPwLnPmo9BALQl7","Good Days","spotify:artist:7tYKF4w9nC0nq9CsPZTHyP","SZA","2020-12-25","https://i.scdn.co/image/ab67616d0000b2733097b1375ab17ae5bf302a0a","1","1","279204","https://p.scdn.co/mp3-preview/ddda59aa9a028820fc0fb6ff05ae463924843191?cid=9950ac751e34487dbbe027c4fd7f8e99","true","80","USRC12004189","spotify:user:rmal1103401","2021-12-16T20:37:09Z"
"spotify:track:1dIWPXMX4kRHj6Dt2DStUQ","Chosen (feat. Ty Dolla $ign)","spotify:artist:4qXC0i02bSFstECuXP2ZpL, spotify:artist:5LHRHt1k9lMyONurDHEdrp, spotify:artist:7c0XG5cIJTrrAgEC3ULPiq","Blxst, Tyga, Ty Dolla $ign","spotify:album:7AwrgenNcTAJlJF3pKL0Qr","No Love Lost (Deluxe)","spotify:artist:4qXC0i02bSFstECuXP2ZpL","Blxst","2020-12-04","https://i.scdn.co/image/ab67616d0000b2733ff60cb3e14bc0a2a2b68020","1","12","161684","https://p.scdn.co/mp3-preview/b2703420fba6afe289e6f1d03d1c2bfb1f6ffdc3?cid=9950ac751e34487dbbe027c4fd7f8e99","true","74","USP6L2000552","spotify:user:rmal1103401","2021-12-16T20:36:32Z"
"spotify:track:0zaoWwS8RpE3LSDdmkg8TC","In The Dark (with Jhené Aiko)","spotify:artist:1zNqQNIdeOUZHb8zbZRFMX, spotify:artist:5ZS223C6JyBfXasXxrRqOk","Swae Lee, Jhené Aiko","spotify:album:2kAqjStKcwlDD59H0llhGC","Shang-Chi and The Legend of The Ten Rings: The Album","spotify:artist:1AhjOkOLkbHUfcHDSErXQs, spotify:artist:540vIaP2JwjQb9dm3aArA4","88rising, DJ Snake","2021-09-03","https://i.scdn.co/image/ab67616d0000b2735843d11205f6dd6a2ab5f967","1","3","161146","https://p.scdn.co/mp3-preview/ec958ce2a8eaba9282b0c243c960177919e2918f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","USUM72113050","spotify:user:rmal1103401","2021-12-16T20:39:18Z"
"spotify:track:4NFD9ea0uH0MtoC30yNYE1","West Coast Love","spotify:artist:12trz2INGglrKMzLmg0y2C","Emotional Oranges","spotify:album:6q8BNcH6wkWwWC0fGoJwkS","The Juice: Vol. II","spotify:artist:12trz2INGglrKMzLmg0y2C","Emotional Oranges","2019-11-08","https://i.scdn.co/image/ab67616d0000b273341a47b9de6f523f1969e9a2","1","5","215386","https://p.scdn.co/mp3-preview/d66b09a143f361b98ab63eb9b2b6fde9fc662bdd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","USUM71922036","spotify:user:rmal1103401","2021-12-16T20:37:46Z"
"spotify:track:4ZaRg5Sf4TKr0YcFRLh7QJ","Love Affair","spotify:artist:4ClziihVpBeFXNyDH83Lde","UMI","spotify:album:11SCAGedBEKgapd6mCZNZ5","Love Language","spotify:artist:4ClziihVpBeFXNyDH83Lde","UMI","2019-10-30","https://i.scdn.co/image/ab67616d0000b273434fca871f8262f28c5a1481","1","1","190960","https://p.scdn.co/mp3-preview/380dee90c89b155d77b8b7c1302d3a38ebc53663?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","QZHTD1900004","spotify:user:rmal1103401","2021-12-16T20:37:53Z"
"spotify:track:7cflqPPi3zWfLFRRBTWeh6","talk is overrated","spotify:artist:3gIRvgZssIb9aiirIg0nI3, spotify:artist:2cFrymmkijnjDg9SS92EPM","Jeremy Zucker, blackbear","spotify:album:77EcAn5H4pGamI8JiwvP4T","idle","spotify:artist:3gIRvgZssIb9aiirIg0nI3","Jeremy Zucker","2017-10-27","https://i.scdn.co/image/ab67616d0000b2730f20c9ef562f0048a2fc0059","1","1","189800","https://p.scdn.co/mp3-preview/68d99e6ae0ff3f7e7e481c14702ffaab2fdf1039?cid=9950ac751e34487dbbe027c4fd7f8e99","true","63","USUM71707171","spotify:user:rmal1103401","2021-12-16T20:37:04Z"
"spotify:track:6ZRuF2n1CQxyxxAAWsKJOy","Nights Like This (feat. Ty Dolla $ign)","spotify:artist:0cGUm45nv7Z6M6qdXYQGTX, spotify:artist:7c0XG5cIJTrrAgEC3ULPiq","Kehlani, Ty Dolla $ign","spotify:album:73ZvpuYhKDr2FW4vlPsTpW","While We Wait","spotify:artist:0cGUm45nv7Z6M6qdXYQGTX","Kehlani","2019-02-22","https://i.scdn.co/image/ab67616d0000b273cccb973e9ff7440fbaf8485e","1","6","201787","https://p.scdn.co/mp3-preview/603131313ab97576652b9c0769b2a68296d283ad?cid=9950ac751e34487dbbe027c4fd7f8e99","true","77","USAT21813049","spotify:user:rmal1103401","2021-12-16T20:36:43Z"
"spotify:track:1nahzW3kfMuwReTka28tH5","Hold On","spotify:artist:1uNFoZAHBGtllmzznpCI3s","Justin Bieber","spotify:album:5dGWwsZ9iB2Xc3UKR0gif2","Justice","spotify:artist:1uNFoZAHBGtllmzznpCI3s","Justin Bieber","2021-03-19","https://i.scdn.co/image/ab67616d0000b273e6f407c7f3a0ec98845e4431","1","9","170813","https://p.scdn.co/mp3-preview/b8b3f78e8cd324df70fc0fd6cd938ebda9c4894a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","USUM72102322","spotify:user:rmal1103401","2021-12-16T20:38:23Z"
"spotify:track:1Is8hGpkGMiePASAxBluxM","16","spotify:artist:5SXuuuRpukkTvsLuUknva1","Baby Keem","spotify:album:3r46DPIQeBQbjvjjV5mXGg","The Melodic Blue","spotify:artist:5SXuuuRpukkTvsLuUknva1","Baby Keem","2021-09-10","https://i.scdn.co/image/ab67616d0000b2731bfa23b13d0504fb90c37b39","1","16","156040","https://p.scdn.co/mp3-preview/ed6e777ae611109bb9c130e879fc0ef692824ed4?cid=9950ac751e34487dbbe027c4fd7f8e99","true","79","USSM12106871","spotify:user:rmal1103401","2021-12-16T20:40:24Z"
