Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7u5B4ptccyg8T7NPfByhE7,"1SJOL9HJ08YOn92lFcYf8a,0oOet2f43PA68X5RxKobEy","Tere Naina","Chandni Chowk To China","Shankar Mahadevan,Shreya Ghoshal",2008-12-04,255721,66,spotify:user:rmal1103401,2022-02-15T22:09:04Z,"filmi,modern bollywood",0.758,0.377,6,-10.224,0,0.0511,0.544,0.0000765,0.0904,0.624,139.932,4
0gPgdRfB4jdGrlyXS0Vx78,"6Mv8GjQa7LKUGCAqa9qqdb,4fEkbug6kZzzJ8eYX6Kbbp,19LIHDDSHBD5NyYHI3gpzB,4GEyPR3J4DYvuTRuPJQ0CW","Khuda Jaane","Bachna Ae Haseeno","Vishal-Shekhar,KK,Shilpa Rao,Anvita Dutt Guptan",2008-07-05,333181,77,spotify:user:rmal1103401,2022-02-15T22:32:57Z,"filmi,modern bollywood",0.382,0.632,8,-6.393,1,0.0411,0.391,0.000486,0.0922,0.716,78.936,4
6wXPV6dNRAhFavrRaCdMXT,"1mYsTxnqsietFxj1OgoGbG,4rD8zSLMVjpdgJyW14Lokh,0yRC5n90spXG0d3aiDQ0vB","Challa","Jab Tak Hai Jaan","A.R. Rahman,Rabbi,Gulzar",2012-10-09,320417,66,spotify:user:rmal1103401,2022-02-15T22:08:52Z,"filmi,classic bollywood,modern bollywood",0.776,0.795,0,-5.454,1,0.0485,0.121,0,0.138,0.569,117.989,4
4CKi5CijlpT7ljOgLN7ReX,"3OLGltG8UPIea8sA4w0yg0","Jiya Dhadak Dhadak Jaye","Kalyug (Original Motion Picture Soundtrack)","Rahat Fateh Ali Khan",2005-12-09,319480,48,spotify:user:rmal1103401,2022-02-15T22:08:35Z,"classic pakistani pop,filmi,modern bollywood,qawwali,sufi",0.69,0.533,0,-9.741,1,0.0342,0.157,0.0000602,0.121,0.399,119.924,4
4Zuei1UAP5pB5ovra9dnnp,"1mYsTxnqsietFxj1OgoGbG","Khwaja Mere Khwaja","Jodhaa Akbar (Original Motion Picture Soundtrack)","A.R. Rahman",2007-12-31,416573,57,spotify:user:rmal1103401,2022-02-15T22:08:46Z,"filmi",0.565,0.55,11,-8.003,1,0.0333,0.239,0,0.132,0.26,122.06,4
78KKYDENYsw6jYfuEZsqJl,"1mYsTxnqsietFxj1OgoGbG,1dVygo6tRFXC8CSWURQJq2,0yRC5n90spXG0d3aiDQ0vB","Saathiya","Saathiya","A.R. Rahman,Sonu Nigam,Gulzar",2002-10-18,357433,65,spotify:user:rmal1103401,2022-02-15T22:09:29Z,"filmi,modern bollywood,classic bollywood",0.462,0.457,1,-15.251,0,0.106,0.186,0,0.334,0.535,175.94,4
3GrTI5vAoDD3VE24VTBJAc,"70B80Lwx2sxti0M1Ng9e8K,2NoJ7NuNs9nyj8Thoh1kbu,4oVMLzAqW6qhRpZWt8fNw4","Yun Hi Chala Chal","Swades","Udit Narayan,Hariharan,Kailash Kher",2004-09-24,446986,60,spotify:user:rmal1103401,2022-02-15T22:14:17Z,"chutney,filmi,odia pop,ghazal,indian folk,modern bollywood,sufi",0.822,0.687,9,-8.167,1,0.0421,0.0593,0,0.0609,0.816,106.47,4
3APdIdF8H0jsxSuGOqXedS,"281Vp9LDrWkHMHQzfQHWCt","Kabhi Kabhi Aditi","Jaane Tu... Ya Jaane Na","Rashid Ali",2008-05-21,218836,72,spotify:user:rmal1103401,2022-02-15T22:14:31Z,"filmi,modern bollywood",0.791,0.558,7,-7.155,0,0.0661,0.276,0,0.0859,0.872,95.077,4
32DWojMZeZebVrfBkhAkKy,"1mYsTxnqsietFxj1OgoGbG,0oOet2f43PA68X5RxKobEy,6VWjZcB6nolKvE74s0ds7M","Barso Re","Guru (Original Motion Picture Soundtrack)","A.R. Rahman,Shreya Ghoshal,Uday Mazumdar",2006-09-11,329600,62,spotify:user:rmal1103401,2022-02-15T22:14:36Z,"filmi,modern bollywood",0.879,0.487,0,-9.441,1,0.148,0.337,0.000284,0.0706,0.338,116.991,4
0iXLwnLmLwn9y54JtBTNxY,"1dVygo6tRFXC8CSWURQJq2,0oOet2f43PA68X5RxKobEy","Main Agar Kahoon","Om Shanti Om","Sonu Nigam,Shreya Ghoshal",2007-09-18,308158,69,spotify:user:rmal1103401,2022-02-15T22:18:24Z,"filmi,modern bollywood",0.533,0.436,5,-7.521,0,0.0276,0.234,0.00000317,0.46,0.371,146.868,3
4BTPzhEsyW3blWcxcuhLM0,"0L5GV6LN8SWWUWIdBbTLTZ,1SJOL9HJ08YOn92lFcYf8a,2Yf4MRVpt0rcAd5y5h5ph1,5SuRAj1A9FEHj5NxS86YAm","Mitwa","Kabhi Alvida Naa Kehna (Original Motion Picture Soundtrack)","Shankar-Ehsaan-Loy,Shankar Mahadevan,Caralisa Monteiro,Shafqat Amanat Ali",2006-06-08,382973,72,spotify:user:rmal1103401,2022-02-15T22:28:21Z,"filmi,modern bollywood,classic pakistani pop,sufi",0.63,0.63,4,-7.525,1,0.0364,0.295,0.0000126,0.0934,0.517,107.103,4
7lJNQFaBPlm3XhNUWnVk55,"1wRPtKGflJrBx9BmLsSwlU,3OLGltG8UPIea8sA4w0yg0,0oOet2f43PA68X5RxKobEy","Teri Ore","Singh is Kinng (Original Motion Picture Soundtrack)","Pritam,Rahat Fateh Ali Khan,Shreya Ghoshal",2008-06-30,339591,47,spotify:user:rmal1103401,2022-02-15T22:37:27Z,"filmi,indian instrumental,modern bollywood,classic pakistani pop,qawwali,sufi",0.484,0.797,2,-4.629,1,0.0972,0.172,0,0.267,0.699,83.542,4
14eotumM24MhIgzidgN3Jx,"279ZItWl3nzCaO4SJJdzAN,5GnnSrwNCGyfAU4zuIytiS","Khaabon Ke Parinday","Zindagi Na Milegi Dobara","Alyssa Mendonsa,Mohit Chauhan",2011-06-06,251704,64,spotify:user:rmal1103401,2022-02-15T22:37:42Z,"modern bollywood,filmi",0.517,0.565,9,-10.184,1,0.0441,0.721,0.00689,0.0997,0.69,169.952,4
4bD9z9qa4qg9BhryvYWB7c,"1wRPtKGflJrBx9BmLsSwlU,6k6dimE4a6OFnD0HWmkIUW,3cqeO3muWIW5uSmUDNCmyT","Kabira","Yeh Jawaani Hai Deewani","Pritam,Tochi Raina,Rekha Bhardwaj",2013-03-30,223459,77,spotify:user:rmal1103401,2022-02-15T22:39:25Z,"filmi,indian instrumental,modern bollywood",0.59,0.555,2,-6.861,1,0.0271,0.481,0,0.192,0.191,84.027,4
7eQl3Yqv35ioqUfveKHitE,"1wRPtKGflJrBx9BmLsSwlU,5GnnSrwNCGyfAU4zuIytiS","Tum Se Hi","Jab We Met","Pritam,Mohit Chauhan",2007-09-21,321225,78,spotify:user:rmal1103401,2022-02-15T22:44:26Z,"filmi,indian instrumental,modern bollywood",0.609,0.538,6,-7.842,1,0.0273,0.328,0,0.125,0.608,130.015,4
1gwO79MdYdumgIjxq8eCxB,"6Mv8GjQa7LKUGCAqa9qqdb,0oOet2f43PA68X5RxKobEy,5bv6NvAYNuvd2Vq13nHdG3","Bahara","I Hate Luv Storys (Original Motion Picture Soundtrack)","Vishal-Shekhar,Shreya Ghoshal,Sona Mohapatra",2010-05-25,325706,67,spotify:user:rmal1103401,2022-02-15T22:46:05Z,"filmi,modern bollywood",0.595,0.739,5,-6.733,1,0.0359,0.0716,0.00000698,0.134,0.722,87.834,4
6bdpj89aYEBjhpsenXAsmO,"1mYsTxnqsietFxj1OgoGbG,4YRxDV8wJFPHPTeXepOstw","Enna Sona","OK Jaanu (Original Motion Picture Soundtrack)","A.R. Rahman,Arijit Singh",2017-01-04,213632,75,spotify:user:rmal1103401,2022-02-15T22:51:13Z,"filmi,modern bollywood",0.717,0.416,7,-9.875,0,0.0303,0.635,0.00000143,0.0976,0.381,100.026,4
3nKEiJUeaWn8q2O9I1xwlB,"6ohaQzKaXrobAL8paLSaxq,1dVygo6tRFXC8CSWURQJq2,0oOet2f43PA68X5RxKobEy,1TbRSunWGZ46mqnapcWxrm","Shukran Allah","Kurbaan (Original Motion Picture Soundtrack)","Salim–Sulaiman,Sonu Nigam,Shreya Ghoshal,Salim Merchant",2009-10-15,290053,67,spotify:user:rmal1103401,2022-02-15T22:54:16Z,"filmi,indian folk,modern bollywood",0.432,0.695,1,-8.022,1,0.111,0.732,0.0014,0.274,0.513,116.153,3
4fgJe7zBjVXvs8HxtE21Y9,"0LyfQWJT6nXafLPZqxe9Of","","","",0000,0,0,spotify:user:rmal1103401,2022-02-15T22:59:55Z,"",0.486,0.898,9,-3.791,1,0.171,0.309,0,0.0886,0.648,88.335,4
723xQva0yBF7M6K3nDAG8R,"2DwWEmeVaWxwkjbnyPlNZT,2j9QVMZlqIj4Cb9UISBrXK,1KIKn2xA1mgC7uJTcS1hEU","Sooraj Ki Baahon Mein","Zindagi Na Milegi Dobara","Dominique Cerejo,Clinton Cerejo,Loy Mendonsa",2011-06-06,202919,68,spotify:user:rmal1103401,2022-02-16T00:59:25Z,"filmi,modern bollywood",0.855,0.553,11,-6.52,1,0.0331,0.19,0.00000519,0.0942,0.874,124.922,4
0joXv5niso2T8YXWOlIe1X,"5UJ2sHO2ELrgW6aXeRLTQQ,4xlqU0G9EloUPHL1qlmWY6","Titli","Chennai Express","Chinmayi,Gopi Sundar",2013-07-03,350617,64,spotify:user:rmal1103401,2022-02-16T00:59:36Z,"filmi,marathi pop,tollywood",0.679,0.421,7,-9.13,0,0.0344,0.685,0.00000681,0.244,0.65,81.012,4
2LcXJP95e4HKydTZ2mYfrx,"03SZmfKAgYRQKUwy0EoJUa","Tujh Mein Rab Dikhta Hai","Rab Ne Bana Di Jodi (Original)","Roop Kumar Rathod",2008-11-06,281573,72,spotify:user:rmal1103401,2022-02-16T02:09:26Z,"filmi,modern bollywood,sufi",0.56,0.604,8,-8.732,1,0.0866,0.315,0.00000112,0.176,0.75,84.784,4
1O5mTSQa0sCce9ghhDqIZl,"1mYsTxnqsietFxj1OgoGbG,4W91bbPB2CTSsHwt7eqNl7","Jashn-E-Bahaaraa","Jodhaa Akbar (Original Motion Picture Soundtrack)","A.R. Rahman,Javed Ali",2007-12-31,315173,71,spotify:user:rmal1103401,2022-02-16T08:45:01Z,"filmi,desi pop,modern bollywood",0.7,0.343,2,-10.474,1,0.0308,0.767,0,0.0789,0.488,137.864,4
4FeczSomVWVyU4FW7xDeAI,"1mYsTxnqsietFxj1OgoGbG,5UJ2sHO2ELrgW6aXeRLTQQ,3v8isPrc8btWVMF3bnOIcj,2gTPBFjo3M9rvMSZWTk9nT","Tere Bina","Guru (Original Motion Picture Soundtrack)","A.R. Rahman,Chinmayi,Murtuza Khan,Qadir Khan",2006-09-11,309640,71,spotify:user:rmal1103401,2022-02-16T11:21:00Z,"filmi,marathi pop",0.744,0.7,2,-7.663,1,0.0375,0.278,0.000155,0.068,0.867,144.033,4
