"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5w40ZYhbBMAlHYNDaVJIUu","Chemical","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","spotify:album:7qcSUc5Af63mhfTF60KTEA","Chemical","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","2023-04-14","https://i.scdn.co/image/ab67616d0000b273f76f8deeba5370c98ad38f1c","1","1","184013","https://p.scdn.co/mp3-preview/33ec8962850927b5c239d457e33183bfbc5f6d93?cid=9950ac751e34487dbbe027c4fd7f8e99","true","87","USUM72305205","spotify:user:35mfaqrmzgcpyn212qu0y47sj","2023-08-11T11:04:08Z"
"spotify:track:0e7ipj03S05BNilyu5bRzt","rockstar (feat. 21 Savage)","spotify:artist:246dkjvS1zLTtiykXe5h60, spotify:artist:1URnnhqYAYcrqrcwql10ft","Post Malone, 21 Savage","spotify:album:6trNtQUgC8cgbWcqoMYkOR","beerbongs & bentleys","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","2018-04-27","https://i.scdn.co/image/ab67616d0000b273b1c4b76e23414c9f20242268","1","6","218146","https://p.scdn.co/mp3-preview/beb04a51a925ea2ed2fb7c2363b7b3fa37ebc89b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","85","USUM71710087","spotify:user:35mfaqrmzgcpyn212qu0y47sj","2023-08-11T11:04:19Z"
"spotify:track:55n9yjI6qqXh5F2mYvUc2y","I Don’t Wanna Live Forever (Fifty Shades Darker)","spotify:artist:5ZsFI1h6hIdQRw2ti0hz81, spotify:artist:06HL4z0CvFAxyc27GXpf02","ZAYN, Taylor Swift","spotify:album:1MPAXuTVL2Ej5x0JHiSPq8","reputation Stadium Tour Surprise Song Playlist","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2017-11-09","https://i.scdn.co/image/ab67616d0000b27363d77f99117b28af9f656918","1","10","247160","https://p.scdn.co/mp3-preview/91604dc22ce61d069ee8b445fa7ab9c18f51f8ad?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","USQ4E1602586","spotify:user:35mfaqrmzgcpyn212qu0y47sj","2023-08-11T11:04:45Z"
"spotify:track:0Es6dDXHGqqQWoA8tlK4LG","Dear Society","spotify:artist:2kRfqPViCqYdSGhYSM9R0Q","Madison Beer","spotify:album:3GBOhyIQRKTS8GiBgDaQLg","Dear Society","spotify:artist:2kRfqPViCqYdSGhYSM9R0Q","Madison Beer","2019-05-17","https://i.scdn.co/image/ab67616d0000b27323c03d31828b719a9926e410","1","1","179576","https://p.scdn.co/mp3-preview/880fe612fdc3a2bf157c9fa3b753a273da1270fa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","UKELY1900008","spotify:user:35mfaqrmzgcpyn212qu0y47sj","2023-08-11T11:06:07Z"
"spotify:track:3o99q6o0C2HdEiXJbLL5Wb","Vicious","spotify:artist:74KM79TiuVKeVCqs8QtB0B","Sabrina Carpenter","spotify:album:2g4aJTa5ejGpp0O0GKzWAQ","emails i can’t send fwd:","spotify:artist:74KM79TiuVKeVCqs8QtB0B","Sabrina Carpenter","2023-03-17","https://i.scdn.co/image/ab67616d0000b2730f45623be014a592a5815827","1","2","149890","https://p.scdn.co/mp3-preview/af57cbb610ad04a6ca495e2116467da2842ce996?cid=9950ac751e34487dbbe027c4fd7f8e99","true","63","USUM72210690","spotify:user:35mfaqrmzgcpyn212qu0y47sj","2023-08-11T11:07:31Z"
"spotify:track:330CwDQh6mZ9yAWnJ1svDL","Dead","spotify:artist:2kRfqPViCqYdSGhYSM9R0Q","Madison Beer","spotify:album:3PYA0lKJUKoKhYkVSLDyDb","As She Pleases","spotify:artist:2kRfqPViCqYdSGhYSM9R0Q","Madison Beer","2018-02-02","https://i.scdn.co/image/ab67616d0000b273adc16f7df1d7a810a859cd86","1","1","194826","https://p.scdn.co/mp3-preview/8e9e14e618da1ccf933cafdac9afeec58b37512c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","61","UKELY1700020","spotify:user:35mfaqrmzgcpyn212qu0y47sj","2023-08-11T11:08:51Z"
"spotify:track:3B54sVLJ402zGa6Xm4YGNe","Unforgettable","spotify:artist:6vXTefBL93Dj5IqAWq6OTv, spotify:artist:1zNqQNIdeOUZHb8zbZRFMX","French Montana, Swae Lee","spotify:album:4c2p3TdN7NcQfCXyueCNnC","Jungle Rules","spotify:artist:6vXTefBL93Dj5IqAWq6OTv","French Montana","2017-07-14","https://i.scdn.co/image/ab67616d0000b2738a31195a371b2233456f6c07","1","2","233901","https://p.scdn.co/mp3-preview/f8d5e3c37feb980e60cac2df4256250d4b5cf5b5?cid=9950ac751e34487dbbe027c4fd7f8e99","true","86","USSM11703478","spotify:user:35mfaqrmzgcpyn212qu0y47sj","2023-08-11T11:09:02Z"
"spotify:track:43wzy7JxMEfvCh8ZFeZKYk","Right Now","spotify:artist:4Rxn7Im3LGfyRkY2FlHhWi, spotify:artist:3t5xRXzsuZmMDkQzgOX35S","Nick Jonas, Robin Schulz","spotify:album:4UsjjAKbtKzmgEz2pGbv6P","Right Now","spotify:artist:4Rxn7Im3LGfyRkY2FlHhWi, spotify:artist:3t5xRXzsuZmMDkQzgOX35S","Nick Jonas, Robin Schulz","2018-08-24","https://i.scdn.co/image/ab67616d0000b27342cf7782fb5ca489f032a5a1","1","1","201680","https://p.scdn.co/mp3-preview/13e58b6cf464e1c7a544b034f9df5df76271406e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","USUM71810623","spotify:user:35mfaqrmzgcpyn212qu0y47sj","2023-08-11T11:09:09Z"
"spotify:track:4NNolUeL5m2ju7kf8pdg6H","All You Had To Do Was Stay","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:5fy0X0JmZRZnVa2UEicIOl","1989","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2014-01-01","https://i.scdn.co/image/ab67616d0000b273b7e976d2b35c767f9012cb72","1","5","193293","https://p.scdn.co/mp3-preview/7ed29d19c2cbdad43c9307bcd9680b770dd88276?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","USCJY1431339","spotify:user:35mfaqrmzgcpyn212qu0y47sj","2023-08-11T11:09:20Z"
"spotify:track:1YaVmBh7EAeR54FIjuFcb5","Naturally","spotify:artist:6dJeKm76NjfXBNTpHmOhfO","Selena Gomez & The Scene","spotify:album:5lm8loAsSpprr19lwSY16V","Kiss & Tell","spotify:artist:6dJeKm76NjfXBNTpHmOhfO","Selena Gomez & The Scene","2009-01-01","https://i.scdn.co/image/ab67616d0000b273847e9e5d22cca026fbe067c2","1","6","202586","https://p.scdn.co/mp3-preview/5d1330909255464619a66e801dcf1740a6796507?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","USHR10924574","spotify:user:35mfaqrmzgcpyn212qu0y47sj","2023-08-11T11:09:23Z"
"spotify:track:3RrJTOClOgMAc9FQ7QDwv7","Undercover","spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx","Selena Gomez","spotify:album:3cGKAHAUhAaTTezK4GbBhQ","Stars Dance (Bonus Track Version)","spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx","Selena Gomez","2013-01-01","https://i.scdn.co/image/ab67616d0000b2730e36690135fa1a30d048e604","1","10","233360","https://p.scdn.co/mp3-preview/3ff7cf89ec15a1ac941f8883e96ea9c6786c7fa9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","USHR11334536","spotify:user:35mfaqrmzgcpyn212qu0y47sj","2023-08-11T11:09:27Z"
"spotify:track:4FuZofNMHdtsEdrsqwF3xR","That Kind Of Woman","spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Dua Lipa","spotify:album:0JeyP8r2hBxYIoxXv11XiX","Future Nostalgia (The Moonlight Edition)","spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Dua Lipa","2021-02-11","https://i.scdn.co/image/ab67616d0000b273ccdddb2e5349ea0608c3e016","1","16","200108","https://p.scdn.co/mp3-preview/b898479d8b8b45e578c5b273ca46fe96dcaafe52?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","GBAHT2001148","spotify:user:35mfaqrmzgcpyn212qu0y47sj","2023-08-11T11:09:29Z"
"spotify:track:3YmgsYX80v0EtBZekgcB6w","BOYSHIT","spotify:artist:2kRfqPViCqYdSGhYSM9R0Q","Madison Beer","spotify:album:5y0HdjRMItB3GQEr8EStYp","BOYSHIT","spotify:artist:2kRfqPViCqYdSGhYSM9R0Q","Madison Beer","2020-12-11","https://i.scdn.co/image/ab67616d0000b273b607cbee819047fc2e5c3ba4","1","1","160397","https://p.scdn.co/mp3-preview/2cc5be78810c51808f692e849a25ef641a1be19d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","51","USSM12006967","spotify:user:35mfaqrmzgcpyn212qu0y47sj","2023-08-11T11:09:33Z"
"spotify:track:3k79jB4aGmMDUQzEwa46Rz","vampire","spotify:artist:1McMsnEElThX1knmY4oliG","Olivia Rodrigo","spotify:album:5kqfR7EuGbyp8x27Pr1kY9","vampire","spotify:artist:1McMsnEElThX1knmY4oliG","Olivia Rodrigo","2023-06-30","https://i.scdn.co/image/ab67616d0000b2731e5e75dc1d878a0007cb6525","1","1","219724","","true","65","USUG12304091","spotify:user:35mfaqrmzgcpyn212qu0y47sj","2023-08-22T18:22:24Z"
"spotify:track:6gBFPUFcJLzWGx4lenP6h2","goosebumps","spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY","Travis Scott","spotify:album:42WVQWuf1teDysXiOupIZt","Birds In The Trap Sing McKnight","spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY","Travis Scott","2016-09-16","https://i.scdn.co/image/ab67616d0000b273f54b99bf27cda88f4a7403ce","1","9","243836","https://p.scdn.co/mp3-preview/5c45fee2743d39984ed2c1e2493d04a42d626f81?cid=9950ac751e34487dbbe027c4fd7f8e99","true","87","USSM11607555","spotify:user:35mfaqrmzgcpyn212qu0y47sj","2023-09-08T12:35:43Z"
"spotify:track:2PneNdtypG6XcgmWmGd9FI","These Boots Are Made for Walkin'","spotify:artist:3IZrrNonYELubLPJmqOci2","Nancy Sinatra","spotify:album:4qyuqoJb1ffoE11trJgsXc","Boots","spotify:artist:3IZrrNonYELubLPJmqOci2","Nancy Sinatra","2021-09-17","https://i.scdn.co/image/ab67616d0000b27382d92aad3ac1d915434b29d5","1","5","167786","https://p.scdn.co/mp3-preview/6bced83a2004e929f33d11288b333911a548f23d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","USASE0500005","spotify:user:35mfaqrmzgcpyn212qu0y47sj","2023-09-08T12:36:09Z"
"spotify:track:1YYhDizHx7PnDhAhko6cDS","Take Me Home, Country Roads - Original Version","spotify:artist:7EK1bQADBoqbYXnT4Cqv9w","John Denver","spotify:album:78FZXQkBGm2IOPrE9f64sU","Poems, Prayers and Promises","spotify:artist:7EK1bQADBoqbYXnT4Cqv9w","John Denver","1971","https://i.scdn.co/image/ab67616d0000b27334fb2b0117a542d515dc78d6","1","7","190160","https://p.scdn.co/mp3-preview/c2ab971d183b0c08d1b0ec1f4cbc27c778c6ce13?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","USRC11100481","spotify:user:35mfaqrmzgcpyn212qu0y47sj","2023-09-08T12:36:20Z"
"spotify:track:0Yjo2WmNsNqadL6a7BEsbl","Hala Na - DJ Tupic & Dynatonic Remix","spotify:artist:7mGDv3CYlPghTIWzE6tOpv, spotify:artist:05xOq3llEmAYBHDUsgHpi2, spotify:artist:59c59jqSTrVDZhSyrnaCLz, spotify:artist:1yPzb9mqugowOfUs2vIOgL, spotify:artist:6DdsZ8p8sO7baNvPTi0oTL, spotify:artist:7Fev1YEuJh0pDPWa6ajUIY","Gdaal, Sami Beigi, Madgal, Erfan, Dynatonic, DJ Tupic","spotify:album:2ErJIibFYUhi29dNFFHl89","Hala Na (DJ Tupic & Dynatonic Remix)","spotify:artist:7mGDv3CYlPghTIWzE6tOpv, spotify:artist:6DdsZ8p8sO7baNvPTi0oTL, spotify:artist:7Fev1YEuJh0pDPWa6ajUIY","Gdaal, Dynatonic, DJ Tupic","2023-07-07","https://i.scdn.co/image/ab67616d0000b2730798091e914a804c26cc09f1","1","1","282240","https://p.scdn.co/mp3-preview/07dd58c629069ee1feb75d581c852b5b17f5f0a5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","QZYFZ2307518","spotify:user:35mfaqrmzgcpyn212qu0y47sj","2023-09-08T12:36:26Z"
