"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2tUqgzXUa4tqj2fRdPVtFX","BITE","spotify:artist:7GdGZWPHxDEu0ppvLoB4GO","Baird","spotify:album:6hBDtMqSsiixf7l5qHF2sq","BIRDSONGS, Vol. 2","spotify:artist:7GdGZWPHxDEu0ppvLoB4GO","Baird","2020-10-20","https://i.scdn.co/image/ab67616d0000b2736a7bf6dc7f5ed701ef123457","1","1","160680","https://p.scdn.co/mp3-preview/3abf3e934b847da5680c5b1963c290cd20c6b8e4?cid=9950ac751e34487dbbe027c4fd7f8e99","true","42","QZD5H2000277","spotify:user:gocardinal1228","2023-10-15T15:35:10Z"
"spotify:track:3aLkvyXeUUq4JAAOTcpoPr","Wonder","spotify:artist:7ebBg3BuRFa2satTcY8whC, spotify:artist:4iMO20EPodreIaEl8qW66y, spotify:artist:4WUbuCQNGpbDrUPzKo4cCV","Billy Lemos, Still Woozy, MTMBO","spotify:album:2QBn4wyavrUjyOLefLyaQP","Wonder","spotify:artist:7ebBg3BuRFa2satTcY8whC","Billy Lemos","2020-10-02","https://i.scdn.co/image/ab67616d0000b2733b9b43c619e26d1d046d9b7a","1","8","139249","https://p.scdn.co/mp3-preview/3cf3a0cc72f31e3ae8da40919eee42a23981d0cd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","GBKPL2021984","spotify:user:gocardinal1228","2023-10-15T15:35:14Z"
"spotify:track:7dW6aiHZG0A8xApW0Xg40G","Lonely One","spotify:artist:1anAI9P9iSzc9qzLv6AtHZ","Sure Sure","spotify:album:31t6VcIOZ3WqsSH2F9Zcy0","Spirit Mission","spotify:artist:1anAI9P9iSzc9qzLv6AtHZ","Sure Sure","2022-09-30","https://i.scdn.co/image/ab67616d0000b2731f2af841a559bc01448905ef","1","2","167066","https://p.scdn.co/mp3-preview/9688f04f7198807167b24bb63e0ac67daa027b98?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","QM24S2204523","spotify:user:gocardinal1228","2023-10-15T15:35:17Z"
"spotify:track:4At1qbqCOJ9WFbvpWTOOY4","Lil Thing","spotify:artist:49O0SPoCoTiK2Nn2tOaHyU","Knox Fortune","spotify:album:0yCW3blpXzA0owDGQVQ5xY","Paradise","spotify:artist:49O0SPoCoTiK2Nn2tOaHyU","Knox Fortune","2017-09-22","https://i.scdn.co/image/ab67616d0000b27361c263e608c91511221fae4f","1","2","207445","https://p.scdn.co/mp3-preview/4ac35171899972338a754d3d5ee7babf29a44a27?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","QM24S1703513","spotify:user:gocardinal1228","2023-10-15T15:35:19Z"
"spotify:track:0ciAqX5o38RYQSuln7uy3i","wyd","spotify:artist:5BHV73RQsL8zucEcnzs8IE","Grebes","spotify:album:27ba8fckG1oJ4DzPZO80Ey","House Creature","spotify:artist:5BHV73RQsL8zucEcnzs8IE","Grebes","2019-06-28","https://i.scdn.co/image/ab67616d0000b2733b6f6e605a91786c79c7e982","1","2","174959","https://p.scdn.co/mp3-preview/533474c6cc9afcdde2efaba0368ede43f29b24ab?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","QM6MZ1978742","spotify:user:gocardinal1228","2023-10-15T15:35:22Z"
"spotify:track:0tdA3tsJ4n6rJuiId3KrOP","cz","spotify:artist:7tr9pbgNEKtG0GQTKe08Tz","Mk.gee","spotify:album:4ReGYpr1tyZy8nscdJCxjf","cz","spotify:artist:7tr9pbgNEKtG0GQTKe08Tz","Mk.gee","2020-02-28","https://i.scdn.co/image/ab67616d0000b27316bf7553d9b17cff6532f838","1","1","228946","https://p.scdn.co/mp3-preview/458cd8ce6b11322ff6e8281ae49211fd362e095b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","USUM72003018","spotify:user:gocardinal1228","2023-10-15T15:35:26Z"
"spotify:track:1U2hgbpQ92mK7gCWL0lcWY","Glass House","spotify:artist:23KIrX6iPiVOkx60F4bjNq","PawPaw Rod","spotify:album:6g2sW1bofbs4DEoW25rAB9","Glass House","spotify:artist:23KIrX6iPiVOkx60F4bjNq","PawPaw Rod","2021-05-20","https://i.scdn.co/image/ab67616d0000b273871ba0aefa0bb92981399a0f","1","1","171977","https://p.scdn.co/mp3-preview/43ad8254c3326da93ba1d8516c3ba4edd3adc471?cid=9950ac751e34487dbbe027c4fd7f8e99","true","53","QM38F2100011","spotify:user:gocardinal1228","2023-10-15T15:35:29Z"
"spotify:track:278ARHR2a5n1pvEr3Dkjor","Marco","spotify:artist:2jbd7OqeJJd1hz81vOXwwW","binki","spotify:album:6FbkOnefbnl6xiU2MaSMIj","Marco","spotify:artist:2jbd7OqeJJd1hz81vOXwwW","binki","2018-10-11","https://i.scdn.co/image/ab67616d0000b2737d800effe54cb5162d676a12","1","1","152322","https://p.scdn.co/mp3-preview/7e5fda6b258d2cce1e727ceccdd9bd2dbf8ff3b3?cid=9950ac751e34487dbbe027c4fd7f8e99","true","51","QZ93L1819673","spotify:user:gocardinal1228","2023-10-15T15:35:31Z"
"spotify:track:7cMBZ7xDUb25N1We6DyoPk","Portra 400","spotify:artist:4kIwETcbpuFgRukE8o7Opx","Arlo Parks","spotify:album:42joEEymK7EIHODfNB4yug","Collapsed In Sunbeams","spotify:artist:4kIwETcbpuFgRukE8o7Opx","Arlo Parks","2021-01-29","https://i.scdn.co/image/ab67616d0000b2730f5b85c5d4a8131d01aca941","1","12","176053","https://p.scdn.co/mp3-preview/a8cb318fc682704cd12402f800f042613364700e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","GBKZV2000126","spotify:user:gocardinal1228","2023-10-15T15:35:34Z"
"spotify:track:4xwmYMilHBbSLJs0toC0dh","Wake Up","spotify:artist:4VQqGf7U3RUspgTsprypWE","Kowloon","spotify:album:3PBVHSxuQDEckZ8sCZB2xB","Come Over","spotify:artist:4VQqGf7U3RUspgTsprypWE","Kowloon","2021-07-02","https://i.scdn.co/image/ab67616d0000b27394a39e2ca59ccd605462fa0f","1","7","239311","https://p.scdn.co/mp3-preview/9ae5ffa6c86a7a7e7e48f39ac9c8a02399beda04?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","QZDA72058575","spotify:user:gocardinal1228","2023-10-15T15:35:39Z"
