"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:75TDPu9k7Yv3IovdYaNCwk","Cooks","spotify:artist:4iMO20EPodreIaEl8qW66y","Still Woozy","spotify:album:6P5uQurlsYMrmOgGRd3xpz","Cooks","spotify:artist:4iMO20EPodreIaEl8qW66y","Still Woozy","2017-07-16","https://i.scdn.co/image/ab67616d0000b273fb4bf66f138bea721c221442","1","1","174105","https://p.scdn.co/mp3-preview/41c90387433fcee01e0220818bfe3fbaa25ce39a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","UST8K1799101","spotify:user:gocardinal1228","2023-12-05T08:08:58Z"
"spotify:track:4vHNeBWDQpVCmGbaccrRzi","Goodie Bag","spotify:artist:4iMO20EPodreIaEl8qW66y","Still Woozy","spotify:album:0y8sikccXZ3TIW4PkjtI8R","Goodie Bag","spotify:artist:4iMO20EPodreIaEl8qW66y","Still Woozy","2017-11-05","https://i.scdn.co/image/ab67616d0000b2735ddbd61ea4a6dab213cc97af","1","1","146390","https://p.scdn.co/mp3-preview/bf7b47d1981cde334c2c4db9d253823afb6d7e7b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","78","QZANL1712241","spotify:user:gocardinal1228","2023-12-05T08:08:58Z"
"spotify:track:0R3TWpoxAhT3HDXM7tpRzS","Ghostride","spotify:artist:4kSGbjWGxTchKpIxXPJv0B","Crumb","spotify:album:6DxidEI7EhF8md8ev83iNY","Jinx","spotify:artist:4kSGbjWGxTchKpIxXPJv0B","Crumb","2019-06-14","https://i.scdn.co/image/ab67616d0000b2736d9fb491fa8815157aa54a84","1","3","126120","https://p.scdn.co/mp3-preview/7a5111380db3d3ac449c64d0cb5cd360d99598ca?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","QMB621900203","spotify:user:gocardinal1228","2023-12-05T08:08:58Z"
"spotify:track:31ENsHZWhAD9XVtCcoOw1J","BNR","spotify:artist:4kSGbjWGxTchKpIxXPJv0B","Crumb","spotify:album:4hlZNsmD2CoVWAbr6GnEYb","Ice Melt","spotify:artist:4kSGbjWGxTchKpIxXPJv0B","Crumb","2021-04-30","https://i.scdn.co/image/ab67616d0000b273deac4655e6e52b549c6bf3cb","1","2","181360","https://p.scdn.co/mp3-preview/052cde97bc50e0c275f2506b3b5416c7f390e551?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","QMB622100302","spotify:user:gocardinal1228","2023-12-05T08:08:58Z"
"spotify:track:1Hu2OypX8tMPwBcCUaAeO4","Wolfcat","spotify:artist:4iMO20EPodreIaEl8qW66y","Still Woozy","spotify:album:5mlgzPatuoMGqqHsPIofKr","Wolfcat","spotify:artist:4iMO20EPodreIaEl8qW66y","Still Woozy","2017-08-31","https://i.scdn.co/image/ab67616d0000b2738d23ae740afca14480db70c8","1","1","174221","https://p.scdn.co/mp3-preview/b1ad7d1d2533ef77b23036c16ef5895bfa83c925?cid=9950ac751e34487dbbe027c4fd7f8e99","true","59","QZ9JZ1701572","spotify:user:gocardinal1228","2023-12-05T08:08:58Z"
"spotify:track:3BIzHNxAQbRTY4LCp1oMR1","Tesselation","spotify:artist:5J81VungUjSVHxlPpTI9KG","Mild High Club","spotify:album:6O9YDn12I4WQxUBQE9tpnN","Skiptracing","spotify:artist:5J81VungUjSVHxlPpTI9KG","Mild High Club","2016-08-26","https://i.scdn.co/image/ab67616d0000b27396bc7d5bd0b6488de76598ab","1","4","152824","https://p.scdn.co/mp3-preview/e2c01c1896a22c8d12ddd596e836d8802e425640?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","US2S71673004","spotify:user:gocardinal1228","2023-12-05T08:08:58Z"
"spotify:track:2MIYcQ9FnuNH6JzIQHi2eG","Bowlly Goes Dancing Drunk into the Future","spotify:artist:4ftctxasGrW5Ud5Pbw6kWq","Loving","spotify:album:6w3SkDOrz37OKLo3tZsv8s","Loving","spotify:artist:4ftctxasGrW5Ud5Pbw6kWq","Loving","2016-06-11","https://i.scdn.co/image/ab67616d0000b2738de94dd11fb4e6d8c920fe07","1","6","160584","https://p.scdn.co/mp3-preview/1d0c03b63dc341871e64ce51695b35ce721722bd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","CA7031600006","spotify:user:gocardinal1228","2023-12-05T08:08:58Z"
"spotify:track:3VwgtTh9D0CubY32jdhI5U","Cracking","spotify:artist:4kSGbjWGxTchKpIxXPJv0B","Crumb","spotify:album:6DxidEI7EhF8md8ev83iNY","Jinx","spotify:artist:4kSGbjWGxTchKpIxXPJv0B","Crumb","2019-06-14","https://i.scdn.co/image/ab67616d0000b2736d9fb491fa8815157aa54a84","1","1","111986","https://p.scdn.co/mp3-preview/423dc09e64bf2f4aba1552d93b4b31085b1c569c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","QMB621900201","spotify:user:gocardinal1228","2023-12-05T08:08:58Z"
"spotify:track:5bCmPv8ymn6TkphrMZKNzk","Kenny","spotify:artist:4iMO20EPodreIaEl8qW66y","Still Woozy","spotify:album:0QnWm07An8WyO3eupjBDoP","If This Isn’t Nice, I Don’t Know What Is","spotify:artist:4iMO20EPodreIaEl8qW66y","Still Woozy","2021-08-13","https://i.scdn.co/image/ab67616d0000b273178df9e236187d6f1e710f5f","1","9","194133","https://p.scdn.co/mp3-preview/cd01ae088a41d509023a20f25970b95b5db909dd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","USUG12101408","spotify:user:gocardinal1228","2023-12-05T08:08:58Z"
"spotify:track:4I77FZbsed188zTLXXXWfQ","Skiptracing","spotify:artist:5J81VungUjSVHxlPpTI9KG","Mild High Club","spotify:album:6O9YDn12I4WQxUBQE9tpnN","Skiptracing","spotify:artist:5J81VungUjSVHxlPpTI9KG","Mild High Club","2016-08-26","https://i.scdn.co/image/ab67616d0000b27396bc7d5bd0b6488de76598ab","1","1","219646","https://p.scdn.co/mp3-preview/52e9a91cc05d3f6e50cc7a9c874b887f81ed264c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","US2S71673001","spotify:user:gocardinal1228","2023-12-05T08:08:58Z"
