"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:29wrhqZUPQFPjREFM6vayu","AMBER","spotify:artist:5KpmWCJ5NqsY9meqhjwbxR","Unusual Demont","spotify:album:1iIGc6gmBf9I0iWYPpjZLU","HUES.","spotify:artist:5KpmWCJ5NqsY9meqhjwbxR","Unusual Demont","2021-09-17","https://i.scdn.co/image/ab67616d0000b273ca8a6c8f2b6279737d0ee64d","1","4","211865","","false","8","QZ93L2037126","spotify:user:gocardinal1228","2023-03-21T02:51:26Z"
"spotify:track:1PrVLmXkJjh2vEhmBEKLeM","Dragonball Durag - Remix","spotify:artist:4frXpPxQQZwbCu3eTGnZEw, spotify:artist:1ybINI1qPiFbwDXamRtwxD, spotify:artist:0NcPKaSNIHAM2RfioH9vMT","Thundercat, Smino, Guapdad 4000","spotify:album:4pjJMjf9P4ZrRoGuGrdUQg","Dragonball Durag (Remix)","spotify:artist:4frXpPxQQZwbCu3eTGnZEw, spotify:artist:1ybINI1qPiFbwDXamRtwxD, spotify:artist:0NcPKaSNIHAM2RfioH9vMT","Thundercat, Smino, Guapdad 4000","2020-08-25","https://i.scdn.co/image/ab67616d0000b27308786a4c223448d6840bed5d","1","1","221098","https://p.scdn.co/mp3-preview/c0343856dde6a061967c0733a3151331bd914d70?cid=9950ac751e34487dbbe027c4fd7f8e99","true","51","GBCFB2000448","spotify:user:gocardinal1228","2023-03-21T02:51:45Z"
"spotify:track:2lwwrWVKdf3LR9lbbhnr6R","Float On","spotify:artist:1yAwtBaoHLEDWAnWR87hBT","Modest Mouse","spotify:album:0TGTGuc2vXv6ZECoAf52N0","Good News For People Who Love Bad News","spotify:artist:1yAwtBaoHLEDWAnWR87hBT","Modest Mouse","2004-04-05","https://i.scdn.co/image/ab67616d0000b273cc68329bfbf34037df965dc1","1","3","208466","https://p.scdn.co/mp3-preview/9241188a00b7ae5feb607bf10c21a067c83ed487?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","USSM10315494","spotify:user:gocardinal1228","2023-03-21T02:51:51Z"
"spotify:track:2bydO0jZES9rBvSnPvYN5L","Lemonhaze","spotify:artist:23KIrX6iPiVOkx60F4bjNq","PawPaw Rod","spotify:album:6rdGxnA5zzF0Nly6ZqUwCH","A PawPaw Rod EP","spotify:artist:23KIrX6iPiVOkx60F4bjNq","PawPaw Rod","2021-09-15","https://i.scdn.co/image/ab67616d0000b27361c31fe82c1a19407e9de7ee","1","4","156478","https://p.scdn.co/mp3-preview/4d8d8c3be10da1bd48df70dd8b20932757d4e0fc?cid=9950ac751e34487dbbe027c4fd7f8e99","true","60","QM38F2100054","spotify:user:gocardinal1228","2023-03-21T02:52:02Z"
"spotify:track:1U2hgbpQ92mK7gCWL0lcWY","Glass House","spotify:artist:23KIrX6iPiVOkx60F4bjNq","PawPaw Rod","spotify:album:6g2sW1bofbs4DEoW25rAB9","Glass House","spotify:artist:23KIrX6iPiVOkx60F4bjNq","PawPaw Rod","2021-05-20","https://i.scdn.co/image/ab67616d0000b273871ba0aefa0bb92981399a0f","1","1","171977","https://p.scdn.co/mp3-preview/43ad8254c3326da93ba1d8516c3ba4edd3adc471?cid=9950ac751e34487dbbe027c4fd7f8e99","true","53","QM38F2100011","spotify:user:gocardinal1228","2023-03-21T02:52:05Z"
"spotify:track:7888F1QWPTn4cPbuknNV4T","HIT EM WHERE IT HURTS","spotify:artist:23KIrX6iPiVOkx60F4bjNq","PawPaw Rod","spotify:album:2w4bxNOt8ZLIBaKH2oi6ij","HIT EM WHERE IT HURTS","spotify:artist:23KIrX6iPiVOkx60F4bjNq","PawPaw Rod","2020-09-18","https://i.scdn.co/image/ab67616d0000b273239212cc0f6ff2bcee996985","1","1","165499","https://p.scdn.co/mp3-preview/52109f354fe90d0d9af08f1bf6a1077c7691b8c8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","QM38F2000034","spotify:user:gocardinal1228","2023-03-21T02:52:08Z"
"spotify:track:4vHNeBWDQpVCmGbaccrRzi","Goodie Bag","spotify:artist:4iMO20EPodreIaEl8qW66y","Still Woozy","spotify:album:0y8sikccXZ3TIW4PkjtI8R","Goodie Bag","spotify:artist:4iMO20EPodreIaEl8qW66y","Still Woozy","2017-11-05","https://i.scdn.co/image/ab67616d0000b2735ddbd61ea4a6dab213cc97af","1","1","146390","https://p.scdn.co/mp3-preview/bf7b47d1981cde334c2c4db9d253823afb6d7e7b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","78","QZANL1712241","spotify:user:gocardinal1228","2023-03-21T02:52:24Z"
"spotify:track:5mlirWXPq6KoroAUgy6Wdq","Luvaroq","spotify:artist:1CgbNAF3Stnz1Tpipu3xdO, spotify:artist:1O9iHQjrVuiAYOJFCBeFSl","Elujay, serpentwithfeet","spotify:album:2eR6L5nfTqjp97Kty4fCgs","Circmvnt","spotify:artist:1CgbNAF3Stnz1Tpipu3xdO","Elujay","2022-01-21","https://i.scdn.co/image/ab67616d0000b2730d8e945a3ec9d9cabec1c5cb","1","4","220781","https://p.scdn.co/mp3-preview/877fab6bf41698ed30532dc23bf90e3b2faf20bb?cid=9950ac751e34487dbbe027c4fd7f8e99","true","49","GBKPL2164125","spotify:user:gocardinal1228","2023-03-21T02:52:30Z"
"spotify:track:6mLNU3uGKZ1fLcJv9J1u7G","Summer Love","spotify:artist:4C9Tvlt8v7d8R6h98FgdUy","bLAck pARty","spotify:album:3N9piIqnt2BHomjXpg4BEe","Mango","spotify:artist:4C9Tvlt8v7d8R6h98FgdUy","bLAck pARty","2016-10-14","https://i.scdn.co/image/ab67616d0000b2731e833673e0b4bf5c08b56c0c","1","1","74318","https://p.scdn.co/mp3-preview/e0f9f37d9b9082cc8f703d6c5f89330c12a7593d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","TCACS1607076","spotify:user:gocardinal1228","2023-03-21T02:52:39Z"
"spotify:track:4rxD9Ar3OlsgGOnblWUKqr","Warm","spotify:artist:4pc5r183mYvIzGyFv2S0hO","Dre'es","spotify:album:6VCVsHg0OzSEKRnFLtOQcg","Warm","spotify:artist:4pc5r183mYvIzGyFv2S0hO","Dre'es","2017-10-19","https://i.scdn.co/image/ab67616d0000b273b71af613b14407ac43ff8651","1","1","255465","https://p.scdn.co/mp3-preview/b947d2eada018ba9ab58602ba824ba01896b26fb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","TCADH1765721","spotify:user:gocardinal1228","2023-03-21T02:52:47Z"
"spotify:track:3E73eFyGL6v10qlK3jiLyR","Rocky","spotify:artist:4iMO20EPodreIaEl8qW66y","Still Woozy","spotify:album:0QnWm07An8WyO3eupjBDoP","If This Isn’t Nice, I Don’t Know What Is","spotify:artist:4iMO20EPodreIaEl8qW66y","Still Woozy","2021-08-13","https://i.scdn.co/image/ab67616d0000b273178df9e236187d6f1e710f5f","1","2","166000","https://p.scdn.co/mp3-preview/adf3bd853188fbb48dce7425a4fc8e1fc8438494?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","USUG12100451","spotify:user:gocardinal1228","2023-03-23T00:49:50Z"
"spotify:track:1N6Jxuk0ESFDQsmdBsexIB","Bombae Lemonade","spotify:artist:5uPKpDpTOvt1ZOV8DLapRK, spotify:artist:3AKsPBUCpYGSktuIfakgjm, spotify:artist:3VhnU7vsmmKwPdcxcw9ImL","extremely bad man, Omenihu, Jallal","spotify:album:6pNdE82tcsmENf9YSSgIir","Love Is Pure","spotify:artist:5uPKpDpTOvt1ZOV8DLapRK","extremely bad man","2018-07-13","https://i.scdn.co/image/ab67616d0000b27346044e9c91691d9b38ba5291","1","5","221589","","true","0","GBKPL1808737","spotify:user:gocardinal1228","2023-03-23T00:49:57Z"
"spotify:track:2tUqgzXUa4tqj2fRdPVtFX","BITE","spotify:artist:7GdGZWPHxDEu0ppvLoB4GO","Baird","spotify:album:6hBDtMqSsiixf7l5qHF2sq","BIRDSONGS, Vol. 2","spotify:artist:7GdGZWPHxDEu0ppvLoB4GO","Baird","2020-10-20","https://i.scdn.co/image/ab67616d0000b2736a7bf6dc7f5ed701ef123457","1","1","160680","https://p.scdn.co/mp3-preview/3abf3e934b847da5680c5b1963c290cd20c6b8e4?cid=9950ac751e34487dbbe027c4fd7f8e99","true","42","QZD5H2000277","spotify:user:gocardinal1228","2023-03-31T22:47:24Z"
"spotify:track:4oIW33etTmDo5N2UoMAsmU","Lock N Key","spotify:artist:5uhqkMm8dyQvX83kl4Znq0","99 Neighbors","spotify:album:3i1TVz9jk9nf1JXXeZnvqg","Television","spotify:artist:5uhqkMm8dyQvX83kl4Znq0","99 Neighbors","2019-01-01","https://i.scdn.co/image/ab67616d0000b27328414612c46ecf59c890b34c","1","6","224000","https://p.scdn.co/mp3-preview/7fd02fd5d385550fc76f9265dce3dd59102c9a35?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","QZ4JJ1852795","spotify:user:gocardinal1228","2023-03-31T22:47:25Z"
"spotify:track:1NlGXcWeUSe1s3IgRKcqmB","Antidote","spotify:artist:2efrqekWSHlvhATD50AG3m","Orion Sun","spotify:album:1Ckbuzoh1dYKFnpNYmVEof","A Collection of Fleeting Moments and Daydreams","spotify:artist:2efrqekWSHlvhATD50AG3m","Orion Sun","2020-01-06","https://i.scdn.co/image/ab67616d0000b273ee0ec368f9b61f602365d864","1","2","169822","https://p.scdn.co/mp3-preview/0b166bb00668fd2c83f0dbb564841cb797773198?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","TCADD1775940","spotify:user:gocardinal1228","2023-11-28T12:35:18Z"
