"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1agLuqUAp4WkL5h97jKg2R","Rly Don't Care","spotify:artist:3P4vW5tzQvmuoNaFQqzy9q","chloe moriondo","spotify:album:1nXTxXK5WyXz7cLYYVPhKA","Blood Bunny","spotify:artist:3P4vW5tzQvmuoNaFQqzy9q","chloe moriondo","2021-05-07","https://i.scdn.co/image/ab67616d0000b27331eb2c8a41752cf21c4715c9","1","1","146333","https://p.scdn.co/mp3-preview/f0ae2de2327d98fdc9c8868af5718c4298e614ff?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","USAT22101014","spotify:user:rmadcbf14ajpnmg7e68qs065x","2021-08-14T18:12:33Z"
"spotify:track:1MWiZrb1UkZ49GXOtWuku5","Strawberry Blonde","spotify:artist:3P4vW5tzQvmuoNaFQqzy9q","chloe moriondo","spotify:album:1nXTxXK5WyXz7cLYYVPhKA","Blood Bunny","spotify:artist:3P4vW5tzQvmuoNaFQqzy9q","chloe moriondo","2021-05-07","https://i.scdn.co/image/ab67616d0000b27331eb2c8a41752cf21c4715c9","1","11","227866","https://p.scdn.co/mp3-preview/40d18fb856b1345c5a8faacfad1d99956e6ce536?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","USAT22101020","spotify:user:rmadcbf14ajpnmg7e68qs065x","2021-08-14T18:13:18Z"
"spotify:track:7Fn2VUNJhnFLKJ07yYAP1x","Block Your Number","spotify:artist:3MNLhvqJkWsO6tcjY9ps62","Maude Latour","spotify:album:0PcLusleORhwJOYf2OfVTW","Block Your Number","spotify:artist:3MNLhvqJkWsO6tcjY9ps62","Maude Latour","2020-09-24","https://i.scdn.co/image/ab67616d0000b273062c0bc62474571c74bae7bc","1","1","202545","https://p.scdn.co/mp3-preview/a8e7b5affe59324c2286f45eb50096391f1018c5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","QZC5P1800299","spotify:user:rmadcbf14ajpnmg7e68qs065x","2021-08-14T18:12:47Z"
"spotify:track:0l8NnoFm09sUNcts1ycOtV","It's Not Your Fault","spotify:artist:0uGk2czvcpWQA383Im6ajf","Maggie Lindemann","spotify:album:5CEcwEyL9wMG4TygYNTFgw","PARANOIA","spotify:artist:0uGk2czvcpWQA383Im6ajf","Maggie Lindemann","2021-01-22","https://i.scdn.co/image/ab67616d0000b273e5c95f335106bdf01ea71ec2","1","8","198748","https://p.scdn.co/mp3-preview/20800602adefb1a64f162589506e32656f5381bb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","QZMLX2000014","spotify:user:rmadcbf14ajpnmg7e68qs065x","2021-08-14T18:13:04Z"
"spotify:track:3cfeJE1UxGSOdtaQPkR2nd","mood ring baby","spotify:artist:4wMfqR1EZagrSlYndItxGQ","Field Medic","spotify:album:6ZXR63Ak9IBfg6NkbBxFKA","fade into the dawn","spotify:artist:4wMfqR1EZagrSlYndItxGQ","Field Medic","2019-04-19","https://i.scdn.co/image/ab67616d0000b27310a1497b5f5278590cbef2c2","1","8","281860","https://p.scdn.co/mp3-preview/8679466ec6d16ce9a18be51baac3d12d27686a14?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","QMCE71302228","spotify:user:rmadcbf14ajpnmg7e68qs065x","2021-11-08T02:40:06Z"
"spotify:track:1JA0tPLWaGL7wuHcPcgT9T","Dress","spotify:artist:2cAXhrWAztXGwk6r15ibW2","Charlotte Sands","spotify:album:5qFDSMfDk1Uv9q7Meft0mQ","Dress","spotify:artist:2cAXhrWAztXGwk6r15ibW2","Charlotte Sands","2020-12-02","https://i.scdn.co/image/ab67616d0000b273c73782a6da908c7863593f3f","1","1","143500","","false","0","TCAFG2075676","spotify:user:rmadcbf14ajpnmg7e68qs065x","2021-08-14T18:12:27Z"
"spotify:track:7bcy34fBT2ap1L4bfPsl9q","I Didn't Change My Number","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish","spotify:album:0JGOiO34nwfUdDrD612dOp","Happier Than Ever","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish","2021-07-30","https://i.scdn.co/image/ab67616d0000b2732a038d3bf875d23e4aeaa84e","1","2","158463","https://p.scdn.co/mp3-preview/51adb538cce9b760227fd3df60d4cd2ba3e2368f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","75","USUM72105926","spotify:user:rmadcbf14ajpnmg7e68qs065x","2021-08-14T18:13:36Z"
"spotify:track:0Wdti1sgfzx6f5XyBLmI0Z","This Is Why I'm Hot","spotify:artist:245PKF3hKjtxJKIG153kF0","Kailee Morgue","spotify:album:1AEpM28Ftqp8scaJLNgcAs","Here In Your Bedroom","spotify:artist:245PKF3hKjtxJKIG153kF0","Kailee Morgue","2020-04-24","https://i.scdn.co/image/ab67616d0000b27342b4ebb691959005de190347","1","4","127937","https://p.scdn.co/mp3-preview/dcb8db9b0648012d6b9737e46e902b131b09207d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","50","USUM72008344","spotify:user:rmadcbf14ajpnmg7e68qs065x","2021-11-07T02:36:32Z"
"spotify:track:0XO6jXa8kpG9qlCG7M0HYK","Kid Gloves","spotify:artist:426VSUSxx9puUYFgp7l7EQ","Liza Anne","spotify:album:6ELuMj5lPWzmvHhi3YeIOp","Fine But Dying","spotify:artist:426VSUSxx9puUYFgp7l7EQ","Liza Anne","2018-03-09","https://i.scdn.co/image/ab67616d0000b2735a6776b875743582806bf47e","1","7","212573","https://p.scdn.co/mp3-preview/cbac1cb41fd7acec528d251a1d96724d712eff8b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","QM7PU1550489","spotify:user:rmadcbf14ajpnmg7e68qs065x","2021-11-09T03:39:30Z"
"spotify:track:0JcwWSrO5ixqzLHoh77z9q","TOO LOUD!","spotify:artist:2hGxtbozs9MLpSHE11XOOC, spotify:artist:5k6BuuGye7fUjFvPOOJ8C2","Andrey Azizov, Simone","spotify:album:7ERfmcNo3EBRHxDFyypSqr","TOO LOUD!","spotify:artist:2hGxtbozs9MLpSHE11XOOC, spotify:artist:5k6BuuGye7fUjFvPOOJ8C2","Andrey Azizov, Simone","2021-08-19","https://i.scdn.co/image/ab67616d0000b2730903ea1a761c8d264108e2f9","1","1","196056","","true","0","GBKPL2160749","spotify:user:rmadcbf14ajpnmg7e68qs065x","2021-11-09T03:39:35Z"
"spotify:track:1CrtL00NhzSpCCHnR8fTPR","I Shouldn't Ghost My Therapist","spotify:artist:426VSUSxx9puUYFgp7l7EQ","Liza Anne","spotify:album:0CpVgjJhlYOdqklbhANGrD","Bad Vacation","spotify:artist:426VSUSxx9puUYFgp7l7EQ","Liza Anne","2020-07-24","https://i.scdn.co/image/ab67616d0000b2733af5550ac1f6eb85cc65595b","1","3","180397","https://p.scdn.co/mp3-preview/e8c0f80b3c94088361831e8e7ce0857878f18a74?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","CAAA12018703","spotify:user:rmadcbf14ajpnmg7e68qs065x","2021-11-09T03:39:38Z"
"spotify:track:1aU1wpYBSpP0M6IiihY5Ue","Renegade (feat. Taylor Swift)","spotify:artist:7gXy60xRcwYujBFoYHnR2O, spotify:artist:06HL4z0CvFAxyc27GXpf02","Big Red Machine, Taylor Swift","spotify:album:4kD0pFwhEjEiF9pwUwkpNo","Renegade (feat. Taylor Swift)","spotify:artist:7gXy60xRcwYujBFoYHnR2O, spotify:artist:06HL4z0CvFAxyc27GXpf02","Big Red Machine, Taylor Swift","2021-07-02","https://i.scdn.co/image/ab67616d0000b273b8abc4de41be8b3158a4ef40","1","1","254466","","true","0","US38Y2141505","spotify:user:rmadcbf14ajpnmg7e68qs065x","2021-11-09T03:39:45Z"
"spotify:track:2UQYVFUrqybUciB3ULiysS","I Love You, But I Need Another Year","spotify:artist:426VSUSxx9puUYFgp7l7EQ","Liza Anne","spotify:album:6ELuMj5lPWzmvHhi3YeIOp","Fine But Dying","spotify:artist:426VSUSxx9puUYFgp7l7EQ","Liza Anne","2018-03-09","https://i.scdn.co/image/ab67616d0000b2735a6776b875743582806bf47e","1","10","222600","https://p.scdn.co/mp3-preview/46eefe668140056a682a35203ad4bbf091fd24a7?cid=9950ac751e34487dbbe027c4fd7f8e99","true","46","QM7PU1550492","spotify:user:rmadcbf14ajpnmg7e68qs065x","2021-11-09T03:39:47Z"
"spotify:track:200l3mJpCvKRbeSVKhd3Sc","Devotion","spotify:artist:426VSUSxx9puUYFgp7l7EQ","Liza Anne","spotify:album:0CpVgjJhlYOdqklbhANGrD","Bad Vacation","spotify:artist:426VSUSxx9puUYFgp7l7EQ","Liza Anne","2020-07-24","https://i.scdn.co/image/ab67616d0000b2733af5550ac1f6eb85cc65595b","1","5","144130","https://p.scdn.co/mp3-preview/a2d46021c33fb67d5b4cc909b3ef3fff133f52ba?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","CAAA11953701","spotify:user:rmadcbf14ajpnmg7e68qs065x","2021-11-09T03:39:49Z"
"spotify:track:3YmZVcLHWCjMlHfLaM7nTf","Pink Slips","spotify:artist:537KNo7PHzbkHiv5SGQ0eT","Jenna Doe","spotify:album:0HSukgQ6gAyNJmTfXJAeVW","Pink Slips","spotify:artist:537KNo7PHzbkHiv5SGQ0eT","Jenna Doe","2021-07-13","https://i.scdn.co/image/ab67616d0000b27368711603eee875d90d7c8247","1","1","192320","https://p.scdn.co/mp3-preview/6cfb17bbdc3ae529e0f72e5aee0197df914a0531?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","QZHNC2150614","spotify:user:rmadcbf14ajpnmg7e68qs065x","2021-11-09T03:40:12Z"
"spotify:track:1i5fRXLDQmiNf878YdAUjk","DICTATOR","spotify:artist:6U1dV7aL68N7Gb0Naq34V5","REI AMI","spotify:album:1XeOpCq4J5bEsC7KGOINx2","DICTATOR","spotify:artist:6U1dV7aL68N7Gb0Naq34V5","REI AMI","2019-11-11","https://i.scdn.co/image/ab67616d0000b2731cb0471f9a7cbf5c67c2918a","1","1","181088","https://p.scdn.co/mp3-preview/ffa8cda7b7571f2516357da04d01eea3a43fd084?cid=9950ac751e34487dbbe027c4fd7f8e99","true","55","FRX201900530","spotify:user:rmadcbf14ajpnmg7e68qs065x","2021-11-16T05:59:21Z"
"spotify:track:4PMLEEYw4mblYsPlDSHKyu","Get Stüpid","spotify:artist:5vBrKGOjN10BMwB0cJADj4","bülow","spotify:album:1RAujeeZfUbofVGJUJ0qb8","Crystalline","spotify:artist:5vBrKGOjN10BMwB0cJADj4","bülow","2019-04-05","https://i.scdn.co/image/ab67616d0000b2737619da2f72cb9e23f7f7b5ad","1","2","172800","https://p.scdn.co/mp3-preview/9d5f4fb9b2f084dd17c082b0bd01e78be97c5424?cid=9950ac751e34487dbbe027c4fd7f8e99","true","53","CAUM71900065","spotify:user:rmadcbf14ajpnmg7e68qs065x","2021-11-16T05:59:39Z"
