"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6QTGiIuNopQu1iV2aa0fDS","Pink (From Barbie The Album)","spotify:artist:56oDRnqbIiwx4mymNEv7dS","Lizzo","spotify:album:7sxJ0kJ1I7cDD3OGIzOtnx","Pink (From Barbie The Album)","spotify:artist:56oDRnqbIiwx4mymNEv7dS","Lizzo","2023-07-21","https://i.scdn.co/image/ab67616d0000b273641627aabd50d3ee65f9d38c","1","1","143833","https://p.scdn.co/mp3-preview/865b938b57fa6e825eb40d51693be267997a8549?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","USAT22307073","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-09-08T05:59:09Z"
"spotify:track:34sOdxWu9FljH84UXdRwu1","all-american bitch","spotify:artist:1McMsnEElThX1knmY4oliG","Olivia Rodrigo","spotify:album:1xJHno7SmdVtZAtXbdbDZp","GUTS","spotify:artist:1McMsnEElThX1knmY4oliG","Olivia Rodrigo","2023-09-08","https://i.scdn.co/image/ab67616d0000b273e85259a1cae29a8d91f2093d","1","1","165833","https://p.scdn.co/mp3-preview/9e5cc35417bff1a304b3fe03c8e5769af6fb609d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","85","USUG12304093","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-09-08T05:45:24Z"
"spotify:track:1MpCaOeUWhox2Fgigbe1cL","I'M THAT GIRL","spotify:artist:6vWDO969PvNqNYHIOW5v0m","Beyoncé","spotify:album:6FJxoadUE4JNVwWHghBwnb","RENAISSANCE","spotify:artist:6vWDO969PvNqNYHIOW5v0m","Beyoncé","2022-07-29","https://i.scdn.co/image/ab67616d0000b2730e58a0f8308c1ad403d105e7","1","1","208014","https://p.scdn.co/mp3-preview/efe429b75c7ee5b333e8852b3be22d359778f1ee?cid=9950ac751e34487dbbe027c4fd7f8e99","true","74","USSM12206229","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-09-08T05:51:28Z"
"spotify:track:3mMvrW2odnDf0IOSFW21X1","Pink (Freak)","spotify:artist:6PZUrbjktV3P6m9RSuqzX5","Elliot Lee","spotify:album:2ZqFTwb6CnFeqSU8O9HGQg","Pink (Freak)","spotify:artist:6PZUrbjktV3P6m9RSuqzX5","Elliot Lee","2020-02-14","https://i.scdn.co/image/ab67616d0000b2730dbd763778a0fd9dfb4b532e","1","1","222226","https://p.scdn.co/mp3-preview/d71432c9b0ead63b9e075b5b25d3c11cebf32d87?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","QZ47A2000101","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-09-08T06:26:53Z"
"spotify:track:4y1LsJpmMti1PfRQV9AWWe","Girls Just Want to Have Fun","spotify:artist:2BTZIqw0ntH9MvilQ3ewNY","Cyndi Lauper","spotify:album:1FvdZ1oizXwF9bxogujoF0","She's So Unusual","spotify:artist:2BTZIqw0ntH9MvilQ3ewNY","Cyndi Lauper","1983-10-14","https://i.scdn.co/image/ab67616d0000b27352f532df7ba3269b0242fed9","1","2","238266","https://p.scdn.co/mp3-preview/d8dc4f720786902e4b84fe1130c35bb74398edfa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","USSM18300548","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-09-08T06:07:34Z"
"spotify:track:1uXbwHHfgsXcUKfSZw5ZJ0","Run the World (Girls)","spotify:artist:6vWDO969PvNqNYHIOW5v0m","Beyoncé","spotify:album:1gIC63gC3B7o7FfpPACZQJ","4","spotify:artist:6vWDO969PvNqNYHIOW5v0m","Beyoncé","2011-06-24","https://i.scdn.co/image/ab67616d0000b273ff5429125128b43572dbdccd","1","11","236093","https://p.scdn.co/mp3-preview/0bc39c5717f270c4545710f17c7e9ee16062e5eb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","USSM11102447","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-09-09T06:54:18Z"
"spotify:track:4QdX6pmNnJ5cleufWQIr5D","Shut Up And Drive","spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Rihanna","spotify:album:4OXnPSBtZo8PBFiTOfuumP","Good Girl Gone Bad","spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Rihanna","2007-01-01","https://i.scdn.co/image/ab67616d0000b273b9ff0a5f40d3406aed5e5e3b","1","5","212280","https://p.scdn.co/mp3-preview/6b9ed8ef17c69d3fbffc8bbb9eeee37c751ab816?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","USUM70734703","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-09-08T05:49:40Z"
"spotify:track:2o0c5MmVzZEfECSKxgoPHR","Angel","spotify:artist:78rUTD7y6Cy67W1RVzYs7t","PinkPantheress","spotify:album:4Jq1vL1CBUs5U5U23qGyRT","Barbie The Album (Best Weekend Ever Edition)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2023-07-21","https://i.scdn.co/image/ab67616d0000b273cb657d86d469d95e73b7c974","1","14","123820","https://p.scdn.co/mp3-preview/79ac35f6cc4ced60c0e74608e48e9c58c4810a31?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","USAT22305741","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-09-08T05:52:37Z"
"spotify:track:3RauEVgRgj1IuWdJ9fDs70","The Man","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:1NAmidJlEaVgA3MpcPFYGq","Lover","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2019-08-23","https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647","1","4","190360","https://p.scdn.co/mp3-preview/8eed78d771b1fc7b51cfe4bcf198611ac243acec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","86","USUG11901474","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-09-08T06:10:15Z"
"spotify:track:22sLuJYcvZOSoLLRYev1s5","Material Girl","spotify:artist:6tbjWDEIzxoDsBA1FuhfPW","Madonna","spotify:album:43lok9zd7BW5CoYkXZs7S0","Celebration (double disc version)","spotify:artist:6tbjWDEIzxoDsBA1FuhfPW","Madonna","2009-09-18","https://i.scdn.co/image/ab67616d0000b2731fc9fd5d701ee05cb39b7b19","1","20","240280","https://p.scdn.co/mp3-preview/e603c1b78ec2fb02062ff0d1f48475f33c45fe8a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USWB10903617","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-09-08T05:48:46Z"
"spotify:track:0mKGwFMHzTprtS2vpR3b6s","COZY","spotify:artist:6vWDO969PvNqNYHIOW5v0m","Beyoncé","spotify:album:6FJxoadUE4JNVwWHghBwnb","RENAISSANCE","spotify:artist:6vWDO969PvNqNYHIOW5v0m","Beyoncé","2022-07-29","https://i.scdn.co/image/ab67616d0000b2730e58a0f8308c1ad403d105e7","1","2","210372","https://p.scdn.co/mp3-preview/3f4bcb6aa0f4ca5ec1c16525fc530315c5a34652?cid=9950ac751e34487dbbe027c4fd7f8e99","true","74","USSM12206230","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-09-08T05:51:30Z"
"spotify:track:5ZrDlcxIDZyjOzHdYW1ydr","Barbie Girl","spotify:artist:6kBjAFKyd0he7LiA5GQ3Gz","Aqua","spotify:album:3hHmYc6mrl6NkmRW1ZwYvm","Aquarium (Special Edition)","spotify:artist:6kBjAFKyd0he7LiA5GQ3Gz","Aqua","1997-01-01","https://i.scdn.co/image/ab67616d0000b273f5768db89dd8ac30fd0e414f","1","3","197960","https://p.scdn.co/mp3-preview/e50666a04ed8364ec8f7cda1c8fe26f516c1da9c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","DKBKA9700403","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-09-08T05:48:21Z"
"spotify:track:2emeScREzF5sqckc9Lejc4","bet u wanna","spotify:artist:74KM79TiuVKeVCqs8QtB0B","Sabrina Carpenter","spotify:album:2g4aJTa5ejGpp0O0GKzWAQ","emails i can’t send fwd:","spotify:artist:74KM79TiuVKeVCqs8QtB0B","Sabrina Carpenter","2023-03-17","https://i.scdn.co/image/ab67616d0000b2730f45623be014a592a5815827","1","8","191025","https://p.scdn.co/mp3-preview/a9c6773fd78c8887c7ad7df2b5e97ad5fb43a335?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","USUM72210707","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-09-08T06:09:21Z"
"spotify:track:5Ssv6DaKrW0HczVqx6zXdl","Diva","spotify:artist:6vWDO969PvNqNYHIOW5v0m","Beyoncé","spotify:album:23Y5wdyP5byMFktZf8AcWU","I AM...SASHA FIERCE","spotify:artist:6vWDO969PvNqNYHIOW5v0m","Beyoncé","2008-11-14","https://i.scdn.co/image/ab67616d0000b273e13de7b8662b085b0885ffef","2","3","200613","https://p.scdn.co/mp3-preview/b8a049db2e17492dcf6f73f1e29b50c217e7a3b0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","USSM10804755","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-09-09T06:47:56Z"
"spotify:track:750kQsBN0LhPc4QDEWau7P","Choose Your Fighter","spotify:artist:4npEfmQ6YuiwW1GpUmaq3F","Ava Max","spotify:album:4Jq1vL1CBUs5U5U23qGyRT","Barbie The Album (Best Weekend Ever Edition)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2023-07-21","https://i.scdn.co/image/ab67616d0000b273cb657d86d469d95e73b7c974","1","16","137514","https://p.scdn.co/mp3-preview/090010b7932e2e56b811461db98bf9404d3c200b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","USAT22305743","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-09-08T05:52:44Z"
