"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1XwAKjAZ1xDZOcuyZoqce4","Moon River (From Breakfast at Tiffany's) [Remastered]","spotify:artist:16eV2TebyEhqaDRFEZJ9h8","Audrey Hepburn","spotify:album:3RnvFVaJrRTpSTFDabNgGA","Moon River (Breakfast at Tiffany's) [Remastered]","spotify:artist:16eV2TebyEhqaDRFEZJ9h8","Audrey Hepburn","2014-07-11","https://i.scdn.co/image/ab67616d0000b273c2f4e782ca6f0877acc95253","1","1","123160","https://p.scdn.co/mp3-preview/b10f3e3eedefa2365bfb136f47bfa910ab0c0749?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","FR6V82642499","spotify:user:rmadcbf14ajpnmg7e68qs065x","2021-08-21T04:02:40Z"
"spotify:track:7DDcNAaRQm1cyDeJ4yLafO","Reflecting Light","spotify:artist:6Epdio7Ic0zhZkhXHFc8qa","Sam Phillips","spotify:album:5ga0Nw06TGpciOmL6T6qMS","A Boot and a Shoe","spotify:artist:6Epdio7Ic0zhZkhXHFc8qa","Sam Phillips","2004-04-27","https://i.scdn.co/image/ab67616d0000b273ea1d3ca98db02ac1a1d594b1","1","6","197066","https://p.scdn.co/mp3-preview/6df208a7b5c1cf49e695da9d99ca0c133f7fb60d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","USNO10480706","spotify:user:rmadcbf14ajpnmg7e68qs065x","2021-08-21T04:02:35Z"
"spotify:track:0y3b4ssMVGVAYnVd231Tff","Zindagi Jab Bhi","spotify:artist:6a0qIxqTaL1BgqUfby0JLc","Talat Aziz","spotify:album:2qavq5Ue68nUxUK5VLRnNe","Umrao Jaan (Original Motion Picture Soundtrack)","spotify:artist:4T2mXoFdZeElsR7yoeKUbi","Khayyam","1981-12-01","https://i.scdn.co/image/ab67616d0000b273e311de0e9d5eea28ac1d0476","1","3","296760","https://p.scdn.co/mp3-preview/b69e9633c8684082a129a43bc337e7e7b4ee6486?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","INH109339540","spotify:user:rmadcbf14ajpnmg7e68qs065x","2021-08-21T04:06:43Z"
"spotify:track:6KI66HzKaCOvfvLenuf0JQ","Bade Achhe Lagte Hain","spotify:artist:5l1aGNGCRGomCMHVufh6xC","Amit Kumar","spotify:album:0ENk87mIL6K5JEj9iQvKyo","Balika Badhu (Original Motion Picture Soundtrack)","spotify:artist:2JSYASbWU5Y0fVpts3Eq7g","R. D. Burman","1976-12-31","https://i.scdn.co/image/ab67616d0000b2735e96f07509b6a743366962d3","1","2","312080","https://p.scdn.co/mp3-preview/8ff4517905f4786ca1cb18c0ceee99c240894819?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","INH109834410","spotify:user:rmadcbf14ajpnmg7e68qs065x","2021-08-21T04:08:22Z"
"spotify:track:12Aq4Ryc1rZQ0hWnT8wZNe","Petal","spotify:artist:2kQnsbKnIiMahOetwlfcaS","Raveena","spotify:album:5zM1YPLVNvxe6S8I3MIAbg","Lucid","spotify:artist:2kQnsbKnIiMahOetwlfcaS","Raveena","2019-05-31","https://i.scdn.co/image/ab67616d0000b273825d2628545eaea03bf9672f","1","12","187163","https://p.scdn.co/mp3-preview/f5fd39e9ae83b9bf810c95e2dcdefb42f0cc7f72?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","USUYG1252032","spotify:user:rmadcbf14ajpnmg7e68qs065x","2021-08-21T04:02:07Z"
"spotify:track:4gQRvISGFcf9zKowPzd7M6","Starflower","spotify:artist:2kQnsbKnIiMahOetwlfcaS","Raveena","spotify:album:0YdgyT5LFI48qP4bo6Rd74","Moonstone EP","spotify:artist:2kQnsbKnIiMahOetwlfcaS","Raveena","2020-02-07","https://i.scdn.co/image/ab67616d0000b27336bbfd482798a06c10c85771","1","4","157948","https://p.scdn.co/mp3-preview/a9b2da403df45eed73d8baaf41c76b77d6bb6b46?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","USUYG1292790","spotify:user:rmadcbf14ajpnmg7e68qs065x","2021-08-21T04:02:17Z"
"spotify:track:1Eg4CmLudi51fJHjY6kegZ","Northern Italy","spotify:artist:4amsobhlIB2YEtsZAVbODH","Margaux Beylier","spotify:album:2Aa1jx859mkgznEZQeLF1J","Northern Italy","spotify:artist:4amsobhlIB2YEtsZAVbODH","Margaux Beylier","2020-07-10","https://i.scdn.co/image/ab67616d0000b273bdac0ba9a89ba1272141a9b4","1","1","190214","https://p.scdn.co/mp3-preview/851288c1232718724ce5c78f61667d60354aedf6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","ushm82049851","spotify:user:rmadcbf14ajpnmg7e68qs065x","2021-08-21T04:07:26Z"
"spotify:track:2oMf2Gscz9k0Xebfw7G2hQ","Red Door","spotify:artist:12zbUHbPHL5DGuJtiUfsip","Julien Baker","spotify:album:4RvrHA91yUAlLGZ7aj4KLK","Red Door / Conversation Piece","spotify:artist:12zbUHbPHL5DGuJtiUfsip","Julien Baker","2019-06-13","https://i.scdn.co/image/ab67616d0000b2730777bd1037ce4c7bc0d9fb00","1","1","250833","https://p.scdn.co/mp3-preview/bfaa5cafa16d9b77489a1c1dd92a11fca55a7d9a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","USMTD1912715","spotify:user:rmadcbf14ajpnmg7e68qs065x","2021-08-21T04:07:42Z"
"spotify:track:0jsXpJsdXhnwnwnCLKjYLF","Vanilla Baby","spotify:artist:02YLJJnWC7YQVixkjEBRn7","Billie Marten","spotify:album:6hGu9RB3CDDdorBicf4dMo","Feeding Seahorses by Hand","spotify:artist:02YLJJnWC7YQVixkjEBRn7","Billie Marten","2019-04-26","https://i.scdn.co/image/ab67616d0000b27363b01b526ec3cfaa01e52045","1","6","255426","https://p.scdn.co/mp3-preview/cae1f9818ad1b91afbf8e14dfd67521377c09c48?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","GBARL1900007","spotify:user:rmadcbf14ajpnmg7e68qs065x","2021-08-26T03:16:37Z"
"spotify:track:1xQeFzhvO6fmWEQ3Xos8qi","I'm Sensitive","spotify:artist:6FbDoZnMBTdhhhLuJBOOqP","Jewel","spotify:album:4i7sgudnDX82Vk5J7fvbiu","Pieces Of You (25th Anniversary Edition)","spotify:artist:6FbDoZnMBTdhhhLuJBOOqP","Jewel","2020-11-20","https://i.scdn.co/image/ab67616d0000b273714983ce5192e7f590d15a09","1","9","176723","","false","0","USC4R2003799","spotify:user:rmadcbf14ajpnmg7e68qs065x","2021-08-21T04:10:06Z"
