"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5XxERvuCVzrzXFnAcPqZxp","Headache","spotify:artist:11uVEq37dsx0ZCbwxpu9S3","Rigby","spotify:album:32j3u6XZaYQ3ZWJzfGtVsR","Headache","spotify:artist:11uVEq37dsx0ZCbwxpu9S3","Rigby","2019-05-22","https://i.scdn.co/image/ab67616d0000b2733b0d5751ed8eee1a3dcfa416","1","1","334361","https://p.scdn.co/mp3-preview/1b9002646409e7bda1567f9f6aaeb2600a1847e3?cid=9950ac751e34487dbbe027c4fd7f8e99","true","44","usdy41992197","spotify:user:rmadcbf14ajpnmg7e68qs065x","2021-06-21T07:17:56Z"
"spotify:track:2bYTSTwiAPXDj322o1wKu2","I Want To Be With You","spotify:artist:3P4vW5tzQvmuoNaFQqzy9q","chloe moriondo","spotify:album:4KDSiUvJGqsrLkHcCFNmxv","I Want To Be With You","spotify:artist:3P4vW5tzQvmuoNaFQqzy9q","chloe moriondo","2020-08-21","https://i.scdn.co/image/ab67616d0000b273f7aeccd354081cf12914cf23","1","1","179573","https://p.scdn.co/mp3-preview/e070d9b27090d2cb02d325c810fc2334528ed0cc?cid=9950ac751e34487dbbe027c4fd7f8e99","true","42","USAT22004111","spotify:user:rmadcbf14ajpnmg7e68qs065x","2021-04-29T00:33:54Z"
"spotify:track:6tNzuncNnhrrF6nUDWK4wh","forever fifteen","spotify:artist:1JhiIIXT9DWqEU3BYFZwGA","MOTHICA","spotify:album:29nflzKihrlTJt1quWDU3K","forever fifteen","spotify:artist:1JhiIIXT9DWqEU3BYFZwGA","MOTHICA","2021-01-29","https://i.scdn.co/image/ab67616d0000b2737c2a20f74030944f0b1cc4cb","1","1","225271","","false","0","USANG2155105","spotify:user:rmadcbf14ajpnmg7e68qs065x","2021-06-16T08:47:38Z"
"spotify:track:3lyrfJzZH7hLWeO2ntjtzl","Wisconsin Ave","spotify:artist:245PKF3hKjtxJKIG153kF0","Kailee Morgue","spotify:album:1AEpM28Ftqp8scaJLNgcAs","Here In Your Bedroom","spotify:artist:245PKF3hKjtxJKIG153kF0","Kailee Morgue","2020-04-24","https://i.scdn.co/image/ab67616d0000b27342b4ebb691959005de190347","1","6","216106","https://p.scdn.co/mp3-preview/780d2848762029a04947ff1d5613ebb184e2f748?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","USUM72008346","spotify:user:rmadcbf14ajpnmg7e68qs065x","2021-06-08T18:25:23Z"
"spotify:track:1QL7nSDZCwZMnbisV4KOXt","t r a n s p a r e n t s o u l feat. Travis Barker","spotify:artist:3rWZHrfrsPBxVy692yAIxF, spotify:artist:4exLIFE8sISLr28sqG1qNX","WILLOW, Travis Barker","spotify:album:4ar4zcVlbYDYKgq5wEdq0T","t r a n s p a r e n t s o u l feat. Travis Barker","spotify:artist:3rWZHrfrsPBxVy692yAIxF, spotify:artist:4exLIFE8sISLr28sqG1qNX","WILLOW, Travis Barker","2021-04-27","https://i.scdn.co/image/ab67616d0000b273e76af696460a8b3aa26bf623","1","1","168030","https://p.scdn.co/mp3-preview/df9b5dd524136f77239459bbd5e76057eff6be95?cid=9950ac751e34487dbbe027c4fd7f8e99","true","64","QMJMT2103571","spotify:user:rmadcbf14ajpnmg7e68qs065x","2021-06-28T16:43:59Z"
"spotify:track:1agLuqUAp4WkL5h97jKg2R","Rly Don't Care","spotify:artist:3P4vW5tzQvmuoNaFQqzy9q","chloe moriondo","spotify:album:1nXTxXK5WyXz7cLYYVPhKA","Blood Bunny","spotify:artist:3P4vW5tzQvmuoNaFQqzy9q","chloe moriondo","2021-05-07","https://i.scdn.co/image/ab67616d0000b27331eb2c8a41752cf21c4715c9","1","1","146333","https://p.scdn.co/mp3-preview/f0ae2de2327d98fdc9c8868af5718c4298e614ff?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","USAT22101014","spotify:user:rmadcbf14ajpnmg7e68qs065x","2021-07-24T01:59:44Z"
"spotify:track:26WeyLZHXO3dZAgpD51FDr","Blame","spotify:artist:2gI1WfmpFmmgSRojy4Jup2","BLÜ EYES","spotify:album:486SL0faM39AwN5mUcGoTb","Blame","spotify:artist:2gI1WfmpFmmgSRojy4Jup2","BLÜ EYES","2020-07-22","https://i.scdn.co/image/ab67616d0000b27399fd27ac7e56c401c6235ddf","1","1","211002","https://p.scdn.co/mp3-preview/2e9ccc6f299d98867441cd52fd30dd86f565addb?cid=9950ac751e34487dbbe027c4fd7f8e99","true","27","QZHN92083906","spotify:user:rmadcbf14ajpnmg7e68qs065x","2021-04-29T00:33:40Z"
"spotify:track:1MWiZrb1UkZ49GXOtWuku5","Strawberry Blonde","spotify:artist:3P4vW5tzQvmuoNaFQqzy9q","chloe moriondo","spotify:album:1nXTxXK5WyXz7cLYYVPhKA","Blood Bunny","spotify:artist:3P4vW5tzQvmuoNaFQqzy9q","chloe moriondo","2021-05-07","https://i.scdn.co/image/ab67616d0000b27331eb2c8a41752cf21c4715c9","1","11","227866","https://p.scdn.co/mp3-preview/40d18fb856b1345c5a8faacfad1d99956e6ce536?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","USAT22101020","spotify:user:rmadcbf14ajpnmg7e68qs065x","2021-07-24T02:07:01Z"
"spotify:track:1Ya1He3XsuZVzq8tl3tdE9","supposed to","spotify:artist:2gI1WfmpFmmgSRojy4Jup2","BLÜ EYES","spotify:album:2hoWsnm5E7jrSdq01RNoBU","supposed to","spotify:artist:2gI1WfmpFmmgSRojy4Jup2","BLÜ EYES","2021-03-24","https://i.scdn.co/image/ab67616d0000b273c640559dc1e5c6fd2a041387","1","1","174500","https://p.scdn.co/mp3-preview/37d212bb2881489ee4922a0e54b181e19cd20c8c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","QZDA62198317","spotify:user:rmadcbf14ajpnmg7e68qs065x","2021-04-29T00:33:42Z"
"spotify:track:7DZccUDGJnoMiwbJWlbxNk","Bloodshot","spotify:artist:12zbUHbPHL5DGuJtiUfsip","Julien Baker","spotify:album:3IQRHa9iVLsGlSuVHiHZ3A","Little Oblivions","spotify:artist:12zbUHbPHL5DGuJtiUfsip","Julien Baker","2021-02-26","https://i.scdn.co/image/ab67616d0000b273712a2096d14afc53dc41f937","1","6","227306","https://p.scdn.co/mp3-preview/f687cd67bf0ba4e6c6ae65f691e1950ed2c84717?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","USMTD2000587","spotify:user:rmadcbf14ajpnmg7e68qs065x","2021-05-20T19:11:33Z"
