"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5h9NOj6ug1uB4LkT5FrFrm","Everybody Does","spotify:artist:12zbUHbPHL5DGuJtiUfsip","Julien Baker","spotify:album:4dRzxZm69k9s0nzKmKb8Gj","Sprained Ankle","spotify:artist:12zbUHbPHL5DGuJtiUfsip","Julien Baker","2015-10-23","https://i.scdn.co/image/ab67616d0000b27319ec2bda3f2349a7416f13e6","1","4","145888","","false","0","USA2P1506530","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-08-24T19:58:14Z"
"spotify:track:09siGbzRUQYwVhYw3QaOl1","Go Home (Audiotree Live Version)","spotify:artist:12zbUHbPHL5DGuJtiUfsip","Julien Baker","spotify:album:7e8f5OShadJ1int0R3ERi0","Julien Baker on Audiotree Live","spotify:artist:12zbUHbPHL5DGuJtiUfsip","Julien Baker","2015-10-22","https://i.scdn.co/image/ab67616d0000b273d84986b09bb390a847d6cf6f","1","4","234701","","false","9","QM99V1600604","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-08-28T05:07:04Z"
"spotify:track:3jt1ZVIuluGkV0sWWLSUzw","Appointments","spotify:artist:12zbUHbPHL5DGuJtiUfsip","Julien Baker","spotify:album:3AV0YFhIzY0LDeaJPU5x3O","Turn Out the Lights","spotify:artist:12zbUHbPHL5DGuJtiUfsip","Julien Baker","2017-10-27","https://i.scdn.co/image/ab67616d0000b27355e6251f6f6ffa24f092daac","1","2","273466","https://p.scdn.co/mp3-preview/09660a2093d7c128bae6692a4ed8ab7ce9ed345d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","USMTD1709988","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-08-24T19:50:35Z"
"spotify:track:0sJVCxGQEgAkBg42JUfiLz","Televangelist","spotify:artist:12zbUHbPHL5DGuJtiUfsip","Julien Baker","spotify:album:3AV0YFhIzY0LDeaJPU5x3O","Turn Out the Lights","spotify:artist:12zbUHbPHL5DGuJtiUfsip","Julien Baker","2017-10-27","https://i.scdn.co/image/ab67616d0000b27355e6251f6f6ffa24f092daac","1","6","292293","https://p.scdn.co/mp3-preview/0846215ecd36053e4e4e08291987d7ca8fa5afb4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","USMTD1709992","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-08-24T19:50:55Z"
"spotify:track:28edLsjhjUFcSYCQDFPMkd","Sour Breath","spotify:artist:12zbUHbPHL5DGuJtiUfsip","Julien Baker","spotify:album:3AV0YFhIzY0LDeaJPU5x3O","Turn Out the Lights","spotify:artist:12zbUHbPHL5DGuJtiUfsip","Julien Baker","2017-10-27","https://i.scdn.co/image/ab67616d0000b27355e6251f6f6ffa24f092daac","1","5","184213","https://p.scdn.co/mp3-preview/5e8898ee36f9102b975439b6dcc63acdc5031e6c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","USMTD1709991","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-08-24T19:50:57Z"
"spotify:track:4lZ0S6jbJbeOmkfFXfDNxl","Turn Out the Lights","spotify:artist:12zbUHbPHL5DGuJtiUfsip","Julien Baker","spotify:album:3AV0YFhIzY0LDeaJPU5x3O","Turn Out the Lights","spotify:artist:12zbUHbPHL5DGuJtiUfsip","Julien Baker","2017-10-27","https://i.scdn.co/image/ab67616d0000b27355e6251f6f6ffa24f092daac","1","3","203973","https://p.scdn.co/mp3-preview/f2e518876d6d39891a79aaedcc83373c3c935a17?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","USMTD1709989","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-08-28T05:04:58Z"
"spotify:track:3JWUwDPzGXeTfoHcbBphpv","Even","spotify:artist:12zbUHbPHL5DGuJtiUfsip","Julien Baker","spotify:album:3AV0YFhIzY0LDeaJPU5x3O","Turn Out the Lights","spotify:artist:12zbUHbPHL5DGuJtiUfsip","Julien Baker","2017-10-27","https://i.scdn.co/image/ab67616d0000b27355e6251f6f6ffa24f092daac","1","10","213120","https://p.scdn.co/mp3-preview/4ed11ff09e7097c811018fc36dd9f99dd4d42fac?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","USMTD1709996","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-08-28T05:05:11Z"
"spotify:track:7tBCqSYVmQXSmbfPHMgnbW","Repeat","spotify:artist:12zbUHbPHL5DGuJtiUfsip","Julien Baker","spotify:album:3IQRHa9iVLsGlSuVHiHZ3A","Little Oblivions","spotify:artist:12zbUHbPHL5DGuJtiUfsip","Julien Baker","2021-02-26","https://i.scdn.co/image/ab67616d0000b273712a2096d14afc53dc41f937","1","10","175360","https://p.scdn.co/mp3-preview/003f5750e54fa0491e99bc13c2eb932a6716fbe0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","USMTD2000591","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-08-28T05:05:47Z"
"spotify:track:1uDIg5CFLQSZIglO9IB6UM","Highlight Reel","spotify:artist:12zbUHbPHL5DGuJtiUfsip","Julien Baker","spotify:album:3IQRHa9iVLsGlSuVHiHZ3A","Little Oblivions","spotify:artist:12zbUHbPHL5DGuJtiUfsip","Julien Baker","2021-02-26","https://i.scdn.co/image/ab67616d0000b273712a2096d14afc53dc41f937","1","11","216120","https://p.scdn.co/mp3-preview/c24f91fb9b8017e9c730ba779dc084f1a3991dc6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","USMTD2000592","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-08-28T05:06:18Z"
"spotify:track:1wHbkwWw40p8dcFEqNkg4k","Song in E","spotify:artist:12zbUHbPHL5DGuJtiUfsip","Julien Baker","spotify:album:3IQRHa9iVLsGlSuVHiHZ3A","Little Oblivions","spotify:artist:12zbUHbPHL5DGuJtiUfsip","Julien Baker","2021-02-26","https://i.scdn.co/image/ab67616d0000b273712a2096d14afc53dc41f937","1","9","164426","https://p.scdn.co/mp3-preview/48266f402a77ebfd36b4047a6fc9377cded1a90b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","USMTD2000590","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-08-24T19:57:24Z"
"spotify:track:1qrpoAMXodY6895hGKoUpA","You Belong With Me (Taylor’s Version)","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:4hDok0OAJd57SGIT8xuWJH","Fearless (Taylor's Version)","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2021-04-09","https://i.scdn.co/image/ab67616d0000b273a48964b5d9a3d6968ae3e0de","1","6","231124","https://p.scdn.co/mp3-preview/93a61f13e0f9551a6d60a6f540871d14bc4d78ed?cid=9950ac751e34487dbbe027c4fd7f8e99","false","86","USUG12100622","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-08-24T19:50:20Z"
