"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:7Kt6zfq3jQj7tsRWECJPj9","Christmas Time Is Here","spotify:artist:2vm8GdHyrJh2O2MfbQFYG0","Ingrid Michaelson","spotify:album:0tm7TvcrD6xUUAZhisIUZJ","Ingrid Michaelson's Songs for the Season Deluxe Edition","spotify:artist:2vm8GdHyrJh2O2MfbQFYG0","Ingrid Michaelson","2021-11-05","https://i.scdn.co/image/ab67616d0000b273d9069ce43a35b7ae81ab8827","1","10","197933","https://p.scdn.co/mp3-preview/2d943087185345c5cde9d405d53c65300f6a2f35?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","USVT32000009","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-11-18T15:29:16Z"
"spotify:track:0bbZ3J2KdCT92SlBFORNNU","The Parting Glass","spotify:artist:1hLiboQ98IQWhpKeP9vRFw, spotify:artist:34Or4SetJBRvrlE8AO1qDO","boygenius, Ye Vagabonds","spotify:album:3hapDRjTtKNAQOuavK6vgO","The Parting Glass","spotify:artist:1hLiboQ98IQWhpKeP9vRFw, spotify:artist:34Or4SetJBRvrlE8AO1qDO","boygenius, Ye Vagabonds","2023-11-17","https://i.scdn.co/image/ab67616d0000b2738656cf708df35bfd0a233d25","1","1","251000","https://p.scdn.co/mp3-preview/758cbb0e26e48699fb1284ef61a32bfdb2b54e7c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","USUG12309516","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-11-17T12:39:05Z"
"spotify:track:3XsaSIPWvM61RIFfeb0BBR","White Christmas - 1947 Version","spotify:artist:6ZjFtWeHP9XN7FeKSUe80S, spotify:artist:69UfPJgUmFFAVT740qGVZi, spotify:artist:735L650pvygCZZlPMyHqsN","Bing Crosby, Ken Darby Singers, John Scott Trotter & His Orchestra","spotify:album:42KK3F8HTm1dyv5iFsCXdw","White Christmas","spotify:artist:6ZjFtWeHP9XN7FeKSUe80S","Bing Crosby","1945-01-01","https://i.scdn.co/image/ab67616d0000b2738004cd6b343732b0e1e666f5","1","3","183613","https://p.scdn.co/mp3-preview/90b7f0b240eb1758c89154d030bd4575443d9bf1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","USMC14750470","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-11-18T14:52:34Z"
"spotify:track:7vUjxwLHCqRWfOX3sAO0Gd","Auld Lang Syne","spotify:artist:2vm8GdHyrJh2O2MfbQFYG0","Ingrid Michaelson","spotify:album:0tm7TvcrD6xUUAZhisIUZJ","Ingrid Michaelson's Songs for the Season Deluxe Edition","spotify:artist:2vm8GdHyrJh2O2MfbQFYG0","Ingrid Michaelson","2021-11-05","https://i.scdn.co/image/ab67616d0000b273d9069ce43a35b7ae81ab8827","1","12","187573","https://p.scdn.co/mp3-preview/8fc71030832a6dfdce66f78806a4cab420b8c0a0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","USVT32000011","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-11-18T15:29:54Z"
"spotify:track:2Jm4phTtyPkQq76oGLsE4K","It’s Beginning to Look a Lot Like Christmas","spotify:artist:3BmGtnKgCSGYIUhmivXKWX","Kelly Clarkson","spotify:album:5YuOFYXZssU6b1v9DS4nLZ","Christmastry","spotify:artist:3BmGtnKgCSGYIUhmivXKWX","Kelly Clarkson","2023-11-22","https://i.scdn.co/image/ab67616d0000b27373fef61cab557a5dc661b2bf","1","3","114699","https://p.scdn.co/mp3-preview/17966f615adcef84a7e085e2c22aa5c03482bc43?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","USAT22104754","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-11-24T09:15:17Z"
"spotify:track:2TK9QiBAX3J4pSjzw8iyHR","let it snow","spotify:artist:7H55rcKCfwqkyDFH9wpKM6","Christina Perri","spotify:album:0NenoS449ulgwbz6vGx3ui","songs for christmas","spotify:artist:7H55rcKCfwqkyDFH9wpKM6","Christina Perri","2023-11-03","https://i.scdn.co/image/ab67616d0000b2730f004d96214093ee0c9e743e","1","8","133668","https://p.scdn.co/mp3-preview/41598d549c98d95608ddf9f7f8140b0702db77c1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","USAT22309033","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-11-18T14:50:14Z"
"spotify:track:6UgwY7AwWFWLllWIeuAjav","Welcome Christmas","spotify:artist:1W9sjfsJp3TqWFgvScMZdG, spotify:artist:2EjrRJZBrUhYqcgmYF69N1, spotify:artist:5dmuBOlipco9YnYwCbN5PW","Boris Karloff, MGM Studio Orchestra, MGM Studio Chorus","spotify:album:6P62c1CkC8iNejWXQGegDQ","Dr. Seuss' How The Grinch Stole Christmas! (Original TV Soundtrack)","spotify:artist:1W9sjfsJp3TqWFgvScMZdG, spotify:artist:2EjrRJZBrUhYqcgmYF69N1, spotify:artist:5dmuBOlipco9YnYwCbN5PW","Boris Karloff, MGM Studio Orchestra, MGM Studio Chorus","1966-12-18","https://i.scdn.co/image/ab67616d0000b27379157283898948a867d98344","1","4","46613","https://p.scdn.co/mp3-preview/27c2b5d0d63b4e12e6410aa33bd4d9822f3fd2e7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","USNLI1200008","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-11-26T21:17:02Z"
"spotify:track:5yNgdD8E6WruhULb4n2Con","Silent Night - 1999 Remaster","spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0","Frank Sinatra","spotify:album:0ny6mZMBrYSO0s8HAKbcVq","A Jolly Christmas From Frank Sinatra","spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0","Frank Sinatra","1957-09","https://i.scdn.co/image/ab67616d0000b27394fd2e614d0862bdd2592594","1","12","146293","https://p.scdn.co/mp3-preview/5100a7ef312dd71c05f5bda0e46100750e2daa0d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","USCA29900564","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-11-18T14:59:42Z"
"spotify:track:299lFlaAsNQdgbIZNPmIA0","Christmas Time Is Here - Vocal","spotify:artist:4ytkhMSAnrDP8XzRNlw9FS","Vince Guaraldi Trio","spotify:album:7DuJYWu66RPdcekF5TuZ7w","A Charlie Brown Christmas [2012 Remastered & Expanded Edition]","spotify:artist:4ytkhMSAnrDP8XzRNlw9FS","Vince Guaraldi Trio","1965","https://i.scdn.co/image/ab67616d0000b27332b0f9b1e5ee30df7a91cec3","1","6","166386","","false","0","USC4R1201098","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-11-26T20:02:37Z"
"spotify:track:4ZPNGLtydYARKP681L3TAF","So Much Wine","spotify:artist:1r1uxoy19fzMxunt3ONAkG","Phoebe Bridgers","spotify:album:42iPQ0sFMyNdjTTPsEbjEC","So Much Wine","spotify:artist:1r1uxoy19fzMxunt3ONAkG","Phoebe Bridgers","2022-11-17","https://i.scdn.co/image/ab67616d0000b273252f9e6a02b6db3f8cb16127","1","1","243600","https://p.scdn.co/mp3-preview/8f81b8a9e4abbdf98481bab283b37348ff6f57b1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","USJ5G2234301","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-11-17T12:39:25Z"
