"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:7kF6S2PTSj4IrrTrhSsEme","Afro Club","spotify:artist:4mpPWlY5m2YD8YIbSdCeUM","The Librarians","spotify:album:7DVS7Ii12b3uwuDwuO6kwL","Session Acousti #1","spotify:artist:4mpPWlY5m2YD8YIbSdCeUM","The Librarians","2014-09-23","https://i.scdn.co/image/ab67616d0000b273fd06d3072425fffb6b89acab","1","1","193653","","false","0","FR3G11312400","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2018-11-21T20:52:11Z"
"spotify:track:7DhgLvZztAfgqz4Gg9Kr7Q","Feels Like Home (feat. Milow)","spotify:artist:20gsENnposVs2I4rQ5kvrf, spotify:artist:1b4DN8Vj0dnj5cceMFsRYN, spotify:artist:6mo0UbyIvIePdXNyLwQlk5","Sam Feldt, Dante Klein, Milow","spotify:album:7saLP4LhJRWhPnWIF05tsL","Been A While","spotify:artist:20gsENnposVs2I4rQ5kvrf","Sam Feldt","2016-03-04","https://i.scdn.co/image/ab67616d0000b273347e0d6953430c99182bcabf","1","2","190380","https://p.scdn.co/mp3-preview/6abec10ab53556d256f3dd47494dbf8a08e6b615?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","NLZ541600068","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2018-11-21T20:57:44Z"
"spotify:track:5ow0sNF1zSqp71Ix5jEXWU","Dancing in the Moonlight (feat. NEIMY)","spotify:artist:4FcZfItjVIsfO9TynErl7X, spotify:artist:71Dhj822M1LGpuryPIV2KO","Jubël, NEIMY","spotify:album:47hMwqG7KVLVzyMjgYUqxM","Dancing in the Moonlight (feat. NEIMY)","spotify:artist:4FcZfItjVIsfO9TynErl7X, spotify:artist:71Dhj822M1LGpuryPIV2KO","Jubël, NEIMY","2018-06-22","https://i.scdn.co/image/ab67616d0000b273760b73048263d208cab8d864","1","1","164009","","false","14","UK8E21801201","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2018-11-21T20:57:44Z"
"spotify:track:61b7m8jNskWINV4yZCaflc","Nobody Like You - Sun Soaked Mix","spotify:artist:6TQj5BFPooTa08A7pk8AQ1","Kaskade","spotify:album:3SKYXY6hJtHczvnX9TQbBz","Redux EP 002","spotify:artist:6TQj5BFPooTa08A7pk8AQ1","Kaskade","2017-09-01","https://i.scdn.co/image/ab67616d0000b273ff13f0d37ea0d092b5482c0a","1","6","240796","","false","0","GBKPL1787534","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2018-11-21T20:57:44Z"
"spotify:track:0tgbSxoFjZ20MjfoKwWevV","Your Love","spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai, spotify:artist:3gk0OYeLFWYupGFRHqLSR7","David Guetta, Showtek","spotify:album:2dvtRAMQN6ERCoQVrV8xtO","Your Love","spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai, spotify:artist:3gk0OYeLFWYupGFRHqLSR7","David Guetta, Showtek","2018-06-14","https://i.scdn.co/image/ab67616d0000b2737b91491e4093aa2a6459f424","1","1","185620","https://p.scdn.co/mp3-preview/c8732a88e4772f4ba1aded8e18cf429719c71154?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","GB28K1800065","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2018-11-21T20:57:44Z"
"spotify:track:6AHJrfCfXUTuS5D7n56vK7","Ain't A Thing (feat. Kaleem Taylor)","spotify:artist:4QAp87iZerUP9PKxtLhmW1, spotify:artist:4eQKo2fvEqEbdopHhSjlug","Oliver Nelson, Kaleem Taylor","spotify:album:55iNLm0eVaSN3jxhKdVGz3","Ain't A Thing (feat. Kaleem Taylor)","spotify:artist:4QAp87iZerUP9PKxtLhmW1","Oliver Nelson","2016-09-16","https://i.scdn.co/image/ab67616d0000b273421ff4e22bb67ea1c3d09ba5","1","1","271098","https://p.scdn.co/mp3-preview/2c2ba741b48acce16ee2917127030e9844aeaaea?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","UK4ZF1600023","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2018-11-21T20:52:11Z"
"spotify:track:1E1XcSAS6wCOWxcZNrrhns","All Cried Out (feat. Alex Newell) - Oliver Nelson Remix","spotify:artist:2nuKjZLgc7II6FO4Rxjt5e, spotify:artist:2vGaSKEDFsVPBgcnGxqlBN","Blonde, Alex Newell","spotify:album:53dunLhacsNqh6K6lBqWaV","All Cried Out EP (feat. Alex Newell)","spotify:artist:2nuKjZLgc7II6FO4Rxjt5e, spotify:artist:2vGaSKEDFsVPBgcnGxqlBN","Blonde, Alex Newell","2015-04-19","https://i.scdn.co/image/ab67616d0000b273c9be194c5143cc6d9111f105","1","5","326896","https://p.scdn.co/mp3-preview/6bc7617a847dc83a756d14c01fa75fe74f848100?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","GBAYE1500362","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2018-11-21T20:52:11Z"
"spotify:track:26haJjtanhamtf25RXH0MO","All Stars","spotify:artist:1bj5GrcLom5gZFF5t949Xl, spotify:artist:6c0mTNAxJxlp9HpKTUZwA8","Martin Solveig, ALMA","spotify:album:0QmyqQAPTLxNCs6qya9CSa","All Stars","spotify:artist:1bj5GrcLom5gZFF5t949Xl","Martin Solveig","2017-06-16","https://i.scdn.co/image/ab67616d0000b273e20b8ceddf753eff3f2d28cf","1","1","170322","https://p.scdn.co/mp3-preview/f9e6b892b7de63ded5a3fa322bb5c751d3c4a358?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","UK98Q1700100","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2018-11-21T20:52:11Z"
"spotify:track:1bA2ZK7CFxEMnyn1dWP2jp","Baby","spotify:artist:3MyFDtqB80WZvbtCZRsekM","Bakermat","spotify:album:73S00PIhiseZOiQpgol0fK","Baby","spotify:artist:3MyFDtqB80WZvbtCZRsekM","Bakermat","2017-01-27","https://i.scdn.co/image/ab67616d0000b27330c44ddb6197f965637e2b7a","1","1","160053","https://p.scdn.co/mp3-preview/be825ba563be5e28e0bbe362a3ad22270712e804?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","NLE801600842","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2018-11-21T20:52:11Z"
"spotify:track:4o1nV0gmw4jHeBz1Kk5uPO","Burn - Ryan Riback Remix","spotify:artist:6S3KljEiIOWoLMUyZrkQUc, spotify:artist:0JvtoI1m1MFbXukBpztHK8, spotify:artist:33JQK4UoS2aMPYBfdB5Ftt","Marnik, ROOKIES, Ryan Riback","spotify:album:0GrP0hd2KDlOEh4A4UQYcN","Burn (Ryan Riback Remix)","spotify:artist:6S3KljEiIOWoLMUyZrkQUc","Marnik","2017-12-15","https://i.scdn.co/image/ab67616d0000b2738897f3cb140ac6e7803c2539","1","1","208800","https://p.scdn.co/mp3-preview/291971d4845ab148fb93f002aaa46fd04c50d1d1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","USUG11702207","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2018-11-21T20:52:11Z"
