"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6pmZMP2ET1OJi5rKfLO8jD","3:15","spotify:artist:4GvEc3ANtPPjt1ZJllr5Zl","Bazzi","spotify:album:5EEkfRgfYHiFu0lGur6Z6M","COSMIC","spotify:artist:4GvEc3ANtPPjt1ZJllr5Zl","Bazzi","2018-04-12","https://i.scdn.co/image/ab67616d0000b273f9f2d43ff44bdfbe8c556f8d","1","6","167018","https://p.scdn.co/mp3-preview/d88beffc069d4b539edaccadcf01bbb27cbb882c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","65","USAT21801527","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2020-06-03T18:37:38Z"
"spotify:track:303CrEPtIMzTxCOfdZBEzL","5 shots","spotify:artist:5i4BaWy8YIun1u3RXwmlWn","gianni & kyle","spotify:album:2Re2YtfK9vnEIginPskARB","5 shots","spotify:artist:5i4BaWy8YIun1u3RXwmlWn","gianni & kyle","2018-06-21","https://i.scdn.co/image/ab67616d0000b273b30ee90e7c4901c9b0d6e7c9","1","1","181709","","true","0","QZDA51824074","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2020-06-03T18:37:45Z"
"spotify:track:7t5m6zRwIEBxmPt8lNoPPi","Acquainted","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd","spotify:album:28ZKQMoNBB0etKXZ97G2SN","Beauty Behind The Madness","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd","2015-08-28","https://i.scdn.co/image/ab67616d0000b273aac98daa18e4edf54d7a0a70","1","6","348853","","true","0","USUG11500919","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2020-06-03T18:37:52Z"
"spotify:track:527k23H0A4Q0UJN3vGs0Da","After Party","spotify:artist:4Gso3d4CscCijv0lmajZWs","Don Toliver","spotify:album:7z4GhRfLqfSkqrj5F3Yt2B","Heaven Or Hell","spotify:artist:4Gso3d4CscCijv0lmajZWs","Don Toliver","2020-03-13","https://i.scdn.co/image/ab67616d0000b27345190a074bef3e8ce868b60c","1","4","167915","https://p.scdn.co/mp3-preview/aa5c75b892ac13349826248a278f295377a59264?cid=9950ac751e34487dbbe027c4fd7f8e99","true","79","USAT22001223","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2020-06-03T18:37:52Z"
"spotify:track:2bnDTGikdoO8CwzlAPyBHR","Airplanes, Pt. II (feat. Eminem & Hayley Williams of Paramore)","spotify:artist:5ndkK3dpZLKtBklKjxNQwT, spotify:artist:7dGJo4pcD2V6oG8kP0tJRR, spotify:artist:6Rx1JKzBrSzoKQtmbVmBnM","B.o.B, Eminem, Hayley Williams","spotify:album:7apLPYT8szV1IqTxyVSy5P","B.o.B Presents: The Adventures of Bobby Ray","spotify:artist:5ndkK3dpZLKtBklKjxNQwT","B.o.B","2010-04-27","https://i.scdn.co/image/ab67616d0000b273484d121f0e2d2caf87d5d10b","1","12","319293","https://p.scdn.co/mp3-preview/df449cd1f2c15f0c3aa5dddc2fb94c99fc48b101?cid=9950ac751e34487dbbe027c4fd7f8e99","true","61","USAT21000549","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2020-06-03T18:37:52Z"
"spotify:track:3ZjvcLFhacfeVErKemTdKq","Animal","spotify:artist:7bXgB6jMjp9ATFy66eO08Z, spotify:artist:50co4Is1HCEo8bhOyUWKpn","Chris Brown, Young Thug","spotify:album:655K6xPQko0QunUAClwrLq","Slime & B","spotify:artist:7bXgB6jMjp9ATFy66eO08Z, spotify:artist:50co4Is1HCEo8bhOyUWKpn","Chris Brown, Young Thug","2020-05-05","https://i.scdn.co/image/ab67616d0000b2732e1c9e187b63d0ad537c4abe","1","8","206400","","true","0","USRC12001474","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2020-06-03T18:51:49Z"
"spotify:track:1DhRbox3xkceP64k3JeYfW","Antisocial (with Travis Scott)","spotify:artist:6eUKZXaKkcviH0Ku9w2n3V, spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY","Ed Sheeran, Travis Scott","spotify:album:3oIFxDIo2fwuk4lwCmFZCx","No.6 Collaborations Project","spotify:artist:6eUKZXaKkcviH0Ku9w2n3V","Ed Sheeran","2019-07-12","https://i.scdn.co/image/ab67616d0000b27373304ce0653c7758dd94b259","1","7","161746","https://p.scdn.co/mp3-preview/cbbc0bb995cf094ce54b1733e75214e54d5593a5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","GBAHS1900966","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2020-06-03T18:54:38Z"
"spotify:track:0RjJSBBEolCDJ6wDiuVCmh","ATTENTION!","spotify:artist:15UsOTVnJzReFVN1VCnxy4","XXXTENTACION","spotify:album:3hn46RDrEmoi4XhLjgdNjZ","Bad Vibes Forever","spotify:artist:15UsOTVnJzReFVN1VCnxy4","XXXTENTACION","2019-12-06","https://i.scdn.co/image/ab67616d0000b273fa96fd3251629605bb59345d","1","16","120055","https://p.scdn.co/mp3-preview/2c166b7c068a761ff9ec450bdfa342131146f33d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","69","USUYG1284377","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2020-06-03T18:56:35Z"
"spotify:track:7dt6x5M1jzdTEt8oCbisTK","Better Now","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","spotify:album:6trNtQUgC8cgbWcqoMYkOR","beerbongs & bentleys","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","2018-04-27","https://i.scdn.co/image/ab67616d0000b273b1c4b76e23414c9f20242268","1","9","231266","https://p.scdn.co/mp3-preview/1aa169aa2705c55c3c5e8d93dea91b682225ae59?cid=9950ac751e34487dbbe027c4fd7f8e99","true","83","USUM71805170","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2020-06-03T19:52:16Z"
"spotify:track:1dUHF4RyMmMTveJ0Rby6Xm","Can’t Take A Joke","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","spotify:album:1ATL5GLyefJaxhQzSPVrLX","Scorpion","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","2018-06-29","https://i.scdn.co/image/ab67616d0000b273f907de96b9a4fbc04accc0d5","1","9","163974","https://p.scdn.co/mp3-preview/5029b589e7c17b8dbd58998edeb7a464f4c80d42?cid=9950ac751e34487dbbe027c4fd7f8e99","true","70","USCM51800215","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2020-06-03T20:26:03Z"
"spotify:track:0Li1OuXXfi7950ilZUFGkF","Cardigan","spotify:artist:4Gso3d4CscCijv0lmajZWs","Don Toliver","spotify:album:7z4GhRfLqfSkqrj5F3Yt2B","Heaven Or Hell","spotify:artist:4Gso3d4CscCijv0lmajZWs","Don Toliver","2020-03-13","https://i.scdn.co/image/ab67616d0000b27345190a074bef3e8ce868b60c","1","3","158708","https://p.scdn.co/mp3-preview/bd4ebf54d786d614d9166b95c62c11945872dc95?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","USAT22000786","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2020-06-03T20:26:10Z"
"spotify:track:58zz5yc5eLHln3kRGS6bXR","C'est la Vie","spotify:artist:2vxh38hZKAV0DlSpnv7cqT","Lxst","spotify:album:6N7VOYNSZYsqm1oL4o1rlt","Lost","spotify:artist:2vxh38hZKAV0DlSpnv7cqT","Lxst","2020-01-24","https://i.scdn.co/image/ab67616d0000b273aa739d6ea808ecb44a498c99","1","5","147375","","true","18","QZFYY2022644","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2020-06-03T20:37:56Z"
"spotify:track:4VginDwYTP2eaHJzO0QMjG","Circles","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","spotify:album:75n7rjlC1fxezRtoMQmtL5","Circles","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","2019-08-30","https://i.scdn.co/image/ab67616d0000b2732919189f53d1f4ca51ac0aa9","1","1","214906","","false","12","USUM71915699","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2020-06-03T21:14:11Z"
"spotify:track:3L19besdNQzd342qL78xqm","Demons and Angels (feat. Juice WRLD)","spotify:artist:31W5EY0aAly4Qieq6OFu6I, spotify:artist:4MCBfE4596Uoi2O4DtmEMz","A Boogie Wit da Hoodie, Juice WRLD","spotify:album:3r5hf3Cj3EMh1C2saQ8jyt","Hoodie SZN","spotify:artist:31W5EY0aAly4Qieq6OFu6I","A Boogie Wit da Hoodie","2018-12-21","https://i.scdn.co/image/ab67616d0000b273dcfadea246002a5c0fd7b1b8","1","6","214592","https://p.scdn.co/mp3-preview/0ec85bf8f1067e5e6f578d89ed143a25eec14fe9?cid=9950ac751e34487dbbe027c4fd7f8e99","true","70","USAT21812920","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2020-06-03T21:31:26Z"
"spotify:track:59PYPDxTbqJpiGfyogPb5h","Die For Me (feat. Future & Halsey)","spotify:artist:246dkjvS1zLTtiykXe5h60, spotify:artist:1RyvyyTE3xzB2ZywiAwp0i, spotify:artist:26VFTg2z8YR0cCuwLzESi2","Post Malone, Future, Halsey","spotify:album:3KziODx7ieQTgYCVrS6nBv","Hollywood's Bleeding","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","2019-09-06","https://i.scdn.co/image/ab67616d0000b273bbf401121625a31ba1a6a4bb","1","7","245266","","true","0","USUM71915723","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2020-06-03T21:32:26Z"
"spotify:track:7MiZjKawmXTsTNePyTfPyL","Devil Eyes","spotify:artist:4dM6NDYSfLcspt8GLoT5aE","Hippie Sabotage","spotify:album:1RVXVo1puacM8aQ6hgQahi","Providence","spotify:artist:4dM6NDYSfLcspt8GLoT5aE","Hippie Sabotage","2016-02-05","https://i.scdn.co/image/ab67616d0000b273ecdad1ee6d530eb965d7c51e","1","6","131271","https://p.scdn.co/mp3-preview/712f2fe51bbaa666c423168f2c231098fbd09b4a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","US7SR1600006","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2020-06-03T21:45:24Z"
"spotify:track:3Q3myFA7q4Op95DOpHplaY","do re mi","spotify:artist:2cFrymmkijnjDg9SS92EPM","blackbear","spotify:album:30QoUTsSdpQuZunPNFsLnm","digital druglord","spotify:artist:2cFrymmkijnjDg9SS92EPM","blackbear","2017-04-21","https://i.scdn.co/image/ab67616d0000b27318e8b6e355542ddf38562055","1","4","212027","","true","4","USLD91700850","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2020-06-03T21:54:26Z"
