"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5L95vS64rG1YMIFm1hLjyZ","Rollercoaster","spotify:artist:2eam0iDomRHGBypaDQLwWI","Bleachers","spotify:album:0cnNCK2xpudXjB8pzsrYy9","Strange Desire","spotify:artist:2eam0iDomRHGBypaDQLwWI","Bleachers","2014-07-14","https://i.scdn.co/image/ab67616d0000b2734849278ce9876ebea7353d66","1","2","188866","https://p.scdn.co/mp3-preview/6cd84c072ba490f5b68d2989fafe6fb43746745f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","USRC11400984","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2023-06-29T19:12:02Z"
"spotify:track:13SfKfixPEDQBOYYtaY3Wh","Lost The Breakup","spotify:artist:2RVvqRBon9NgaGXKfywDSs","Maisie Peters","spotify:album:60trS6aUorLG5ZBi1bWcz8","Lost The Breakup","spotify:artist:2RVvqRBon9NgaGXKfywDSs","Maisie Peters","2023-03-31","https://i.scdn.co/image/ab67616d0000b273266dcd6feb3c67d204850a27","1","1","189413","","true","21","GBAHS2300115","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2023-06-29T19:12:40Z"
"spotify:track:3TgMcrV32NUKjEG2ujn9eh","It's Not Living (If It's Not With You)","spotify:artist:3mIj9lX2MWuHmhNCA7LSCW","The 1975","spotify:album:6PWXKiakqhI17mTYM4y6oY","A Brief Inquiry Into Online Relationships","spotify:artist:3mIj9lX2MWuHmhNCA7LSCW","The 1975","2018-11-30","https://i.scdn.co/image/ab67616d0000b2736c582022e90b11f0da287a9a","1","11","248335","https://p.scdn.co/mp3-preview/7cce4285a5412c5f3a1920ca965c155d04235e97?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","GBK3W1800838","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2023-06-29T19:12:59Z"
"spotify:track:1cR29lpK5mJIlajSpRqfNF","For Real This Time","spotify:artist:4tuJ0bMpJh08umKkEXKUI5","Gracie Abrams","spotify:album:7l2g05NyprwonSFIs2y8at","This Is What It Feels Like","spotify:artist:4tuJ0bMpJh08umKkEXKUI5","Gracie Abrams","2021-11-12","https://i.scdn.co/image/ab67616d0000b2736d63fd3e1afa17b0d5563131","1","3","193602","https://p.scdn.co/mp3-preview/e1a577bce2a15acd47f1821b3902ff802b2bcac1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","USUG12105277","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2023-06-29T19:13:26Z"
"spotify:track:12g9IeQzX7xECLNxz8dpb5","I'm In Love With You","spotify:artist:3mIj9lX2MWuHmhNCA7LSCW","The 1975","spotify:album:6dVCpQ7oGJD1oYs2fv1t5M","Being Funny In A Foreign Language","spotify:artist:3mIj9lX2MWuHmhNCA7LSCW","The 1975","2022-10-14","https://i.scdn.co/image/ab67616d0000b2731f44db452a68e229650a302c","1","6","262623","https://p.scdn.co/mp3-preview/e0de4f9728f557fea2705124bf316072c5bc1578?cid=9950ac751e34487dbbe027c4fd7f8e99","true","73","GBK3W2202317","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2023-06-29T19:13:29Z"
"spotify:track:7l9IqDtVWJurTvkQHq1BGh","she's all i wanna be","spotify:artist:45dkTj5sMRSjrmBSBeiHym","Tate McRae","spotify:album:5fhTetHew6Eph6HfQ9O5gJ","i used to think i could fly","spotify:artist:45dkTj5sMRSjrmBSBeiHym","Tate McRae","2022-05-27","https://i.scdn.co/image/ab67616d0000b273f7108342ef45a402af8206b2","1","8","207120","https://p.scdn.co/mp3-preview/404935a0ab1ae472569566569e893b6bf816a92a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USRC12103120","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2023-06-29T19:13:33Z"
"spotify:track:1IXfNzFG3JdrjBt8VPDjC6","I Wanna","spotify:artist:3gBjSrNsYzzbeo0nwsL21J","ella jane","spotify:album:6XO4LrNz9pugcgr8K6yh4a","Marginalia","spotify:artist:3gBjSrNsYzzbeo0nwsL21J","ella jane","2022-10-28","https://i.scdn.co/image/ab67616d0000b2732d60a4d32425f2e2576eef3c","1","8","210590","https://p.scdn.co/mp3-preview/134d83473603762a099337ed2e3d47c12ac2e2ea?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","US4HB2200544","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2023-06-29T19:13:40Z"
"spotify:track:4OWcHdAmVvcL6o8RQYogXh","Difficult","spotify:artist:4tuJ0bMpJh08umKkEXKUI5","Gracie Abrams","spotify:album:5ZCIbfKnv3GF5h5h8MiRzQ","Good Riddance","spotify:artist:4tuJ0bMpJh08umKkEXKUI5","Gracie Abrams","2023-02-24","https://i.scdn.co/image/ab67616d0000b2737a13f362954eb4d7f160eeec","1","8","258901","","false","9","USUG12202345","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2023-06-29T19:13:43Z"
"spotify:track:5meVa5klVlJalupZTvv5XX","21","spotify:artist:4tuJ0bMpJh08umKkEXKUI5","Gracie Abrams","spotify:album:2UZw04wDxLVceADw2Gi1Qy","minor","spotify:artist:4tuJ0bMpJh08umKkEXKUI5","Gracie Abrams","2020-07-14","https://i.scdn.co/image/ab67616d0000b27355c38bc34d1fe852f2657c2e","1","2","185172","https://p.scdn.co/mp3-preview/c629455b6109f2755309c16f9998e2c38b588e39?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","USUG11903590","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2023-06-29T19:14:11Z"
"spotify:track:5UqTWnG7YZAbj1SYMvnGsU","Scarlett","spotify:artist:0nnYdIpahs41QiZ9MWp5Wx","Holly Humberstone","spotify:album:17XDDX3RYaIu56inOJzAWO","Can You Afford To Lose Me?","spotify:artist:0nnYdIpahs41QiZ9MWp5Wx","Holly Humberstone","2022-10-24","https://i.scdn.co/image/ab67616d0000b27316c6a74d37f1ec412d15be61","1","3","196226","https://p.scdn.co/mp3-preview/b5ae308698edaa7fc6e7ff48039971c2d7511f55?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","GBUM72102851","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2023-06-29T19:14:20Z"
