"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0WSPIU3Y3bNXsGeKnzSnt1","warm glow","spotify:artist:1btWGBz4Uu1HozTwb2Lm8A","Hippo Campus","spotify:album:4Haa4Xjv1O6cjPY2CwmbY8","warm glow","spotify:artist:1btWGBz4Uu1HozTwb2Lm8A","Hippo Campus","2017-09-12","https://i.scdn.co/image/ab67616d0000b27313d5597e7a4efa6c01889d2b","1","3","358870","https://p.scdn.co/mp3-preview/e0192cf7d0c1489748f9609232f6654d209d77ba?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","QM5BK1700175","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2022-09-16T05:39:32Z"
"spotify:track:7oTi7GKtvXnwnaVFk6OkLU","Manta Rays","spotify:artist:3P4vW5tzQvmuoNaFQqzy9q","chloe moriondo","spotify:album:1Y0Z13jxlT0EgeH2L3u4Zb","Manta Rays","spotify:artist:3P4vW5tzQvmuoNaFQqzy9q","chloe moriondo","2020-06-26","https://i.scdn.co/image/ab67616d0000b2734c3f04abee16c93c87f6b86a","1","1","211826","https://p.scdn.co/mp3-preview/0fdf5c8d44bb5a8787689469988095d1a3903fea?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","USAT22003184","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2022-09-16T05:39:32Z"
"spotify:track:52OkpDsU6MmPx1AwGOb6Ap","cowboy like me","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:6AORtDjduMM3bupSWzbTSG","evermore (deluxe version)","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2021-01-07","https://i.scdn.co/image/ab67616d0000b27390fd9741e1838115cd90b3b6","1","11","275040","https://p.scdn.co/mp3-preview/9b94bec4dfecd44f6f490ec62f5bfec33a864142?cid=9950ac751e34487dbbe027c4fd7f8e99","true","71","USUG12004714","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2022-09-16T05:42:25Z"
"spotify:track:6TvxPS4fj4LUdjw2es4g21","Slipping Through My Fingers","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","spotify:album:5GByGaws7Cw0t28kjvAOzV","The Visitors (Deluxe Edition)","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","1981","https://i.scdn.co/image/ab67616d0000b27342678f54dfd1d5afb3eea19a","1","8","233720","https://p.scdn.co/mp3-preview/4d7c468ef7ee4ff4951db64d726a507bec47ab14?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","SEAYD8102080","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2022-09-16T05:42:33Z"
"spotify:track:4R2kfaDFhslZEMJqAFNpdd","cardigan","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:2fenSS68JI1h4Fo296JfGr","folklore","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2020-07-24","https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc","1","2","239560","https://p.scdn.co/mp3-preview/45d916e1938d4a79b466905c530c26973dcf1eb3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","90","USUG12002836","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2022-09-16T05:46:21Z"
"spotify:track:0dBW6ZsW8skfvoRfgeerBF","Mine","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:5MfAxS5zz8MlfROjGQVXhy","Speak Now","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2010-10-25","https://i.scdn.co/image/ab67616d0000b273e11a75a2f2ff39cec788a015","1","1","230706","https://p.scdn.co/mp3-preview/898ca7dbabee69050af784eea30d05700f28f755?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","USCJY1003645","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2022-09-16T05:47:27Z"
"spotify:track:6gz3orrUlKresI8GShSkdq","A Burning Hill","spotify:artist:2uYWxilOVlUdk4oV9DvwqK","Mitski","spotify:album:4Coa8Eb9SzjrkwWEom963Q","Puberty 2","spotify:artist:2uYWxilOVlUdk4oV9DvwqK","Mitski","2016-06-17","https://i.scdn.co/image/ab67616d0000b27329eb9ad9b9af34bbb54eb053","1","11","109627","https://p.scdn.co/mp3-preview/3154c4d298282351cbc903ef6ed275d03433b3ea?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","USJ5G1612311","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2022-09-16T05:49:24Z"
"spotify:track:04MoJkJzCoU9ukeewv5Vzu","Happy & Sad","spotify:artist:70kkdajctXSbqSMJbQO424","Kacey Musgraves","spotify:album:7f6xPqyaolTiziKf5R5Z0c","Golden Hour","spotify:artist:70kkdajctXSbqSMJbQO424","Kacey Musgraves","2018-03-30","https://i.scdn.co/image/ab67616d0000b2732e35d25eb7288830d5540484","1","8","243186","https://p.scdn.co/mp3-preview/e7d94e7d6ef2aa14d8a2b4101c4eebce50c21f4b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","USUM71800134","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2022-09-16T05:50:23Z"
"spotify:track:2uatFg68ynGEapEel9ASuK","Fool's Gold","spotify:artist:7vtSUU3zpHeYJfX6BPNrJd","Briston Maroney","spotify:album:7nfm0AkAW1WqxJ167DHuXV","Indiana","spotify:artist:7vtSUU3zpHeYJfX6BPNrJd","Briston Maroney","2019-05-17","https://i.scdn.co/image/ab67616d0000b2734d8e24d6ce828a0586e97599","1","3","278983","https://p.scdn.co/mp3-preview/5ee7002629165a7d50f5ce7aeb8115be04afe3e7?cid=9950ac751e34487dbbe027c4fd7f8e99","true","53","USAT21901844","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2022-09-16T05:52:52Z"
"spotify:track:35IcAVSMsU9qzHfpPbvC8A","Feels Like","spotify:artist:4tuJ0bMpJh08umKkEXKUI5","Gracie Abrams","spotify:album:7l2g05NyprwonSFIs2y8at","This Is What It Feels Like","spotify:artist:4tuJ0bMpJh08umKkEXKUI5","Gracie Abrams","2021-11-12","https://i.scdn.co/image/ab67616d0000b2736d63fd3e1afa17b0d5563131","1","1","152317","https://p.scdn.co/mp3-preview/9971c582b0fb3702a61963723e5c7dce69138449?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","USUG12001932","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2022-09-16T05:53:31Z"
"spotify:track:2tznHmp70DxMyr2XhWLOW0","Cigarette Daydreams","spotify:artist:26T3LtbuGT1Fu9m0eRq5X3","Cage The Elephant","spotify:album:4EK8gtQfdVsmDTji7gBFlz","Melophobia","spotify:artist:26T3LtbuGT1Fu9m0eRq5X3","Cage The Elephant","2013-10-08","https://i.scdn.co/image/ab67616d0000b273fb1cb900d28642e668d77b12","1","10","208760","https://p.scdn.co/mp3-preview/a7a72315d777f4ed078d955238f9db158c915fc1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","USRC11301169","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2022-09-20T04:46:21Z"
"spotify:track:5enxwA8aAbwZbf5qCHORXi","All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:6kZ42qRrzov54LcAk4onW9","Red (Taylor's Version)","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2021-11-12","https://i.scdn.co/image/ab67616d0000b273318443aab3531a0558e79a4d","1","30","613026","https://p.scdn.co/mp3-preview/57b5f697db04a6f463de366927093882cfd5a00b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","87","USUG12103690","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2022-09-27T22:12:43Z"
"spotify:track:3AJwUDP919kvQ9QcozQPxg","Yellow","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","spotify:album:6ZG5lRT77aJ3btmArcykra","Parachutes","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","2000-07-10","https://i.scdn.co/image/ab67616d0000b2733d92b2ad5af9fbc8637425f0","1","5","266773","https://p.scdn.co/mp3-preview/c0d9119dc69cae75baf6463e21e43f433fdf5ff4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","92","GBAYE0000267","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2022-10-03T01:47:17Z"
"spotify:track:1C042FLYy7rP3MfnkOcnha","Cherry Wine - Live","spotify:artist:2FXC3k01G6Gw61bmprjgqS","Hozier","spotify:album:4Pv7m8D82A1Xun7xNCKZjJ","Hozier (Expanded Edition)","spotify:artist:2FXC3k01G6Gw61bmprjgqS","Hozier","2014-09-19","https://i.scdn.co/image/ab67616d0000b2734ca68d59a4a29c856a4a39c2","1","13","240146","https://p.scdn.co/mp3-preview/51437a3a63b0dfded8b50c6e706fc67c77e2ac36?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","USSM11307294","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2022-10-05T04:40:32Z"
"spotify:track:754kgU5rWscRTfvlsuEwFp","Kiss Me","spotify:artist:0lJlKQvuM2Sd9DPPyUXcHg","Sixpence None The Richer","spotify:album:0PrcwzkQVEy4y6JPvT5bix","Sixpence None the Richer","spotify:artist:0lJlKQvuM2Sd9DPPyUXcHg","Sixpence None The Richer","1997-11-22","https://i.scdn.co/image/ab67616d0000b273b182816802535e73e697a1a6","1","4","208680","https://p.scdn.co/mp3-preview/3d12e73912650703fb1cc8c800b00d60b10d10e7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","USEE19900312","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2022-10-05T06:52:06Z"
"spotify:track:5BHvj11hSbdHzwXIl9Sq62","Cold in California","spotify:artist:6P5NO5hzJbuOqSdyPB7SJM","Ashe","spotify:album:1Er8k3y3jJywWRXLtINF78","Moral of the Story: Chapter 2","spotify:artist:6P5NO5hzJbuOqSdyPB7SJM","Ashe","2019-08-09","https://i.scdn.co/image/ab67616d0000b2734c799baaee10a82fb21ae853","1","2","207807","https://p.scdn.co/mp3-preview/091404e79af1546aa3bc9c1ac45f1b1a695061e4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","USQE91500962","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2022-10-05T07:19:00Z"
"spotify:track:5xA5MggKc3aQxuOzNzPUWB","Apple Cider","spotify:artist:35l9BRT7MXmM8bv2WDQiyB","beabadoobee","spotify:album:475CNcvlqtRpaXjTcn4hCP","Loveworm","spotify:artist:35l9BRT7MXmM8bv2WDQiyB","beabadoobee","2019-04-26","https://i.scdn.co/image/ab67616d0000b273ceca3ef39ab8f9b59acff394","1","3","178918","https://p.scdn.co/mp3-preview/81e4a24f950385d7bbb256646a4aa191dbbf6a5a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","69","GBK3W1901010","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2022-10-05T07:50:16Z"
