"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3JjnGLK8IxkNLvo8Lb3KOM","18","spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq","One Direction","spotify:album:4gCNyS7pidfK3rKWhB3JOY","FOUR (Deluxe)","spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq","One Direction","2014-11-17","https://i.scdn.co/image/ab67616d0000b273d304ba2d71de306812eebaf4","1","4","248360","https://p.scdn.co/mp3-preview/b64e83597557028b2802cba7799ba6fa365e9b14?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","GBHMU1400162","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2020-06-03T18:12:30Z"
"spotify:track:7tqhbajSfrz2F7E1Z75ASX","Ain't No Mountain High Enough","spotify:artist:3koiLjNrgRTNbOwViDipeA, spotify:artist:75jNCko3SnEMI5gwGqrbb8","Marvin Gaye, Tammi Terrell","spotify:album:5LqviduT0g0J0ypFrFSwCE","United","spotify:artist:3koiLjNrgRTNbOwViDipeA, spotify:artist:75jNCko3SnEMI5gwGqrbb8","Marvin Gaye, Tammi Terrell","1967-08-29","https://i.scdn.co/image/ab67616d0000b2739173e50e99bdea2400222f02","1","1","151666","https://p.scdn.co/mp3-preview/7301aee11d8646c25071e0825b0794aa609092db?cid=9950ac751e34487dbbe027c4fd7f8e99","false","87","USMO16700534","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2020-06-03T18:29:45Z"
"spotify:track:1QnvpPFP4Q3FHbDchqWiWy","Airplanes (feat. Hayley Williams of Paramore)","spotify:artist:5ndkK3dpZLKtBklKjxNQwT, spotify:artist:6Rx1JKzBrSzoKQtmbVmBnM","B.o.B, Hayley Williams","spotify:album:6f06neONZ0xqqftlgtVP74","B.o.B Presents: The Adventures of Bobby Ray","spotify:artist:5ndkK3dpZLKtBklKjxNQwT","B.o.B","2010-04-27","https://i.scdn.co/image/ab67616d0000b273447efa80cb185be0fbbb9a4d","1","4","180480","https://p.scdn.co/mp3-preview/e12837a41beb80284f339bea4a38d951630997a6?cid=9950ac751e34487dbbe027c4fd7f8e99","true","69","USAT21000477","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2020-06-03T18:30:45Z"
"spotify:track:5XRHGXut00SrJUFmcn2lQF","All The Right Moves","spotify:artist:5Pwc4xIPtQLFEnJriah9YJ","OneRepublic","spotify:album:2pLAOZiilrhOrTQNqrF8qr","Waking Up","spotify:artist:5Pwc4xIPtQLFEnJriah9YJ","OneRepublic","2009-01-01","https://i.scdn.co/image/ab67616d0000b27377a7bd558d81172446e525bb","1","2","238000","https://p.scdn.co/mp3-preview/b113c3bf2ef1171b8f7c2c52994d23e240b3a478?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","USUM70984099","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2020-06-03T18:46:25Z"
"spotify:track:1Jx69b09LKTuBQxkEiFfVX","All We Are","spotify:artist:5Pwc4xIPtQLFEnJriah9YJ","OneRepublic","spotify:album:2KSpGeDoNjqCKg6HL8LAyI","Dreaming Out Loud","spotify:artist:5Pwc4xIPtQLFEnJriah9YJ","OneRepublic","2007-01-01","https://i.scdn.co/image/ab67616d0000b27334ef81d1ff3b4682a4e97f70","1","10","266226","https://p.scdn.co/mp3-preview/e1a109c76248ed77a3ecacdced670669d0b9d70b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","USUM70758797","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2020-06-03T18:46:25Z"
"spotify:track:2QgWuCtBpNIpl5trmKCxRf","American Pie","spotify:artist:1gRNBaI4yn6wCCTvRhGWh8","Don McLean","spotify:album:20Y9wHWIxNFvqplgHmqmUl","The Best Of Don McLean","spotify:artist:1gRNBaI4yn6wCCTvRhGWh8","Don McLean","1988-01-01","https://i.scdn.co/image/ab67616d0000b273b387752e21389aa53753329e","1","1","515866","https://p.scdn.co/mp3-preview/f1e1a805ecb43e71d419258324546a60f7162d91?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","USEM38600088","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2020-06-03T18:47:04Z"
"spotify:track:1JCCdiru7fhstOIF4N7WJC","Amnesia","spotify:artist:5Rl15oVamLq7FbSb0NNBNy","5 Seconds of Summer","spotify:album:2LkWHNNHgD6BRNeZI2SL1L","5 Seconds Of Summer","spotify:artist:5Rl15oVamLq7FbSb0NNBNy","5 Seconds of Summer","2014-06-27","https://i.scdn.co/image/ab67616d0000b27393432e914046a003229378da","1","12","237247","https://p.scdn.co/mp3-preview/1857d219a9486f526c44d408396a359a93482500?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","GBUM71401926","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2020-06-03T18:47:53Z"
"spotify:track:0l4DTppOxy7NUaEcwXuOb6","Animal","spotify:artist:0RpddSzUHfncUWNJXKOsjy","Neon Trees","spotify:album:6oZ5iDw1LT25svEK0g5OqT","Habits (Spotify)","spotify:artist:0RpddSzUHfncUWNJXKOsjy","Neon Trees","2010","https://i.scdn.co/image/ab67616d0000b2730f0039968cd918767d3f1488","1","3","212306","https://p.scdn.co/mp3-preview/cf90195264927f3e7e103e697714f940739bd907?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","USUM71001801","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2020-06-03T18:51:25Z"
"spotify:track:2bL2gyO6kBdLkNSkxXNh6x","Animals","spotify:artist:04gDigrS5kc9YWfZHwBETP","Maroon 5","spotify:album:2Auw0pTT6EcQdvHNimhLQI","V","spotify:artist:04gDigrS5kc9YWfZHwBETP","Maroon 5","2014-09-02","https://i.scdn.co/image/ab67616d0000b273442b53773d50e1b5369bb16c","1","2","231013","https://p.scdn.co/mp3-preview/c630a46d6c96188dccf761c6f33f25a1c98ad9c1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","USUM71409576","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2020-06-03T18:51:35Z"
"spotify:track:1NrJYpdAi7uosDRPmSYrsG","Apologize","spotify:artist:5Pwc4xIPtQLFEnJriah9YJ","OneRepublic","spotify:album:2KSpGeDoNjqCKg6HL8LAyI","Dreaming Out Loud","spotify:artist:5Pwc4xIPtQLFEnJriah9YJ","OneRepublic","2007-01-01","https://i.scdn.co/image/ab67616d0000b27334ef81d1ff3b4682a4e97f70","1","4","208106","https://p.scdn.co/mp3-preview/533f93f896db2cd863c581539401838fa5210c85?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","USUM70757102","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2020-06-03T18:54:46Z"
"spotify:track:1XpYodsD36XN7ygcdF7mJJ","The A Team","spotify:artist:6eUKZXaKkcviH0Ku9w2n3V","Ed Sheeran","spotify:album:02pi98kE0nra0yBqCStzbC","+","spotify:artist:6eUKZXaKkcviH0Ku9w2n3V","Ed Sheeran","2011-09-09","https://i.scdn.co/image/ab67616d0000b2736567a393a964a845a89b7f70","1","1","258373","https://p.scdn.co/mp3-preview/1cab73cd0e33cec8fe9a0ffe7319170862f37f8a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","GBAHS1100095","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2020-06-03T18:55:42Z"
"spotify:track:7lxADouiWFkwR7ZV2GKUcH","Back To December","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:5EpMjweRD573ASl7uNiHym","Speak Now (Deluxe Edition)","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2010-10-25","https://i.scdn.co/image/ab67616d0000b2732e4ec3175d848eca7b76b07f","1","3","293026","https://p.scdn.co/mp3-preview/6b5e78692ff2206bc8f167035080a8d700fc63ce?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","USCJY1003657","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2020-06-03T18:59:18Z"
