Track URI,Track Name,Artist URI(s),Artist Name(s),Album URI,Album Name,Album Artist URI(s),Album Artist Name(s),Album Release Date,Album Image URL,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Explicit,Popularity,ISRC,Added By,Added At
spotify:track:1cR29lpK5mJIlajSpRqfNF,For Real This Time,spotify:artist:4tuJ0bMpJh08umKkEXKUI5,Gracie Abrams,spotify:album:7l2g05NyprwonSFIs2y8at,This Is What It Feels Like,spotify:artist:4tuJ0bMpJh08umKkEXKUI5,Gracie Abrams,11/12/21,https://i.scdn.co/image/ab67616d0000b2736d63fd3e1afa17b0d5563131,1,3,193602,https://p.scdn.co/mp3-preview/e1a577bce2a15acd47f1821b3902ff802b2bcac1?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,65,USUG12105277,spotify:user:jeongshin,2023-12-11T07:47:48Z
spotify:track:58VF5ob7qRB3yUzOYEAhyf,Lost The Breakup,spotify:artist:2RVvqRBon9NgaGXKfywDSs,Maisie Peters,spotify:album:7HCjmINu53BcKbTetdgERo,The Good Witch,spotify:artist:2RVvqRBon9NgaGXKfywDSs,Maisie Peters,6/23/23,https://i.scdn.co/image/ab67616d0000b273ca69bf6c658aa5fd60778c10,1,8,189413,https://p.scdn.co/mp3-preview/a43373884336b969f3c0affaae0b1f20c9ea4686?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,67,GBAHS2300115,spotify:user:jeongshin,2023-12-11T07:47:48Z
spotify:track:26QLJMK8G0M06sk7h7Fkse,love is embarrassing,spotify:artist:1McMsnEElThX1knmY4oliG,Olivia Rodrigo,spotify:album:1xJHno7SmdVtZAtXbdbDZp,GUTS,spotify:artist:1McMsnEElThX1knmY4oliG,Olivia Rodrigo,9/8/23,https://i.scdn.co/image/ab67616d0000b273e85259a1cae29a8d91f2093d,1,9,154516,https://p.scdn.co/mp3-preview/b598b3e3e7e941d2e5dc44907051e229dbe91476?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,82,USUG12305000,spotify:user:jeongshin,2023-12-11T07:47:48Z
spotify:track:2D2lazsae9o1UoVPUAdxyT,21,spotify:artist:4tuJ0bMpJh08umKkEXKUI5,Gracie Abrams,spotify:album:1IbwoLXOOvXeLeyE7tZnOl,21,spotify:artist:4tuJ0bMpJh08umKkEXKUI5,Gracie Abrams,2/20/20,https://i.scdn.co/image/ab67616d0000b273a9181e13065cd2f2efff3ed8,1,1,185172,https://p.scdn.co/mp3-preview/c629455b6109f2755309c16f9998e2c38b588e39?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,31,USUG11903590,spotify:user:jeongshin,2023-12-11T07:47:48Z
spotify:track:4P9Q0GojKVXpRTJCaL3kyy,All Of The Girls You Loved Before,spotify:artist:06HL4z0CvFAxyc27GXpf02,Taylor Swift,spotify:album:1Uauz6ql2dIPvIOH4JiuhD,All Of The Girls You Loved Before,spotify:artist:06HL4z0CvFAxyc27GXpf02,Taylor Swift,8/23/19,https://i.scdn.co/image/ab67616d0000b2738481d8f15859aa5bae75ee17,1,1,221407,https://p.scdn.co/mp3-preview/dfa5f70e4d01e62967b38e31dfe58038cce86cce?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,84,USUG12301406,spotify:user:jeongshin,2023-12-11T07:47:48Z
spotify:track:6qtoHId8ZoJ3J5JG6eOqJB,nothing else i could do,spotify:artist:3gBjSrNsYzzbeo0nwsL21J,ella jane,spotify:album:2jGyX0p346kDwHvVqanE8W,THIS IS NOT WHAT IT LOOKS LIKE!,spotify:artist:3gBjSrNsYzzbeo0nwsL21J,ella jane,9/10/21,https://i.scdn.co/image/ab67616d0000b273f274c546fa070ab99f1fdec8,1,2,170000,https://p.scdn.co/mp3-preview/82bd8b2000d3502b0e1da5e64d85929ec3e89670?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,57,QZ93L2033810,spotify:user:jeongshin,2023-12-11T07:47:48Z
spotify:track:3IX0yuEVvDbnqUwMBB3ouC,bad idea right?,spotify:artist:1McMsnEElThX1knmY4oliG,Olivia Rodrigo,spotify:album:1xJHno7SmdVtZAtXbdbDZp,GUTS,spotify:artist:1McMsnEElThX1knmY4oliG,Olivia Rodrigo,9/8/23,https://i.scdn.co/image/ab67616d0000b273e85259a1cae29a8d91f2093d,1,2,184783,https://p.scdn.co/mp3-preview/d0662148a9ad686d71ad404d8c268a7943ebae70?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,90,USUG12304094,spotify:user:jeongshin,2023-12-11T07:47:48Z
spotify:track:7llBR7Fy7Fw9zgEQuZp6K7,Difficult,spotify:artist:4tuJ0bMpJh08umKkEXKUI5,Gracie Abrams,spotify:album:78YYcghEDz2dHRx0EcDGXZ,Good Riddance (Deluxe),spotify:artist:4tuJ0bMpJh08umKkEXKUI5,Gracie Abrams,6/16/23,https://i.scdn.co/image/ab67616d0000b2730500294bb235c45c0a964d69,1,8,258901,https://p.scdn.co/mp3-preview/66b59bf527b1939fe461fa1347ebbffcd5031163?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,65,USUG12202345,spotify:user:jeongshin,2023-12-11T07:47:48Z
spotify:track:5enxwA8aAbwZbf5qCHORXi,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),spotify:artist:06HL4z0CvFAxyc27GXpf02,Taylor Swift,spotify:album:6kZ42qRrzov54LcAk4onW9,Red (Taylor's Version),spotify:artist:06HL4z0CvFAxyc27GXpf02,Taylor Swift,11/12/21,https://i.scdn.co/image/ab67616d0000b273318443aab3531a0558e79a4d,1,30,613026,https://p.scdn.co/mp3-preview/57b5f697db04a6f463de366927093882cfd5a00b?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,87,USUG12103690,spotify:user:jeongshin,2023-12-11T07:47:48Z
spotify:track:3emCzvUm5FsQnofdNQL73a,Break Free,"spotify:artist:66CXWjxzNUsdJxJ2JdwvnR, spotify:artist:2qxJFvFYMEDqd7ui6kSAcq","Ariana Grande, Zedd",spotify:album:41zTgMSJC9mF6NyBkXXxZr,My Everything,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,8/24/14,https://i.scdn.co/image/ab67616d0000b27334933308ad8af9d87cd504dc,1,5,214840,https://p.scdn.co/mp3-preview/86e074aa8cf7cb9930b5c28415dc7b3a56e5d3ce?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,48,USUM71409719,spotify:user:jeongshin,2023-12-11T07:47:48Z
spotify:track:2gyxAWHebV7xPYVxqoi86f,get him back!,spotify:artist:1McMsnEElThX1knmY4oliG,Olivia Rodrigo,spotify:album:1xJHno7SmdVtZAtXbdbDZp,GUTS,spotify:artist:1McMsnEElThX1knmY4oliG,Olivia Rodrigo,9/8/23,https://i.scdn.co/image/ab67616d0000b273e85259a1cae29a8d91f2093d,1,8,211141,https://p.scdn.co/mp3-preview/8b5805a0fb24641ff34f1649ab448a16c219f073?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,88,USUG12304099,spotify:user:jeongshin,2023-12-11T07:47:48Z
spotify:track:35IcAVSMsU9qzHfpPbvC8A,Feels Like,spotify:artist:4tuJ0bMpJh08umKkEXKUI5,Gracie Abrams,spotify:album:7l2g05NyprwonSFIs2y8at,This Is What It Feels Like,spotify:artist:4tuJ0bMpJh08umKkEXKUI5,Gracie Abrams,11/12/21,https://i.scdn.co/image/ab67616d0000b2736d63fd3e1afa17b0d5563131,1,1,152317,https://p.scdn.co/mp3-preview/9971c582b0fb3702a61963723e5c7dce69138449?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,77,USUG12001932,spotify:user:jeongshin,2023-12-11T07:47:48Z
spotify:track:6T0sEnqjmHISIKwFETeeiP,Suburban Legends (Taylor's Version) (From The Vault),spotify:artist:06HL4z0CvFAxyc27GXpf02,Taylor Swift,spotify:album:64LU4c1nfjz1t4VnGhagcg,1989 (Taylor's Version),spotify:artist:06HL4z0CvFAxyc27GXpf02,Taylor Swift,10/26/23,https://i.scdn.co/image/ab67616d0000b273904445d70d04eb24d6bb79ac,1,20,171818,https://p.scdn.co/mp3-preview/1639a2ee28a11a6cb656c06401fb6c7788d7f7e5?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,84,USUG12306690,spotify:user:jeongshin,2023-12-11T07:47:48Z
spotify:track:7uHJpostAYqNJ8nZM1tp78,Cate’s Brother,spotify:artist:2RVvqRBon9NgaGXKfywDSs,Maisie Peters,spotify:album:1dj4gSIuS1Zn0dX4TUJp9F,Cate’s Brother,spotify:artist:2RVvqRBon9NgaGXKfywDSs,Maisie Peters,5/6/22,https://i.scdn.co/image/ab67616d0000b273a477bcf6570d3b5b39e9972e,1,1,180589,https://p.scdn.co/mp3-preview/e5c31eb084e5c2ab228e31afb550b065377d7601?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,55,GBAHS2200286,spotify:user:jeongshin,2023-12-11T07:47:48Z
spotify:track:1kuGVB7EU95pJObxwvfwKS,vampire,spotify:artist:1McMsnEElThX1knmY4oliG,Olivia Rodrigo,spotify:album:1xJHno7SmdVtZAtXbdbDZp,GUTS,spotify:artist:1McMsnEElThX1knmY4oliG,Olivia Rodrigo,9/8/23,https://i.scdn.co/image/ab67616d0000b273e85259a1cae29a8d91f2093d,1,3,219724,https://p.scdn.co/mp3-preview/8b46a1ab83d60d36098bbe142b07536dc3788f2b?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,94,USUG12304091,spotify:user:jeongshin,2023-12-11T07:47:48Z
spotify:track:1uN0f4NqMDcReSwXO6PLuG,Where Have You Been,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,Rihanna,spotify:album:16ySsalaP2FiKVDlYCWnYh,Talk That Talk (Explicit),spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,Rihanna,1/1/11,https://i.scdn.co/image/ab67616d0000b273439c7d14cc7e91953b8ab9fd,1,2,242680,https://p.scdn.co/mp3-preview/71c35cb0c63e46f1a8c62135283cb2723c675ecf?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,54,USUM71118074,spotify:user:jeongshin,2023-12-11T07:47:48Z
spotify:track:67Io3gxHwfbUreBf114c0u,Mine,spotify:artist:06HL4z0CvFAxyc27GXpf02,Taylor Swift,spotify:album:6S6JQWzUrJVcJLK4fi74Fw,Speak Now (Deluxe Package),spotify:artist:06HL4z0CvFAxyc27GXpf02,Taylor Swift,1/1/10,https://i.scdn.co/image/ab67616d0000b273e1bc852a04501952c765d5cd,1,20,230773,https://p.scdn.co/mp3-preview/898ca7dbabee69050af784eea30d05700f28f755?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,63,USCJY1003645,spotify:user:jeongshin,2023-12-11T07:47:48Z
spotify:track:5vCLCt7cU5CgocUj0D1eft,Glowing Review,spotify:artist:2RVvqRBon9NgaGXKfywDSs,Maisie Peters,spotify:album:7cN9u8Azjoy5ifAXmW0KCw,Trying: Season 2 (Apple TV+ Original Series Soundtrack),spotify:artist:2RVvqRBon9NgaGXKfywDSs,Maisie Peters,5/21/21,https://i.scdn.co/image/ab67616d0000b273d4d5ddbcc086f6017df445a6,1,8,176386,https://p.scdn.co/mp3-preview/435e0a4397ae276fbb609484246c188639698a58?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,46,GBAHS2100260,spotify:user:jeongshin,2023-12-11T07:47:48Z
spotify:track:3GKFo6nRa2xnPXlZlKWPQo,never been in love,spotify:artist:1KGcdM5KxCVydaHe29QAj9,Gatlin,spotify:album:42CS9PFE6PmCjPVuyHA0wK,Sugarcoated,spotify:artist:1KGcdM5KxCVydaHe29QAj9,Gatlin,8/21/20,https://i.scdn.co/image/ab67616d0000b2735fd0d839d61094ff621592d2,1,1,186314,https://p.scdn.co/mp3-preview/695c194ae350c9e816d7603f705d4a8ef532deda?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,60,TCAET2077392,spotify:user:jeongshin,2023-12-11T07:47:48Z
spotify:track:72z7RB8u5lwcOzCy5O1FBH,Alive,"spotify:artist:7lZauDnRoAC3kmaYae2opv, spotify:artist:3l0H4QNiYYNdIsnZ4JgJAg","Dabin, RUNN",spotify:album:5OhJBPKs7owuzzBxKIc01G,Wild Youth,spotify:artist:7lZauDnRoAC3kmaYae2opv,Dabin,3/22/19,https://i.scdn.co/image/ab67616d0000b273dfeb9f879c7f8c8b458e32d4,1,10,365419,https://p.scdn.co/mp3-preview/326b98715573a63025a0cc913d249b331085b85d?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,49,USA2P1908819,spotify:user:jeongshin,2023-12-11T07:47:48Z
spotify:track:4e3ZNTAV6PCrdYMUrUlMpQ,Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault),"spotify:artist:06HL4z0CvFAxyc27GXpf02, spotify:artist:4UXqAaa6dQYAk18Lv7PEgX","Taylor Swift, Fall Out Boy",spotify:album:5AEDGbliTTfjOB8TSm1sxt,Speak Now (Taylor's Version),spotify:artist:06HL4z0CvFAxyc27GXpf02,Taylor Swift,7/7/23,https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481,1,17,266466,https://p.scdn.co/mp3-preview/37fe29cd3e3d584e8ed82735d12e97bc6162d878?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,76,USUG12302089,spotify:user:jeongshin,2023-12-11T07:47:48Z
spotify:track:3TgMcrV32NUKjEG2ujn9eh,It's Not Living (If It's Not With You),spotify:artist:3mIj9lX2MWuHmhNCA7LSCW,The 1975,spotify:album:6PWXKiakqhI17mTYM4y6oY,A Brief Inquiry Into Online Relationships,spotify:artist:3mIj9lX2MWuHmhNCA7LSCW,The 1975,11/30/18,https://i.scdn.co/image/ab67616d0000b2736c582022e90b11f0da287a9a,1,11,248335,https://p.scdn.co/mp3-preview/7cce4285a5412c5f3a1920ca965c155d04235e97?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,75,GBK3W1800838,spotify:user:jeongshin,2023-12-11T07:47:48Z
spotify:track:60wwxj6Dd9NJlirf84wr2c,Clarity,"spotify:artist:2qxJFvFYMEDqd7ui6kSAcq, spotify:artist:7qRll6DYV06u2VuRPAVqug","Zedd, Foxes",spotify:album:7juWTdmjo0vYywWu8HiQxs,Clarity,spotify:artist:2qxJFvFYMEDqd7ui6kSAcq,Zedd,1/1/12,https://i.scdn.co/image/ab67616d0000b273941dd3b3343d9cb9329d37bf,1,5,271426,https://p.scdn.co/mp3-preview/b2fd1208b83b14121c261cfc1e74ec4439a16c8f?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,77,USUM71210662,spotify:user:jeongshin,2023-12-11T07:47:48Z
spotify:track:6UjTKzseUNDU6UQD4h5MJa,Anaheim,spotify:artist:2kxP07DLgs4xlWz8YHlvfh,NIKI,spotify:album:7gK4I6eM9fYJCfq4IeHx1t,Nicole,spotify:artist:2kxP07DLgs4xlWz8YHlvfh,NIKI,8/11/22,https://i.scdn.co/image/ab67616d0000b2732c2861964a03f27e3093f1b2,1,7,254280,https://p.scdn.co/mp3-preview/36b96441a32ac013b1a64fffc29d8539768beed9?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,66,ZZOPM2236008,spotify:user:jeongshin,2023-12-11T07:47:48Z
