"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6Nodop25UUQjD4Ssj49o7G","Santa Cruz","spotify:artist:5O5mWHRbMzn3lpGTTugDE5, spotify:artist:1NPkkY0RutjrXakIihpIiS","Grant Schaffer, William Bolton","spotify:album:56f7xkEqRhrZx61m2SuOzf","Santa Cruz","spotify:artist:5O5mWHRbMzn3lpGTTugDE5","Grant Schaffer","2020-05-29","https://i.scdn.co/image/ab67616d0000b27349b40b9b8d71196511cacf18","1","1","154340","","false","0","QZ93L2022964","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2021-06-27T06:45:43Z"
"spotify:track:4NFD9ea0uH0MtoC30yNYE1","West Coast Love","spotify:artist:12trz2INGglrKMzLmg0y2C","Emotional Oranges","spotify:album:6q8BNcH6wkWwWC0fGoJwkS","The Juice: Vol. II","spotify:artist:12trz2INGglrKMzLmg0y2C","Emotional Oranges","2019-11-08","https://i.scdn.co/image/ab67616d0000b273341a47b9de6f523f1969e9a2","1","5","215386","https://p.scdn.co/mp3-preview/d66b09a143f361b98ab63eb9b2b6fde9fc662bdd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","USUM71922036","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2021-06-27T06:46:08Z"
"spotify:track:6vECYJHxYmm3Ydt3fF01pE","Stolen Dance","spotify:artist:1hzfo8twXdOegF3xireCYs","Milky Chance","spotify:album:5D20ZzsNB377xbshIFP9Nb","Sadnecessary","spotify:artist:1hzfo8twXdOegF3xireCYs","Milky Chance","2014-06-20","https://i.scdn.co/image/ab67616d0000b273b5d4730e54f84c66c70fe60a","1","11","313684","","false","14","DEL211300741","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2021-06-27T06:46:49Z"
"spotify:track:3JvrhDOgAt6p7K8mDyZwRd","Riptide","spotify:artist:10exVja0key0uqUkk6LJRT","Vance Joy","spotify:album:5S9b8euumqMhQbMk0zzQdH","Dream Your Life Away (Special Edition)","spotify:artist:10exVja0key0uqUkk6LJRT","Vance Joy","2014-09-09","https://i.scdn.co/image/ab67616d0000b273a9929deb093a6617d2493b03","1","4","204280","https://p.scdn.co/mp3-preview/74698d907d114f4ba0b2c129bbf260724be80b64?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","AULI01385760","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2021-06-27T06:47:07Z"
"spotify:track:6CES1554HcWMIVroJfmmBm","Way It Goes","spotify:artist:1btWGBz4Uu1HozTwb2Lm8A","Hippo Campus","spotify:album:0vb1g018puu47StlIi9wxC","Landmark","spotify:artist:1btWGBz4Uu1HozTwb2Lm8A","Hippo Campus","2017-02-24","https://i.scdn.co/image/ab67616d0000b273d65c698f7b03031930a2a570","1","2","245456","https://p.scdn.co/mp3-preview/2ea721fbd060d98ed0faa44c9c9b1e564086afbe?cid=9950ac751e34487dbbe027c4fd7f8e99","true","62","QM5BK1600111","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2021-10-28T23:06:13Z"
"spotify:track:07MDkzWARZaLEdKxo6yArG","Meet Me At Our Spot","spotify:artist:64H8UqGLbJFHwKtGxiV8OP, spotify:artist:3rWZHrfrsPBxVy692yAIxF, spotify:artist:1xoxekeb8jUVHKJB7m6bfg","THE ANXIETY, WILLOW, Tyler Cole","spotify:album:2kZyqn4Cmr78D74K9TcO4K","THE ANXIETY","spotify:artist:64H8UqGLbJFHwKtGxiV8OP, spotify:artist:3rWZHrfrsPBxVy692yAIxF, spotify:artist:1xoxekeb8jUVHKJB7m6bfg","THE ANXIETY, WILLOW, Tyler Cole","2020-03-13","https://i.scdn.co/image/ab67616d0000b273024ea7e883a713a3ad552a71","1","8","162680","https://p.scdn.co/mp3-preview/5d11750d6d3a3fffe80b21af2427c91937d09d47?cid=9950ac751e34487dbbe027c4fd7f8e99","true","78","QMJMT2002693","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2021-10-28T23:08:39Z"
"spotify:track:4vBIr27NcRFBNpyIxLHZuB","Golden","spotify:artist:1btWGBz4Uu1HozTwb2Lm8A","Hippo Campus","spotify:album:6tGEWfRhonWuuQikgOnYhN","Bambi","spotify:artist:1btWGBz4Uu1HozTwb2Lm8A","Hippo Campus","2018-09-28","https://i.scdn.co/image/ab67616d0000b27382c6a08699bfd0e4bbe95001","1","9","208280","https://p.scdn.co/mp3-preview/1c57db81de92691d586fb5ade010296bcae5e200?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","QM5BK1800233","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2021-10-28T23:11:09Z"
"spotify:track:6wwu8cc0nP60ha0biRmqGY","Take Yours","spotify:artist:1LfnIuggAY5qQdS4sP1K86","Matthew Mole","spotify:album:22SFDrbMyjomDSht0aTE8l","Take Yours","spotify:artist:1LfnIuggAY5qQdS4sP1K86","Matthew Mole","2019-04-05","https://i.scdn.co/image/ab67616d0000b273b1fe7b9ff818f675a6e6e336","1","1","228893","https://p.scdn.co/mp3-preview/b4b6d03497df57faa912656b835a97cb0f6a544f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","ZA3NC1900646","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2021-10-28T23:12:42Z"
"spotify:track:7B3z0ySL9Rr0XvZEAjWZzM","Sofia","spotify:artist:3l0CmX0FuQjFxr8SK7Vqag","Clairo","spotify:album:4kkVGtCqE2NiAKosri9Rnd","Immunity","spotify:artist:3l0CmX0FuQjFxr8SK7Vqag","Clairo","2019-08-02","https://i.scdn.co/image/ab67616d0000b27333ccb60f9b2785ef691b2fbc","1","7","188386","https://p.scdn.co/mp3-preview/c38ddc7ce6aae7a3ee1a90596b212f783b6e4092?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","US4HB1900086","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2021-10-28T23:13:23Z"
"spotify:track:3d8y0t70g7hw2FOWl9Z4Fm","Ophelia","spotify:artist:16oZKvXb6WkQlVAjwo2Wbg","The Lumineers","spotify:album:2zbTrm2pIAErzFSopinkbN","Cleopatra","spotify:artist:16oZKvXb6WkQlVAjwo2Wbg","The Lumineers","2016-04-08","https://i.scdn.co/image/ab67616d0000b273cd34380a48c22de3d0e475de","1","2","160097","https://p.scdn.co/mp3-preview/72ddb34d6735c03a8ae82f14d0236ce7b4d47ae4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","USDMG1673802","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2021-10-28T23:16:53Z"
"spotify:track:5bgwqaRSS3M8WHWruHgSL5","8TEEN","spotify:artist:6LuN9FCkKOj5PcnpouEgny","Khalid","spotify:album:6kf46HbnYCZzP6rjvQHYzg","American Teen","spotify:artist:6LuN9FCkKOj5PcnpouEgny","Khalid","2017-04-27","https://i.scdn.co/image/ab67616d0000b273988ede5e1276e758b5f9e577","1","7","228600","https://p.scdn.co/mp3-preview/2e9a3023a21a4c083d1a5ad6beb0d503d719e7ae?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","USRC11700146","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2021-10-29T05:00:34Z"
"spotify:track:02pBOITZQS1iVuZ8ej77tL","miss me yet (bump)","spotify:artist:3CIq9N0VQGWfBpCAMzMZZN","again&again","spotify:album:28seLZfDivvxnkKjCzyM6k","miss me yet (bump)","spotify:artist:3CIq9N0VQGWfBpCAMzMZZN","again&again","2020-05-29","https://i.scdn.co/image/ab67616d0000b273c41a0bcf41aa55e852bc89d7","1","1","147861","https://p.scdn.co/mp3-preview/e2f39dc07d233631ad39932cfb44278f6beb456a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","QZES92084457","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2021-11-07T13:41:03Z"
"spotify:track:0ZiGRciYMWrDvCPNM0T21o","big fat mouth","spotify:artist:6Bllzm0olEwqGwPujaLiuA","Arlie","spotify:album:7owO1ECjA53Isw9LiIcXKZ","Wait","spotify:artist:6Bllzm0olEwqGwPujaLiuA","Arlie","2018-09-19","https://i.scdn.co/image/ab67616d0000b27386ab7fc85640321a5f0d56e1","1","1","218773","https://p.scdn.co/mp3-preview/785f70a24d68f4e37327e5a22c668451b50da02d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","USAT21800744","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2021-11-23T20:43:47Z"
"spotify:track:7yfLvK7r1w5bql3G0Uha5w","Boys","spotify:artist:1btWGBz4Uu1HozTwb2Lm8A","Hippo Campus","spotify:album:6GekJIWdpmASWvY6maRfHH","Boys","spotify:artist:1btWGBz4Uu1HozTwb2Lm8A","Hippo Campus","2021-10-18","https://i.scdn.co/image/ab67616d0000b2730cdbf2ca75dd8b1dde53662f","1","1","253848","https://p.scdn.co/mp3-preview/a6abc85234e9a48cbd0a93e5bbb3e82eb12d448b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","QM5BK1900478","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2021-12-05T02:52:01Z"
"spotify:track:0ygr1n1Xk1UvWrzJXjVVng","iloveyou","spotify:artist:2HkSsS8O2U2gPhnCGVN5vn","BETWEEN FRIENDS","spotify:album:0S4Y2Jnwf3tjQRlcKTsGUE","we just need some time together","spotify:artist:2HkSsS8O2U2gPhnCGVN5vn","BETWEEN FRIENDS","2018-04-05","https://i.scdn.co/image/ab67616d0000b273641659fda6c66fc62d34b7c0","1","1","166358","","false","8","USQX91800785","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2021-12-05T02:54:28Z"
"spotify:track:6eMeqiSoQYtM8u3vvfth21","Stuck with Me","spotify:artist:77SW9BnxLY8rJ0RciFqkHh","The Neighbourhood","spotify:album:0ODLCdHBFVvKwJGeSfd1jy","Hard To Imagine The Neighbourhood Ever Changing","spotify:artist:77SW9BnxLY8rJ0RciFqkHh","The Neighbourhood","2018-11-02","https://i.scdn.co/image/ab67616d0000b2739b6ac98a52f62d5cb473da40","1","14","258226","https://p.scdn.co/mp3-preview/07d54da3c07a209257676ef47c17f5e242009176?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","USSM11709911","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2021-12-05T05:26:19Z"
"spotify:track:15eduSFXnQfnQvcmWHDBPi","Down the Line","spotify:artist:1bwUhKRmEkOZ1wuTnV9XjC","Beach Fossils","spotify:album:2rejwIeesDOudIQpbwDZFM","Down the Line","spotify:artist:1bwUhKRmEkOZ1wuTnV9XjC","Beach Fossils","2017-05-01","https://i.scdn.co/image/ab67616d0000b27343bdb1ad1dff44f3c43de895","1","1","158474","","false","0","QM6YT1701409","spotify:user:qaqxkqoc1uv7xc26c6ab0jmop","2021-12-07T00:02:22Z"
