"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3l5qEpePfGDv6ZFYWRNNtq","Regret Me","spotify:artist:0ZUdYzRCIrxbsd80MmGMqo","Daisy Jones & The Six","spotify:album:4ouqACcnzsOvtUlnj5abyo","AURORA","spotify:artist:0ZUdYzRCIrxbsd80MmGMqo","Daisy Jones & The Six","2023-03-02","https://i.scdn.co/image/ab67616d0000b27303d0025f96528545ca9a921d","1","6","196085","https://p.scdn.co/mp3-preview/99a1d99213dcaaa5c019f460b141d720a5bd3ab5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","USAT22300272","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2023-04-01T22:08:56Z"
"spotify:track:0MMyJUC3WNnFS1lit5pTjk","jealousy, jealousy","spotify:artist:1McMsnEElThX1knmY4oliG","Olivia Rodrigo","spotify:album:6s84u2TUpR3wdUv4NgKA2j","SOUR","spotify:artist:1McMsnEElThX1knmY4oliG","Olivia Rodrigo","2021-05-21","https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a","1","9","173160","https://p.scdn.co/mp3-preview/19091d2c79858c787fbdfc0f4c2b6f509b81114a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","USUG12101248","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2023-04-01T22:09:58Z"
"spotify:track:6pro0cjgB0tU0V1tifYA2i","Baby Don't Leave Me Alone With My Thoughts","spotify:artist:3nuc29fYGlQbIrwh4yrNWd","Lake Street Dive","spotify:album:1eWP4CbLwVsVuC44utXBOD","Free Yourself Up","spotify:artist:3nuc29fYGlQbIrwh4yrNWd","Lake Street Dive","2018-05-04","https://i.scdn.co/image/ab67616d0000b2737563abd8344a283666509e75","1","1","213933","https://p.scdn.co/mp3-preview/cf6689b580a14b267907a26a4fd317961e1b8ecd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","USNO11800107","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2023-04-01T22:10:29Z"
"spotify:track:0OrjRTPLw6tA90mLpst5ba","Dude","spotify:artist:3nuc29fYGlQbIrwh4yrNWd","Lake Street Dive","spotify:album:1eWP4CbLwVsVuC44utXBOD","Free Yourself Up","spotify:artist:3nuc29fYGlQbIrwh4yrNWd","Lake Street Dive","2018-05-04","https://i.scdn.co/image/ab67616d0000b2737563abd8344a283666509e75","1","5","333560","https://p.scdn.co/mp3-preview/b8a36beaf383d6637a407ef7da32bcbf2c5136c1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","USNO11800111","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2023-04-01T22:12:45Z"
"spotify:track:6btdl1Vl6Ta5lUwUSOFW2H","SUN GOES DOWN","spotify:artist:7jVv8c5Fj3E9VhNjxT4snq","Lil Nas X","spotify:album:6pOiDiuDQqrmo5DbG0ZubR","MONTERO","spotify:artist:7jVv8c5Fj3E9VhNjxT4snq","Lil Nas X","2021-09-17","https://i.scdn.co/image/ab67616d0000b273be82673b5f79d9658ec0a9fd","1","11","168034","https://p.scdn.co/mp3-preview/e4812a63b2e8ba292d621d4861dfc9ab818a5c77?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","USSM12102220","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2023-04-01T22:13:32Z"
"spotify:track:13Irp51zj01BZu2XtDrnAg","2 Be Loved (Am I Ready)","spotify:artist:56oDRnqbIiwx4mymNEv7dS","Lizzo","spotify:album:1KtDsGsSRGbnmH07v5hB1I","Special","spotify:artist:56oDRnqbIiwx4mymNEv7dS","Lizzo","2022-07-14","https://i.scdn.co/image/ab67616d0000b273caa75a1b27530c05d8b76675","1","4","187107","https://p.scdn.co/mp3-preview/d8547bb88b7fff366d43a27961d772c105d934e4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","USAT22203706","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2023-04-01T22:13:57Z"
"spotify:track:3CRDbSIZ4r5MsZ0YwxuEkn","Stressed Out","spotify:artist:3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","spotify:album:3cQO7jp5S9qLBoIVtbkSM1","Blurryface","spotify:artist:3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","2015-05-15","https://i.scdn.co/image/ab67616d0000b273de03bfc2991fd5bcfde65ba3","1","2","202333","https://p.scdn.co/mp3-preview/d01bb6b4b9952d95d2609632474cda8e632e044d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","89","USAT21500597","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2023-04-01T22:17:36Z"
"spotify:track:0cyISG4j8U3DQkj3YkJqBj","Brooklyn","spotify:artist:4gKo3LXoxHriLS6CBKThAU","MALINDA","spotify:album:3ISbZqf19kBSybr0cco5V5","Brooklyn","spotify:artist:4gKo3LXoxHriLS6CBKThAU","MALINDA","2023-02-03","https://i.scdn.co/image/ab67616d0000b273a494d44a4437fc9e9b56b139","1","1","175669","https://p.scdn.co/mp3-preview/71a19733ed6daa02f9c366ad55aa291184f5ae13?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","QZFZ32324469","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2023-04-01T22:18:23Z"
"spotify:track:5GpEHUNI0T7L7H3DnAaBXh","reckless driving","spotify:artist:1GmsPCcpKgF9OhlNXjOsbS, spotify:artist:6Lx82nbEVfeTfEa4yT01Jo","Lizzy McAlpine, Ben Kessler","spotify:album:68L5xVV9wydotfDXEik7eD","five seconds flat","spotify:artist:1GmsPCcpKgF9OhlNXjOsbS","Lizzy McAlpine","2022-04-08","https://i.scdn.co/image/ab67616d0000b273d370fdc4dbc47778b9b667c3","1","6","189247","https://p.scdn.co/mp3-preview/7faf002a608ed8b5c0290f53e75ebf57dcf5307b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","GBKPL2280161","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2023-04-01T22:19:10Z"
"spotify:track:4WjxtORnwPavm5PDsAWJEc","doomsday","spotify:artist:1GmsPCcpKgF9OhlNXjOsbS","Lizzy McAlpine","spotify:album:68L5xVV9wydotfDXEik7eD","five seconds flat","spotify:artist:1GmsPCcpKgF9OhlNXjOsbS","Lizzy McAlpine","2022-04-08","https://i.scdn.co/image/ab67616d0000b273d370fdc4dbc47778b9b667c3","1","1","268432","https://p.scdn.co/mp3-preview/03ca8dbd3728d022dca17f7873478503dbc7a8b7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","GBKPL2168486","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2023-04-01T22:19:17Z"
