"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3H4gMWY6Onw8VNMT3tz7G9","Alright","spotify:artist:2u7CP5T30c8ctenzXgEV1W","pH-1","spotify:album:7y1hTdXpFv50772Y6q7Sve","HALO","spotify:artist:2u7CP5T30c8ctenzXgEV1W","pH-1","2019-03-28","https://i.scdn.co/image/ab67616d0000b2734caa93b335ca5113790f8d3c","1","1","219986","","false","0","KRF151900020","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2023-04-02T19:40:13Z"
"spotify:track:4h9wh7iOZ0GGn8QVp4RAOB","I Ain't Worried","spotify:artist:5Pwc4xIPtQLFEnJriah9YJ","OneRepublic","spotify:album:04PEOM6kIEeq9lRp1asNP2","I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")","spotify:artist:5Pwc4xIPtQLFEnJriah9YJ","OneRepublic","2022-05-13","https://i.scdn.co/image/ab67616d0000b273ec96e006b8bdfc582610ec13","1","1","148485","https://p.scdn.co/mp3-preview/20d702edf937db0248603243a310404923d5bffb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","91","USUM72206227","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2023-04-02T20:52:12Z"
"spotify:track:5rTLetGFtJPn2PxK5z19xs","All Good","spotify:artist:1Q2mS59tFYLm2KGFoCgWN4","Samm Henshaw","spotify:album:3LXpQ1wgl7EMYs8iJi9Kq5","All Good","spotify:artist:1Q2mS59tFYLm2KGFoCgWN4","Samm Henshaw","2020-12-03","https://i.scdn.co/image/ab67616d0000b2739256827e962f72aaac0812c9","1","1","152500","https://p.scdn.co/mp3-preview/d2a00ac75ccfeea2d7f14d167a87247ca605544b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","GBKPL2030029","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2023-04-02T20:53:21Z"
"spotify:track:5X5CWzTeVBe14XAsrYVuFI","I'M OKAY","spotify:artist:2pvCf5g7XBReiPIvcq7W18","SAAY","spotify:album:6GEDarOh7dkHXOzhiwGO23","I'M OKAY","spotify:artist:2pvCf5g7XBReiPIvcq7W18","SAAY","2020-07-02","https://i.scdn.co/image/ab67616d0000b2730bf357dd1ea455649ac419b4","1","1","204554","https://p.scdn.co/mp3-preview/c10106a535f03471e73bf28eb9aeb3e40f0d662e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","KRUM72000799","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2023-04-02T20:56:00Z"
"spotify:track:5TTXEcfsYLh6fTarLaevTi","lowkey","spotify:artist:2kxP07DLgs4xlWz8YHlvfh","NIKI","spotify:album:6a1p03zluxNwXTVdm9IStw","lowkey","spotify:artist:2kxP07DLgs4xlWz8YHlvfh","NIKI","2019-04-24","https://i.scdn.co/image/ab67616d0000b273135a78be90223c126a4e2c36","1","1","171355","https://p.scdn.co/mp3-preview/b04943165a077501b8f02742ed3bcb6c22088e55?cid=9950ac751e34487dbbe027c4fd7f8e99","true","81","ZZOPM1900990","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2023-04-02T20:57:38Z"
"spotify:track:0esXzdqhlme2yoddwCxFKK","lazygirl","spotify:artist:3CiocMn9SHnAzKqqPa8mnQ","Chuther","spotify:album:1U3SqPnlfdCLepaAqG9QtQ","lazygirl","spotify:artist:3CiocMn9SHnAzKqqPa8mnQ","Chuther","2020-09-09","https://i.scdn.co/image/ab67616d0000b2736939acd5d506c57d5a34909f","1","1","166750","https://p.scdn.co/mp3-preview/9d8228d63c3e96602814cc21ef498fd96b007bf5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","KRB472001162","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2023-04-02T20:58:06Z"
"spotify:track:1WDgdCoNSN0fosaTaLGXKU","Takin' It to the Streets","spotify:artist:39T6qqI0jDtSWWioX8eGJz, spotify:artist:0vn7UBvSQECKJm2817Yf1P","The Doobie Brothers, James Taylor","spotify:album:6yXfAEtkB6MUyhRkiGg5X2","Takin' It to the Streets","spotify:artist:39T6qqI0jDtSWWioX8eGJz","The Doobie Brothers","1976-03-12","https://i.scdn.co/image/ab67616d0000b273d753838669bd212bae73e167","1","2","231600","https://p.scdn.co/mp3-preview/27381ce501815b5ca95c8cc027c878b2ccdee592?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","USWB10105079","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2023-04-02T22:41:18Z"
"spotify:track:6MEDfjHxnVNcYmHe3mM6L2","Sweet Life","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","spotify:album:392p3shh2jkxUxY2VHvlH8","channel ORANGE","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","2012-07-10","https://i.scdn.co/image/ab67616d0000b2737aede4855f6d0d738012e2e5","1","5","262680","https://p.scdn.co/mp3-preview/adc193bb45760647bab1203520c047919c76316c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","70","USUM71207177","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2023-04-02T22:43:28Z"
"spotify:track:2lNb0SzyOEHizMxlpT9HM6","IF I DON'T TEXT YOU FIRST","spotify:artist:5D5Qbe1lf3aMnLsPSzXItu","Tiffany Day","spotify:album:3qLQdJWPOyV49WdLfuyVDV","IF I DON'T TEXT YOU FIRST","spotify:artist:5D5Qbe1lf3aMnLsPSzXItu","Tiffany Day","2021-06-21","https://i.scdn.co/image/ab67616d0000b273e5959c266c290b1a4a297509","1","1","133547","https://p.scdn.co/mp3-preview/65ab4e689f01c2a4c58730363dc5b5bc24ea5157?cid=9950ac751e34487dbbe027c4fd7f8e99","true","62","QZHNB2150116","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2023-04-02T23:07:06Z"
"spotify:track:6sI8Q7TTJeA9exw6hxEqq3","Blueberry Eyes (feat. SUGA of BTS)","spotify:artist:1bqxdqvUtPWZri43cKHac8, spotify:artist:0ebNdVaOfp6N0oZ1guIxM8","MAX, SUGA","spotify:album:2FwpEC226o3WpXoptGbk85","Colour Vision","spotify:artist:1bqxdqvUtPWZri43cKHac8","MAX","2020-09-18","https://i.scdn.co/image/ab67616d0000b2734422aac0b636fc07c0f860c8","1","6","172244","https://p.scdn.co/mp3-preview/3274c81130349efe6ea753065cd7c15630c854e5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","USQX92000866","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2023-04-02T23:09:46Z"
"spotify:track:4kP69y3GKHi9tXckfgp4bK","For Once In My Life","spotify:artist:7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder","spotify:album:3pPBbp1Nl9n1AM9xFpdKtZ","For Once In My Life","spotify:artist:7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder","1968-12-01","https://i.scdn.co/image/ab67616d0000b273cab4dfee401a04dacfa11784","1","1","169800","https://p.scdn.co/mp3-preview/fdd50098d238c4063a61c1057cc8587728fc5510?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","USMO16800531","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2023-04-02T23:14:06Z"
"spotify:track:60ji00aSJqv0njEk9RI2LD","Magalenha","spotify:artist:65c5si0ePAwkOCn4M35Ho7","Sérgio Mendes","spotify:album:583hKa2J07qKwJZsWfbEC2","Brasileiro","spotify:artist:65c5si0ePAwkOCn4M35Ho7","Sérgio Mendes","1992-06-17","https://i.scdn.co/image/ab67616d0000b273e150126196722482005ed158","1","2","216933","","false","0","USEE10182941","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2023-04-03T00:05:10Z"
"spotify:track:1xD8LOLKZTBWp7SXQrUANX","Cool Cat","spotify:artist:1dfeR4HaWDbWqFHLkxsg1d","Queen","spotify:album:0fZCqpTHYq2k89uG6pPTYE","Hot Space","spotify:artist:1dfeR4HaWDbWqFHLkxsg1d","Queen","1982-05-03","https://i.scdn.co/image/ab67616d0000b27370f9e1cf71793ee37d5e6730","1","10","209026","","false","23","GBCEG8200010","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2023-04-03T00:09:08Z"
"spotify:track:5QHFG990gTrqd9lreManUi","Syndicate","spotify:artist:4T7KICeQg50AwFzauMCR9C","Derivakat","spotify:album:6ks45W8ykLFRr1lgoUj9mW","Songs of the SMP","spotify:artist:4T7KICeQg50AwFzauMCR9C","Derivakat","2021-02-26","https://i.scdn.co/image/ab67616d0000b2735cf6d3cbd81f435522794ff8","1","2","147812","https://p.scdn.co/mp3-preview/ed9199438b538c4399a2f6da2153157a13ee4c93?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","QZDA42141894","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2023-04-03T00:17:01Z"
"spotify:track:5gW5dSy3vXJxgzma4rQuzH","Make Me Feel","spotify:artist:6ueGR6SWhUJfvEhqkvMsVs","Janelle Monáe","spotify:album:2PjlaxlMunGOUvcRzlTbtE","Dirty Computer","spotify:artist:6ueGR6SWhUJfvEhqkvMsVs","Janelle Monáe","2018-04-27","https://i.scdn.co/image/ab67616d0000b2730a60fb0deda858270cca82ee","1","8","194230","https://p.scdn.co/mp3-preview/c0abcd691c5730f4b413dc6e0c76d52fd25c8b04?cid=9950ac751e34487dbbe027c4fd7f8e99","true","64","USAT21800745","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2023-04-03T01:01:17Z"
"spotify:track:2EznBGrlmx9wBeYgyDojsA","I Like That","spotify:artist:6ueGR6SWhUJfvEhqkvMsVs","Janelle Monáe","spotify:album:2PjlaxlMunGOUvcRzlTbtE","Dirty Computer","spotify:artist:6ueGR6SWhUJfvEhqkvMsVs","Janelle Monáe","2018-04-27","https://i.scdn.co/image/ab67616d0000b2730a60fb0deda858270cca82ee","1","10","200338","https://p.scdn.co/mp3-preview/d7252ab1071ce00a4c02cf1443866e74819bdd8c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","60","USAT21800756","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2023-04-03T01:01:53Z"
