"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:51lXsATkqtU3ScAuIvi94k","The Good","spotify:artist:46UMQ0cW8ToR8egkBRwAxZ","Cynthia Erivo","spotify:album:2UjjNucdVZNQtFOT5S54Hn","The Good","spotify:artist:46UMQ0cW8ToR8egkBRwAxZ","Cynthia Erivo","2021-06-04","https://i.scdn.co/image/ab67616d0000b2732c79a3b961b82fd08db01eb0","1","1","209893","https://p.scdn.co/mp3-preview/aac46a786b479c7bd93de8f6695b3842c2b7e11c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","USUM72107274","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2021-09-02T18:48:55Z"
"spotify:track:4vHNeBWDQpVCmGbaccrRzi","Goodie Bag","spotify:artist:4iMO20EPodreIaEl8qW66y","Still Woozy","spotify:album:0y8sikccXZ3TIW4PkjtI8R","Goodie Bag","spotify:artist:4iMO20EPodreIaEl8qW66y","Still Woozy","2017-11-05","https://i.scdn.co/image/ab67616d0000b2735ddbd61ea4a6dab213cc97af","1","1","146390","https://p.scdn.co/mp3-preview/bf7b47d1981cde334c2c4db9d253823afb6d7e7b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","78","QZANL1712241","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2021-09-02T18:53:23Z"
"spotify:track:2Iq6HhIquO7JKr0KfTNLzU","My Type","spotify:artist:1dWEYMPtNmvSVaDNLgB6NV","Saint Motel","spotify:album:2r69WsAMyjbgLf8c4woaUr","My Type EP","spotify:artist:1dWEYMPtNmvSVaDNLgB6NV","Saint Motel","2014-08-16","https://i.scdn.co/image/ab67616d0000b273500a95f36178e1c86a835077","1","1","204811","https://p.scdn.co/mp3-preview/c757c40d4c35e003ed74a79cc84c1ccc5c264005?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","GBAYE1400856","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2021-09-02T18:58:52Z"
"spotify:track:4aQZDqJguJxKBx7UtHseQP","Danse Macabre, Op. 40","spotify:artist:436sYg6CZhNefQJogaXeK0, spotify:artist:2LmyJyCF5V1eQyvHgJNbTn","Camille Saint-Saëns, Leonard Bernstein","spotify:album:0cAofkvFeJLgRgjeZ0d2fx","Prokofiev: Peter and the Wolf, Op. 67 - Saint-Saens: Le Carnaval des animaux & Danse macabre","spotify:artist:2LmyJyCF5V1eQyvHgJNbTn, spotify:artist:3gacryguGmpmCvgPGt2CBI","Leonard Bernstein, New York Philharmonic","2018-11-02","https://i.scdn.co/image/ab67616d0000b273705a2d3aa86d2a2b87f71aa3","1","31","421400","https://p.scdn.co/mp3-preview/09595cc3173dd125df094359026a3132d676efb1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","USSM10412073","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2021-10-20T01:00:52Z"
"spotify:track:1TWNKyNQOBfNUkWWs7FooF","XS","spotify:artist:2KEqzdPS7M5YwGmiuPTdr5","Rina Sawayama","spotify:album:3stadz88XVpHcXnVYMHc4J","SAWAYAMA","spotify:artist:2KEqzdPS7M5YwGmiuPTdr5","Rina Sawayama","2020-04-17","https://i.scdn.co/image/ab67616d0000b2735b131d745dafd8666254fe96","1","2","201060","https://p.scdn.co/mp3-preview/24852d575cbc6866e8463e6062cf4460c1a30b5f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","GBK3W1901224","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2021-11-06T02:19:51Z"
"spotify:track:32R0306OOQN1q0XJzoi9NH","cut my fingers off","spotify:artist:0LyP0Zn0mXLb65AgGOS6EY","Ethan Bortnick","spotify:album:1saNgGCJZpAqsvnUZypMc2","cut my fingers off","spotify:artist:0LyP0Zn0mXLb65AgGOS6EY","Ethan Bortnick","2021-11-05","https://i.scdn.co/image/ab67616d0000b2730b6d90cff28d48acd27952b5","1","1","139836","","false","0","QZNWW2103687","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2021-11-08T06:35:03Z"
"spotify:track:4UG2Fm0E98LhE2dlNxiAXx","this is what falling in love feels like","spotify:artist:164Uj4eKjl6zTBKfJLFKKK","JVKE","spotify:album:61haUqRaA5Et20JVbArrmU","this is what falling in love feels like","spotify:artist:164Uj4eKjl6zTBKfJLFKKK","JVKE","2021-09-03","https://i.scdn.co/image/ab67616d0000b2737bc333ff94bcb174a817e346","1","1","120308","","false","2","GBKPL2163189","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2021-11-08T06:37:44Z"
"spotify:track:0In3u56vbH2at3bViAzzwq","erase me (feat. Jacob Collier)","spotify:artist:1GmsPCcpKgF9OhlNXjOsbS, spotify:artist:0QWrMNukfcVOmgEU0FEDyD","Lizzy McAlpine, Jacob Collier","spotify:album:0HLowVrjApBviPxvLWbRKI","erase me (feat. Jacob Collier)","spotify:artist:1GmsPCcpKgF9OhlNXjOsbS, spotify:artist:0QWrMNukfcVOmgEU0FEDyD","Lizzy McAlpine, Jacob Collier","2021-11-17","https://i.scdn.co/image/ab67616d0000b27345a3153b05391a817399a226","1","1","214468","","false","0","GBKPL2170841","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2021-12-19T22:21:23Z"
"spotify:track:2QOB5UiRKggr2j9uMD3GYK","FREEDOM","spotify:artist:0eRbECAGCLLiTyVXPBRexU","Jon Batiste","spotify:album:6kHFkPvL2X3rZPuS3CEMUE","WE ARE","spotify:artist:0eRbECAGCLLiTyVXPBRexU","Jon Batiste","2021-03-19","https://i.scdn.co/image/ab67616d0000b273185c1d65f3b51465282c1a68","1","10","178289","https://p.scdn.co/mp3-preview/691d3c3a462cbcc9d2bbdc30b503f6ba3661822a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","USUG12004385","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2023-03-20T23:59:45Z"
"spotify:track:4fwCa8XejynU81AhXovR9r","CRY","spotify:artist:0eRbECAGCLLiTyVXPBRexU","Jon Batiste","spotify:album:6kHFkPvL2X3rZPuS3CEMUE","WE ARE","spotify:artist:0eRbECAGCLLiTyVXPBRexU","Jon Batiste","2021-03-19","https://i.scdn.co/image/ab67616d0000b273185c1d65f3b51465282c1a68","1","3","237244","https://p.scdn.co/mp3-preview/ae3a2b552d5fd978885b661a1e1daec72aadc987?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","USUG12004384","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2023-03-20T23:59:45Z"
