"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:70C4NyhjD5OZUMzvWZ3njJ","Piano Man","spotify:artist:6zFYqv1mOsgBRQbae3JJ9e","Billy Joel","spotify:album:69wjSAZXZiD2EBia3b3gxL","Piano Man (Legacy Edition)","spotify:artist:6zFYqv1mOsgBRQbae3JJ9e","Billy Joel","1973-11-07","https://i.scdn.co/image/ab67616d0000b273aff4aef671b2510be7c115b3","1","2","339000","https://p.scdn.co/mp3-preview/15c3badbac17e832e321cfb0be8f53f92708021b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USSM17300504","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2020-06-18T17:03:52Z"
"spotify:track:4y3OI86AEP6PQoDE6olYhO","Sucker","spotify:artist:7gOdHgIoIKoe4i9Tta6qdD","Jonas Brothers","spotify:album:4W0r9HOcuCC6Vh7aze2hwi","Sucker","spotify:artist:7gOdHgIoIKoe4i9Tta6qdD","Jonas Brothers","2019-03-01","https://i.scdn.co/image/ab67616d0000b273c85bf1709e11b6a288925b26","1","1","181040","","false","1","USUG11900515","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2020-06-18T23:32:14Z"
"spotify:track:04jVEb76Kw5OrmGtlXlHxI","Time Alone With You (feat. Daniel Caesar)","spotify:artist:0QWrMNukfcVOmgEU0FEDyD, spotify:artist:20wkVLutqVOYrc0kxFs7rA","Jacob Collier, Daniel Caesar","spotify:album:1pwXpbHvWEMH4nCAlhlwf7","Time Alone With You (feat. Daniel Caesar)","spotify:artist:0QWrMNukfcVOmgEU0FEDyD, spotify:artist:20wkVLutqVOYrc0kxFs7rA","Jacob Collier, Daniel Caesar","2019-11-29","https://i.scdn.co/image/ab67616d0000b2733bc8b33b9d1f2c7a34d7ac66","1","1","255946","https://p.scdn.co/mp3-preview/bf01ebecf5d23245d29c9ed13c408fc3dd7f15cb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","GBUM71906100","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2020-06-19T02:47:16Z"
"spotify:track:61u5uSTeVRurydvbWdfqDc","In My Bones (feat. Kimbra & Tank and The Bangas)","spotify:artist:0QWrMNukfcVOmgEU0FEDyD, spotify:artist:6hk7Yq1DU9QcCCrz9uc0Ti, spotify:artist:5cAtakaadWHJLxmGKrKcX7","Jacob Collier, Kimbra, Tank and The Bangas","spotify:album:0ANm1dR5T37GMbD38V452p","In My Bones (feat. Kimbra & Tank and The Bangas)","spotify:artist:0QWrMNukfcVOmgEU0FEDyD, spotify:artist:6hk7Yq1DU9QcCCrz9uc0Ti, spotify:artist:5cAtakaadWHJLxmGKrKcX7","Jacob Collier, Kimbra, Tank and The Bangas","2020-03-25","https://i.scdn.co/image/ab67616d0000b273f3c160f09974ef670c4d2bba","1","1","249290","https://p.scdn.co/mp3-preview/dcc7b009151fd339e17a291bb86e25e55e42a217?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","GBUM72000957","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2020-06-19T02:47:29Z"
"spotify:track:2z2S7tNx7Ckn87AUSvfyFe","no faker","spotify:artist:0HthCchcL0kVLHTr113Vk1","mxmtoon","spotify:album:6VtEyh4lKKk1Yjui9wWKhV","dawn","spotify:artist:0HthCchcL0kVLHTr113Vk1","mxmtoon","2020-04-22","https://i.scdn.co/image/ab67616d0000b273bdfad7cd1af57264461de3e9","1","6","169413","","false","0","GBKPL2095658","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2020-06-19T03:04:34Z"
"spotify:track:0nnxf8p851ZR49KFnGWVsB","Say Hey (I Love You)","spotify:artist:1mHuZMOP8FG5ip4yAb1vrB, spotify:artist:1PeGxM3M7FcKIUYQ4zFovG","Michael Franti & Spearhead, Cherine Tanya Anderson","spotify:album:1bkxL5Wr2ODPlcgAptFRzt","All Rebel Rockers","spotify:artist:1mHuZMOP8FG5ip4yAb1vrB","Michael Franti & Spearhead","2008-01-01","https://i.scdn.co/image/ab67616d0000b2738a6f5b202132094605e86038","1","6","235760","","false","0","USEP40806106","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2020-06-19T03:08:05Z"
"spotify:track:3S27YeVycz5T6fVHyFiKBs","Beautiful Lies","spotify:artist:6z29S0IoiBJpSMP8plyCj7","Jon McLaughlin","spotify:album:7egvXUcCcbnUJhXbjcGn9l","Beautiful Lies","spotify:artist:6z29S0IoiBJpSMP8plyCj7","Jon McLaughlin","2016-09-16","https://i.scdn.co/image/ab67616d0000b2736294fb10d04316b5731ee8cc","1","1","203360","https://p.scdn.co/mp3-preview/100075e8ff86d7633fe58e8fce73823b8e1729ce?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","TCACR1663221","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2020-06-19T03:10:16Z"
"spotify:track:76EeScTnI2sCjDY0SfEoSb","Work This Body","spotify:artist:6DIS6PRrLS3wbnZsf7vYic","WALK THE MOON","spotify:album:3mNoFlD1wsoXfkljfFzExT","TALKING IS HARD","spotify:artist:6DIS6PRrLS3wbnZsf7vYic","WALK THE MOON","2014-12-02","https://i.scdn.co/image/ab67616d0000b27343294cfa2688055c9d821bf3","1","8","175906","https://p.scdn.co/mp3-preview/1b9bad2b14695d3c7965c2fe58d4af513d297393?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","USRC11402587","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2020-06-19T03:10:32Z"
"spotify:track:2QZ7WLBE8h2y1Y5Fb8RYbH","In My Blood","spotify:artist:7n2wHs1TKAczGzO7Dd2rGr","Shawn Mendes","spotify:album:2VP96XdMOKTXefI8Nui23s","Shawn Mendes","spotify:artist:7n2wHs1TKAczGzO7Dd2rGr","Shawn Mendes","2018-05-25","https://i.scdn.co/image/ab67616d0000b273269423eb6467e308c0fbce24","1","1","211360","https://p.scdn.co/mp3-preview/b5a073a40111e1223cfded8e044fc786d45a098d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","USUM71803183","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2020-06-19T03:12:13Z"
"spotify:track:79esEXlqqmq0GPz0xQSZTV","Lost In Japan","spotify:artist:7n2wHs1TKAczGzO7Dd2rGr","Shawn Mendes","spotify:album:2VP96XdMOKTXefI8Nui23s","Shawn Mendes","spotify:artist:7n2wHs1TKAczGzO7Dd2rGr","Shawn Mendes","2018-05-25","https://i.scdn.co/image/ab67616d0000b273269423eb6467e308c0fbce24","1","6","201200","https://p.scdn.co/mp3-preview/4cf168f3a27a0347021b0e7da6278f35282a2092?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","USUM71803548","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2020-06-19T03:12:25Z"
"spotify:track:3JD32O7TzlAb5VjgOGc0R0","Think (From the Motion Picture ""What Men Want"")","spotify:artist:3Y7RZ31TRPVadSFVy1o8os","H.E.R.","spotify:album:5RQ6mSP3z2oleX403F0kCQ","Think (From the Motion Picture ""What Men Want"")","spotify:artist:3Y7RZ31TRPVadSFVy1o8os","H.E.R.","2019-01-31","https://i.scdn.co/image/ab67616d0000b273f181156fdb2323418bcc4f52","1","1","162474","https://p.scdn.co/mp3-preview/7bdbbd495dd902701202b410e672322aeb689bd5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","USRC11803836","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2020-06-19T03:13:34Z"
"spotify:track:4IablJ6SqVNGY4vrseyKxu","Hard Place","spotify:artist:3Y7RZ31TRPVadSFVy1o8os","H.E.R.","spotify:album:77PRAIWX97p7rnEwDjaG3U","Hard Place","spotify:artist:3Y7RZ31TRPVadSFVy1o8os","H.E.R.","2018-11-02","https://i.scdn.co/image/ab67616d0000b27350dab2850cde7ba0aee473d2","1","1","271733","https://p.scdn.co/mp3-preview/5dbb699e292a57e7afacaf7fbd2d595cf6e1413d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","USRC11803576","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2020-06-19T03:13:47Z"
"spotify:track:4VpK8VSTIc6SrrLMpMI6An","In the Morning Light","spotify:artist:5oBpxK3bSEGeENPP6C5QMO","Mapache","spotify:album:6IKXO3jWFfh5GYeEJQLIJ2","Mapache","spotify:artist:5oBpxK3bSEGeENPP6C5QMO","Mapache","2017","https://i.scdn.co/image/ab67616d0000b27380f5bf3e8ae6b81267f410e8","1","4","283960","","false","0","USY1R1966204","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2020-06-19T03:16:14Z"
"spotify:track:5jsw9uXEGuKyJzs0boZ1bT","Stitches","spotify:artist:7n2wHs1TKAczGzO7Dd2rGr","Shawn Mendes","spotify:album:6sUOosXuYt0oUeczJRbedZ","Handwritten","spotify:artist:7n2wHs1TKAczGzO7Dd2rGr","Shawn Mendes","2015-04-14","https://i.scdn.co/image/ab67616d0000b273d26246b23c8bfa8ce543b3bb","1","2","206880","https://p.scdn.co/mp3-preview/876dc08f43e2aee97a8ac8fb1d4535f6445f5a79?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USUM71500658","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2020-06-19T05:23:23Z"
"spotify:track:2KT1FURZwQ2yfqyBUtNN7k","Colas Breugnon, Op. 24: Overture","spotify:artist:46wMXZ6bEoXUlToxUglEtY, spotify:artist:1z9u3vLr7gw6IBS8CP8c2X, spotify:artist:5ieRNtQmVhIhCkQA4ZkK6L","Dmitry Kabalevsky, BBC Philharmonic, Vassily Sinaisky","spotify:album:1WOwSVOem7cWMQwzhunILH","Kabalevsky: Colas Breugnon: Overture / Piano Concerto Nos. 2 and 3 / The Comedians","spotify:artist:46wMXZ6bEoXUlToxUglEtY, spotify:artist:7JmDqds7Y1LRSWZVM8e0Og","Dmitry Kabalevsky, Kathryn Stott","2003-03-01","https://i.scdn.co/image/ab67616d0000b27388c544c3a866aa68e985454a","1","1","284040","","false","0","GBLWD0303801","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2020-06-19T05:33:23Z"
"spotify:track:1M4qEo4HE3PRaCOM7EXNJq","Adore You","spotify:artist:6KImCVD70vtIoJWnq6nGn3","Harry Styles","spotify:album:5SL9nXZYZZl68bHwaM8uLa","Adore You","spotify:artist:6KImCVD70vtIoJWnq6nGn3","Harry Styles","2019-12-06","https://i.scdn.co/image/ab67616d0000b273da715ed2f440e2f409f58d47","1","1","207133","","false","2","USSM11912588","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2020-06-19T05:43:46Z"
"spotify:track:3afCxJceMqMAFYOJNFHomm","2/3's Adventure","spotify:artist:6MnWA8xVW1sEzV9s7wXpQb, spotify:artist:375zxMmh2cSgUzFFnva0O7","Jazz At Lincoln Center Orchestra, Wynton Marsalis","spotify:album:2mLRfQqMxdiZSpUHnd0HKy","Live in Cuba","spotify:artist:6MnWA8xVW1sEzV9s7wXpQb, spotify:artist:375zxMmh2cSgUzFFnva0O7","Jazz At Lincoln Center Orchestra, Wynton Marsalis","2015-08-21","https://i.scdn.co/image/ab67616d0000b27366ac334063fab2168cfc367c","1","1","505323","https://p.scdn.co/mp3-preview/c5eb6f6ab968dc3086a2909e9596ee6a831a4c84?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","QM6DW1400001","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2020-06-19T06:00:13Z"
"spotify:track:2QRfG2uFwJ6rW1lUOgWCGX","Mallorca","spotify:artist:4sbcjbyksdT4dJ5Lh0SvZp, spotify:artist:7pkWVQUfPqRoHxf6qkJdh9","Isaac Albéniz, Machiko Kikuchi","spotify:album:0YQMKwJ9cW1DGSPSg7mgsF","The Ultimate Most Relaxing Classical Guitar Music In the Universe","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2009-01-01","https://i.scdn.co/image/ab67616d0000b273daa0676306c2e2650fa02d4a","1","10","400226","https://p.scdn.co/mp3-preview/b91fce8d341c120fb7dc1343fdf82eec81af3d70?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","USSJ10700094","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2020-06-19T19:56:40Z"
"spotify:track:5NDUXbMwcnTQp66tI2zcdR","Fresh Eyes","spotify:artist:2oX42qP5ineK3hrhBECLmj","Andy Grammer","spotify:album:0lq7zwC6uQiu8pwW5FK3Fb","The Good Parts","spotify:artist:2oX42qP5ineK3hrhBECLmj","Andy Grammer","2017-12-01","https://i.scdn.co/image/ab67616d0000b2738c166d9b753745f90caa6cd6","1","5","198001","","false","57","QMRSZ1600579","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2020-06-19T20:22:30Z"
"spotify:track:5jQcJ2st6yHWhUBjoDoZPH","Georgy Porgy","spotify:artist:0PFtn5NtBbbUNbU9EAmIWF","TOTO","spotify:album:1mnu4hYvdwQgZXcNvtJ3D3","Toto","spotify:artist:0PFtn5NtBbbUNbU9EAmIWF","TOTO","1978-10-10","https://i.scdn.co/image/ab67616d0000b273f903e62767a0e22e33b7af83","1","3","247586","https://p.scdn.co/mp3-preview/7ad20e15eab11e2c88ad9ffbc94f4c6b780f5663?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","USSM17800433","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2020-06-22T01:23:59Z"
"spotify:track:6Z916yh8YzpNaXGlipJYug","Trade It All","spotify:artist:21SOnTj5ECwVXeBUTRcP3s","Cory Henry","spotify:album:0Axt7OY255NCj62bexMsYB","Trade It All","spotify:artist:21SOnTj5ECwVXeBUTRcP3s","Cory Henry","2018-04-13","https://i.scdn.co/image/ab67616d0000b27393f6d94c040817b5f125a827","1","1","410333","","false","0","GBKPL1804281","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2020-06-27T18:56:04Z"
"spotify:track:1rqqCSm0Qe4I9rUvWncaom","High Hopes","spotify:artist:20JZFwl6HVl6yg8a4H3ZqK","Panic! At The Disco","spotify:album:6ApYSpXF8GxZAgBTHDzYge","Pray for the Wicked","spotify:artist:20JZFwl6HVl6yg8a4H3ZqK","Panic! At The Disco","2018-06-22","https://i.scdn.co/image/ab67616d0000b273c5148520a59be191eea16989","1","4","190946","https://p.scdn.co/mp3-preview/f6995ad54d79b7ffaf0da6833409666ada11a173?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","USAT21801174","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2020-06-27T19:20:16Z"
