"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:7nkp1uuSbKkoxMvEs8cSw0","Shine","spotify:artist:1wKpMkucynaTfG8lyPprYV","PENTAGON","spotify:album:1ZRmLzZWvOkSqWePzFeekO","Positive","spotify:artist:1wKpMkucynaTfG8lyPprYV","PENTAGON","2018-04-02","https://i.scdn.co/image/ab67616d0000b273e099e697d0068b652fe6814e","1","2","198795","https://p.scdn.co/mp3-preview/1cc3708c2633496894682e857966282ce9868d78?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","KRA391800013","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2020-01-12T16:52:42Z"
"spotify:track:76EeScTnI2sCjDY0SfEoSb","Work This Body","spotify:artist:6DIS6PRrLS3wbnZsf7vYic","WALK THE MOON","spotify:album:3mNoFlD1wsoXfkljfFzExT","TALKING IS HARD","spotify:artist:6DIS6PRrLS3wbnZsf7vYic","WALK THE MOON","2014-12-02","https://i.scdn.co/image/ab67616d0000b27343294cfa2688055c9d821bf3","1","8","175906","https://p.scdn.co/mp3-preview/1b9bad2b14695d3c7965c2fe58d4af513d297393?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","USRC11402587","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2020-04-16T22:32:27Z"
"spotify:track:2KH16WveTQWT6KOG9Rg6e2","Eye of the Tiger","spotify:artist:26bcq2nyj5GB7uRr558iQg","Survivor","spotify:album:3t3BbpFJiGcXl4jI5CRLLA","Rocky IV","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","1985","https://i.scdn.co/image/ab67616d0000b273f4a2ccbe20d6d52f16816812","1","4","245640","https://p.scdn.co/mp3-preview/ae5fdf6639eeb270ed9732750b65a3656b807154?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USVR19600010","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2020-07-20T05:22:09Z"
"spotify:track:1BSncOsSJPQkpl29QM0ipj","DRAMARAMA","spotify:artist:4TnGh5PKbSjpYqpIdlW5nz","MONSTA X","spotify:album:4NJpBKY4XJbRLAsbbeIzyJ","THE CODE","spotify:artist:4TnGh5PKbSjpYqpIdlW5nz","MONSTA X","2017-11-07","https://i.scdn.co/image/ab67616d0000b273a561343c3a7d602656da05e7","1","1","186295","https://p.scdn.co/mp3-preview/50aaa64cb71326e7d45386eb712ecbefdde6fd47?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","KRA381702603","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2020-01-12T16:52:47Z"
"spotify:track:4jQDaI7FRGaDB0llURpnNf","HER","spotify:artist:4RnezwRV7VBJUCI1S0AE5u","Block B","spotify:album:5wHs7NGuapCYtY4wWsYMi3","HER","spotify:artist:4RnezwRV7VBJUCI1S0AE5u","Block B","2014-07-24","https://i.scdn.co/image/ab67616d0000b2739b5b9760a4d371d2253f4d6f","1","2","179053","https://p.scdn.co/mp3-preview/658aee410eaa46cc110dab17aa8085e59852cf2a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","KRA491401408","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2020-01-12T16:53:40Z"
"spotify:track:3D26URfsMlCNaa51mj9jOt","War of Hormone","spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX","BTS","spotify:album:7FxxU3EP37uMsZf8FilkDR","Dark & Wild","spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX","BTS","2014-08-20","https://i.scdn.co/image/ab67616d0000b2738f31818d30fdb7f44fd57713","1","3","265602","","false","0","KRA381208690","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2020-02-21T22:16:35Z"
"spotify:track:5hcO4JPFMFgQ5edWGhhhaG","괴도 (Danger)","spotify:artist:13rF01aOogvnkuQXOlgTW8","TAEMIN","spotify:album:1QQ0J1e6itmf2lufaeFfo5","ACE - The 1st Mini Album","spotify:artist:13rF01aOogvnkuQXOlgTW8","TAEMIN","2014-08-19","https://i.scdn.co/image/ab67616d0000b2734791345c4bc6f6866653be3d","1","2","191453","https://p.scdn.co/mp3-preview/5eafe414883f6e8d811fea9b93db9df99cbacce2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","KRA301400682","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2020-02-22T00:40:28Z"
"spotify:track:1EYSS9Lp7a9f20C3FaOVgI","Baby Don’t Stop","spotify:artist:48eO052eSDcn8aTxiv6QaG, spotify:artist:3paGCCtX1Xr4Gx53mSeZuQ","NCT, NCT U","spotify:album:3KAJvo62RNQEtXwIyB5rzX","NCT 2018 EMPATHY","spotify:artist:48eO052eSDcn8aTxiv6QaG","NCT","2018-03-14","https://i.scdn.co/image/ab67616d0000b273b1d944dd406d5b0e461ad155","1","3","183019","https://p.scdn.co/mp3-preview/38c09974c95d10bf4220a636b4e25c3d78114107?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","KRA301800101","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2020-02-22T00:40:38Z"
"spotify:track:23zJcKwLf5CeaKVbFhrWgF","A Palé","spotify:artist:7ltDVBr6mKbRvohxheJ9h1","ROSALÍA","spotify:album:6B2RRiDJFXHojfPxKja5Mx","A Palé","spotify:artist:7ltDVBr6mKbRvohxheJ9h1","ROSALÍA","2019-11-07","https://i.scdn.co/image/ab67616d0000b2735e1e5d5e5ad025f17e37fd2a","1","1","143773","https://p.scdn.co/mp3-preview/2f0e1495da178b9e0626367a6ff6f3488b30c968?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","USSM11912728","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2020-02-22T00:41:30Z"
"spotify:track:6wyr4ReB05D9sJB1Rsmcqo","Chicken Noodle Soup (feat. Becky G)","spotify:artist:0b1sIQumIAsNbqAoIClSpy, spotify:artist:4obzFoKoKRHIphyHzJ35G3","j-hope, Becky G","spotify:album:76IRLp7YzBVLKsat6Ro9ae","Chicken Noodle Soup (feat. Becky G)","spotify:artist:0b1sIQumIAsNbqAoIClSpy","j-hope","2019-09-27","https://i.scdn.co/image/ab67616d0000b273819e2d9468a6792735c0ec77","1","1","235497","","false","0","QM7281989391","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2020-02-22T00:45:53Z"
