"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1xzIv4LPe57Lgz3ELDOdBE","Ready Now","spotify:artist:21TinSsF5ytwsfdyz5VSVS","dodie","spotify:album:3vNC5t3sZSkCi4A2l8ZPCF","MOOMINVALLEY (Official Soundtrack)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2019-04-19","https://i.scdn.co/image/ab67616d0000b27385705bd798bbe8428fc428a6","1","15","181969","https://p.scdn.co/mp3-preview/5e440e5f3560b88c2cf0614874514b44a6f4b931?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","GBARL1900176","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2023-04-02T19:40:55Z"
"spotify:track:22sS7JkzeVeq4vOPCB6Fbj","Someone New","spotify:artist:2FXC3k01G6Gw61bmprjgqS","Hozier","spotify:album:0Uv83rRhY5QvHKkQoULRKk","Hozier","spotify:artist:2FXC3k01G6Gw61bmprjgqS","Hozier","2014-07-20","https://i.scdn.co/image/ab67616d0000b2737a9bf5f82e32d33d4503fe7b","1","4","222813","https://p.scdn.co/mp3-preview/02e87019d26c818328a91c33c10509224b880916?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","IEACJ1400143","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2023-04-02T20:58:19Z"
"spotify:track:4H9jGVkfJkjc6pWFfn2KSN","Whatever We Feel","spotify:artist:3lFDsTyYNPQc8WzJExnQWn","Sammy Rae & The Friends","spotify:album:4Qcemk272gcxq9D6ca40Xz","Whatever We Feel","spotify:artist:3lFDsTyYNPQc8WzJExnQWn","Sammy Rae & The Friends","2020-04-03","https://i.scdn.co/image/ab67616d0000b2736646e03c0ee350a175ab6d5b","1","1","208965","https://p.scdn.co/mp3-preview/bcdaf2cc8e023eb41a11a355c413e0fc9d507a48?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","CAN112000104","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2023-04-02T21:00:28Z"
"spotify:track:1EO9dn7V0ufwPHJngZThO5","Strawberry Blond","spotify:artist:2uYWxilOVlUdk4oV9DvwqK","Mitski","spotify:album:7K4SuWzgUEweJScduBcC6f","Retired from Sad, New Career in Business","spotify:artist:2uYWxilOVlUdk4oV9DvwqK","Mitski","2013-08-01","https://i.scdn.co/image/ab67616d0000b27334b5e51adeea6f1aa2285ce3","1","3","114277","https://p.scdn.co/mp3-preview/532d04cc457aa21cd3c143adbc5c27e24b22f1a7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","USHM81309668","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2023-04-02T21:03:38Z"
"spotify:track:2qK5C4YMQjquhG1qiMKJcl","Personal","spotify:artist:6seUZbo9oDTI4xqcBtG9E8","NONEWFRIENDS.","spotify:album:3X2x4UmfAhinbmOfKN29Y2","Personal","spotify:artist:6seUZbo9oDTI4xqcBtG9E8","NONEWFRIENDS.","2021-05-07","https://i.scdn.co/image/ab67616d0000b27301e20012c256b3b22654b359","1","1","233635","https://p.scdn.co/mp3-preview/101ffa7763ac7a41827f9ccd77182d9ead330570?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","QZHN32167414","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2023-04-02T21:07:35Z"
"spotify:track:2KE6E2nkVz8HVBJ10XaJoy","On My Way","spotify:artist:1UdfOmrFJrE1xwo5ldmZbx","The Melodic","spotify:album:5gE4Mr5QIg1gSSCeRijKOH","Effra Parade","spotify:artist:1UdfOmrFJrE1xwo5ldmZbx","The Melodic","2013-11-05","https://i.scdn.co/image/ab67616d0000b273613aa297bf7923e647aadcbd","1","2","236497","https://p.scdn.co/mp3-preview/9d20ebe826d51654e5d67b8a59d8185ce7e02864?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","USEP41238002","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2023-04-02T21:15:35Z"
"spotify:track:6Uy6K3KdmUdAfelUp0SeXn","Brave","spotify:artist:2Sqr0DXoaYABbjBo9HaMkM","Sara Bareilles","spotify:album:7lpbyGc4fHsQkBTsfWVBhp","The Blessed Unrest","spotify:artist:2Sqr0DXoaYABbjBo9HaMkM","Sara Bareilles","2013-07-16","https://i.scdn.co/image/ab67616d0000b273022b4010e20659300f42c375","1","1","220573","https://p.scdn.co/mp3-preview/a53f99868dbf34053d3377a43bf1383efa629ad6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USSM11301638","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2023-04-02T21:19:13Z"
"spotify:track:3PLyl3Ir75VkGgX0KEehqh","Don't You Worry 'Bout A Thing","spotify:artist:1vSN1fsvrzpbttOYGsliDr","Tori Kelly","spotify:album:25walIhXLHe6MyWFCT6vNL","Don't You Worry 'Bout A Thing (From ""Sing"" Original Motion Picture Soundtrack)","spotify:artist:1vSN1fsvrzpbttOYGsliDr","Tori Kelly","2016-11-18","https://i.scdn.co/image/ab67616d0000b273289bc1e586b22ad2bb50edd8","1","1","241386","https://p.scdn.co/mp3-preview/370cb0599f74dfb40a0730d24279c33d388af2b7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","USQ4E1602403","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2023-04-02T21:34:29Z"
"spotify:track:4kP69y3GKHi9tXckfgp4bK","For Once In My Life","spotify:artist:7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder","spotify:album:3pPBbp1Nl9n1AM9xFpdKtZ","For Once In My Life","spotify:artist:7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder","1968-12-01","https://i.scdn.co/image/ab67616d0000b273cab4dfee401a04dacfa11784","1","1","169800","https://p.scdn.co/mp3-preview/fdd50098d238c4063a61c1057cc8587728fc5510?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","USMO16800531","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2023-04-02T23:14:17Z"
"spotify:track:7KO4XNfwEKhTbSGo3O6qX5","If You Know What's Right","spotify:artist:77mJc3M7ZT5oOVM7gNdXim","Her's","spotify:album:3w5PWzbOdhuHd2oTynfBJw","Invitation to Her's","spotify:artist:77mJc3M7ZT5oOVM7gNdXim","Her's","2018-08-24","https://i.scdn.co/image/ab67616d0000b273280a001e43c93792dd1e27c7","1","3","200455","https://p.scdn.co/mp3-preview/2627339bffab59b8ae47ea5ec430079385847447?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","GBYEJ1800005","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2023-04-03T00:12:55Z"
