"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5QHFG990gTrqd9lreManUi","Syndicate","spotify:artist:4T7KICeQg50AwFzauMCR9C","Derivakat","spotify:album:6ks45W8ykLFRr1lgoUj9mW","Songs of the SMP","spotify:artist:4T7KICeQg50AwFzauMCR9C","Derivakat","2021-02-26","https://i.scdn.co/image/ab67616d0000b2735cf6d3cbd81f435522794ff8","1","2","147812","https://p.scdn.co/mp3-preview/ed9199438b538c4399a2f6da2153157a13ee4c93?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","QZDA42141894","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2023-04-03T00:19:06Z"
"spotify:track:3dPQuX8Gs42Y7b454ybpMR","Seven Nation Army","spotify:artist:4F84IBURUo98rz4r61KF70","The White Stripes","spotify:album:6D9urpsOWWKtYvF6PaorGE","Elephant","spotify:artist:4F84IBURUo98rz4r61KF70, spotify:artist:4FZ3j1oH43e7cukCALsCwf","The White Stripes, Jack White","2003-04-01","https://i.scdn.co/image/ab67616d0000b273a69f71a8794e2d867a52f98f","1","1","232106","https://p.scdn.co/mp3-preview/eca519f0a85862d9510d57d59df557081d375e3a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","86","USVT10300001","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2023-04-03T00:19:26Z"
"spotify:track:1YLJVmuzeM2YSUkCCaTNUB","Dog Days Are Over","spotify:artist:1moxjboGR7GNWYIMWsRjgG","Florence + The Machine","spotify:album:2FgknX5e7fJlriQtxvpLhZ","Lungs (Deluxe Edition)","spotify:artist:1moxjboGR7GNWYIMWsRjgG","Florence + The Machine","2009","https://i.scdn.co/image/ab67616d0000b2730672b0f8756ae2af86e8a5ce","1","1","251840","https://p.scdn.co/mp3-preview/d1c97f83c052039d9e5105ed70261a5c59fd7f53?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","GBUM70900209","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2023-04-03T00:21:09Z"
"spotify:track:1h0yImRPIVAjhhHeNVlTuC","Youth (feat. Khalid)","spotify:artist:7n2wHs1TKAczGzO7Dd2rGr, spotify:artist:6LuN9FCkKOj5PcnpouEgny","Shawn Mendes, Khalid","spotify:album:2VP96XdMOKTXefI8Nui23s","Shawn Mendes","spotify:artist:7n2wHs1TKAczGzO7Dd2rGr","Shawn Mendes","2018-05-25","https://i.scdn.co/image/ab67616d0000b273269423eb6467e308c0fbce24","1","10","190866","https://p.scdn.co/mp3-preview/1bbde608b9d6543163a1536bb0dc9bf2cc21e644?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","USUM71804955","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2023-04-03T00:22:53Z"
"spotify:track:0vQcyuMEfRBd21ojZ62N2L","Boys Will Be Boys","spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Dua Lipa","spotify:album:7fJJK56U9fHixgO0HQkhtI","Future Nostalgia","spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Dua Lipa","2020-03-27","https://i.scdn.co/image/ab67616d0000b2734bc66095f8a70bc4e6593f4f","1","11","166266","https://p.scdn.co/mp3-preview/12c4416b9b9eaf8a12d317e2daf59c72846d3aba?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","GBAHT1901307","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2023-04-03T00:25:21Z"
"spotify:track:0b9oOr2ZgvyQu88wzixux9","This Is America","spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL","Childish Gambino","spotify:album:7arx9qPJexCsDz67El4qvk","This Is America","spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL","Childish Gambino","2018-05-06","https://i.scdn.co/image/ab67616d0000b2733504664c17b7b99a3cb7d116","1","1","225773","https://p.scdn.co/mp3-preview/1bcfeea49b556230d76931a7d7f7d1bf5423fce6?cid=9950ac751e34487dbbe027c4fd7f8e99","true","71","USRC11801773","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2023-04-03T00:25:49Z"
"spotify:track:2qzUpSVI4NnPyWxbXwumTj","BLACK PARADE","spotify:artist:6vWDO969PvNqNYHIOW5v0m","Beyoncé","spotify:album:3MJxH055n52Rbm8RLlpJcN","BLACK PARADE","spotify:artist:6vWDO969PvNqNYHIOW5v0m","Beyoncé","2020-06-19","https://i.scdn.co/image/ab67616d0000b2736373234ff79910017d937930","1","1","281272","https://p.scdn.co/mp3-preview/f3dac61fc5ac46ec925bb1c13f115d9bc20b3d58?cid=9950ac751e34487dbbe027c4fd7f8e99","true","58","USSM12004059","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2023-04-03T00:25:55Z"
"spotify:track:7BFI9QZPQKgYuR2HhDgwbG","Royals","spotify:artist:163tK9Wjr9P9DmM0AVK7lm","Lorde","spotify:album:6rnzvZhe3PA57xKcKLRtJ6","Pure Heroine (Extended)","spotify:artist:163tK9Wjr9P9DmM0AVK7lm","Lorde","2013-01-01","https://i.scdn.co/image/ab67616d0000b27333a859e36fdc9a27ed86516e","1","3","190185","","false","1","NZUM71200031","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2023-04-03T00:26:17Z"
"spotify:track:1sy0mqUBREJx0A89UsIkIl","Purge The Poison","spotify:artist:6CwfuxIqcltXDGjfZsMd9A","MARINA","spotify:album:4l15cBxcsMtKozzTLPsXnc","Purge The Poison","spotify:artist:6CwfuxIqcltXDGjfZsMd9A","MARINA","2021-04-14","https://i.scdn.co/image/ab67616d0000b27327600357c0c67060f7bcfa4f","1","1","196573","https://p.scdn.co/mp3-preview/77bd2885712a265e6f7e8454aed434cb0ab237c2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","USAT22101363","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2023-04-03T00:27:22Z"
"spotify:track:2ZPw5uyVI5m1nSvjQYmf3j","Hayloft","spotify:artist:0e86yPdC41PGRkLp2Q1Bph","Mother Mother","spotify:album:2EE3oTf8Dnb46og0MR0B8R","O My Heart","spotify:artist:0e86yPdC41PGRkLp2Q1Bph","Mother Mother","2008-09-23","https://i.scdn.co/image/ab67616d0000b27332771a1171c90a67b39de00a","1","8","181680","","false","0","CAL450882108","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2023-04-03T00:29:34Z"
"spotify:track:4RvWPyQ5RL0ao9LPZeSouE","Everybody Wants To Rule The World","spotify:artist:4bthk9UfsYUYdcFyqxmSUU","Tears For Fears","spotify:album:3myPwaMYjdwhtq0nFgeG6W","Songs From The Big Chair (Super Deluxe Edition)","spotify:artist:4bthk9UfsYUYdcFyqxmSUU","Tears For Fears","1985-02-25","https://i.scdn.co/image/ab67616d0000b27322463d6939fec9e17b2a6235","1","3","251488","https://p.scdn.co/mp3-preview/49a5e33d422484fde5484d3e665821e9a3a8b540?cid=9950ac751e34487dbbe027c4fd7f8e99","false","90","GBF088590110","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2023-04-03T00:30:46Z"
"spotify:track:0g7UEpNuvLg5NNpwT4eq7n","Getaway","spotify:artist:1dWEYMPtNmvSVaDNLgB6NV","Saint Motel","spotify:album:43URJ507cdoIRy3GJdfxjs","saintmotelevision","spotify:artist:1dWEYMPtNmvSVaDNLgB6NV","Saint Motel","2016-10-21","https://i.scdn.co/image/ab67616d0000b27325dd1a3969c0912291b6fc7b","1","2","181506","https://p.scdn.co/mp3-preview/f8cfe003e7d675c8a1e58eadc8c8636d42bdd053?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","USAT21602336","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2023-04-03T00:33:11Z"
"spotify:track:3Pzh926pXggbMe2ZpXyMV7","Ain't No Rest for the Wicked","spotify:artist:26T3LtbuGT1Fu9m0eRq5X3","Cage The Elephant","spotify:album:7H814Cg8HV0qpoMheYbhNn","Cage The Elephant (Expanded Edition)","spotify:artist:26T3LtbuGT1Fu9m0eRq5X3","Cage The Elephant","2009-03-24","https://i.scdn.co/image/ab67616d0000b273e4800c920780ac18d4ab6730","1","3","175493","https://p.scdn.co/mp3-preview/ada37d5b27a8c23c77d3f66c7f81d656ec3deefc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","USJI10900260","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2023-04-03T00:33:53Z"
"spotify:track:1mea3bSkSGXuIRvnydlB5b","Viva La Vida","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","spotify:album:1CEODgTmTwLyabvwd7HBty","Viva La Vida or Death and All His Friends","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","2008-05-26","https://i.scdn.co/image/ab67616d0000b273e21cc1db05580b6f2d2a3b6e","1","7","242373","https://p.scdn.co/mp3-preview/fb9f4a9b0887326776b4fb7c6d331acd167a7778?cid=9950ac751e34487dbbe027c4fd7f8e99","false","89","GBAYE0800265","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2023-04-03T00:34:13Z"
"spotify:track:4wH4dJgrsxONID6KS2tDQM","Maneater","spotify:artist:2jw70GZXlAI8QzWeY2bgRc","Nelly Furtado","spotify:album:2yboV2QBcVGEhcRlYuPpDT","Loose","spotify:artist:2jw70GZXlAI8QzWeY2bgRc","Nelly Furtado","2006-01-01","https://i.scdn.co/image/ab67616d0000b273a6f439c8957170652f9410e2","1","2","258893","https://p.scdn.co/mp3-preview/bf4f712f43d7f97c5da8a7858de2b36d800c4a8b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","USUM70601449","spotify:user:1xa9xmz4sizdi6jqwnoys6okz","2023-04-03T00:34:51Z"
