"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5Lbsc65org0b85kNsPkluY","Only Angel","spotify:artist:6KImCVD70vtIoJWnq6nGn3","Harry Styles","spotify:album:1FZKIm3JVDCxTchXDo5jOV","Harry Styles","spotify:artist:6KImCVD70vtIoJWnq6nGn3","Harry Styles","2017-05-12","https://i.scdn.co/image/ab67616d0000b2736c619c39c853f8b1d67b7859","1","6","291080","https://p.scdn.co/mp3-preview/11259e7c63c52a4ecb72b6723ea795239b7b4598?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","USSM11703957","spotify:user:jeongshin","2021-06-03T17:53:17Z"
"spotify:track:51pshtuYkgUQnt5huMPbKL","The Spins","spotify:artist:4LLpKhyESsyAXpc4laK94U","Mac Miller","spotify:album:0WzOtZBpXvWdNdH7hCJ4qo","K.I.D.S.","spotify:artist:4LLpKhyESsyAXpc4laK94U","Mac Miller","2010-08-13","https://i.scdn.co/image/ab67616d0000b27350570144b4a9a459406f9a3d","1","6","195873","","true","10","USA2P2015959","spotify:user:jeongshin","2021-06-03T21:44:58Z"
"spotify:track:4sYbZjRCyaFqCtJ2Uvfh8B","Chicken Tenders","spotify:artist:6USv9qhCn6zfxlBQIYJ9qs","Dominic Fike","spotify:album:1BubKJqf6Uc4fNae5kLJJ7","What Could Possibly Go Wrong","spotify:artist:6USv9qhCn6zfxlBQIYJ9qs","Dominic Fike","2020-07-31","https://i.scdn.co/image/ab67616d0000b273cfc824b65a3b1755d98a7e23","1","7","170405","https://p.scdn.co/mp3-preview/086b9ceedd407902b144fbc382777d0499b75d3d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","USQX92001220","spotify:user:jeongshin","2021-06-03T21:44:43Z"
"spotify:track:6PERP62TejQjgHu81OHxgM","good 4 u","spotify:artist:1McMsnEElThX1knmY4oliG","Olivia Rodrigo","spotify:album:3rMjL8NA5Wh2hbMNk2fSlY","good 4 u","spotify:artist:1McMsnEElThX1knmY4oliG","Olivia Rodrigo","2021-05-14","https://i.scdn.co/image/ab67616d0000b273670ec029374e082f921f9f74","1","1","178147","https://p.scdn.co/mp3-preview/b842388e0a8bb4c8667f77d645b25fdcd50961c1?cid=9950ac751e34487dbbe027c4fd7f8e99","true","22","USUG12101245","spotify:user:jeongshin","2021-06-03T21:44:51Z"
"spotify:track:4QlzkaRHtU8gAdwqjWmO8n","Friday I'm In Love","spotify:artist:7bu3H8JO7d0UbMoVzbo70s","The Cure","spotify:album:0aEL0zQ4XLuxQP0j7sLlS1","Wish","spotify:artist:7bu3H8JO7d0UbMoVzbo70s","The Cure","1992-01-01","https://i.scdn.co/image/ab67616d0000b2739c72b249fcaa04d074c1dfcd","1","7","215160","https://p.scdn.co/mp3-preview/a3f7228db24537c07bf3b0d303dbd11637763ba2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","GBALB9200002","spotify:user:jeongshin","2021-06-03T21:45:12Z"
"spotify:track:3jjujdWJ72nww5eGnfs2E7","Adore You","spotify:artist:6KImCVD70vtIoJWnq6nGn3","Harry Styles","spotify:album:7xV2TzoaVc0ycW7fwBwAml","Fine Line","spotify:artist:6KImCVD70vtIoJWnq6nGn3","Harry Styles","2019-12-13","https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a","1","3","207133","https://p.scdn.co/mp3-preview/a42d5e9f6f5c3375db9723bb2356239351eead31?cid=9950ac751e34487dbbe027c4fd7f8e99","false","85","USSM11912588","spotify:user:jeongshin","2021-06-03T22:16:15Z"
"spotify:track:0s8CSwABPbE6FhDc4fGo7g","All My Friends","spotify:artist:5df6GUsn0QFDhOV30drxtq","Alt Fiction","spotify:album:0CMB9s7iWlWYnpLvtvZqVw","All My Friends","spotify:artist:5df6GUsn0QFDhOV30drxtq","Alt Fiction","2020-04-03","https://i.scdn.co/image/ab67616d0000b273ed8b77a2ab41b2e496c467be","1","1","214227","https://p.scdn.co/mp3-preview/dbf02fc5fcd63354f84859923e8015d449c0df74?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","AUUM72000145","spotify:user:jeongshin","2021-06-03T22:51:35Z"
"spotify:track:4wqzOaLxiCRy2Et8tRyNSX","The Thrill","spotify:artist:137W8MRPWKqSmrBGDBFSop, spotify:artist:67hb7towEyKvt5Z8Bx306c","Wiz Khalifa, Empire of the Sun","spotify:album:2M0nxA3m2sZ5DyDzCdzScf","The Thrill","spotify:artist:137W8MRPWKqSmrBGDBFSop","Wiz Khalifa","2020-11-11","https://i.scdn.co/image/ab67616d0000b273b3be3d2cff779056b4e3a8e8","1","1","234333","","true","10","USA2P2033760","spotify:user:jeongshin","2021-06-04T04:36:13Z"
"spotify:track:6vVftwBiIaM9xDVZhSwTCJ","Senior Skip Day","spotify:artist:4LLpKhyESsyAXpc4laK94U","Mac Miller","spotify:album:0WzOtZBpXvWdNdH7hCJ4qo","K.I.D.S.","spotify:artist:4LLpKhyESsyAXpc4laK94U","Mac Miller","2010-08-13","https://i.scdn.co/image/ab67616d0000b27350570144b4a9a459406f9a3d","1","5","175782","","true","1","USQY51771118","spotify:user:jeongshin","2021-06-04T04:36:51Z"
"spotify:track:35jsr75wqsU6PkDHqSf8LV","Kokomo, IN","spotify:artist:7MoIc5s9KXolCBH1fy9kkw","Japanese Breakfast","spotify:album:0ajoNtBO6xHfWEkORtRCAv","Jubilee","spotify:artist:7MoIc5s9KXolCBH1fy9kkw","Japanese Breakfast","2021-06-04","https://i.scdn.co/image/ab67616d0000b273fc6b64a6baeac1ea56cf7437","1","3","218744","","false","0","USJ5G2022503","spotify:user:jeongshin","2021-06-04T17:47:17Z"
