"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1kwnxJNVl7cwcU98RvMBaR","Surf","spotify:artist:4LLpKhyESsyAXpc4laK94U","Mac Miller","spotify:album:5sY6UIQ32GqwMLAfSNEaXb","Circles","spotify:artist:4LLpKhyESsyAXpc4laK94U","Mac Miller","2020-01-17","https://i.scdn.co/image/ab67616d0000b27326b7dd89810cc1a40ada642c","1","11","330506","https://p.scdn.co/mp3-preview/88e393a854ca62498974b0e778fa14c871e9663a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USWB11801016","spotify:user:jeongshin","2021-05-26T04:02:58Z"
"spotify:track:03v70ZBxmcPX3RWAZMzqaW","Clouds","spotify:artist:1KP6TWI40m7p3QBTU6u2xo","BØRNS","spotify:album:17l7MIu0Jh0tdgK7or9ovw","Dopamine","spotify:artist:1KP6TWI40m7p3QBTU6u2xo","BØRNS","2015-10-16","https://i.scdn.co/image/ab67616d0000b273cc2cf912462d8ae4ef856434","1","8","190253","https://p.scdn.co/mp3-preview/2d0c9da7f0052ca539e3db94789181f6f44a6eab?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","USUM71512367","spotify:user:jeongshin","2021-05-26T05:09:00Z"
"spotify:track:0RZLmpEzGR2NHite6rvS5H","Space Ghost Coast To Coast","spotify:artist:4yvcSjfu4PC0CYQyLy4wSq","Glass Animals","spotify:album:5bfpRtBW7RNRdsm3tRyl3R","Dreamland","spotify:artist:4yvcSjfu4PC0CYQyLy4wSq","Glass Animals","2020-08-07","https://i.scdn.co/image/ab67616d0000b273712701c5e263efc8726b1464","1","6","187383","https://p.scdn.co/mp3-preview/95b66be007a12d5c228aa840f6178c532212d531?cid=9950ac751e34487dbbe027c4fd7f8e99","true","63","GBUM72000432","spotify:user:jeongshin","2021-05-26T03:13:52Z"
"spotify:track:4gwltSjdrzKtKz9dlk2Wja","Stella Brown","spotify:artist:7A47sEe0ih6WpKmNCRMu86","Jelani Aryeh","spotify:album:5eCpoxWpC7zBCXLDbVyIzc","Stella Brown","spotify:artist:7A47sEe0ih6WpKmNCRMu86","Jelani Aryeh","2020-04-03","https://i.scdn.co/image/ab67616d0000b27308facd0be079b35d8c261612","1","1","187415","https://p.scdn.co/mp3-preview/6a6fe66783b51bba47c49307dd4a40cd2bf6d021?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","USA2P2010684","spotify:user:jeongshin","2021-05-26T04:01:39Z"
"spotify:track:5teYCP3pROESCEaASCVf5w","You're Too Precious","spotify:artist:53KwLdlmrlCelAZMaLVZqU","James Blake","spotify:album:0hs2pdNq5QXYWsEcAFVO9q","You're Too Precious","spotify:artist:53KwLdlmrlCelAZMaLVZqU","James Blake","2020-04-24","https://i.scdn.co/image/ab67616d0000b2732fd0c566a2db806842b61460","1","1","223900","https://p.scdn.co/mp3-preview/a63b4c5aaaab27490de4e3f387449f04ea1d5edd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","GBUM72001738","spotify:user:jeongshin","2021-05-26T04:02:35Z"
"spotify:track:5v8aEcHcaJIGYpfVVPtJjI","Wires","spotify:artist:77SW9BnxLY8rJ0RciFqkHh","The Neighbourhood","spotify:album:4hRjuAxpm9X6h1H95QVgJ9","I'm Sorry...","spotify:artist:77SW9BnxLY8rJ0RciFqkHh","The Neighbourhood","2013-05-08","https://i.scdn.co/image/ab67616d0000b273ee14a6d816e596e176575962","1","3","193080","https://p.scdn.co/mp3-preview/bbd1daab80884b415d75eba5f69fc239ecd93544?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","USSM11204648","spotify:user:jeongshin","2021-05-26T04:44:46Z"
"spotify:track:3hARuUtzTdUuWH1KiLJlSf","Window","spotify:artist:4iMO20EPodreIaEl8qW66y","Still Woozy","spotify:album:4JxgricHyH0BbMUaefAHfR","Window","spotify:artist:4iMO20EPodreIaEl8qW66y","Still Woozy","2020-04-17","https://i.scdn.co/image/ab67616d0000b273fee5f7b500e33768601719bb","1","1","139293","https://p.scdn.co/mp3-preview/fce9b58fdc9b285b7bf25c5061b3176341f3eed1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","USUG12001158","spotify:user:jeongshin","2021-05-26T05:12:40Z"
"spotify:track:32KU85vllRfxfaV7ZNvHwT","Socks","spotify:artist:6USv9qhCn6zfxlBQIYJ9qs","Dominic Fike","spotify:album:1DNx0H5ZX1ax3yyRwtgT4S","Don't Forget About Me, Demos","spotify:artist:6USv9qhCn6zfxlBQIYJ9qs","Dominic Fike","2018-10-16","https://i.scdn.co/image/ab67616d0000b2734a42166d927b3acce345c5c0","1","5","131173","https://p.scdn.co/mp3-preview/c1cdf1b185fe1e7858f8210ce7879e3114fbee02?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","USQX91802459","spotify:user:jeongshin","2021-05-26T05:25:30Z"
"spotify:track:1N62wozuHCvczCkY4QidpP","Over My Head (Cable Car)","spotify:artist:0zOcE3mg9nS6l3yxt1Y0bK","The Fray","spotify:album:1IM3GwptCGYjRkzCBolyFK","How To Save A Life","spotify:artist:0zOcE3mg9nS6l3yxt1Y0bK","The Fray","2005-09-13","https://i.scdn.co/image/ab67616d0000b27359b8b957f164ce660919f1f4","1","2","236266","https://p.scdn.co/mp3-preview/f0978588a370818de23bd9fb215c6d2e4a2b0ee6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","USSM10502369","spotify:user:jeongshin","2021-05-26T05:26:45Z"
"spotify:track:0rrH7H9YsuFqXHB2awxEkc","Nothing Could Be Better","spotify:artist:4DMSJzGjw2SMkKAT5EEE5u","HOMESHAKE","spotify:album:6hihal9eDby9pZW4DpyRXe","Helium","spotify:artist:4DMSJzGjw2SMkKAT5EEE5u","HOMESHAKE","2019-02-15","https://i.scdn.co/image/ab67616d0000b27301e330c2ffaa112380972160","1","8","171547","","false","0","QM8QH1700687","spotify:user:jeongshin","2021-05-26T05:27:15Z"
