"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0DloT2Fc6WU1tAw0LsLn6V","Estrangers","spotify:artist:32zeX1IoVKAGWMyy1isKUq","No Vacation","spotify:album:0NSxRVDhlmvNstX8ZMmNPm","Phasing","spotify:artist:32zeX1IoVKAGWMyy1isKUq","No Vacation","2019-10-18","https://i.scdn.co/image/ab67616d0000b2736526dbed14dbf238a0ec0a3c","1","1","199733","","false","0","USEZ61920701","spotify:user:jeongshin","2020-07-22T01:17:11Z"
"spotify:track:60sE6u77Uuwsf7w4GbPwgf","Paper","spotify:artist:0Wwji82sLA0Hcvtuak3omb","AUDREY NUNA","spotify:album:2OuZduHr2CqQK6gvflPIKW","Paper","spotify:artist:0Wwji82sLA0Hcvtuak3omb","AUDREY NUNA","2019-09-20","https://i.scdn.co/image/ab67616d0000b2737d4e57855f8d32d2a679a45c","1","1","157143","https://p.scdn.co/mp3-preview/eafb967a2183314d1e89a6f4844eae9490c9b3f4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","USQX91902007","spotify:user:jeongshin","2020-07-21T04:57:38Z"
"spotify:track:5Htq8DDDN0Xce9MwqzAzui","La La Lost You","spotify:artist:1AhjOkOLkbHUfcHDSErXQs, spotify:artist:2kxP07DLgs4xlWz8YHlvfh","88rising, NIKI","spotify:album:7bOpX6Ilc9UCFmH9uGyUDy","Head In The Clouds II","spotify:artist:1AhjOkOLkbHUfcHDSErXQs","88rising","2019-10-11","https://i.scdn.co/image/ab67616d0000b273488df3d22b1f5c0ea15b686a","1","12","200000","https://p.scdn.co/mp3-preview/52f1d619314621080c774919d86aee9010be1f0b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","67","ZZOPM1901305","spotify:user:jeongshin","2020-07-21T04:16:31Z"
"spotify:track:1WI8MH3HPGjzpU0ywLahwt","Breathe","spotify:artist:1AhjOkOLkbHUfcHDSErXQs, spotify:artist:3MZsBdqDrRTJihTHQrO6Dq, spotify:artist:2n2CsW5gqx05t3FhCsOtXF","88rising, Joji, Don Krez","spotify:album:7bOpX6Ilc9UCFmH9uGyUDy","Head In The Clouds II","spotify:artist:1AhjOkOLkbHUfcHDSErXQs","88rising","2019-10-11","https://i.scdn.co/image/ab67616d0000b273488df3d22b1f5c0ea15b686a","1","6","125468","https://p.scdn.co/mp3-preview/749cf8a77f74fd3ea5e10f2562c46f96ab616b7d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","ZZOPM1901300","spotify:user:jeongshin","2020-07-21T04:29:56Z"
"spotify:track:2M9j38t0cz0lGTtLqxRT3r","Love In My Pocket","spotify:artist:2IDLDx25HU1nQMKde4n61a","Rich Brian","spotify:album:4kILzL9HLKqLJiEaDUSzdh","Love In My Pocket","spotify:artist:2IDLDx25HU1nQMKde4n61a","Rich Brian","2020-07-10","https://i.scdn.co/image/ab67616d0000b2731599b648bb173d94f6f904e1","1","1","223093","https://p.scdn.co/mp3-preview/b7ab011c8c78429d2de41278f2679b8dcbdc0a3b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","48","ZZOPM2002657","spotify:user:jeongshin","2020-07-21T04:35:51Z"
"spotify:track:5TTXEcfsYLh6fTarLaevTi","lowkey","spotify:artist:2kxP07DLgs4xlWz8YHlvfh","NIKI","spotify:album:6a1p03zluxNwXTVdm9IStw","lowkey","spotify:artist:2kxP07DLgs4xlWz8YHlvfh","NIKI","2019-04-24","https://i.scdn.co/image/ab67616d0000b273135a78be90223c126a4e2c36","1","1","171355","https://p.scdn.co/mp3-preview/b04943165a077501b8f02742ed3bcb6c22088e55?cid=9950ac751e34487dbbe027c4fd7f8e99","true","81","ZZOPM1900990","spotify:user:jeongshin","2020-07-21T04:21:11Z"
"spotify:track:0h11wE1hTwKMxYd1NACgNb","Selene","spotify:artist:2kxP07DLgs4xlWz8YHlvfh","NIKI","spotify:album:098kaaaRAjWOrvoLRQHU2i","Selene","spotify:artist:2kxP07DLgs4xlWz8YHlvfh","NIKI","2020-07-16","https://i.scdn.co/image/ab67616d0000b273a05fc4f725bf2388f1be64ac","1","1","197454","https://p.scdn.co/mp3-preview/72689540aa2054f047c248458e22b668bfc17680?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","ZZOPM2002583","spotify:user:jeongshin","2020-07-21T04:22:27Z"
"spotify:track:0baNzeUcPQnQSagpe8T0mD","worldstar money (interlude)","spotify:artist:3MZsBdqDrRTJihTHQrO6Dq","Joji","spotify:album:6ZksrxRWlJ7ExylPyJwfLJ","In Tongues (Deluxe)","spotify:artist:3MZsBdqDrRTJihTHQrO6Dq","Joji","2018-02-14","https://i.scdn.co/image/ab67616d0000b2738e947f66f6d4eeaa56a28767","1","6","126312","https://p.scdn.co/mp3-preview/9fd17162cb7b1c64eedfca1e3263eec41579032f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","79","USUYG1179135","spotify:user:jeongshin","2020-07-22T01:15:04Z"
"spotify:track:6mng4eWKNqNtIqvBgm1LnR","Sugarplum Elegy","spotify:artist:2kxP07DLgs4xlWz8YHlvfh","NIKI","spotify:album:1KdgJeKOFZ4fZteMqji9Rj","Sugarplum Elegy","spotify:artist:2kxP07DLgs4xlWz8YHlvfh","NIKI","2019-12-06","https://i.scdn.co/image/ab67616d0000b273f49c104e639dd7297602d5f2","1","1","207045","https://p.scdn.co/mp3-preview/6f28453d670faf2cea0f9ae7d879e0ba008550ca?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","ZZOPM1901670","spotify:user:jeongshin","2020-07-21T04:25:50Z"
"spotify:track:4jbA7VSQHZeWLktuUuHWbz","Newsflash!","spotify:artist:2kxP07DLgs4xlWz8YHlvfh","NIKI","spotify:album:4E3FHEEdQkcuEd0D2GKRrX","Zephyr","spotify:artist:2kxP07DLgs4xlWz8YHlvfh","NIKI","2018-05-23","https://i.scdn.co/image/ab67616d0000b27390642478de0b53dc9c214b83","1","1","204426","https://p.scdn.co/mp3-preview/9e2876cd0137489e4a80e7582467c393bdbf225c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","54","USUYG1198951","spotify:user:jeongshin","2020-07-21T04:27:50Z"
"spotify:track:349Wc5mDu52d4Uv8Eg9WZv","Indigo","spotify:artist:1AhjOkOLkbHUfcHDSErXQs, spotify:artist:2kxP07DLgs4xlWz8YHlvfh","88rising, NIKI","spotify:album:7bOpX6Ilc9UCFmH9uGyUDy","Head In The Clouds II","spotify:artist:1AhjOkOLkbHUfcHDSErXQs","88rising","2019-10-11","https://i.scdn.co/image/ab67616d0000b273488df3d22b1f5c0ea15b686a","1","9","173473","https://p.scdn.co/mp3-preview/f89c722022207f37155b06849fb256ee7a600e47?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","ZZOPM1901214","spotify:user:jeongshin","2020-07-21T04:28:10Z"
"spotify:track:5DrCWAaQ8zklweBa9abFIu","Strange Land","spotify:artist:1AhjOkOLkbHUfcHDSErXQs, spotify:artist:2kxP07DLgs4xlWz8YHlvfh, spotify:artist:5mqguTgtaoCMNMZD6txCh6","88rising, NIKI, Phum Viphurit","spotify:album:7bOpX6Ilc9UCFmH9uGyUDy","Head In The Clouds II","spotify:artist:1AhjOkOLkbHUfcHDSErXQs","88rising","2019-10-11","https://i.scdn.co/image/ab67616d0000b273488df3d22b1f5c0ea15b686a","1","2","175733","https://p.scdn.co/mp3-preview/c3331ee6b9d6b2d80157620fc03849b7372410f0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","ZZOPM1901296","spotify:user:jeongshin","2020-07-21T04:33:33Z"
"spotify:track:6eDfe957aV4sqGnDhlSikJ","Drive Safe","spotify:artist:2IDLDx25HU1nQMKde4n61a","Rich Brian","spotify:album:2ZGkTvwtwDoembcBr8SS0d","The Sailor","spotify:artist:2IDLDx25HU1nQMKde4n61a","Rich Brian","2019-07-26","https://i.scdn.co/image/ab67616d0000b2739f49ffe7fe94bdd0f2f98af2","1","5","240118","https://p.scdn.co/mp3-preview/711576449afd66ffd3c1ae2da52fa0c7d96c3d48?cid=9950ac751e34487dbbe027c4fd7f8e99","true","59","ZZOPM1901100","spotify:user:jeongshin","2020-07-21T04:36:09Z"
"spotify:track:16ox7ZM0ozbzBOTjFecYuY","Shouldn't Couldn't Wouldn't","spotify:artist:1AhjOkOLkbHUfcHDSErXQs, spotify:artist:2kxP07DLgs4xlWz8YHlvfh, spotify:artist:2IDLDx25HU1nQMKde4n61a","88rising, NIKI, Rich Brian","spotify:album:7bOpX6Ilc9UCFmH9uGyUDy","Head In The Clouds II","spotify:artist:1AhjOkOLkbHUfcHDSErXQs","88rising","2019-10-11","https://i.scdn.co/image/ab67616d0000b273488df3d22b1f5c0ea15b686a","1","7","195052","https://p.scdn.co/mp3-preview/e94fe5cf9cf88eb63cb8d1b09e2c44fea36a9652?cid=9950ac751e34487dbbe027c4fd7f8e99","true","54","ZZOPM1901301","spotify:user:jeongshin","2020-07-21T04:34:29Z"
