"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0iZkWgjKSJPeA2zvGK1glR","Posing For Cars","spotify:artist:7MoIc5s9KXolCBH1fy9kkw","Japanese Breakfast","spotify:album:0ajoNtBO6xHfWEkORtRCAv","Jubilee","spotify:artist:7MoIc5s9KXolCBH1fy9kkw","Japanese Breakfast","2021-06-04","https://i.scdn.co/image/ab67616d0000b273fc6b64a6baeac1ea56cf7437","1","10","398783","","false","0","USJ5G2022510","spotify:user:jeongshin","2021-11-08T18:19:25Z"
"spotify:track:35jsr75wqsU6PkDHqSf8LV","Kokomo, IN","spotify:artist:7MoIc5s9KXolCBH1fy9kkw","Japanese Breakfast","spotify:album:0ajoNtBO6xHfWEkORtRCAv","Jubilee","spotify:artist:7MoIc5s9KXolCBH1fy9kkw","Japanese Breakfast","2021-06-04","https://i.scdn.co/image/ab67616d0000b273fc6b64a6baeac1ea56cf7437","1","3","218744","","false","0","USJ5G2022503","spotify:user:jeongshin","2021-11-08T18:19:32Z"
"spotify:track:7hINOWdRK2rAWDKmjXTHth","Paprika","spotify:artist:7MoIc5s9KXolCBH1fy9kkw","Japanese Breakfast","spotify:album:0ajoNtBO6xHfWEkORtRCAv","Jubilee","spotify:artist:7MoIc5s9KXolCBH1fy9kkw","Japanese Breakfast","2021-06-04","https://i.scdn.co/image/ab67616d0000b273fc6b64a6baeac1ea56cf7437","1","1","220316","","false","0","USJ5G2022501","spotify:user:jeongshin","2021-11-08T18:19:35Z"
"spotify:track:17UO5wtVXdpm4ekQrC1RVt","Road Head - Recorded at Spotify Studios NYC","spotify:artist:7MoIc5s9KXolCBH1fy9kkw","Japanese Breakfast","spotify:album:1rtDBUaEYqsCu2qIQGfbvI","Spotify Singles","spotify:artist:7MoIc5s9KXolCBH1fy9kkw","Japanese Breakfast","2018-04-25","https://i.scdn.co/image/ab67616d0000b273283d22f50523476069f33071","1","1","198245","","false","0","USJ5G1816901","spotify:user:jeongshin","2021-11-08T18:19:41Z"
"spotify:track:5IwiZFGqfB1Mxw4a7svjw7","Dreams - Recorded at Spotify Studios NYC","spotify:artist:7MoIc5s9KXolCBH1fy9kkw","Japanese Breakfast","spotify:album:1rtDBUaEYqsCu2qIQGfbvI","Spotify Singles","spotify:artist:7MoIc5s9KXolCBH1fy9kkw","Japanese Breakfast","2018-04-25","https://i.scdn.co/image/ab67616d0000b273283d22f50523476069f33071","1","2","279232","","false","0","USJ5G1816902","spotify:user:jeongshin","2021-11-08T18:19:44Z"
"spotify:track:6WVheb5G29cbDOzF4qMfli","Road Head","spotify:artist:7MoIc5s9KXolCBH1fy9kkw","Japanese Breakfast","spotify:album:6AOaqWipm2Zk0oBp0uUey2","Soft Sounds from Another Planet","spotify:artist:7MoIc5s9KXolCBH1fy9kkw","Japanese Breakfast","2017-07-14","https://i.scdn.co/image/ab67616d0000b27397e74e852b3ccf09aebc917c","1","2","195106","","false","0","USJ5G1713302","spotify:user:jeongshin","2021-11-08T18:19:48Z"
"spotify:track:1NZ2QNpN1jWvCOuUEN6VZ1","Soft Sounds from Another Planet","spotify:artist:7MoIc5s9KXolCBH1fy9kkw","Japanese Breakfast","spotify:album:6AOaqWipm2Zk0oBp0uUey2","Soft Sounds from Another Planet","spotify:artist:7MoIc5s9KXolCBH1fy9kkw","Japanese Breakfast","2017-07-14","https://i.scdn.co/image/ab67616d0000b27397e74e852b3ccf09aebc917c","1","5","200973","","false","0","USJ5G1713305","spotify:user:jeongshin","2021-11-08T18:19:51Z"
"spotify:track:0De8H4o9xzPtjRp9dns0L5","Boyish","spotify:artist:7MoIc5s9KXolCBH1fy9kkw","Japanese Breakfast","spotify:album:6AOaqWipm2Zk0oBp0uUey2","Soft Sounds from Another Planet","spotify:artist:7MoIc5s9KXolCBH1fy9kkw","Japanese Breakfast","2017-07-14","https://i.scdn.co/image/ab67616d0000b27397e74e852b3ccf09aebc917c","1","6","213986","","false","0","USJ5G1713306","spotify:user:jeongshin","2021-11-08T18:19:54Z"
"spotify:track:6P5VAQAmO6i2kBjk5WvJ7t","Everybody Wants to Love You - Audiotree Live Version","spotify:artist:7MoIc5s9KXolCBH1fy9kkw, spotify:artist:1j8QyWpOJKAe6Iw2KvEg2j","Japanese Breakfast, Audiotree","spotify:album:04Gdmj42ybAsx9AJ2Bbk56","Japanese Breakfast on Audiotree Live","spotify:artist:7MoIc5s9KXolCBH1fy9kkw, spotify:artist:1j8QyWpOJKAe6Iw2KvEg2j","Japanese Breakfast, Audiotree","2016-08-16","https://i.scdn.co/image/ab67616d0000b27342e6b6364e8db2eef3983db5","1","2","132317","https://p.scdn.co/mp3-preview/03904bc0f9d298388b8fac4458a09c4416041586?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","QM99V1609502","spotify:user:jeongshin","2021-11-08T18:19:59Z"
"spotify:track:7vKMp9RBcZHn9ZaZhy2DVv","In Heaven","spotify:artist:7MoIc5s9KXolCBH1fy9kkw","Japanese Breakfast","spotify:album:3i7EHinpu9J5MXKMzjpjZ0","Psychopomp","spotify:artist:7MoIc5s9KXolCBH1fy9kkw","Japanese Breakfast","2016-04-01","https://i.scdn.co/image/ab67616d0000b2736b3d417dd6a2f0cc0b913361","1","1","230322","","false","0","USA2P1569458","spotify:user:jeongshin","2021-11-08T18:20:03Z"
