"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:78WVLOP9pN0G3gRLFy1rAa","Piano Man","spotify:artist:6zFYqv1mOsgBRQbae3JJ9e","Billy Joel","spotify:album:77ErLrVvYETIlQJHAwhfIH","Piano Man","spotify:artist:6zFYqv1mOsgBRQbae3JJ9e","Billy Joel","1973-11-09","https://i.scdn.co/image/ab67616d0000b273db9c8abe838bbfb28ed5cc06","1","2","336200","https://p.scdn.co/mp3-preview/8344872437f1b1ad55f46977171126bdf3e34e35?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","USSM17300504","spotify:user:jeongshin","2017-09-03T22:45:20Z"
"spotify:track:5RgFlk1fcClZd0Y4SGYhqH","She's Always a Woman","spotify:artist:6zFYqv1mOsgBRQbae3JJ9e","Billy Joel","spotify:album:1Mhn9VosyjtWn4dMPFlna6","The Stranger (Legacy Edition)","spotify:artist:6zFYqv1mOsgBRQbae3JJ9e","Billy Joel","1977","https://i.scdn.co/image/ab67616d0000b2736ce61113662ecf693b605ee5","1","7","201373","https://p.scdn.co/mp3-preview/683fb824088e7713ccfdd520becab33b041574ff?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","USSM17700375","spotify:user:jeongshin","2017-09-03T22:48:27Z"
"spotify:track:3Cx4yrFaX8CeHwBMReOWXI","We Didn't Start the Fire","spotify:artist:6zFYqv1mOsgBRQbae3JJ9e","Billy Joel","spotify:album:1Vw2uoVkLAJFVViJ1QyK1D","Storm Front","spotify:artist:6zFYqv1mOsgBRQbae3JJ9e","Billy Joel","1989-10-17","https://i.scdn.co/image/ab67616d0000b2731946747b8692919f98918ec4","1","2","287733","https://p.scdn.co/mp3-preview/e7980f6596f50ca919f025ad49130dd11ca60f41?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","USSM18900217","spotify:user:jeongshin","2017-09-03T23:03:58Z"
"spotify:track:5CQ30WqJwcep0pYcV4AMNc","Stairway to Heaven - Remaster","spotify:artist:36QJpDe2go2KgaRleHCDTp","Led Zeppelin","spotify:album:44Ig8dzqOkvkGDzaUof9lK","Led Zeppelin IV (Deluxe Edition)","spotify:artist:36QJpDe2go2KgaRleHCDTp","Led Zeppelin","1971-11-08","https://i.scdn.co/image/ab67616d0000b273c8a11e48c91a982d086afc69","1","4","482830","https://p.scdn.co/mp3-preview/337c8d45ac66899bc2db9ef3ed9438fe1d035ab1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","USAT21300959","spotify:user:jeongshin","2017-09-03T23:15:07Z"
"spotify:track:5zA8vzDGqPl2AzZkEYQGKh","Uptown Girl","spotify:artist:6zFYqv1mOsgBRQbae3JJ9e","Billy Joel","spotify:album:3R3x4zIabsvpD3yxqLaUpc","An Innocent Man","spotify:artist:6zFYqv1mOsgBRQbae3JJ9e","Billy Joel","1983-08-08","https://i.scdn.co/image/ab67616d0000b273814cbc4746358a25c84c62e7","1","6","197706","https://p.scdn.co/mp3-preview/62bccc2f61bb990df31d1a247a3bf69efd32da18?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","USSM18300270","spotify:user:jeongshin","2017-09-04T01:05:50Z"
"spotify:track:4U45aEWtQhrm8A5mxPaFZ7","Vienna","spotify:artist:6zFYqv1mOsgBRQbae3JJ9e","Billy Joel","spotify:album:1Mhn9VosyjtWn4dMPFlna6","The Stranger (Legacy Edition)","spotify:artist:6zFYqv1mOsgBRQbae3JJ9e","Billy Joel","1977","https://i.scdn.co/image/ab67616d0000b2736ce61113662ecf693b605ee5","1","5","214240","https://p.scdn.co/mp3-preview/20063b69f912e042929de74af0b77271ec3376c5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","USSM17700373","spotify:user:jeongshin","2017-09-09T02:55:02Z"
"spotify:track:2DpJ9T2RVRanZcYFHKOAfA","Put Your Head On My Shoulder","spotify:artist:7ceUfdWq2t5nbatS6ollHh","Paul Anka","spotify:album:75zBkbUSaFzpyPa1mBDjON","Put Your Head On My Shoulder: The Very Best Of Paul Anka","spotify:artist:7ceUfdWq2t5nbatS6ollHh","Paul Anka","2000-10-03","https://i.scdn.co/image/ab67616d0000b273686c29818cd37e585c48e7ef","1","5","154733","https://p.scdn.co/mp3-preview/32c2ac3e4338acbf295d20969d2ecfc4cf9f8fbf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USRC10000600","spotify:user:jeongshin","2017-10-29T06:55:51Z"
"spotify:track:5jgFfDIR6FR0gvlA56Nakr","Blackbird - Remastered 2009","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","spotify:album:1klALx0u4AavZNEvC4LrTL","The Beatles (Remastered)","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","1968-11-22","https://i.scdn.co/image/ab67616d0000b2734ce8b4e42588bf18182a1ad2","1","11","138386","https://p.scdn.co/mp3-preview/f67978ea311cf631776be6bc403b31204d0cccec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","GBAYE0601654","spotify:user:jeongshin","2017-12-14T03:41:58Z"
"spotify:track:7iN1s7xHE4ifF5povM6A48","Let It Be - Remastered 2009","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","spotify:album:0jTGHV5xqHPvEcwL8f6YU5","Let It Be (Remastered)","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","1970-05-08","https://i.scdn.co/image/ab67616d0000b27384243a01af3c77b56fe01ab1","1","6","243026","https://p.scdn.co/mp3-preview/31f65b6a613010f22316c7be335b62226cf2f263?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","GBAYE0601713","spotify:user:jeongshin","2017-12-14T03:42:01Z"
"spotify:track:63T7DJ1AFDD6Bn8VzG6JE8","Paint It, Black","spotify:artist:22bE4uQ6baNwSHPVcDxLCe","The Rolling Stones","spotify:album:72qrnM4yUNMDDlWiqKc8iY","Aftermath","spotify:artist:22bE4uQ6baNwSHPVcDxLCe","The Rolling Stones","1966-04-15","https://i.scdn.co/image/ab67616d0000b273bad7062c3fd2f2d037989694","1","1","202266","https://p.scdn.co/mp3-preview/1db9cec19ec2902b6071214ba3d8f5519f8593c6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","85","USA176610020","spotify:user:jeongshin","2018-03-04T23:09:43Z"
"spotify:track:2WfaOiMkCvy7F5fcp2zZ8L","Take on Me","spotify:artist:2jzc5TC5TVFLXQlBNiIUzE","a-ha","spotify:album:1ER3B6zev5JEAaqhnyyfbf","Hunting High and Low","spotify:artist:2jzc5TC5TVFLXQlBNiIUzE","a-ha","1985-06-01","https://i.scdn.co/image/ab67616d0000b273e8dd4db47e7177c63b0b7d53","1","1","225280","https://p.scdn.co/mp3-preview/ed66a8c444c35b2f5029c04ae8e18f69d952c2bb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","90","USWB19901214","spotify:user:jeongshin","2018-07-25T19:40:36Z"
"spotify:track:4igIYHF3B5VBxEafHauVo3","Fat Bottomed Girls - Remastered 2011","spotify:artist:1dfeR4HaWDbWqFHLkxsg1d","Queen","spotify:album:21HMAUrbbYSj9NiPPlGumy","Jazz (Deluxe Remastered Version)","spotify:artist:1dfeR4HaWDbWqFHLkxsg1d","Queen","1978-11-10","https://i.scdn.co/image/ab67616d0000b273008b06ec71019afd70153889","1","2","255600","https://p.scdn.co/mp3-preview/aca3deba9be05ed2822eedcb049466f0981f159b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","GBUM71029607","spotify:user:jeongshin","2018-07-31T06:06:35Z"
"spotify:track:2DexIlEkLb0hKRVtyoreXn","Santeria","spotify:artist:0EdvGhlC1FkGItLOWQzG4J","Sublime","spotify:album:243wqukvimLglvClDVsfHJ","Sublime (Deluxe Edition)","spotify:artist:0EdvGhlC1FkGItLOWQzG4J","Sublime","1996-07-30","https://i.scdn.co/image/ab67616d0000b273844ff9f6694809e2ab9539e1","1","8","183173","","false","0","USGA19649253","spotify:user:jeongshin","2018-07-31T06:06:40Z"
"spotify:track:0RFgvrhkf9FiDRLA0BhzpZ","Drift Away","spotify:artist:2DnqqkzzDKm3vAoyHtn8So","Uncle Kracker","spotify:album:1qv4N04uuM0EfIjaJZTAj9","No Stranger to Shame","spotify:artist:2DnqqkzzDKm3vAoyHtn8So","Uncle Kracker","2002-07-09","https://i.scdn.co/image/ab67616d0000b273efbcab3253cf66cc8ca42172","1","5","255560","https://p.scdn.co/mp3-preview/526c702c941ef38cf6dcdc4b66a7c2b7c4c7f69f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","USAT20200718","spotify:user:jeongshin","2018-07-31T06:08:42Z"
"spotify:track:3NfxSdJnVdon1axzloJgba","I Say a Little Prayer","spotify:artist:7nwUJBm0HE4ZxD3f5cy5ok","Aretha Franklin","spotify:album:55HZ2ectg1mMTEKDqIq3kC","Aretha Now","spotify:artist:7nwUJBm0HE4ZxD3f5cy5ok","Aretha Franklin","1968-06-14","https://i.scdn.co/image/ab67616d0000b27346c31f64babcbfca6e061b6b","1","2","216773","https://p.scdn.co/mp3-preview/15d06d515184acb84a761784bf46efb2289740e8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USAT20801207","spotify:user:jeongshin","2018-08-17T04:37:25Z"
"spotify:track:2PzCOP5Aj9SABiBgNEZ52G","Gimme! Gimme! Gimme! (A Man After Midnight)","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","spotify:album:0zdZSyxWaYmaRMPeUHcG1K","Voulez-Vous","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","1979","https://i.scdn.co/image/ab67616d0000b273e47ce0362dd11917fb8307f1","1","13","292571","","false","0","SEAYD7901120","spotify:user:jeongshin","2018-08-24T01:02:07Z"
