"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:7wjozsMUHM76pFPdhWVFAB","From The Back of a Cab","spotify:artist:04XggbrM51GcFPTxBYtRXT","Rostam","spotify:album:7v5Vuz4HyHldAgTG9NpcFY","Changephobia","spotify:artist:04XggbrM51GcFPTxBYtRXT","Rostam","2021-06-04","https://i.scdn.co/image/ab67616d0000b273bbf154638a4a748448710ce2","1","2","167320","https://p.scdn.co/mp3-preview/76acdbe7b7eab0f41bd6cd65f9a11bafa01798aa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","QMB622000402","spotify:user:jeongshin","2022-10-28T16:51:38Z"
"spotify:track:1cNQtla3jWus7dSwfJV1oG","Wolf - Boys Noize Remix","spotify:artist:3TNt4aUIxgfy9aoaft5Jj2, spotify:artist:62k5LKMhymqlDNo2DWOvvv","Yeah Yeah Yeahs, Boys Noize","spotify:album:6sx8z31IKn73hte9q9SzyI","Wolf (Boys Noize Remix)","spotify:artist:3TNt4aUIxgfy9aoaft5Jj2, spotify:artist:62k5LKMhymqlDNo2DWOvvv","Yeah Yeah Yeahs, Boys Noize","2022-10-28","https://i.scdn.co/image/ab67616d0000b273a09e5d616cf8a9009f355d3b","1","1","301219","https://p.scdn.co/mp3-preview/9d2f84c65f46714780d7aa090af91b309e86a598?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","US38W2247013","spotify:user:jeongshin","2022-10-28T17:41:54Z"
"spotify:track:3Y0SA1vOKOXdywTYUqeIA8","Winter Solstice","spotify:artist:1xU878Z1QtBldR7ru9owdU","Phoenix","spotify:album:76ZPEP13Boqv4Da5XihzG0","Winter Solstice","spotify:artist:1xU878Z1QtBldR7ru9owdU","Phoenix","2022-10-20","https://i.scdn.co/image/ab67616d0000b2732a2a59b2c57daeeca24a2e7a","1","1","236240","https://p.scdn.co/mp3-preview/f42656616b98155a176c17a6b4f64270e728b7fc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","FR9W12219633","spotify:user:jeongshin","2022-10-31T16:34:45Z"
"spotify:track:6chIuYEKToP0M1vg0fXN95","Love Factory","spotify:artist:54QMjE4toDfiCryzYWCpXX, spotify:artist:6xBsaFua2lgAUlNv8Yh0nQ","Metronomy, Katy J Pearson","spotify:album:0RZAwFJb7dAWACcbmfzBQ3","Love Factory","spotify:artist:54QMjE4toDfiCryzYWCpXX, spotify:artist:6xBsaFua2lgAUlNv8Yh0nQ","Metronomy, Katy J Pearson","2022-10-12","https://i.scdn.co/image/ab67616d0000b2739f12de09e03058acaf17ea79","1","1","319777","https://p.scdn.co/mp3-preview/c4578f4ee7b68c6b1f285fe903ebe4e467aa1af6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","GBMVH2200790","spotify:user:jeongshin","2022-11-02T02:39:33Z"
"spotify:track:3B3eOgLJSqPEA0RfboIQVM","Skinny Love","spotify:artist:4LEiUm1SRbFMgfqnQTwUbQ","Bon Iver","spotify:album:7EJ0OT5ZqybXxcYRa6mccM","For Emma, Forever Ago","spotify:artist:4LEiUm1SRbFMgfqnQTwUbQ","Bon Iver","2008-02-19","https://i.scdn.co/image/ab67616d0000b273bf7c317a63c4f128b8823406","1","3","238520","https://p.scdn.co/mp3-preview/1515eb484a60f93e23e70b40acdcea8351365cef?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","US38Y0811503","spotify:user:jeongshin","2022-11-03T04:41:36Z"
"spotify:track:6MpKc6ceAd2fAMEpkLxkiF","Lump Sum","spotify:artist:4LEiUm1SRbFMgfqnQTwUbQ","Bon Iver","spotify:album:7EJ0OT5ZqybXxcYRa6mccM","For Emma, Forever Ago","spotify:artist:4LEiUm1SRbFMgfqnQTwUbQ","Bon Iver","2008-02-19","https://i.scdn.co/image/ab67616d0000b273bf7c317a63c4f128b8823406","1","2","201066","https://p.scdn.co/mp3-preview/c166234dca9c53ab5e4c359d1aec5bf9a562b691?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","US38Y0811502","spotify:user:jeongshin","2022-11-03T17:50:29Z"
"spotify:track:4yVrfsUNtc5RS7nbOv8hHA","Indiana","spotify:artist:4aKWmkWAKviFlyvHYPTNQY, spotify:artist:4mYY0UqYdvgdz60psupYBR","Adrianne Lenker, Buck Meek","spotify:album:5rwqvk7OpTco8gcX8LarT1","a-sides","spotify:artist:4aKWmkWAKviFlyvHYPTNQY, spotify:artist:4mYY0UqYdvgdz60psupYBR","Adrianne Lenker, Buck Meek","2014-05-01","https://i.scdn.co/image/ab67616d0000b273d654d9fba6c89f44b14f8848","1","5","157440","https://p.scdn.co/mp3-preview/50f627fe13e8d7c8c9a1e12900f33284cc073203?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","US2U61828105","spotify:user:jeongshin","2022-11-03T17:55:46Z"
"spotify:track:2FwDApgXk91kXvqy2oB7dz","Simulation Swarm","spotify:artist:5QdyldG4Fl4TPiOIeMNpBZ","Big Thief","spotify:album:7Ln81p86r5cCsesd3KBWIY","Dragon New Warm Mountain I Believe In You","spotify:artist:5QdyldG4Fl4TPiOIeMNpBZ","Big Thief","2022-02-11","https://i.scdn.co/image/ab67616d0000b2739ec66d199c19d227f5c37a68","1","17","252733","https://p.scdn.co/mp3-preview/23e3fca9951813be1509ab05693b3271a6a854df?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","GBAFL2100193","spotify:user:jeongshin","2022-11-03T17:55:56Z"
"spotify:track:2rCFBMdyuqqoO1LAuYggw6","I Can't Make You Love Me - AIR Studios – 4AD/Jagjaguwar Session","spotify:artist:4LEiUm1SRbFMgfqnQTwUbQ","Bon Iver","spotify:album:6xfOCqmQvpvgR5aq6fpKMD","Bon Iver (10th Anniversary Edition)","spotify:artist:4LEiUm1SRbFMgfqnQTwUbQ","Bon Iver","2022-03-25","https://i.scdn.co/image/ab67616d0000b273af68a73e89824d0101781c0b","1","13","286661","https://p.scdn.co/mp3-preview/79d0f3f78ef81119c0f7b90ca095e50b64312aa0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","US38Y1713503","spotify:user:jeongshin","2022-11-03T21:21:09Z"
"spotify:track:7boY9U14Ss41yLp320uVGX","Juniper","spotify:artist:3ZH4IYVc5qVlKyJoZhGpwy","Katy Kirby","spotify:album:584CDFxeA55Hrr1dydGfQE","Cool Dry Place","spotify:artist:3ZH4IYVc5qVlKyJoZhGpwy","Katy Kirby","2021-02-19","https://i.scdn.co/image/ab67616d0000b273e14cb4d21a1f7b8a9c9f2539","1","2","159453","https://p.scdn.co/mp3-preview/d4fa6213588f01f0c8a2e4541d967e04ced0c6d3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","QZEPW1904602","spotify:user:jeongshin","2022-11-03T22:49:23Z"
