"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2M9ro2krNb7nr7HSprkEgo","Fast Car","spotify:artist:7oPgCQqMMXEXrNau5vxYZP","Tracy Chapman","spotify:album:6hmmX5UP4rIvOpGSaPerV8","Tracy Chapman","spotify:artist:7oPgCQqMMXEXrNau5vxYZP","Tracy Chapman","1988-04-05","https://i.scdn.co/image/ab67616d0000b2737602becfedf6e25752cb54ff","1","2","296800","https://p.scdn.co/mp3-preview/ce0d4429f7d48e488e464ecf03a690ada14da02c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","USEE10180719","spotify:user:jeongshin","2020-08-03T19:59:43Z"
"spotify:track:3d9DChrdc6BOeFsbrZ3Is0","Under the Bridge","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","spotify:album:30Perjew8HyGkdSmqguYyg","Blood Sugar Sex Magik (Deluxe Edition)","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","1991-09-24","https://i.scdn.co/image/ab67616d0000b273153d79816d853f2694b2cc70","1","11","264306","https://p.scdn.co/mp3-preview/46b0229c06712c5b5e143724c0617e51a9b6e432?cid=9950ac751e34487dbbe027c4fd7f8e99","false","87","USWB19901576","spotify:user:jeongshin","2020-08-04T00:09:14Z"
"spotify:track:6sy3LkhNFjJWlaeSMNwQ62","Counting Stars","spotify:artist:5Pwc4xIPtQLFEnJriah9YJ","OneRepublic","spotify:album:2bbhW5ifCwOYM8DMkqoYBF","Native","spotify:artist:5Pwc4xIPtQLFEnJriah9YJ","OneRepublic","2014-01-01","https://i.scdn.co/image/ab67616d0000b273e80e7dbce3996a1ae5967751","1","1","257840","https://p.scdn.co/mp3-preview/6316f6cf12631da62c5b786421b25e66c3ab4ea6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","USUM71301306","spotify:user:jeongshin","2020-08-04T00:25:06Z"
"spotify:track:7eqoqGkKwgOaWNNHx90uEZ","Nights","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","spotify:album:3mH6qwIy9crq0I9YQbOuDf","Blonde","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","2016-08-20","https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526","1","9","307151","https://p.scdn.co/mp3-preview/478a51ff059dc1abb20548ac2f3d3d73d75c3cb7?cid=9950ac751e34487dbbe027c4fd7f8e99","true","81","QZ5C81600009","spotify:user:jeongshin","2020-08-04T06:12:08Z"
"spotify:track:1l9hj8jFK4bEsRguwqMrKJ","Driving to Hawaii","spotify:artist:3MATPJ9tYbcMhw5VOZrRU6","Summer Salt","spotify:album:4L9FjG1yvRSXhjFUyTkP4T","Driving to Hawaii","spotify:artist:3MATPJ9tYbcMhw5VOZrRU6","Summer Salt","2014-10-14","https://i.scdn.co/image/ab67616d0000b273c4c9ca67b07423071204c0b1","1","4","188183","https://p.scdn.co/mp3-preview/04f873899a0b169840671e80f48e087a4a68b857?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","QM4DW1545103","spotify:user:jeongshin","2020-08-04T19:58:52Z"
"spotify:track:2WrzwxqDxBWcWYkk9DAJ9j","Candy Wrappers","spotify:artist:3MATPJ9tYbcMhw5VOZrRU6","Summer Salt","spotify:album:3cRKFC6SpDSieD1UXfV6Fv","So Polite","spotify:artist:3MATPJ9tYbcMhw5VOZrRU6","Summer Salt","2017-07-18","https://i.scdn.co/image/ab67616d0000b27372dda75d6fb0b8d524476595","1","1","194418","https://p.scdn.co/mp3-preview/c801c22f00f2aae943e43493edc8d3e4a9fab43e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","QZ8LD1739331","spotify:user:jeongshin","2020-08-04T19:59:54Z"
"spotify:track:57RA3JGafJm5zRtKJiKPIm","Are You Bored Yet? (feat. Clairo)","spotify:artist:0NIPkIjTV8mB795yEIiPYL, spotify:artist:3l0CmX0FuQjFxr8SK7Vqag","Wallows, Clairo","spotify:album:7eed9MBclFPjjjvotfR2e9","Nothing Happens","spotify:artist:0NIPkIjTV8mB795yEIiPYL","Wallows","2019-03-22","https://i.scdn.co/image/ab67616d0000b27384feca0133d9a8e6539a8325","1","4","178000","https://p.scdn.co/mp3-preview/7149829d4c4645d0d4d7c9b13285879d68042a72?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","USAT21812258","spotify:user:jeongshin","2020-08-04T20:03:24Z"
"spotify:track:1pNUmVxDiE8t6P1XxcZAv8","Scrawny","spotify:artist:0NIPkIjTV8mB795yEIiPYL","Wallows","spotify:album:7eed9MBclFPjjjvotfR2e9","Nothing Happens","spotify:artist:0NIPkIjTV8mB795yEIiPYL","Wallows","2019-03-22","https://i.scdn.co/image/ab67616d0000b27384feca0133d9a8e6539a8325","1","5","166520","https://p.scdn.co/mp3-preview/dd8b794a0c05340ff0b2977db51943b509c28a05?cid=9950ac751e34487dbbe027c4fd7f8e99","true","70","USAT21812259","spotify:user:jeongshin","2020-08-04T20:05:38Z"
"spotify:track:4fPBB44eDH71YohayI4eKV","You Only Live Once","spotify:artist:0epOFNiUfyON9EYx7Tpr6V","The Strokes","spotify:album:1HQ61my1h3VWp2EBWKlp0n","First Impressions Of Earth","spotify:artist:0epOFNiUfyON9EYx7Tpr6V","The Strokes","2006-01-03","https://i.scdn.co/image/ab67616d0000b2736898a982ff3c6049ba52586c","1","1","189226","https://p.scdn.co/mp3-preview/4e65165f1a88d641bec5f181ffb8ba4d516a9c39?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","USRC10503559","spotify:user:jeongshin","2020-08-05T02:54:07Z"
"spotify:track:2d1VRB0OXkwtMu0OKsxXDW","Never Enough","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","spotify:album:2NBVxjZcbH5H1N1Ab2ExDH","Apricot Princess","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","2017-04-26","https://i.scdn.co/image/ab67616d0000b27394c6cd33b8be451c2372c6fa","1","9","298520","","true","0","US23A1500503","spotify:user:jeongshin","2020-08-06T22:08:34Z"
