"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4PAR0Zp6Mbu3p6NKYClgBr","NYC","spotify:artist:3WaJSfKnzc65VDgmj2zU8B","Interpol","spotify:album:4sW8Eql2e2kdRP1A1R1clG","Turn On The Bright Lights","spotify:artist:3WaJSfKnzc65VDgmj2zU8B","Interpol","2002-08-20","https://i.scdn.co/image/ab67616d0000b27314f8df9fb9c2d3056a994390","1","3","259733","https://p.scdn.co/mp3-preview/928886449b2d63e270d25f851a53b16db04c0db4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","USMTD0254503","spotify:user:jeongshin","2023-06-17T00:53:13Z"
"spotify:track:42DSTal38NakfMCu7RuNcv","Make You Feel Better","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","spotify:album:7xl50xr9NDkd3i2kBbzsNZ","Stadium Arcadium","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","2006-05-09","https://i.scdn.co/image/ab67616d0000b27309fd83d32aee93dceba78517","2","8","231733","https://p.scdn.co/mp3-preview/9abfec67532e01ec752cf1d4b6dc59ac0b22730c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","USWB10601611","spotify:user:jeongshin","2023-06-18T01:45:04Z"
"spotify:track:2E69siDC6P2Rb2Cu3aITA3","Spitting Off the Edge of the World - Lush Version","spotify:artist:3TNt4aUIxgfy9aoaft5Jj2, spotify:artist:2ueoLVCXQ948OfhVvAy3Nn","Yeah Yeah Yeahs, Perfume Genius","spotify:album:59XfuTU6jkZ1yVrgqes1VH","Spitting Off the Edge of the World (Lush Version)","spotify:artist:3TNt4aUIxgfy9aoaft5Jj2","Yeah Yeah Yeahs","2023-06-15","https://i.scdn.co/image/ab67616d0000b2734c227aa1d00bd44d1c6f3170","1","1","263571","https://p.scdn.co/mp3-preview/0f1d894f22e9053770fb3ca5b6d9d109bcb09521?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","US38W2347003","spotify:user:jeongshin","2023-06-18T21:19:08Z"
"spotify:track:4k6Uh1HXdhtusDW5y8Gbvy","Bad Habit","spotify:artist:57vWImR43h4CaDao012Ofp","Steve Lacy","spotify:album:3Ks0eeH0GWpY4AU20D5HPD","Gemini Rights","spotify:artist:57vWImR43h4CaDao012Ofp","Steve Lacy","2022-07-15","https://i.scdn.co/image/ab67616d0000b27368968350c2550e36d96344ee","1","5","232066","https://p.scdn.co/mp3-preview/efe7c2fdd8fa727a108a1270b114ebedabfd766c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","84","USRC12201440","spotify:user:jeongshin","2023-06-19T18:20:32Z"
"spotify:track:13OIGiMH6lIm7FYRKAxCe9","Where I Go (feat. H.E.R.)","spotify:artist:6PEMFpe3PTOksdV4ZXUpbE, spotify:artist:3jK9MiCrA42lLAdMGUZpwa, spotify:artist:3Y7RZ31TRPVadSFVy1o8os, spotify:artist:17Zu03OgBVxgLxWmRUyNOJ","NxWorries, Anderson .Paak, H.E.R., Knxwledge","spotify:album:2x7bjrZNDZ7hNcosj0dS39","Daydreaming","spotify:artist:6PEMFpe3PTOksdV4ZXUpbE, spotify:artist:3jK9MiCrA42lLAdMGUZpwa, spotify:artist:17Zu03OgBVxgLxWmRUyNOJ","NxWorries, Anderson .Paak, Knxwledge","2023-05-18","https://i.scdn.co/image/ab67616d0000b273b9690a7498297191e2797716","1","2","201026","https://p.scdn.co/mp3-preview/8e962db337361f5cd4e2d291a1dd9e035577694c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","37","US2S71670059","spotify:user:jeongshin","2023-06-21T18:11:46Z"
"spotify:track:6KzI6EM1QYyOq5oudPlcWT","Alive!","spotify:artist:3K2Srho6NCF3o9MswGR76H","Bakar","spotify:album:0lvFKHiygKiwhKHNYPmRzn","Alive!","spotify:artist:3K2Srho6NCF3o9MswGR76H","Bakar","2023-06-21","https://i.scdn.co/image/ab67616d0000b27361d4af681a8ac1d3b2da3544","1","1","232133","https://p.scdn.co/mp3-preview/053568d97530cd7d3400a6485256c8950f5efdc6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","GBARL2300706","spotify:user:jeongshin","2023-06-21T18:41:43Z"
"spotify:track:6gJxzkUOyC30TxOkWw2LDH","Window Shopper - Spotify Singles","spotify:artist:7vNNmjV14SKQzlQAEg0BXP","Jean Dawson","spotify:album:5LXycmANKuQOmsJK2ddbwi","Spotify Singles","spotify:artist:7vNNmjV14SKQzlQAEg0BXP","Jean Dawson","2023-06-14","https://i.scdn.co/image/ab67616d0000b2738f0ef8c27e0dfdf14c549961","1","2","196992","https://p.scdn.co/mp3-preview/44ea90b9128200498e2d32dda25dcdb88e85e063?cid=9950ac751e34487dbbe027c4fd7f8e99","true","37","QZ9H32300046","spotify:user:jeongshin","2023-06-21T18:52:32Z"
"spotify:track:3D0f0MBn3KBpLVEN7mLhhK","WW1 Portraits","spotify:artist:0vW8z9pZMGCcRtGPGtyqiB","The Maccabees","spotify:album:7oHYVWE7EH2WFdZ36N2rEU","Marks To Prove It","spotify:artist:0vW8z9pZMGCcRtGPGtyqiB","The Maccabees","2015-07-31","https://i.scdn.co/image/ab67616d0000b27352543c8682e70016668ae613","1","9","198466","https://p.scdn.co/mp3-preview/e2f8e6dd3cced8fcca1a4f701a61687aedd708e9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","GBUM71502660","spotify:user:jeongshin","2023-06-21T19:05:08Z"
"spotify:track:4Tq3QocH9Okvn4wDgTlkR5","We Stayed Up All Night","spotify:artist:2ABBMkcUeM9hdpimo86mo6, spotify:artist:4Ibjhh0sibd5FrMcot5aOu","Tourist, Ardyn","spotify:album:0iKdUVQXTroQwMLsCEaVPy","We Stayed Up All Night","spotify:artist:2ABBMkcUeM9hdpimo86mo6, spotify:artist:4Ibjhh0sibd5FrMcot5aOu","Tourist, Ardyn","2017-06-27","https://i.scdn.co/image/ab67616d0000b27362e6c93be77451879c72bd35","1","1","265758","https://p.scdn.co/mp3-preview/5b857e1c4b5752082ef769dc5a48528a1f64e05e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","QMUY41700064","spotify:user:jeongshin","2023-06-21T19:09:28Z"
"spotify:track:4ydzIb3mPmiSm30PIMIrq8","Sinking Ship","spotify:artist:6p2HnfM955TI1bX34dkLnI","The Backseat Lovers","spotify:album:3TSMSh5dai7WEnEGOoMXBZ","When We Were Friends","spotify:artist:6p2HnfM955TI1bX34dkLnI","The Backseat Lovers","2019-01-27","https://i.scdn.co/image/ab67616d0000b2738386795a636d72e74c958590","1","9","307941","https://p.scdn.co/mp3-preview/62710c0ca617593f66d9d6e85a0c061e02201a66?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","USL4Q1825577","spotify:user:jeongshin","2023-06-22T20:21:29Z"
"spotify:track:3LsVFlQZKIchCTOvmW9nl0","Kisscam","spotify:artist:5Di08gV05tD50bwrkm4uBv","Turtlenecked","spotify:album:1MoDKhN7enZNsWKiuicgOM","Kapow!","spotify:artist:5Di08gV05tD50bwrkm4uBv","Turtlenecked","2020-05-22","https://i.scdn.co/image/ab67616d0000b273701c69142f01394b5f2c3984","1","6","246386","https://p.scdn.co/mp3-preview/22219b5283cc5003fba757f76c9542f5885d3e3a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","QZHN32027943","spotify:user:jeongshin","2023-06-22T21:11:01Z"
