"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4gHSezW5CHZCvjAUjF2pd5","Another Day in Paradise","spotify:artist:3ApUX1o6oSz321MMECyIYd","Quinn XCII","spotify:album:4Rp02sRtYz5Kp9qHP4VcxQ","Change of Scenery","spotify:artist:3ApUX1o6oSz321MMECyIYd","Quinn XCII","2015-04-28","https://i.scdn.co/image/ab67616d0000b2738fbcfc1032701d6703f10391","1","5","255000","","false","0","ushm21578602","spotify:user:jeongshin","2016-04-29T23:06:16Z"
"spotify:track:3qhobDAfBcVoOWZP8Ck8R2","Ophelia","spotify:artist:16oZKvXb6WkQlVAjwo2Wbg","The Lumineers","spotify:album:6lyCWslIfNEmAWe6ps2KNh","Ophelia","spotify:artist:16oZKvXb6WkQlVAjwo2Wbg","The Lumineers","2016-02-05","https://i.scdn.co/image/ab67616d0000b27302a483a1ff3fe111a9df1eb1","1","1","160097","https://p.scdn.co/mp3-preview/72ddb34d6735c03a8ae82f14d0236ce7b4d47ae4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","USDMG1673802","spotify:user:jeongshin","2016-07-06T05:52:33Z"
"spotify:track:5kZRoc6Gz7u5eu4a0YM2LS","Reality (feat. Janieck Devy) - Radio Edit","spotify:artist:7f5Zgnp2spUuuzKplmRkt7, spotify:artist:5gtYjyZlmPOc1lLHvYzCON","Lost Frequencies, Janieck Devy","spotify:album:5WUXC8UZAuNWPJ6fbhMWTl","Reality (feat. Janieck Devy)","spotify:artist:7f5Zgnp2spUuuzKplmRkt7","Lost Frequencies","2015-07-10","https://i.scdn.co/image/ab67616d0000b2730746949b5fd3ead99f436be7","1","1","158474","https://p.scdn.co/mp3-preview/947f55ce699a179111869bfc8074a6d9a88ac5a7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","NLF711502765","spotify:user:jeongshin","2016-12-16T06:44:13Z"
"spotify:track:4X99feVnw46VIk2VNqWWL3","Catch & Release - Deepend Remix","spotify:artist:1g0fXhQMHAxlRyIBkCbuE7, spotify:artist:0uGApGjjFXKwUOAqYBeX7B","Matt Simons, Deepend","spotify:album:06XxNwvzcfo5ajuFcYGxkS","Catch & Release (Deepend Remix)","spotify:artist:1g0fXhQMHAxlRyIBkCbuE7","Matt Simons","2015-09-18","https://i.scdn.co/image/ab67616d0000b27313011cb6b649a4eccddbdb04","1","1","195573","https://p.scdn.co/mp3-preview/d0ada56f66121f744f134ccc24d1910d50ab5a67?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","NLE3T1400013","spotify:user:jeongshin","2017-03-10T02:25:30Z"
"spotify:track:5K9AcgSi8DK4lZKM2LpFu8","Riptide - FlicFlac Remix","spotify:artist:10exVja0key0uqUkk6LJRT, spotify:artist:118tMA379KP9TjxmsQsLKY","Vance Joy, FlicFlac","spotify:album:7qFH1sf9b1H2voaOgOHn3a","Riptide (Remixes)","spotify:artist:10exVja0key0uqUkk6LJRT","Vance Joy","2014-11-04","https://i.scdn.co/image/ab67616d0000b27374f5012dd4c7951eabbaee65","1","1","339310","https://p.scdn.co/mp3-preview/ac36cd9851f2ff09805f7ff3600f731989d98942?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","USAT21404583","spotify:user:jeongshin","2017-04-23T00:00:12Z"
"spotify:track:6Nl5jjykRxa7salssZ0aER","Without You","spotify:artist:5cIc3SBFuBLVxJz58W2tU9","Oh Wonder","spotify:album:5GXrievxdXgabSPY9gVq5J","Oh Wonder","spotify:artist:5cIc3SBFuBLVxJz58W2tU9","Oh Wonder","2015-09-04","https://i.scdn.co/image/ab67616d0000b2735415d2c17cebb3899f039c37","1","8","224740","","false","0","GB9L31400025","spotify:user:jeongshin","2017-04-25T03:53:58Z"
"spotify:track:3dv9Bvpp9HikNsEvDCKHhC","Spirits","spotify:artist:6ujr1NkqbZpYOhquczUUfl","The Strumbellas","spotify:album:6kwHSCglEAypfrWFaCcRPy","Hope","spotify:artist:6ujr1NkqbZpYOhquczUUfl","The Strumbellas","2016-04-22","https://i.scdn.co/image/ab67616d0000b273fc4410f640dc4dd198b09c8f","1","1","203653","","false","0","CA6MD1500001","spotify:user:jeongshin","2017-04-25T04:12:14Z"
"spotify:track:28C4nmrd7BTu0XbOmaTHZr","Greek Tragedy","spotify:artist:0Ya43ZKWHTKkAbkoJJkwIB","The Wombats","spotify:album:0n5sLhq91buJwIW4j3Ji0I","Glitterbug (Deluxe Edition)","spotify:artist:0Ya43ZKWHTKkAbkoJJkwIB","The Wombats","2015-04-14","https://i.scdn.co/image/ab67616d0000b273b241a0ad9ffc805fe22564f3","1","3","209557","https://p.scdn.co/mp3-preview/985409f5172e2138c91605c7d0b5d5755fdd657a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","GBAHT1400467","spotify:user:jeongshin","2017-05-12T01:29:37Z"
"spotify:track:75vEuMA15pb8JmgrGugHEs","Eenie Meenie","spotify:artist:1uNFoZAHBGtllmzznpCI3s, spotify:artist:6S0dmVVn4udvppDhZIWxCr","Justin Bieber, Sean Kingston","spotify:album:3BmcYMh0KYsimWL6p2gPa9","My World 2.0","spotify:artist:1uNFoZAHBGtllmzznpCI3s","Justin Bieber","2010-01-01","https://i.scdn.co/image/ab67616d0000b273629dc9e2e3bc20bbd7d92e4a","1","8","202626","","false","0","USSM11000616","spotify:user:jeongshin","2017-05-14T04:44:07Z"
"spotify:track:1fjigDQ3XNVgI8Yikxhqo0","17 (feat. Packy)","spotify:artist:3yH5TJUnPNkRwGE6sHHuuS, spotify:artist:18C3NkGkA0HmL5vvZZtXjL","Cyrus, Packy","spotify:album:6prkuryHILK1ox29iYqqb4","Love, Cyrus","spotify:artist:3yH5TJUnPNkRwGE6sHHuuS","Cyrus","2015-05-26","https://i.scdn.co/image/ab67616d0000b273f575e2f71883c29ac3e38b47","1","2","266153","","false","0","TCACG1500756","spotify:user:jeongshin","2017-07-27T17:48:24Z"
