"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:39JRmdKFka1Oe09FoOCPI4","Selah","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:0FgZKfoU2Br5sHOfvZKTI9","JESUS IS KING","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2019-10-25","https://i.scdn.co/image/ab67616d0000b2731bb797bbfe2480650b6c2964","1","2","164619","https://p.scdn.co/mp3-preview/f6fbeeb63e332b6ac298d07361f92140fc5453ef?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","USUM71920452","spotify:user:jeongshin","2019-10-29T18:16:06Z"
"spotify:track:2QpGZOhTCHHiKmpSO9FW4h","Follow God","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:0FgZKfoU2Br5sHOfvZKTI9","JESUS IS KING","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2019-10-25","https://i.scdn.co/image/ab67616d0000b2731bb797bbfe2480650b6c2964","1","3","104591","https://p.scdn.co/mp3-preview/332d97b8a0ff9b94e6789b038c2e96eb32128655?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","USUM71920463","spotify:user:jeongshin","2019-10-29T18:16:06Z"
"spotify:track:2SasoXZyv82yYgHiVOvxQn","On God","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:0FgZKfoU2Br5sHOfvZKTI9","JESUS IS KING","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2019-10-25","https://i.scdn.co/image/ab67616d0000b2731bb797bbfe2480650b6c2964","1","5","136350","https://p.scdn.co/mp3-preview/2c525445ab33eefb648f5a881781109c601db700?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","USUM71920464","spotify:user:jeongshin","2019-10-29T18:16:06Z"
"spotify:track:454Epa1vrCGFddHXKyC1kb","Water","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:028lPW2NdWHdSPCkRkcyhd","Kanye West, Ant Clemons","spotify:album:0FgZKfoU2Br5sHOfvZKTI9","JESUS IS KING","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2019-10-25","https://i.scdn.co/image/ab67616d0000b2731bb797bbfe2480650b6c2964","1","7","168419","https://p.scdn.co/mp3-preview/d5bf63a77d48a8ae871c0bf946845b34357849dd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","USUM71920459","spotify:user:jeongshin","2019-10-29T18:16:06Z"
"spotify:track:7r6aR2f57resC5r93LwMfK","Hands On","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:2ndyVAdV9UqF1XjyTJt484","Kanye West, Fred Hammond","spotify:album:0FgZKfoU2Br5sHOfvZKTI9","JESUS IS KING","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2019-10-25","https://i.scdn.co/image/ab67616d0000b2731bb797bbfe2480650b6c2964","1","9","203174","https://p.scdn.co/mp3-preview/ee547678dcae3ce413b827e7638a0622bb0a8204?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","USUM71920458","spotify:user:jeongshin","2019-10-29T18:16:06Z"
"spotify:track:0oPOuDmmkVp3h6puekhs6P","Use This Gospel","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:2J257euzcjnDLipsyJH3F2, spotify:artist:6I3M904Y9IwgDjrQ9pANiB","Kanye West, Clipse, Kenny G","spotify:album:0FgZKfoU2Br5sHOfvZKTI9","JESUS IS KING","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2019-10-25","https://i.scdn.co/image/ab67616d0000b2731bb797bbfe2480650b6c2964","1","10","213877","https://p.scdn.co/mp3-preview/0c2823d6da46d95ea6383b5d0c01ed362e5074e4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","USUM71920468","spotify:user:jeongshin","2019-10-29T18:16:06Z"
"spotify:track:3aUFrxO1B8EW63QchEl3wX","Feel The Love","spotify:artist:2hPgGN4uhvXAxiXQBIXOmE, spotify:artist:0ONHkAv9pCAFxb0zJwDNTy","KIDS SEE GHOSTS, Pusha T","spotify:album:6pwuKxMUkNg673KETsXPUV","KIDS SEE GHOSTS","spotify:artist:2hPgGN4uhvXAxiXQBIXOmE, spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:0fA0VVWsXO9YnASrzqfmYu","KIDS SEE GHOSTS, Kanye West, Kid Cudi","2018-06-08","https://i.scdn.co/image/ab67616d0000b273013c00ee367dd85396f79c82","1","1","165053","https://p.scdn.co/mp3-preview/f4db77382a5e33c67343ffe313ebddc92fdbadc1?cid=9950ac751e34487dbbe027c4fd7f8e99","true","63","USUM71808242","spotify:user:jeongshin","2019-10-30T04:48:49Z"
"spotify:track:7oHkit3F3vimtsBbnZkU0G","Fire","spotify:artist:2hPgGN4uhvXAxiXQBIXOmE","KIDS SEE GHOSTS","spotify:album:6pwuKxMUkNg673KETsXPUV","KIDS SEE GHOSTS","spotify:artist:2hPgGN4uhvXAxiXQBIXOmE, spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:0fA0VVWsXO9YnASrzqfmYu","KIDS SEE GHOSTS, Kanye West, Kid Cudi","2018-06-08","https://i.scdn.co/image/ab67616d0000b273013c00ee367dd85396f79c82","1","2","140526","https://p.scdn.co/mp3-preview/fccf45b6219761f1947c3c28e56222c4db5d2848?cid=9950ac751e34487dbbe027c4fd7f8e99","true","62","USUM71808244","spotify:user:jeongshin","2019-10-30T04:48:49Z"
"spotify:track:7GRTrWsP3yo2Fx8umJfA1X","Freeee (Ghost Town Pt. 2)","spotify:artist:2hPgGN4uhvXAxiXQBIXOmE, spotify:artist:7c0XG5cIJTrrAgEC3ULPiq","KIDS SEE GHOSTS, Ty Dolla $ign","spotify:album:6pwuKxMUkNg673KETsXPUV","KIDS SEE GHOSTS","spotify:artist:2hPgGN4uhvXAxiXQBIXOmE, spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:0fA0VVWsXO9YnASrzqfmYu","KIDS SEE GHOSTS, Kanye West, Kid Cudi","2018-06-08","https://i.scdn.co/image/ab67616d0000b273013c00ee367dd85396f79c82","1","4","206605","https://p.scdn.co/mp3-preview/daface694481e86cd3b934d7f6a320556e29d10c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","60","USUM71808248","spotify:user:jeongshin","2019-10-30T04:48:49Z"
"spotify:track:4RVbK6cV0VqWdpCDcx3hiT","Reborn","spotify:artist:2hPgGN4uhvXAxiXQBIXOmE","KIDS SEE GHOSTS","spotify:album:6pwuKxMUkNg673KETsXPUV","KIDS SEE GHOSTS","spotify:artist:2hPgGN4uhvXAxiXQBIXOmE, spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:0fA0VVWsXO9YnASrzqfmYu","KIDS SEE GHOSTS, Kanye West, Kid Cudi","2018-06-08","https://i.scdn.co/image/ab67616d0000b273013c00ee367dd85396f79c82","1","5","324674","https://p.scdn.co/mp3-preview/f75ac65c50fcc81e642f58220e7f3abaf827e77a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","71","USUM71808238","spotify:user:jeongshin","2019-10-30T04:48:49Z"
