"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2lu9ElghP2Z0IB0FB6vXAG","Doesn't Really Matter","spotify:artist:1pHO6SCEw9tuRx0IVMFL0g","Barrie","spotify:album:0BFnuCjyfWk2EVc4hyP1Nb","Doesn't Really Matter","spotify:artist:1pHO6SCEw9tuRx0IVMFL0g","Barrie","2022-12-13","https://i.scdn.co/image/ab67616d0000b273da1ec453ae489349b4d66ca8","1","1","132817","https://p.scdn.co/mp3-preview/31e4750180baf1b71fd214dc222b3f6ec1f9400a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","QZ8SH2305003","spotify:user:jeongshin","2022-12-25T03:57:03Z"
"spotify:track:1Dp7whHQLqyhlWV4z8jJc5","Odyssey","spotify:artist:0F9yMp30FUREoa635VLsY8","Julia Pratt","spotify:album:4uuWpzTfQzJp6dV6HrlhgG","Odyssey","spotify:artist:0F9yMp30FUREoa635VLsY8","Julia Pratt","2022-11-23","https://i.scdn.co/image/ab67616d0000b273b46f7f8550aa806e1e72c940","1","1","183320","https://p.scdn.co/mp3-preview/72fee5d9642971d6f93664d92f402079661bef31?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","QZTAW2205770","spotify:user:jeongshin","2022-12-25T04:05:14Z"
"spotify:track:1ONgWG4O8nuAfZYVumTfEd","WET SOCKS","spotify:artist:4qU7IJSReZnsLy5907Mtau","Richy Mitch & The Coal Miners","spotify:album:0t3oaCJMHkuYGA5bYKYZhX","Subliming","spotify:artist:4qU7IJSReZnsLy5907Mtau","Richy Mitch & The Coal Miners","2019-06-20","https://i.scdn.co/image/ab67616d0000b2731a10340fc538a05f1b02382c","1","1","147000","","false","0","SEYOK1932295","spotify:user:jeongshin","2022-12-27T01:13:45Z"
"spotify:track:0lTH3Dt0GlBQhxFHSnaZ7g","ROCKSTAR P","spotify:artist:5SXuuuRpukkTvsLuUknva1","Baby Keem","spotify:album:7Cw4LObzgnVqSlkuIyywtI","DIE FOR MY BITCH","spotify:artist:5SXuuuRpukkTvsLuUknva1","Baby Keem","2019-07-19","https://i.scdn.co/image/ab67616d0000b273683757f1fd40a7f7ef64bec1","1","8","136654","https://p.scdn.co/mp3-preview/7849d41d1c34dd63b2479b7c390227424848bce3?cid=9950ac751e34487dbbe027c4fd7f8e99","true","54","QM6N21900326","spotify:user:jeongshin","2022-12-29T02:28:35Z"
"spotify:track:4MQIDIQjNWkUvpXe5Je7TO","APOLOGIZE","spotify:artist:5SXuuuRpukkTvsLuUknva1","Baby Keem","spotify:album:7Cw4LObzgnVqSlkuIyywtI","DIE FOR MY BITCH","spotify:artist:5SXuuuRpukkTvsLuUknva1","Baby Keem","2019-07-19","https://i.scdn.co/image/ab67616d0000b273683757f1fd40a7f7ef64bec1","1","14","213473","https://p.scdn.co/mp3-preview/3974b7a7d9c3a87688bea44dad746d5c63e00181?cid=9950ac751e34487dbbe027c4fd7f8e99","true","64","QM6P41938942","spotify:user:jeongshin","2022-12-29T02:28:38Z"
"spotify:track:1Avnd5xLg7HmaNofmYk7RQ","Withorwithout","spotify:artist:3oKRxpszQKUjjaHz388fVA","Parcels","spotify:album:6tNAnVG8xrmMbINuWutrNy","Parcels","spotify:artist:3oKRxpszQKUjjaHz388fVA","Parcels","2018-10-12","https://i.scdn.co/image/ab67616d0000b273d26bc8655d6132c9e243f82e","1","3","205048","https://p.scdn.co/mp3-preview/663e22e4faffb41d8b71b1663e87c3478511d7d9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","FRU701800035","spotify:user:jeongshin","2022-12-29T02:35:56Z"
"spotify:track:5yvhdo8FXbBsIllxv2Rr94","Prom","spotify:artist:7tYKF4w9nC0nq9CsPZTHyP","SZA","spotify:album:76290XdXVF9rPzGdNRWdCh","Ctrl","spotify:artist:7tYKF4w9nC0nq9CsPZTHyP","SZA","2017-06-09","https://i.scdn.co/image/ab67616d0000b2734c79d5ec52a6d0302f3add25","1","5","196133","https://p.scdn.co/mp3-preview/428c9bf13664d161c71f4e250eca99e7f9744ef4?cid=9950ac751e34487dbbe027c4fd7f8e99","true","72","USRC11701114","spotify:user:jeongshin","2023-01-07T01:33:03Z"
"spotify:track:3OHfY25tqY28d16oZczHc8","Kill Bill","spotify:artist:7tYKF4w9nC0nq9CsPZTHyP","SZA","spotify:album:07w0rG5TETcyihsEIZR3qG","SOS","spotify:artist:7tYKF4w9nC0nq9CsPZTHyP","SZA","2022-12-09","https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1","1","2","153946","https://p.scdn.co/mp3-preview/49dfe4ea78c5d3c5d2923d4a34c50fc4709855cb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","86","USRC12204584","spotify:user:jeongshin","2023-01-15T05:09:51Z"
"spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2","Snooze","spotify:artist:7tYKF4w9nC0nq9CsPZTHyP","SZA","spotify:album:07w0rG5TETcyihsEIZR3qG","SOS","spotify:artist:7tYKF4w9nC0nq9CsPZTHyP","SZA","2022-12-09","https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1","1","8","201800","https://p.scdn.co/mp3-preview/8c53920b5fd2c3178afa36cac9eec68b5ee9204a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","92","USRC12204591","spotify:user:jeongshin","2023-01-15T05:22:55Z"
"spotify:track:5MKfqLrtXhoq4zZu86BPzA","Sugar in a Bowl","spotify:artist:4dwdTW1Lfiq0cM8nBAqIIz","Of Monsters and Men","spotify:album:3BNRyWlVJZWjakfP0ybfhB","My Head Is An Animal (10th Anniversary Edition)","spotify:artist:4dwdTW1Lfiq0cM8nBAqIIz","Of Monsters and Men","2021-10-29","https://i.scdn.co/image/ab67616d0000b273051b87b2ee1ff378a3874c58","1","14","168626","https://p.scdn.co/mp3-preview/76c086858f7f24915227d7d8495cb6a82f186245?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","USUG12105210","spotify:user:jeongshin","2023-01-15T17:32:06Z"
