"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1zFbBrZmJr1Z49HYe84dBg","Harvey","spotify:artist:77mJc3M7ZT5oOVM7gNdXim","Her's","spotify:album:3w5PWzbOdhuHd2oTynfBJw","Invitation to Her's","spotify:artist:77mJc3M7ZT5oOVM7gNdXim","Her's","2018-08-24","https://i.scdn.co/image/ab67616d0000b273280a001e43c93792dd1e27c7","1","1","211165","https://p.scdn.co/mp3-preview/1aacb90ec06cdd3d8adc975cdc05dfa3e7217c0b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","GBYEJ1800003","spotify:user:jeongshin","2020-04-21T02:42:13Z"
"spotify:track:4W64l7GktcWRZhQWHDoKaF","Lava Lamp","spotify:artist:2Tglaf8nvDzwSQnpSrjLHP","Cuco","spotify:album:2qNtWJtvAT9fZ77NntmnLi","Songs4u","spotify:artist:2Tglaf8nvDzwSQnpSrjLHP","Cuco","2017-01-28","https://i.scdn.co/image/ab67616d0000b2735ba187764d0756cf60fbd10f","1","6","308500","","false","0","USCGH1734819","spotify:user:jeongshin","2020-04-21T02:42:20Z"
"spotify:track:6Owo0mM1eM1Y9mJjR0CFia","She Plays Bass - live from Abbey Road Studios, London","spotify:artist:35l9BRT7MXmM8bv2WDQiyB","beabadoobee","spotify:album:4aopXLUhE3lthQLauMTC8X","Spotify Singles","spotify:artist:35l9BRT7MXmM8bv2WDQiyB","beabadoobee","2019-11-20","https://i.scdn.co/image/ab67616d0000b273d6f2796b9a5ad6d19ba9b00a","1","1","225632","https://p.scdn.co/mp3-preview/9e2145c64259373e358916346a359c2aff8526d3?cid=9950ac751e34487dbbe027c4fd7f8e99","true","32","GBK3W1901187","spotify:user:jeongshin","2020-04-21T02:42:51Z"
"spotify:track:3uFp6gGgNMtSEmzx1cHTG4","Half of the Way","spotify:artist:7pXu47GoqSYRajmBCjxdD6, spotify:artist:2a4lU7F8toqKpb5v6Ftqya","Vulfpeck, Theo Katzman","spotify:album:2cZ4rjMOn8zz1ToKSBQVWa","Hill Climber","spotify:artist:7pXu47GoqSYRajmBCjxdD6","Vulfpeck","2018-12-07","https://i.scdn.co/image/ab67616d0000b273e2af63e82adb0206f1296834","1","1","196905","https://p.scdn.co/mp3-preview/0cce419aa3d1252ee9e0cd333992073324433ef7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","TCADW1815705","spotify:user:jeongshin","2020-04-21T02:42:57Z"
"spotify:track:7HRv1sYuwgoea1m0JRvChV","GOLD","spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA","BROCKHAMPTON","spotify:album:67smHJOf5YlFwad6dAlppm","SATURATION","spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA","BROCKHAMPTON","2017-06-09","https://i.scdn.co/image/ab67616d0000b273a0c4a585a7d73b4943b9bf13","1","2","266000","https://p.scdn.co/mp3-preview/6cc3bc279f9c9deff7f4b7e7dac2a9601a80053a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","58","USUYG1144806","spotify:user:jeongshin","2020-04-21T02:43:03Z"
"spotify:track:51QEyJI5M7uyd8DOh9tqQY","Buzzcut Season","spotify:artist:163tK9Wjr9P9DmM0AVK7lm","Lorde","spotify:album:0rmhjUgoVa17LZuS8xWQ3v","Pure Heroine","spotify:artist:163tK9Wjr9P9DmM0AVK7lm","Lorde","2013-09-27","https://i.scdn.co/image/ab67616d0000b273187331e276c898d39764cc98","1","5","246755","https://p.scdn.co/mp3-preview/34c9b133d7c640902a1b356603ca007736bbd3d0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","NZUM71300123","spotify:user:jeongshin","2020-04-21T02:43:11Z"
"spotify:track:44uCMdE6RWnkOFYTtbmUUc","Cherry Cola","spotify:artist:66LFdGYtbmJ6G8sArrkfsu","Kuwada","spotify:album:2tjlpkDXnBKY3HGiEzU9gI","Cherry Cola","spotify:artist:66LFdGYtbmJ6G8sArrkfsu","Kuwada","2018-02-09","https://i.scdn.co/image/ab67616d0000b27352a6eabad98cde4e6e317b9c","1","1","184360","https://p.scdn.co/mp3-preview/1ac7b1591cd27f226e8d095d62dc140e3c32c05c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","58","USSM11801744","spotify:user:jeongshin","2020-04-21T02:56:04Z"
"spotify:track:6ie2Bw3xLj2JcGowOlcMhb","Green Light","spotify:artist:163tK9Wjr9P9DmM0AVK7lm","Lorde","spotify:album:2B87zXm9bOWvAJdkJBTpzF","Melodrama","spotify:artist:163tK9Wjr9P9DmM0AVK7lm","Lorde","2017-06-16","https://i.scdn.co/image/ab67616d0000b273f8553e18a11209d4becd0336","1","1","234652","https://p.scdn.co/mp3-preview/4ea9fa151649665d85f266dcb65646e5c716227e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","NZUM71700063","spotify:user:jeongshin","2020-04-21T02:43:28Z"
"spotify:track:2hfoyc7ve6xM4ZEiNIiU1B","Gimme Love","spotify:artist:3MZsBdqDrRTJihTHQrO6Dq","Joji","spotify:album:3NhYseiC5dmIJMAOfaFeIU","Gimme Love","spotify:artist:3MZsBdqDrRTJihTHQrO6Dq","Joji","2020-04-16","https://i.scdn.co/image/ab67616d0000b273b6d007e03bcf0712d7735bd7","1","1","214557","https://p.scdn.co/mp3-preview/9f01df4471f9ffc75c5f32ebcc759c721c32a249?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","ZZOPM2002154","spotify:user:jeongshin","2020-04-21T02:43:38Z"
"spotify:track:2IOFZdYYkFxEHVz1w34PoL","Cherry","spotify:artist:6KImCVD70vtIoJWnq6nGn3","Harry Styles","spotify:album:7xV2TzoaVc0ycW7fwBwAml","Fine Line","spotify:artist:6KImCVD70vtIoJWnq6nGn3","Harry Styles","2019-12-13","https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a","1","5","259186","https://p.scdn.co/mp3-preview/475b013f42d63a84e8af7389ba1499f029ca1bbf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","USSM11912589","spotify:user:jeongshin","2020-04-21T02:42:38Z"
